Date,MNST,V,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,58.87952423095703,20.969999313354492,19.119499969482423,-1.5841701354112467
2015-02-02,19.59166717529297,58.97884750366211,19.43000030517578,19.201499938964844,-1.5413247503709058
2015-02-03,19.44499969482422,60.00669860839844,17.329999923706055,19.071999931335448,-1.6448326177397492
2015-02-04,19.788333892822266,61.18471908569336,18.329999923706055,18.932499885559082,-1.5267364618703496
2015-02-05,19.72833251953125,62.78079605102539,16.850000381469727,18.80949993133545,-1.609820559689345
2015-02-06,19.524999618530273,61.76908874511719,17.290000915527344,18.823499965667725,-1.6688775236315196
2015-02-09,19.323333740234375,61.316402435302734,18.549999237060547,18.873499965667726,-1.7465354250255194
2015-02-10,19.748332977294922,61.10618209838867,17.229999542236328,18.754999923706055,-1.5425301109495797
2015-02-11,19.831666946411133,61.550453186035156,16.959999084472656,18.57499990463257,-1.5193531124543493
2015-02-12,19.918333053588867,62.688987731933594,15.34000015258789,18.267999935150147,-1.5186930669605443
2015-02-13,19.623332977294922,62.39280319213867,14.6899995803833,17.88299994468689,-1.64497623548085
2015-02-17,19.78499984741211,62.67971420288086,15.800000190734863,17.62549991607666,-1.5800879060880342
2015-02-18,20.046667098999023,62.27476119995117,15.449999809265137,17.403499937057497,-1.444936044943148
2015-02-19,20.18833351135254,62.27013397216797,15.289999961853027,17.22549991607666,-1.3792022751484407
2015-02-20,20.209999084472656,63.172611236572266,14.300000190734863,17.12049994468689,-1.40044872573892
2015-02-23,20.35333251953125,63.174922943115234,14.5600004196167,17.015499973297118,-1.3341838026419335
2015-02-24,20.801666259765625,63.049949645996094,13.6899995803833,16.9239999294281,-1.1223317881953294
2015-02-25,20.63166618347168,63.174922943115234,13.84000015258789,16.754999971389772,-1.2053509425119528
2015-02-26,20.790000915527344,63.34614562988281,13.90999984741211,16.428499937057495,-1.1379958532749068
2015-02-27,23.520000457763672,62.78152084350586,13.34000015258789,16.157499933242796,0.14521125086351513
2015-03-02,23.538333892822266,64.3967056274414,13.039999961853027,15.760999965667725,0.09772397195992949
2015-03-03,23.448333740234375,63.704830169677734,13.859999656677246,15.482499933242797,0.08004197280355624
2015-03-04,23.25666618347168,63.34614562988281,14.229999542236328,15.327499914169312,0.0037544364800842444
2015-03-05,23.338333129882812,63.434085845947266,14.039999961853027,15.11299991607666,0.038508261111689604
2015-03-06,22.770000457763672,62.32566452026367,15.199999809265137,15.03049988746643,-0.18614530795042605
2015-03-09,22.86833381652832,62.80699920654297,15.0600004196167,14.918999862670898,-0.15730992993756085
2015-03-10,22.65333366394043,61.367679595947266,16.690000534057617,14.825999927520751,-0.2069486760627796
2015-03-11,22.65999984741211,61.26354217529297,16.8700008392334,14.807999992370606,-0.20025426312204717
2015-03-12,22.975000381469727,62.381195068359375,15.420000076293945,14.73100004196167,-0.09318096259650765
2015-03-13,22.579999923706055,61.32835006713867,16.0,14.764000034332275,-0.23952986867071394
2015-03-16,23.00666618347168,62.251617431640625,15.609999656677246,14.810000038146972,-0.07403330992832664
2015-03-17,22.71500015258789,61.2056770324707,15.65999984741211,14.803000020980836,-0.17279087807079418
2015-03-18,22.78499984741211,61.93922424316406,13.970000267028809,14.729000043869018,-0.16581064179655064
2015-03-19,23.046667098999023,61.839725494384766,14.069999694824219,14.668000030517579,-0.04124412460021117
2015-03-20,22.920000076293945,62.395103454589844,13.020000457763672,14.604000043869018,-0.11912105117680216
2015-03-23,22.989999771118164,62.089637756347656,13.40999984741211,14.54650001525879,-0.07613441178778284
2015-03-24,23.116666793823242,62.108150482177734,13.619999885559082,14.543000030517579,-0.018145341471194464
2015-03-25,22.671667098999023,60.840057373046875,15.4399995803833,14.623000001907348,-0.1801781933719052
2015-03-26,22.761667251586914,60.71049880981445,15.800000190734863,14.717500019073487,-0.1340298640690864
2015-03-27,22.998332977294922,60.664215087890625,15.069999694824219,14.803999996185302,-0.02287998977480331
2015-03-30,23.406667709350586,60.775291442871094,14.510000228881836,14.877500009536742,0.16227743687048404
2015-03-31,23.066667556762695,60.54389953613281,15.289999961853027,14.949000024795533,0.01291964101217326
2015-04-01,22.774999618530273,60.33098602294922,15.109999656677246,14.993000030517578,-0.11470688429671594
2015-04-02,22.610000610351562,60.43281173706055,14.670000076293945,15.024500036239624,-0.19460901784320472
