Date,XOM,UPS,VIX,AvgVIX,zscore
2022-01-31,65.46409606933594,165.72381591796875,24.829999923706055,23.18100004196167,-2.0576688675419725
2022-02-01,69.66114807128906,189.06497192382812,21.959999084472656,23.448999977111818,-0.5615902278729432
2022-02-02,69.48017883300781,190.22872924804688,22.09000015258789,23.707999992370606,-0.5275494347860308
2022-02-03,68.6700668334961,187.4258270263672,24.350000381469727,23.939000034332274,-0.7390152175606186
2022-02-04,70.16102600097656,184.22950744628906,23.219999313354492,24.119499969482423,-0.7292244714085954
2022-02-07,71.00560760498047,184.4507598876953,22.860000610351562,24.324499988555907,-0.6314104270505371
2022-02-08,69.169921875,184.56556701660156,21.440000534057617,24.426500034332275,-0.8169570242506757
2022-02-09,68.83879852294922,184.45899963378906,19.959999084472656,24.503999996185303,-0.8562058314495621
2022-02-10,68.17655181884766,180.8611297607422,23.90999984741211,24.818499946594237,-1.0884056044622683
2022-02-11,69.89315795898438,174.96844482421875,27.360000610351562,25.171000003814697,-1.1776091852938626
2022-02-14,68.82138061523438,175.37826538085938,28.329999923706055,25.62799997329712,-1.2703755888489343
2022-02-15,67.95869445800781,178.0582275390625,25.700000762939453,25.773499965667725,-1.2383257134135264
2022-02-16,68.27239227294922,176.46005249023438,24.290000915527344,25.795499992370605,-1.278300753413063
2022-02-17,68.16783905029297,172.69009399414062,28.110000610351562,25.92150001525879,-1.4603609770856267
2022-02-18,67.40973663330078,172.8304443359375,27.75,25.866499996185304,-1.532767787611919
2022-02-22,66.6255111694336,172.5084686279297,28.809999465942383,25.811999988555907,-1.6288836507708133
2022-02-23,66.89562225341797,168.80189514160156,31.020000457763672,25.805000019073486,-1.7691313248653326
2022-02-24,66.05038452148438,171.0390625,30.31999969482422,25.723000049591064,-1.7553757379680885
2022-02-25,67.8279800415039,173.31747436523438,27.59000015258789,25.57800006866455,-1.4671887151620677
2022-02-28,68.33340454101562,173.70545959472656,30.149999618530273,25.70250005722046,-1.3970476574354387
2022-03-01,68.98693084716797,169.7099609375,33.31999969482422,26.127000045776366,-1.510571952423062
2022-03-02,70.17200469970703,174.56402587890625,30.739999771118164,26.566000080108644,-1.1669969285413124
2022-03-03,70.61639404296875,175.36476135253906,30.479999542236328,26.985500049591064,-1.084455345391782
2022-03-04,73.27410888671875,173.6807098388672,31.979999542236328,27.367000007629393,-0.8847454725762629
2022-03-07,75.91437530517578,166.0776824951172,36.45000076293945,28.028500080108643,-0.9556318292078764
2022-03-08,76.489501953125,167.9185791015625,35.130001068115234,28.642000102996825,-0.8122702125967518
2022-03-09,72.14131927490234,170.70057678222656,32.45000076293945,29.192500114440918,-1.1377912569251185
2022-03-10,74.38076782226562,171.03077697753906,30.229999542236328,29.706000137329102,-0.8900786429948383
2022-03-11,73.99734497070312,168.3230743408203,30.75,30.048000144958497,-1.0528808677106791
2022-03-14,71.34835815429688,168.65328979492188,31.770000457763672,30.268500137329102,-1.3131619753692936
2022-03-15,67.28775024414062,173.79629516601562,29.829999923706055,30.3435001373291,-1.5015846511783677
2022-03-16,67.03504943847656,179.8803253173828,26.670000076293945,30.392000102996825,-1.2515664963984559
2022-03-17,68.82138061523438,183.5291290283203,25.670000076293945,30.461000061035158,-0.9002416500235035
2022-03-18,68.5512466430664,181.43226623535156,23.8700008392334,30.249000072479248,-1.023532688928231
2022-03-21,71.627197265625,180.42518615722656,23.530000686645508,30.038000106811523,-0.7496192221831014
2022-03-22,71.31351470947266,180.30963134765625,22.940000534057617,29.744500160217285,-0.7874637465310688
2022-03-23,72.43757629394531,177.1396484375,23.56999969482422,29.37200012207031,-0.814604153840977
2022-03-24,72.65542602539062,177.20567321777344,21.670000076293945,28.9395001411438,-0.788967523735662
2022-03-25,74.2413330078125,177.77529907226562,20.809999465942383,28.600500106811523,-0.5982969594267081
2022-03-28,72.15872955322266,181.24244689941406,19.6299991607666,28.07450008392334,-0.6572715354295996
2022-03-29,71.77533721923828,183.6364288330078,18.899999618530273,27.353500080108642,-0.5884010767011791
2022-03-30,73.00397491455078,181.77903747558594,19.329999923706055,26.78300008773804,-0.5450688857139896
2022-03-31,71.96704864501953,177.04055786132812,20.559999465942383,26.28700008392334,-0.867999994652571
2022-04-01,72.42884826660156,170.5850067138672,19.6299991607666,25.669500064849853,-1.1131600199551182
2022-04-04,72.46372985839844,169.40452575683594,18.56999969482422,24.77550001144409,-1.1631413157469073
2022-04-05,72.08904266357422,162.80035400390625,21.030000686645508,24.070499992370607,-1.501975954232581
2022-04-06,72.89071655273438,160.472412109375,22.100000381469727,23.55299997329712,-1.5243806981691428
2022-04-07,74.11064910888672,159.07728576660156,21.549999237060547,23.11899995803833,-1.4609614872841963
