Date,KO,KBE,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,37.882789611816406,15.489999771118164,13.696000051498412,-0.12601611849935365
2020-01-31,48.25005340576172,37.1184196472168,18.84000015258789,14.014500045776368,-0.1399441654712149
2020-02-03,48.39876174926758,37.530006408691406,17.969999313354492,14.211999988555908,-0.14261999475984605
2020-02-04,48.61357116699219,38.07598876953125,16.049999237060547,14.32199993133545,-0.1429780479102741
2020-02-05,48.62184524536133,38.94956588745117,15.149999618530273,14.389999914169312,-0.20457192843756486
2020-02-06,48.73751449584961,38.571563720703125,14.960000038146973,14.465499925613404,-0.15622571849001157
2020-02-07,48.90275192260742,38.260780334472656,15.470000267028809,14.611999940872192,-0.10371720647882679
2020-02-10,49.36542892456055,38.24397659301758,15.039999961853027,14.735999917984008,-0.01833212405104848
2020-02-11,49.23322296142578,38.56317901611328,15.180000305175781,14.878999948501587,-0.06543958438783172
2020-02-12,49.084510803222656,38.56317901611328,13.739999771118164,14.946499919891357,-0.09249366519686328
2020-02-13,49.249752044677734,38.73116683959961,14.149999618530273,15.032999897003174,-0.07456645769950933
2020-02-14,49.53066635131836,38.487586975097656,13.680000305175781,15.100999927520752,-0.005867883857170159
2020-02-18,49.183650970458984,37.99198532104492,14.829999923706055,15.237499904632568,-0.03320009970123944
2020-02-19,49.3819465637207,38.21878433227539,14.380000114440918,15.313999891281128,-0.013507538974115928
2020-02-20,49.340641021728516,38.621971130371094,15.5600004196167,15.446499919891357,-0.05014442510334497
2020-02-21,49.67937469482422,38.101192474365234,17.079999923706055,15.651499938964843,0.04909506347016588
2020-02-24,48.45659255981445,36.91682434082031,25.030000686645508,16.174999952316284,-0.0878086776051981
2020-02-25,47.77085876464844,35.421669006347656,27.850000381469727,16.655999994277956,-0.10456287727568184
2020-02-26,47.58909225463867,34.867286682128906,27.559999465942383,17.219999933242796,-0.09758684168957162
2020-02-27,45.38313293457031,33.4813346862793,39.15999984741211,18.35849995613098,-0.3987920378818296
2020-02-28,44.19340515136719,32.54895782470703,40.11000061035156,19.589499998092652,-0.5478839660533021
2020-03-02,46.20106887817383,33.993717193603516,33.41999816894531,20.318499898910524,-0.2870008909088275
2020-03-03,46.31674575805664,32.67496109008789,36.81999969482422,21.26099991798401,-0.17070194053403218
2020-03-04,48.6796760559082,33.346946716308594,31.989999771118164,22.05799994468689,0.21063011999752887
2020-03-05,46.878562927246094,31.742582321166992,39.619998931884766,23.281499910354615,-0.0011483743276298412
2020-03-06,45.655784606933594,30.474231719970703,41.939998626708984,24.630499839782715,-0.131985305686767
2020-03-09,42.846702575683594,25.988767623901367,54.459999084472656,26.57999978065491,-0.3190320149058822
2020-03-10,44.3338623046875,27.685522079467773,47.29999923706055,28.192999744415282,-0.1710420959717495
2020-03-11,43.13587951660156,25.79557991027832,53.900001525878906,30.12899980545044,-0.25247014467574225
2020-03-12,38.963565826416016,23.51085090637207,75.47000122070312,33.21549987792969,-0.8464800260928318
2020-03-13,40.3970947265625,26.23236846923828,57.83000183105469,35.39949998855591,-0.7822661561472276
2020-03-16,37.721736907958984,22.847270965576172,82.69000244140625,38.850000095367434,-1.0244657210057344
2020-03-17,39.32194519042969,24.132434844970703,75.91000366210938,41.9040002822876,-0.8261802401094831
2020-03-18,37.38002395629883,21.452919006347656,76.44999694824219,45.007500123977664,-0.9859159068152891
2020-03-19,34.863014221191406,22.8388729095459,72.0,47.829500102996825,-1.5439249706347011
2020-03-20,31.920957565307617,21.326921463012695,66.04000091552734,50.27750015258789,-1.96994176729438
2020-03-23,31.304208755493164,19.553335189819336,61.59000015258789,52.10550012588501,-1.9540347765353812
2020-03-24,32.87941360473633,21.85274314880371,61.66999816894531,53.796500015258786,-1.8335575814040763
2020-03-25,34.67966842651367,22.27541732788086,63.95000076293945,55.61600008010864,-1.5365808742971405
2020-03-26,36.91328811645508,24.236671447753906,61.0,56.708000087738036,-1.2718981335404969
2020-03-27,35.67979431152344,23.3405818939209,65.54000091552734,57.97950010299682,-1.4315731428708076
2020-03-30,37.50503921508789,23.408214569091797,57.08000183105469,59.16250028610229,-1.1044052683977814
2020-03-31,36.879947662353516,22.791095733642578,53.540000915527344,59.99850034713745,-1.1735485080550283
2020-04-01,35.104713439941406,21.269432067871094,57.060001373291016,61.252000427246095,-1.3865925830731436
2020-04-02,36.62993240356445,21.624488830566406,50.90999984741211,61.81650047302246,-1.1347670183271878
2020-04-03,36.5299072265625,20.66922378540039,46.79999923706055,62.059500503540036,-1.0839643434636317
2020-04-06,38.89689254760742,22.283876419067383,45.2400016784668,61.598500633239745,-0.7699841181391276
2020-04-07,38.76354217529297,23.112337112426758,46.70000076293945,61.568500709533694,-0.8540838736217337
2020-04-08,39.8553581237793,24.219770431518555,43.349998474121094,61.041000556945804,-0.7354487640975376
2020-04-09,40.83882522583008,26.028852462768555,41.66999816894531,59.35100040435791,-0.6872053479360364
2020-04-13,39.11359405517578,24.710081100463867,41.16999816894531,58.51800022125244,-0.9058078061572883
2020-04-14,40.77214050292969,24.35502815246582,37.7599983215332,56.27150001525879,-0.578435228792823
2020-04-15,39.680335998535156,22.782642364501953,40.84000015258789,54.51799983978272,-0.6634843957559575
2020-04-16,39.255271911621094,21.996450424194336,40.11000061035156,52.70100002288818,-0.6840258725170655
2020-04-17,40.05537796020508,23.805540084838867,38.150001525878906,51.00850009918213,-0.6691405003075965
2020-04-20,38.78022384643555,23.644916534423828,43.83000183105469,49.898000144958495,-0.8895177085181749
2020-04-21,37.82175064086914,22.841815948486328,45.40999984741211,49.089000129699706,-1.0058769573300368
2020-04-22,38.0717887878418,22.892539978027344,41.97999954223633,48.104500198364256,-0.9640532381169611
2020-04-23,37.56336975097656,23.188417434692383,41.380001068115234,46.976000213623045,-1.0779175246055095
2020-04-24,37.86342239379883,23.780174255371094,35.93000030517578,45.722500228881835,-1.0660742441120736
2020-04-27,38.98856735229492,25.242658615112305,33.290000915527344,44.11000022888184,-0.9670214384859924
2020-04-28,38.955230712890625,25.918962478637695,33.56999969482422,42.93450012207031,-1.0219360498835033
2020-04-29,39.27194595336914,27.44906997680664,31.229999542236328,41.81900005340576,-1.0748392320033604
2020-04-30,38.24681091308594,26.468442916870117,34.150001525878906,40.673500061035156,-1.1905028969127047
2020-05-01,38.00510787963867,25.23421287536621,37.189998626708984,39.9875,-1.1453247574589114
2020-05-04,37.62171936035156,24.96368980407715,35.970001220703125,39.44600009918213,-1.195531656379039
2020-05-05,37.838417053222656,24.574819564819336,33.61000061035156,38.86450004577637,-1.1280210953225651
2020-05-06,37.29668045043945,23.949249267578125,34.119998931884766,38.235499954223634,-1.181389742569685
2020-05-07,37.171653747558594,24.34657096862793,31.440000534057617,37.64000005722046,-1.2328337474707223
2020-05-08,38.43016815185547,25.386371612548828,27.979999542236328,36.95550012588501,-1.0789872875956033
2020-05-11,37.95509719848633,24.48183250427246,27.56999969482422,36.275500202178954,-1.100077832784416
2020-05-12,37.355018615722656,23.256052017211914,33.040000915527344,36.03950033187866,-1.1207065703993946
2020-05-13,36.62158966064453,22.0302677154541,35.279998779296875,35.76150026321411,-1.1655944594932395
2020-05-14,36.42156219482422,22.816457748413086,32.61000061035156,35.38650026321411,-1.2587710344173513
2020-05-15,36.054840087890625,22.53748321533203,31.889999389648438,35.07350015640259,-1.3053354833627988
2020-05-18,37.48003387451172,24.625545501708984,29.299999237060547,34.34700002670288,-1.1968830147137957
2020-05-19,37.12165451049805,23.695640563964844,30.530000686645508,33.60300006866455,-1.1949125469488195
2020-05-20,38.24681091308594,24.811521530151367,27.989999771118164,32.90350008010864,-1.0708222399820366
2020-05-21,37.646728515625,24.718534469604492,29.530000686645508,32.31100006103516,-1.173274178388197
2020-05-22,37.53004455566406,24.431106567382812,28.15999984741211,31.92250003814697,-1.1737404808565874
2020-05-26,38.41350173950195,26.409265518188477,28.010000228881836,31.658500003814698,-1.155903665392815
2020-05-27,38.946895599365234,28.269075393676758,27.6200008392334,31.361000061035156,-1.1932027877770817
2020-05-28,39.24694061279297,27.20391082763672,28.59000015258789,31.229000091552734,-1.0616802383111552
2020-05-29,38.90522384643555,26.586795806884766,27.510000228881836,30.89700002670288,-1.0792715168738576
2020-06-01,39.16359329223633,26.950302124023438,28.229999542236328,30.449000072479247,-1.0585246432422222
2020-06-02,39.088592529296875,26.992568969726562,26.84000015258789,29.992500019073486,-1.075221931631064
2020-06-03,39.92202377319336,28.35361099243164,25.65999984741211,29.594999980926513,-1.0219111459136299
2020-06-04,39.93869400024414,29.32578468322754,25.809999465942383,29.179500007629393,-1.089099281829372
2020-06-05,40.9138298034668,30.99115753173828,24.520000457763672,28.8335000038147,-1.0319912954671193
2020-06-08,41.5472526550293,31.99714469909668,25.809999465942383,28.725,-0.9894206526318048
2020-06-09,40.83882522583008,31.21095085144043,27.56999969482422,28.725,-1.0615121463193933
2020-06-10,40.52211380004883,29.283512115478516,27.56999969482422,28.451499938964844,-0.9799087411182789
2020-06-11,37.95509719848633,26.612152099609375,40.790000915527344,28.727000045776368,-1.2539523923657234
2020-06-12,38.35038375854492,27.63504981994629,36.09000015258789,28.901000022888184,-1.2559255498915691
