Date,PEP,XOM,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,65.4640884399414,24.829999923706055,23.18100004196167,0.03756943204198427
2022-02-01,150.6808624267578,69.66116333007812,21.959999084472656,23.448999977111818,-0.0735982670119927
2022-02-02,153.41749572753906,69.48019409179688,22.09000015258789,23.707999992370606,0.1799547293420157
2022-02-03,153.33006286621094,68.67005920410156,24.350000381469727,23.939000034332274,0.17493247162303807
2022-02-04,150.81199645996094,70.1610107421875,23.219999313354492,24.119499969482423,-0.06336719620222131
2022-02-07,150.21746826171875,71.00562286376953,22.860000610351562,24.324499988555907,-0.12148953846449607
2022-02-08,150.4010772705078,69.16991424560547,21.440000534057617,24.426500034332275,-0.09759742991401892
2022-02-09,150.3311309814453,68.83880615234375,19.959999084472656,24.503999996185303,-0.10281130301389578
2022-02-10,147.20977783203125,68.17655181884766,23.90999984741211,24.818499946594237,-0.3887316005225295
2022-02-11,147.39341735839844,69.89315032958984,27.360000610351562,25.171000003814697,-0.3782398251409556
2022-02-14,145.74966430664062,68.8213882446289,28.329999923706055,25.62799997329712,-0.5260819225423667
2022-02-15,145.10269165039062,67.95870208740234,25.700000762939453,25.773499965667725,-0.5826084539130008
2022-02-16,145.39993286132812,68.27240753173828,24.290000915527344,25.795499992370605,-0.5563264308990293
2022-02-17,145.79339599609375,68.1678466796875,28.110000610351562,25.92150001525879,-0.5195751630695941
2022-02-18,146.63272094726562,67.40973663330078,27.75,25.866499996185304,-0.4391595092658177
2022-02-22,147.1923065185547,66.62549591064453,28.809999465942383,25.811999988555907,-0.3844937193454913
2022-02-23,145.74095153808594,66.89562225341797,31.020000457763672,25.805000019073486,-0.519620922352728
2022-02-24,143.2053985595703,66.05039978027344,30.31999969482422,25.723000049591064,-0.7507218024205753
2022-02-25,147.21852111816406,67.82799530029297,27.59000015258789,25.57800006866455,-0.38660857104596347
2022-02-28,143.16168212890625,68.33340454101562,30.149999618530273,25.70250005722046,-0.7633752534006341
2022-03-01,141.87640380859375,68.98693084716797,33.31999969482422,26.127000045776366,-0.8846032536120501
2022-03-02,143.84364318847656,70.1720199584961,30.739999771118164,26.566000080108644,-0.7072979892593216
2022-03-03,143.68966674804688,70.61640930175781,30.479999542236328,26.985500049591064,-0.7232024270187616
2022-03-04,145.8722381591797,73.27410888671875,31.979999542236328,27.367000007629393,-0.5315563514848963
2022-03-07,142.9679412841797,75.91436767578125,36.45000076293945,28.028500080108643,-0.8098808907598211
2022-03-08,138.93724060058594,76.48948669433594,35.130001068115234,28.642000102996825,-1.1844953642070652
2022-03-09,138.5236053466797,72.14131927490234,32.45000076293945,29.192500114440918,-1.2063100570477423
2022-03-10,135.9801788330078,74.38076782226562,30.229999542236328,29.706000137329102,-1.4497771896700928
2022-03-11,135.2937469482422,73.99736022949219,30.75,30.048000144958497,-1.511758187967514
2022-03-14,137.1947021484375,71.34834289550781,31.770000457763672,30.268500137329102,-1.3261113038631278
2022-03-15,139.93170166015625,67.2877426147461,29.829999923706055,30.3435001373291,-1.057886295253494
2022-03-16,140.5477752685547,67.03504180908203,26.670000076293945,30.392000102996825,-1.0000064467163698
2022-03-17,141.63906860351562,68.8213882446289,25.670000076293945,30.461000061035158,-0.9059088772247643
2022-03-18,143.26719665527344,68.5512466430664,23.8700008392334,30.249000072479248,-0.7544474446204414
2022-03-21,143.0647735595703,71.6271743774414,23.530000686645508,30.038000106811523,-0.7847574618687142
2022-03-22,144.63128662109375,71.31350708007812,22.940000534057617,29.744500160217285,-0.6388251468484623
2022-03-23,143.87445068359375,72.43756866455078,23.56999969482422,29.37200012207031,-0.7129994229001244
2022-03-24,144.7456817626953,72.65542602539062,21.670000076293945,28.9395001411438,-0.633317988435989
2022-03-25,145.42337036132812,74.24134063720703,20.809999465942383,28.600500106811523,-0.5766820465518304
2022-03-28,145.8546142578125,72.15874481201172,19.6299991607666,28.07450008392334,-0.528976471591449
2022-03-29,148.01962280273438,71.77532958984375,18.899999618530273,27.353500080108642,-0.3274788571972521
2022-03-30,147.81716918945312,73.00399017333984,19.329999923706055,26.78300008773804,-0.350821800270214
2022-03-31,147.3067169189453,71.96703338623047,20.559999465942383,26.28700008392334,-0.3940760475173732
2022-04-01,149.40130615234375,72.42887878417969,19.6299991607666,25.669500064849853,-0.2022745523332953
2022-04-04,149.01409912109375,72.4637222290039,18.56999969482422,24.77550001144409,-0.23818469452569385
2022-04-05,149.1724853515625,72.08904266357422,21.030000686645508,24.070499992370607,-0.22213580452371615
2022-04-06,151.7158966064453,72.89070892333984,22.100000381469727,23.55299997329712,0.009855536655471446
2022-04-07,151.8567352294922,74.11064147949219,21.549999237060547,23.11899995803833,0.01826638853795959
2022-04-08,152.36715698242188,75.67037963867188,21.15999984741211,22.639499950408936,0.05954531789220472
2022-04-11,151.90072631835938,73.06497955322266,24.3700008392334,22.26949996948242,0.026276620061883565
2022-04-12,152.5167694091797,74.58988189697266,24.260000228881836,21.99099998474121,0.07744660278435918
2022-04-13,152.25274658203125,75.64425659179688,21.81999969482422,21.748499965667726,0.04907214113819129
2022-04-14,151.28466796875,76.5330581665039,22.700000762939453,21.6,-0.043733708967550404
