Date,KO,PEP,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,118.7242202758789,15.489999771118164,13.696000051498412,2.3209977421463623
2020-01-31,48.25005340576172,117.23019409179688,18.84000015258789,14.014500045776368,2.3495816713390423
2020-02-03,48.39876174926758,117.63463592529297,17.969999313354492,14.211999988555908,2.362946934788728
2020-02-04,48.61357116699219,118.22073364257812,16.049999237060547,14.32199993133545,2.3819967651356286
2020-02-05,48.62184524536133,119.1122055053711,15.149999618530273,14.389999914169312,2.264325333970369
2020-02-06,48.73751449584961,119.13697814941406,14.960000038146973,14.465499925613404,2.3142142074580905
2020-02-07,48.90275192260742,119.99542999267578,15.470000267028809,14.611999940872192,2.273322666253471
2020-02-10,49.36542892456055,120.23480224609375,15.039999961853027,14.735999917984008,2.453761865905988
2020-02-11,49.23322296142578,120.58151245117188,15.180000305175781,14.878999948501587,2.345635723800526
2020-02-12,49.084510803222656,120.58151245117188,13.739999771118164,14.946499919891357,2.277155097524776
2020-02-13,49.249752044677734,120.90341186523438,14.149999618530273,15.032999897003174,2.30938173374732
2020-02-14,49.53066635131836,121.33265686035156,13.680000305175781,15.100999927520752,2.3802467211342693
2020-02-18,49.183650970458984,120.18531799316406,14.829999923706055,15.237499904632568,2.3767979926893643
2020-02-19,49.3819465637207,120.12751007080078,14.380000114440918,15.313999891281128,2.47598888080504
2020-02-20,49.340641021728516,119.82210540771484,15.5600004196167,15.446499919891357,2.498585779292492
2020-02-21,49.67937469482422,120.39163970947266,17.079999923706055,15.651499938964843,2.5769587367514983
2020-02-24,48.45659255981445,117.74195098876953,25.030000686645508,16.174999952316284,2.374953600768477
2020-02-25,47.77085876464844,116.47077178955078,27.850000381469727,16.655999994277956,2.2324038742167094
2020-02-26,47.58909225463867,117.19715881347656,27.559999465942383,17.219999933242796,2.049716682841891
2020-02-27,45.38313293457031,112.56639099121094,39.15999984741211,18.35849995613098,1.6649304016443234
2020-02-28,44.19340515136719,108.98394775390625,40.11000061035156,19.589499998092652,1.6052536910136126
2020-03-02,46.20106887817383,113.56519317626953,33.41999816894531,20.318499898910524,1.9054750713794177
2020-03-03,46.31674575805664,111.91427612304688,36.81999969482422,21.26099991798401,2.1837150088242643
2020-03-04,48.6796760559082,117.53560638427734,31.989999771118164,22.05799994468689,2.505800307981256
2020-03-05,46.878562927246094,114.76416778564453,39.619998931884766,23.281499910354615,2.054069844283833
2020-03-06,45.655784606933594,114.06607055664062,41.939998626708984,24.630499839782715,1.5861215600985943
2020-03-09,42.846702575683594,108.16583251953125,54.459999084472656,26.57999978065491,1.0965943371769324
2020-03-10,44.3338623046875,111.47329711914062,47.29999923706055,28.192999744415282,1.3307073684815285
2020-03-11,43.13587951660156,107.82510375976562,53.900001525878906,30.12899980545044,1.2761891222756927
2020-03-12,38.963565826416016,95.85008239746094,75.47000122070312,33.21549987792969,0.9867213376112989
2020-03-13,40.3970947265625,105.91376495361328,57.83000183105469,35.39949998855591,0.27546272371430414
2020-03-16,37.721736907958984,93.98027038574219,82.69000244140625,38.850000095367434,0.6696709158023483
2020-03-17,39.32194519042969,106.13813018798828,75.91000366210938,41.9040002822876,-0.25020850244003995
2020-03-18,37.38002395629883,100.4871826171875,76.44999694824219,45.007500123977664,-0.374386897983777
2020-03-19,34.863014221191406,97.51214599609375,72.0,47.829500102996825,-1.1280369197250557
2020-03-20,31.920957565307617,86.36813354492188,66.04000091552734,50.27750015258789,-0.9642245182016667
2020-03-23,31.304208755493164,87.40686798095703,61.59000015258789,52.10550012588501,-1.3897810171892102
2020-03-24,32.87941360473633,94.60353088378906,61.66999816894531,53.796500015258786,-1.6451080973721441
2020-03-25,34.67966842651367,93.48998260498047,63.95000076293945,55.61600008010864,-0.6643626643341743
2020-03-26,36.91328811645508,99.93871307373047,61.0,56.708000087738036,-0.5145742259908282
2020-03-27,35.67979431152344,100.10490417480469,65.54000091552734,57.97950010299682,-1.1052341448672938
2020-03-30,37.50503921508789,104.27664947509766,57.08000183105469,59.16250028610229,-0.8332121071089756
2020-03-31,36.879947662353516,99.8057632446289,53.540000915527344,59.99850034713745,-0.5118100309948849
2020-04-01,35.104713439941406,98.16030883789062,57.060001373291016,61.252000427246095,-1.1050622383980582
2020-04-02,36.62993240356445,102.93038940429688,50.90999984741211,61.81650047302246,-1.0527350941786868
2020-04-03,36.5299072265625,103.53702545166016,46.79999923706055,62.059500503540036,-1.1814625690759777
2020-04-06,38.89689254760742,108.99684143066406,45.2400016784668,61.598500633239745,-0.8355002897524255
2020-04-07,38.76354217529297,108.43177032470703,46.70000076293945,61.568500709533694,-0.8199042669812333
2020-04-08,39.8553581237793,110.20182800292969,43.349998474121094,61.041000556945804,-0.558339882352068
2020-04-09,40.83882522583008,111.04945373535156,41.66999816894531,59.35100040435791,-0.22096865241445723
2020-04-13,39.11359405517578,108.77245330810547,41.16999816894531,58.51800022125244,-0.7051336271236481
