Date,XLF,NEE,VIX,AvgVIX,zscore
2022-01-31,36.270999908447266,69.62191009521484,24.829999923706055,23.18100004196167,-0.511352056960905
2022-02-01,36.772430419921875,68.8287353515625,21.959999084472656,23.448999977111818,-0.4020425648919811
2022-02-02,37.023155212402344,69.27434539794922,22.09000015258789,23.707999992370606,-0.3923769573437151
2022-02-03,36.61457824707031,67.52753448486328,24.350000381469727,23.939000034332274,-0.35360435902885007
2022-02-04,37.236732482910156,67.7414321899414,23.219999313354492,24.119499969482423,-0.28197707317369003
2022-02-07,37.34816360473633,67.44732666015625,22.860000610351562,24.324499988555907,-0.2513905085837938
2022-02-08,37.8681755065918,67.25125885009766,21.440000534057617,24.426500034332275,-0.17149812761527794
2022-02-09,38.109619140625,68.32070922851562,19.959999084472656,24.503999996185303,-0.19639721512837224
2022-02-10,37.775325775146484,67.24235534667969,23.90999984741211,24.818499946594237,-0.18341736734963196
2022-02-11,37.24602508544922,66.8056640625,27.360000610351562,25.171000003814697,-0.23074758404583168
2022-02-14,36.828147888183594,66.77000427246094,28.329999923706055,25.62799997329712,-0.28462666057315605
2022-02-15,37.329593658447266,66.92149353027344,25.700000762939453,25.773499965667725,-0.225779335445702
2022-02-16,37.357460021972656,67.04627990722656,24.290000915527344,25.795499992370605,-0.228725469217555
2022-02-17,36.428855895996094,67.17996978759766,28.110000610351562,25.92150001525879,-0.3598301498123976
2022-02-18,36.41957092285156,66.0837631225586,27.75,25.866499996185304,-0.3025099829793678
2022-02-22,36.233856201171875,65.7540054321289,28.809999465942383,25.811999988555907,-0.30968601035880927
2022-02-23,35.6024055480957,64.45282745361328,31.020000457763672,25.805000019073486,-0.32447150732614094
2022-02-24,35.17524719238281,67.23343658447266,30.31999969482422,25.723000049591064,-0.5300354011636614
2022-02-25,36.30813217163086,68.76631927490234,27.59000015258789,25.57800006866455,-0.4606892378207593
2022-02-28,35.76955032348633,70.14192962646484,30.149999618530273,25.70250005722046,-0.6060720706378397
2022-03-01,34.4509391784668,69.39810943603516,33.31999969482422,26.127000045776366,-0.7423634632173005
2022-03-02,35.3423957824707,69.49669647216797,30.739999771118164,26.566000080108644,-0.6286260430807082
2022-03-03,35.23095703125,70.60792541503906,30.479999542236328,26.985500049591064,-0.7028645776629066
2022-03-04,34.5716552734375,71.88045501708984,31.979999542236328,27.367000007629393,-0.8588561736473029
2022-03-07,33.30876541137695,75.43819427490234,36.45000076293945,28.028500080108643,-1.2174995756333573
2022-03-08,33.113765716552734,73.43977355957031,35.130001068115234,28.642000102996825,-1.1367746641583854
2022-03-09,34.33022689819336,71.9790267944336,32.45000076293945,29.192500114440918,-0.8963511054832588
2022-03-10,34.04236602783203,71.83565521240234,30.229999542236328,29.706000137329102,-0.9271198103927223
2022-03-11,33.80092239379883,71.06495666503906,30.75,30.048000144958497,-0.9181801256865706
2022-03-14,34.22808074951172,71.04705047607422,31.770000457763672,30.268500137329102,-0.8602005627298518
2022-03-15,34.71095275878906,73.46666717529297,29.829999923706055,30.3435001373291,-0.9249966955153088
2022-03-16,35.68598175048828,73.94160461425781,26.670000076293945,30.392000102996825,-0.8202076156463527
2022-03-17,36.13170623779297,74.10291290283203,25.670000076293945,30.461000061035158,-0.7693232738495778
2022-03-18,36.21528625488281,73.81616973876953,23.8700008392334,30.249000072479248,-0.7428479597505664
2022-03-21,36.17985153198242,73.30535125732422,23.530000686645508,30.038000106811523,-0.7202902169568645
2022-03-22,36.76716232299805,74.24632263183594,22.940000534057617,29.744500160217285,-0.6921547864771553
2022-03-23,36.08662796020508,73.99539184570312,23.56999969482422,29.37200012207031,-0.7695971426018735
2022-03-24,36.37562561035156,75.0080337524414,21.670000076293945,28.9395001411438,-0.7851133380891754
2022-03-25,36.84173583984375,75.2231216430664,20.809999465942383,28.600500106811523,-0.734380546010829
2022-03-28,36.73918533325195,75.66222381591797,19.6299991607666,28.07450008392334,-0.7715273626601743
2022-03-29,36.82309341430664,75.83251190185547,18.899999618530273,27.353500080108642,-0.7694229857894079
2022-03-30,36.562068939208984,76.62110900878906,19.329999923706055,26.78300008773804,-0.8463952141238844
2022-03-31,35.72305679321289,75.91316223144531,20.559999465942383,26.28700008392334,-0.9205794615966371
2022-04-01,35.62984085083008,76.80931091308594,19.6299991607666,25.669500064849853,-0.9808957182927769
2022-04-04,35.47135925292969,76.72864532470703,18.56999969482422,24.77550001144409,-0.9977428581680187
2022-04-05,35.247623443603516,77.36493682861328,21.030000686645508,24.070499992370607,-1.0616010731949872
2022-04-06,35.0052375793457,77.50830078125,22.100000381469727,23.55299997329712,-1.1016166339143685
2022-04-07,34.967952728271484,78.03704071044922,21.549999237060547,23.11899995803833,-1.134839360479189
2022-04-08,35.322208404541016,77.14984893798828,21.15999984741211,22.639499950408936,-1.0401543875832733
2022-04-11,35.163726806640625,75.79663848876953,24.3700008392334,22.26949996948242,-0.9890218402634593
2022-04-12,34.78151321411133,75.17831420898438,24.260000228881836,21.99099998474121,-1.0070139521636123
2022-04-13,34.78151321411133,74.87362670898438,21.81999969482422,21.748499965667726,-0.9907374643323115
2022-04-14,34.389976501464844,74.21045684814453,22.700000762939453,21.6,-1.0075784923979239
2022-04-18,34.59506607055664,73.22469329833984,22.170000076293945,21.51499996185303,-0.9275405453324888
2022-04-19,35.070499420166016,73.33222961425781,21.3700008392334,21.40699996948242,-0.8698177402229419
2022-04-20,35.31287384033203,73.04547119140625,20.31999969482422,21.27599992752075,-0.8221435362260077
2022-04-21,34.753536224365234,68.26897430419922,22.68000030517578,21.23149995803833,-0.6416499202626456
2022-04-22,33.7187614440918,66.27054595947266,28.209999084472656,21.558499908447267,-0.673029402815341
2022-04-25,33.774696350097656,66.35118103027344,27.020000457763672,21.86899995803833,-0.6698699844485617
2022-04-26,32.92636489868164,65.92999267578125,33.52000045776367,22.563500022888185,-0.7606170135251583
2022-04-27,32.898399353027344,65.66114807128906,31.600000381469727,23.198500061035155,-0.74998849086933
2022-04-28,33.31791305541992,65.8582992553711,29.989999771118164,23.73150005340576,-0.7045178644968105
2022-04-29,32.17125701904297,63.64480972290039,33.400001525878906,24.37350015640259,-0.739344179411129
2022-05-02,32.18058776855469,62.61424255371094,32.34000015258789,25.00900020599365,-0.6830454077043702
2022-05-03,32.600093841552734,63.41182327270508,29.25,25.54300022125244,-0.6696509063314515
2022-05-04,33.59756851196289,65.47295379638672,25.420000076293945,25.762500190734862,-0.6466003258964158
2022-05-05,32.61874008178711,64.37965393066406,31.200000762939453,26.21750020980835,-0.7188635209941918
2022-05-06,32.38567352294922,64.94422912597656,30.190000534057617,26.6495002746582,-0.7801362292039175
2022-05-09,31.61191749572754,63.36699676513672,34.75,27.3290002822876,-0.7991717181185957
2022-05-10,31.33225440979004,62.721771240234375,32.9900016784668,27.76000032424927,-0.8020368972974258
2022-05-11,31.043264389038086,62.90997314453125,32.560001373291016,28.175000381469726,-0.8506690812491903
2022-05-12,30.810203552246094,61.39545822143555,31.770000457763672,28.6725004196167,-0.8008754747909456
2022-05-13,31.257673263549805,62.55150604248047,28.8700008392334,28.981000423431396,-0.8028974085095132
2022-05-16,30.996652603149414,62.838287353515625,27.469999313354492,29.246000385284425,-0.8530619934253132
2022-05-17,31.826339721679688,64.54096221923828,26.100000381469727,29.48250036239624,-0.833261220508478
2022-05-18,30.950037002563477,63.626888275146484,30.959999084472656,30.01450033187866,-0.9014121613748198
2022-05-19,30.74494743347168,63.1429557800293,29.350000381469727,30.34800033569336,-0.9029385522035167
2022-05-20,30.689014434814453,63.82404327392578,29.43000030517578,30.409000396728516,-0.946789139311402
2022-05-23,31.686500549316406,65.01594543457031,28.479999542236328,30.48200035095215,-0.8773026192677736
2022-05-24,31.621244430541992,66.915771484375,29.450000762939453,30.278500366210938,-0.9875031254673976
2022-05-25,31.872949600219727,67.02330780029297,28.3700008392334,30.117000389099122,-0.9596466543993663
2022-05-26,32.60941696166992,67.2473373413086,27.5,29.992500400543214,-0.8733005157375454
2022-05-27,33.159423828125,69.78437805175781,25.719999313354492,29.608500289916993,-0.9354073807052945
2022-05-31,33.06620407104492,68.2162094116211,26.190000534057617,29.301000308990478,-0.8640796554798286
2022-06-01,32.53483581542969,68.6488037109375,25.690000534057617,29.12300033569336,-0.9581233481166558
2022-06-02,32.9822998046875,70.76676177978516,24.719999313354492,29.088000297546387,-1.0115315486860577
2022-06-03,32.506866455078125,70.91996765136719,24.790000915527344,28.76750030517578,-1.0831832712666212
2022-06-06,32.600093841552734,72.27185821533203,25.06999969482422,28.51150026321411,-1.142956345276484
2022-06-07,32.8517951965332,71.90235137939453,24.020000457763672,27.975000286102294,-1.0896166105447047
2022-06-08,32.2738037109375,70.7397232055664,23.959999084472656,27.523500156402587,-1.1046670055810388
2022-06-09,31.4627628326416,69.7032699584961,26.09000015258789,27.200000095367432,-1.1575683575238234
2022-06-10,30.32545280456543,68.41447448730469,27.75,26.999000072479248,-1.2405444422377039
2022-06-13,29.421184539794922,65.26008605957031,34.02000045776367,27.256500053405762,-1.1927504116350345
2022-06-14,29.16948127746582,64.42191314697266,32.689998626708984,27.517500019073488,-1.1815758254582627
2022-06-15,29.495763778686523,66.86431884765625,29.6200008392334,27.69350004196167,-1.2684930876683538
2022-06-16,28.74997901916504,63.87214660644531,32.95000076293945,27.79300012588501,-1.2082081173595285
2022-06-17,28.833877563476562,63.81806564331055,31.1299991607666,27.882000064849855,-1.1941191589080826
2022-06-21,29.409320831298828,65.54849243164062,30.190000534057617,27.920000076293945,-1.209740889266653
2022-06-22,29.343717575073242,67.31495666503906,28.950000762939453,27.943500137329103,-1.3128635122373478
2022-06-23,29.23125457763672,69.57708740234375,29.049999237060547,27.923500061035156,-1.448720259398069
2022-06-24,30.30902862548828,70.3161392211914,27.229999542236328,27.866499996185304,-1.3443244082478214
2022-06-27,30.20594024658203,70.19895935058594,26.950000762939453,27.839000034332276,-1.3518262918300772
2022-06-28,29.906036376953125,68.89215087890625,28.360000610351562,27.971000099182127,-1.3220515528069967
2022-06-29,29.737340927124023,68.4955825805664,28.15999984741211,28.069500064849855,-1.3233865716555642
2022-06-30,29.47492218017578,69.8114242553711,28.709999084472656,28.220499992370605,-1.4287104726820625
2022-07-01,29.87792205810547,72.60531616210938,26.700000762939453,28.319500064849855,-1.5241629248559687
2022-07-05,29.77482795715332,71.29849243164062,27.540000915527344,28.457000064849854,-1.4681144787702962
2022-07-06,29.69985008239746,71.71308898925781,26.729999542236328,28.54000005722046,-1.5002714223667077
2022-07-07,30.130962371826172,72.44310760498047,26.079999923706055,28.643000030517577,-1.4817183769381408
2022-07-08,30.06536102294922,72.325927734375,24.639999389648438,28.677000045776367,-1.4842159729003863
2022-07-11,29.821693420410156,72.71347045898438,26.170000076293945,28.68100004196167,-1.5374467331644985
2022-07-12,29.63425064086914,72.0555648803711,27.290000915527344,28.65800008773804,-1.5273236975753481
2022-07-13,29.3718318939209,72.3349380493164,26.81999969482422,28.298000049591064,-1.5772791735002378
2022-07-14,28.80950927734375,72.21778106689453,26.399999618530273,27.98350009918213,-1.646087222003813
2022-07-15,29.78420066833496,70.93799591064453,24.229999542236328,27.714000034332276,-1.4476054588796454
2022-07-18,29.671735763549805,69.85648345947266,25.299999237060547,27.33149995803833,-1.4048441462573658
2022-07-19,30.562074661254883,71.13627624511719,24.5,27.0,-1.354356260439021
2022-07-20,30.674537658691406,70.58650207519531,23.8799991607666,26.68449993133545,-1.3099740595982297
2022-07-21,30.871349334716797,71.08218383789062,23.110000610351562,26.392499923706055,-1.3101803655289044
2022-07-22,30.693283081054688,72.325927734375,23.030000686645508,26.091499996185302,-1.4003922456205071
2022-07-25,30.89008903503418,72.98385620117188,23.360000610351562,25.898000049591065,-1.4092665777843776
2022-07-26,30.458982467651367,72.01951599121094,24.690000534057617,25.785000038146972,-1.4153013370503043
2022-07-27,30.927579879760742,72.44310760498047,23.239999771118164,25.528999996185302,-1.3753748461296271
2022-07-28,31.152509689331055,76.19232940673828,22.329999923706055,25.2375,-1.5456325344514683
2022-07-29,31.592992782592773,76.14725494384766,21.329999923706055,24.86850004196167,-1.4844228646337436
2022-08-01,31.330575942993164,76.88629913330078,22.84000015258789,24.675500011444093,-1.5589338349336255
2022-08-02,30.983814239501953,77.21076965332031,23.93000030517578,24.494999980926515,-1.6225576886439768
2022-08-03,31.45241928100586,77.9227523803711,21.950000762939453,24.25600004196167,-1.5980361097354823
2022-08-04,31.349321365356445,79.29265594482422,21.440000534057617,24.024000072479247,-1.6849796616875978
2022-08-05,31.574249267578125,79.29265594482422,21.149999618530273,23.84950008392334,-1.6549531721096533
2022-08-08,31.55550765991211,78.8780746459961,21.290000915527344,23.60550012588501,-1.6353080173111587
2022-08-09,31.714828491210938,80.13984680175781,21.770000457763672,23.329500102996825,-1.681443874021816
2022-08-10,32.427093505859375,80.9149169921875,19.739999771118164,22.975500106811523,-1.627765338626764
2022-08-11,32.811363220214844,80.5994644165039,20.200000762939453,22.665500164031982,-1.5596161374851765
2022-08-12,33.32681655883789,81.53679656982422,19.530000686645508,22.43050022125244,-1.540878826147322
2022-08-15,33.31744384765625,82.01446533203125,19.950000762939453,22.163000297546386,-1.5676472185367987
2022-08-16,33.56110763549805,81.5908432006836,19.690000534057617,21.922500324249267,-1.5124895959429112
2022-08-17,33.39242172241211,81.2934341430664,19.899999618530273,21.723500347137453,-1.5191204548846933
2022-08-18,33.429901123046875,81.32949829101562,19.559999465942383,21.546000289916993,-1.51604374218163
2022-08-19,32.764495849609375,80.85184478759766,20.600000381469727,21.424500274658204,-1.5793548697967001
2022-08-22,32.042850494384766,79.79735565185547,23.799999237060547,21.44650020599365,-1.6193589880094446
2022-08-23,31.91164207458496,79.29265594482422,24.110000610351562,21.41750020980835,-1.609913310433089
2022-08-24,32.0803337097168,79.95057678222656,22.81999969482422,21.396500205993654,-1.6225403234380202
2022-08-25,32.57705307006836,80.56343078613281,21.780000686645508,21.369000244140626,-1.5889701731916717
2022-08-26,31.602371215820312,79.36476135253906,25.559999465942383,21.580500221252443,-1.6550509554137527
2022-08-29,31.37743377685547,78.80779266357422,26.209999084472656,21.74900016784668,-1.6553253015930685
2022-08-30,31.208742141723633,77.61235809326172,26.209999084472656,21.863000106811523,-1.6139841610546182
2022-08-31,30.97443962097168,77.03275299072266,25.8700008392334,22.059000110626222,-1.6142994446972794
2022-09-01,31.06816291809082,78.11952209472656,25.559999465942383,22.26500005722046,-1.6598434583120458
2022-09-02,30.824493408203125,77.07804870605469,25.469999313354492,22.48100004196167,-1.636736049799171
2022-09-06,30.7495174407959,79.12477111816406,26.90999984741211,22.761999988555907,-1.7560813389315053
2022-09-07,31.35869598388672,81.72391510009766,24.639999389648438,22.905499935150146,-1.813606722907752
2022-09-08,31.91164207458496,81.75108337402344,23.610000610351562,23.098999977111816,-1.741243161954718
2022-09-09,32.202171325683594,81.41600036621094,22.790000915527344,23.228499984741212,-1.6845590723542399
2022-09-12,32.46458435058594,82.24010467529297,23.8700008392334,23.445499992370607,-1.693552422623977
2022-09-13,31.255599975585938,80.47415924072266,27.270000457763672,23.811499977111815,-1.760607112395354
2022-09-14,31.161882400512695,80.49227142333984,26.15999984741211,24.13499994277954,-1.774085389090399
2022-09-15,31.264976501464844,77.89311981201172,26.270000457763672,24.45349998474121,-1.6214755865767152
2022-09-16,30.983814239501953,76.78823852539062,26.299999237060547,24.79049997329712,-1.5999859626555686
2022-09-19,31.335229873657227,78.644775390625,25.760000228881836,25.048499965667723,-1.6522508363596444
2022-09-20,30.87359046936035,77.60330200195312,27.15999984741211,25.216499996185302,-1.658241066237282
2022-09-21,30.232938766479492,76.04563903808594,27.989999771118164,25.41049995422363,-1.6605533500903669
2022-09-22,29.72418975830078,75.65619659423828,27.350000381469727,25.636999988555907,-1.7076640895866946
2022-09-23,29.253124237060547,74.73246002197266,29.920000076293945,26.04399995803833,-1.721202180276163
2022-09-26,28.791481018066406,73.49174499511719,32.2599983215332,26.37899990081787,-1.7165493777328749
2022-09-27,28.66900634765625,73.42835235595703,32.599998474121094,26.698499870300292,-1.729512540133039
2022-09-28,29.234283447265625,74.59663391113281,30.18000030517578,26.89699993133545,-1.7164614424611524
2022-09-29,28.866851806640625,72.4231185913086,31.84000015258789,27.195499897003174,-1.6494015330590746
2022-09-30,28.603055953979492,71.01033782958984,31.6200008392334,27.498499965667726,-1.609145528057732
2022-10-03,29.37560272216797,73.52798461914062,30.100000381469727,27.730000019073486,-1.640508658357432
2022-10-04,30.468469619750977,75.00416564941406,29.06999969482422,27.83800001144409,-1.573475644571097
2022-10-05,30.232938766479492,74.05323791503906,28.549999237060547,28.033500003814698,-1.5541187486238093
2022-10-06,29.808979034423828,71.46315002441406,30.520000457763672,28.378999996185303,-1.4723515729905803
2022-10-07,29.10238265991211,69.48887634277344,31.360000610351562,28.807499980926515,-1.461211608249452
2022-10-10,28.970481872558594,69.49793243408203,32.45000076293945,29.236499977111816,-1.4793033297845992
2022-10-11,28.603055953979492,68.85493469238281,33.630001068115234,29.554500007629393,-1.4940033153502958
2022-10-12,28.537105560302734,65.88447570800781,33.56999969482422,29.925,-1.344124572408992
2022-10-13,29.714765548706055,66.19239044189453,31.940000534057617,30.2085000038147,-1.203363104892037
2022-10-14,29.215438842773438,64.99696350097656,32.02000045776367,30.494500064849852,-1.2061601174329712
2022-10-17,29.95030403137207,66.69953918457031,31.3700008392334,30.77500009536743,-1.1990121898019677
2022-10-18,30.4307861328125,67.97647857666016,30.5,30.942000102996825,-1.2030852328605501
2022-10-19,29.931459426879883,66.69047546386719,30.760000228881836,31.08050012588501,-1.2010436420477886
2022-10-20,29.450971603393555,63.97361373901367,29.979999542236328,31.21200008392334,-1.1200503262858736
2022-10-21,30.3271484375,64.88827514648438,29.690000534057617,31.200500106811525,-1.0519475727439853
2022-10-24,30.732271194458008,66.3644790649414,29.850000381469727,31.08000020980835,-1.0767253884925496
2022-10-25,31.09969711303711,68.70097351074219,28.459999084472656,30.87300024032593,-1.1524924503004947
2022-10-26,31.175067901611328,68.46551513671875,27.280000686645508,30.728000259399415,-1.1298526648619
2022-10-27,31.429445266723633,68.3477783203125,27.389999389648438,30.50550022125244,-1.0896053211153083
2022-10-28,32.2114143371582,71.57183074951172,25.75,30.212000179290772,-1.1574470105116568
2022-10-31,32.01356506347656,70.18621826171875,25.8799991607666,30.001000118255615,-1.1098388798601149
2022-11-01,32.09835433959961,70.37640380859375,25.809999465942383,29.838000106811524,-1.1086797965660569
