Date,GOOGL,KLAC,VIX,AvgVIX,zscore
2023-01-31,98.02977752685547,380.6058044433594,19.399999618530273,20.202999973297118,-1.0784184455910366
2023-02-01,99.60675811767578,397.3727722167969,17.8700008392334,19.951500034332277,-1.3285912644513957
2023-02-02,106.85681915283203,401.7268981933594,18.729999542236328,19.7875,-0.49541562781951254
2023-02-03,103.92108917236328,395.91815185546875,18.329999923706055,19.58100004196167,-0.7224665871440703
2023-02-06,102.05650329589844,393.3192138671875,19.43000030517578,19.49600009918213,-0.8964093037707387
2023-02-07,106.75765228271484,404.2191162109375,18.65999984741211,19.33050012588501,-0.5763972494727
2023-02-08,98.5554428100586,392.301025390625,19.6299991607666,19.28300008773804,-1.3283220776044802
2023-02-09,94.23118591308594,391.5251159667969,20.709999084472656,19.264000034332277,-1.8749247463795586
2023-02-10,93.79478454589844,384.9485168457031,20.530000686645508,19.34900007247925,-1.752882862229846
2023-02-13,93.83447265625,391.77813720703125,20.34000015258789,19.448500061035155,-1.9339116841851716
2023-02-14,93.90388488769531,391.4181213378906,18.90999984741211,19.426000022888182,-1.9149806557691147
2023-02-15,96.1453628540039,393.4903869628906,18.229999542236328,19.320499992370607,-1.6771911521410907
2023-02-16,94.72708129882812,382.17584228515625,20.170000076293945,19.30299997329712,-1.5548660344092395
2023-02-17,93.57659149169922,377.3989562988281,20.020000457763672,19.311499977111815,-1.5756588282432038
2023-02-21,91.03758239746094,368.07879638671875,22.8700008392334,19.46450004577637,-1.6548673983653817
2023-02-22,90.89872741699219,367.5048522949219,22.290000915527344,19.619000053405763,-1.6574474993824855
2023-02-23,90.14493560791016,377.8368225097656,21.139999389648438,19.72200002670288,-2.0381647553229785
2023-02-24,88.39938354492188,369.5478210449219,21.670000076293945,19.869000053405763,-2.041314011543426
2023-02-27,89.13331604003906,368.8085021972656,20.950000762939453,19.99100008010864,-1.924790202698401
2023-02-28,89.3217544555664,369.0906066894531,20.700000762939453,20.029000091552735,-1.9077416584855351
