Date,KLAC,MNST,VIX,AvgVIX,zscore
2020-01-30,160.731689453125,33.505001068115234,15.489999771118164,13.696000051498412,0.05773908680435794
2020-01-31,154.0577392578125,33.29999923706055,18.84000015258789,14.014500045776368,-0.3176141561828107
2020-02-03,157.95242309570312,33.709999084472656,17.969999313354492,14.211999988555908,-0.21921959046248482
2020-02-04,166.1972198486328,34.439998626708984,16.049999237060547,14.32199993133545,0.04639139009284106
2020-02-05,159.20724487304688,34.474998474121094,15.149999618530273,14.389999914169312,-0.4504901216048027
2020-02-06,159.63485717773438,34.724998474121094,14.960000038146973,14.465499925613404,-0.5248584841503844
2020-02-07,153.46282958984375,34.45500183105469,15.470000267028809,14.611999940872192,-0.8385713882009432
2020-02-10,157.01361083984375,34.584999084472656,15.039999961853027,14.735999917984008,-0.6475659846191651
2020-02-11,160.84323120117188,34.57500076293945,15.180000305175781,14.878999948501587,-0.37915101966572756
2020-02-12,163.5666961669922,34.625,13.739999771118164,14.946499919891357,-0.21199474404518376
2020-02-13,166.1228485107422,34.845001220703125,14.149999618530273,15.032999897003174,-0.12701993351002872
2020-02-14,163.8548583984375,34.93000030517578,13.680000305175781,15.100999927520752,-0.3188385097334584
2020-02-18,157.30174255371094,34.79999923706055,14.829999923706055,15.237499904632568,-0.717016615756398
2020-02-19,160.7874298095703,35.040000915527344,14.380000114440918,15.313999891281128,-0.576210038917094
2020-02-20,156.2756805419922,35.20000076293945,15.5600004196167,15.446499919891357,-0.9540208265319668
2020-02-21,150.5029296875,34.869998931884766,17.079999923706055,15.651499938964843,-1.2152496068530443
2020-02-24,143.5998992919922,34.095001220703125,25.030000686645508,16.174999952316284,-1.3695759816857112
2020-02-25,137.69635009765625,33.310001373291016,27.850000381469727,16.655999994277956,-1.450777851925946
2020-02-26,137.56564331054688,32.939998626708984,27.559999465942383,17.219999933242796,-1.306060326050616
2020-02-27,138.23812866210938,31.8700008392334,39.15999984741211,18.35849995613098,-0.8150696950683487
2020-02-28,143.5812225341797,31.204999923706055,40.11000061035156,19.589499998092652,-0.17006353759868753
2020-03-02,148.27980041503906,32.3849983215332,33.41999816894531,20.318499898910524,-0.3361326604248148
2020-03-03,143.6746368408203,31.889999389648438,36.81999969482422,21.26099991798401,-0.44823616497005814
2020-03-04,150.11997985839844,34.025001525878906,31.989999771118164,22.05799994468689,-0.8905767447829724
2020-03-05,146.36485290527344,33.564998626708984,39.619998931884766,23.281499910354615,-0.9585649055188286
2020-03-06,145.42140197753906,33.095001220703125,41.939998626708984,24.630499839782715,-0.8283823211095727
2020-03-09,135.37046813964844,30.93000030517578,54.459999084472656,26.57999978065491,-0.6223788088704812
2020-03-10,144.38453674316406,33.064998626708984,47.29999923706055,28.192999744415282,-0.8874644442768782
2020-03-11,135.37046813964844,30.905000686645508,53.900001525878906,30.12899980545044,-0.6119914182059194
2020-03-12,117.09938049316406,28.69499969482422,75.47000122070312,33.21549987792969,-0.9545170402608523
2020-03-13,135.79080200195312,31.19499969482422,57.83000183105469,35.39949998855591,-0.7034816918390522
2020-03-16,120.96654510498047,28.719999313354492,82.69000244140625,38.850000095367434,-0.6980530698769323
2020-03-17,139.77008056640625,29.8700008392334,75.91000366210938,41.9040002822876,0.12164565516768445
2020-03-18,123.32051849365234,27.94499969482422,76.44999694824219,45.007500123977664,-0.21360469065679202
2020-03-19,118.96757507324219,27.15999984741211,72.0,47.829500102996825,-0.18780794491947314
2020-03-20,106.50660705566406,26.049999237060547,66.04000091552734,50.27750015258789,-0.5864620889256758
2020-03-23,108.69241333007812,25.485000610351562,61.59000015258789,52.10550012588501,-0.20087380507069985
2020-03-24,127.37452697753906,26.864999771118164,61.66999816894531,53.796500015258786,0.514881811334604
2020-03-25,128.41131591796875,26.829999923706055,63.95000076293945,55.61600008010864,0.6009673121248951
2020-03-26,139.89151000976562,28.920000076293945,61.0,56.708000087738036,0.5247520059607444
2020-03-27,132.8670654296875,28.19499969482422,65.54000091552734,57.97950010299682,0.34127352974675274
2020-03-30,139.66737365722656,29.0,57.08000183105469,59.16250028610229,0.4760454865402991
2020-03-31,134.2682342529297,28.1299991607666,53.540000915527344,59.99850034713745,0.4649681888285189
2020-04-01,122.93748474121094,26.549999237060547,57.060001373291016,61.252000427246095,0.3395897299968552
2020-04-02,123.71285247802734,27.530000686645508,50.90999984741211,61.81650047302246,-0.014099016701305464
2020-04-03,119.50934600830078,27.110000610351562,46.79999923706055,62.059500503540036,-0.12964858705715948
2020-04-06,138.7145538330078,29.03499984741211,45.2400016784668,61.598500633239745,0.39575422395710486
2020-04-07,137.56564331054688,29.204999923706055,46.70000076293945,61.568500709533694,0.2458389804424884
2020-04-08,142.32957458496094,30.1299991607666,43.349998474121094,61.041000556945804,0.1902321819019961
2020-04-09,140.22781372070312,30.2549991607666,41.66999816894531,59.35100040435791,-0.006736304412019807
2020-04-13,142.06797790527344,29.764999389648438,41.16999816894531,58.51800022125244,0.3238389835591742
2020-04-14,151.07273864746094,32.20500183105469,37.7599983215332,56.27150001525879,-0.06861874684325914
2020-04-15,143.12350463867188,31.145000457763672,40.84000015258789,54.51799983978272,-0.17671818874897166
2020-04-16,146.3274688720703,30.934999465942383,40.11000061035156,52.70100002288818,0.1316252553814322
2020-04-17,150.58700561523438,31.094999313354492,38.150001525878906,51.00850009918213,0.3590717673808802
2020-04-20,146.00051879882812,30.690000534057617,43.83000183105469,49.898000144958495,0.21086180084303338
2020-04-21,138.7986297607422,29.520000457763672,45.40999984741211,49.089000129699706,0.20003712520658612
2020-04-22,148.22373962402344,30.059999465942383,41.97999954223633,48.104500198364256,0.6260404954438081
2020-04-23,148.9429931640625,29.815000534057617,41.380001068115234,46.976000213623045,0.7774696900843131
2020-04-24,154.0525665283203,29.899999618530273,35.93000030517578,45.722500228881835,1.0947354308115314
2020-04-27,155.11744689941406,30.260000228881836,33.290000915527344,44.11000022888184,1.018635896803503
2020-04-28,155.31358337402344,30.06999969482422,33.56999969482422,42.93450012207031,1.1111157714718296
2020-04-29,164.2996826171875,31.06999969482422,31.229999542236328,41.81900005340576,1.3156941619571738
2020-04-30,153.2772216796875,30.905000686645508,34.150001525878906,40.673500061035156,0.6236533070065179
2020-05-01,140.36788940429688,29.760000228881836,37.189998626708984,39.9875,0.2086025633117552
2020-05-04,141.9839630126953,29.604999542236328,35.970001220703125,39.44600009918213,0.384521837843199
2020-05-05,145.3747100830078,30.325000762939453,33.61000061035156,38.86450004577637,0.31933637066934834
2020-05-06,153.01568603515625,30.649999618530273,34.119998931884766,38.235499954223634,0.7115596429323373
2020-05-07,153.043701171875,31.045000076293945,31.440000534057617,37.64000005722046,0.5493693435163481
2020-05-08,160.19895935058594,32.88999938964844,27.979999542236328,36.95550012588501,0.27651277435445915
2020-05-11,157.6581573486328,33.20000076293945,27.56999969482422,36.275500202178954,-0.02761991523410379
2020-05-12,154.6597137451172,33.095001220703125,33.040000915527344,36.03950033187866,-0.19089819089291274
2020-05-13,153.25852966308594,32.584999084472656,35.279998779296875,35.76150026321411,-0.07567916257064108
2020-05-14,165.1029815673828,32.494998931884766,32.61000061035156,35.38650026321411,0.779035335941573
2020-05-15,157.1528778076172,33.005001068115234,31.889999389648438,35.07350015640259,0.018536331557582556
2020-05-18,161.7333526611328,33.310001373291016,29.299999237060547,34.34700002670288,0.20788100888131872
2020-05-19,161.9304962158203,33.57500076293945,30.530000686645508,33.60300006866455,0.11137701338226748
2020-05-20,166.99900817871094,34.70500183105469,27.989999771118164,32.90350008010864,-0.008391042465766553
2020-05-21,161.8460235595703,34.18000030517578,29.530000686645508,32.31100006103516,-0.14583047091654636
2020-05-22,162.38099670410156,34.35499954223633,28.15999984741211,31.92250003814697,-0.18162749897675468
2020-05-26,165.79759216308594,34.505001068115234,28.010000228881836,31.658500003814698,-0.00819331950087891
2020-05-27,165.88204956054688,35.29999923706055,27.6200008392334,31.361000061035156,-0.33268869041214616
2020-05-28,163.89218139648438,35.435001373291016,28.59000015258789,31.229000091552734,-0.5260919957263649
2020-05-29,165.15933227539062,35.95500183105469,27.510000228881836,30.89700002670288,-0.654714226630627
2020-06-01,165.15933227539062,36.29499816894531,28.229999542236328,30.449000072479247,-0.7959833736743549
2020-06-02,166.40768432617188,36.040000915527344,26.84000015258789,29.992500019073486,-0.6038897332354313
2020-06-03,174.63002014160156,36.255001068115234,25.65999984741211,29.594999980926513,-0.12584539690503224
2020-06-04,174.85523986816406,35.459999084472656,25.809999465942383,29.179500007629393,0.22002064214112554
2020-06-05,180.66529846191406,36.1150016784668,24.520000457763672,28.8335000038147,0.3487853643419817
2020-06-08,180.09274291992188,35.20000076293945,25.809999465942383,28.725,0.6894611944575401
2020-06-09,179.30430603027344,35.21500015258789,27.56999969482422,28.725,0.6288233066396366
2020-06-10,180.9375,35.220001220703125,27.56999969482422,28.451499938964844,0.7394429176072932
2020-06-11,169.49575805664062,33.900001525878906,40.790000915527344,28.727000045776368,0.4983748865628949
2020-06-12,173.35342407226562,34.150001525878906,36.09000015258789,28.901000022888184,0.6606953110516839
2020-06-15,176.2256317138672,34.400001525878906,34.400001525878906,29.026500129699706,0.7550147749500571
2020-06-16,181.1439971923828,34.75,33.66999816894531,29.245000076293945,0.9489785633167156
2020-06-17,181.98873901367188,34.77000045776367,33.470001220703125,29.392000102996825,0.9989592335429348
2020-06-18,181.84796142578125,34.85499954223633,32.939998626708984,29.639500045776366,0.953927674258162
2020-06-19,181.24725341796875,35.040000915527344,35.119998931884766,29.91899995803833,0.835607746141854
2020-06-22,180.08334350585938,35.1349983215332,31.770000457763672,30.09949998855591,0.7158212358013075
2020-06-23,181.35052490234375,35.09000015258789,31.3700008392334,30.267500019073488,0.8219591512902235
2020-06-24,177.042236328125,34.03499984741211,33.84000015258789,30.57849998474121,0.9630229989438545
2020-06-25,180.5432891845703,34.529998779296875,32.220001220703125,30.760000038146973,0.998938009499009
2020-06-26,177.93394470214844,33.95000076293945,34.72999954223633,31.121000003814697,1.0598720841028686
2020-06-29,179.96133422851562,34.55500030517578,31.780000686645508,31.298500061035156,0.9483923756675997
2020-06-30,182.5425262451172,34.65999984741211,30.43000030517578,31.47800006866455,1.0828784572916794
2020-07-01,181.29415893554688,34.51499938964844,28.6200008392334,31.626000118255615,1.0569835995764296
2020-07-02,184.44790649414062,34.630001068115234,27.68000030517578,31.719500160217287,1.2268226236890056
2020-07-06,191.09336853027344,35.654998779296875,27.940000534057617,31.890500164031984,1.2595001576094593
2020-07-07,190.2485809326172,35.849998474121094,29.43000030517578,32.07150020599365,1.1201833423846124
2020-07-08,191.95689392089844,35.880001068115234,28.079999923706055,32.097000217437746,1.2255983127380317
2020-07-09,191.09336853027344,35.525001525878906,29.260000228881836,32.18150024414062,1.3135142720623383
2020-07-10,189.84498596191406,35.82500076293945,27.290000915527344,31.506500244140625,1.1027201130701858
2020-07-13,187.3201141357422,35.275001525878906,32.189998626708984,31.31150016784668,1.1570186205631314
2020-07-14,188.59664916992188,35.814998626708984,29.520000457763672,31.067500114440918,1.0207352931119478
2020-07-15,184.00677490234375,36.095001220703125,27.760000228881836,30.772000217437743,0.5876721597965072
2020-07-16,184.00677490234375,36.310001373291016,28.0,30.49850015640259,0.4983391735684792
2020-07-17,185.09559631347656,37.11000061035156,25.68000030517578,30.13550024032593,0.24107138186896138
2020-07-20,190.5489501953125,36.935001373291016,24.459999084472656,29.602500247955323,0.6900893037351138
2020-07-21,191.01821899414062,37.5,24.84000015258789,29.256000232696532,0.48771287355082715
2020-07-22,193.29908752441406,37.8650016784668,24.31999969482422,28.903500175476076,0.49344391524632963
2020-07-23,191.40309143066406,37.46500015258789,26.079999923706055,28.515500164031984,0.5288132692784113
2020-07-24,176.6573944091797,37.439998626708984,25.84000015258789,28.19650011062622,-0.4783164747072581
2020-07-27,184.97354125976562,38.21500015258789,24.739999771118164,27.697000122070314,-0.22648043641353693
2020-07-28,180.65589904785156,38.095001220703125,25.440000534057617,27.380000114440918,-0.4745569402990947
2020-07-29,183.152587890625,38.654998779296875,24.100000381469727,27.063500118255615,-0.5349545198193091
2020-07-30,185.7526092529297,38.90999984741211,24.760000228881836,26.870500087738037,-0.4614950595559738
2020-07-31,187.56411743164062,39.2400016784668,24.459999084472656,26.70950002670288,-0.4736094403316895
2020-08-03,194.90415954589844,38.91999816894531,24.280000686645508,26.526500034332276,0.16584782518674437
