Date,NEE,ADI,VIX,AvgVIX,zscore
2020-01-30,57.78910446166992,100.5775146484375,15.489999771118164,13.696000051498412,-0.2973192170925197
2020-01-31,57.41873550415039,98.23245239257812,18.84000015258789,14.014500045776368,-0.31107200990853356
2020-02-03,57.12112808227539,98.4561996459961,17.969999313354492,14.211999988555908,-0.3558550341407331
2020-02-04,56.63517379760742,100.6580581665039,16.049999237060547,14.32199993133545,-0.4583660953391404
2020-02-05,57.0997428894043,104.43519592285156,15.149999618530273,14.389999914169312,-0.454486405635022
2020-02-06,57.44655227661133,103.63858795166016,14.960000038146973,14.465499925613404,-0.39372510803423566
2020-02-07,57.70559310913086,100.48799896240234,15.470000267028809,14.611999940872192,-0.30744875110897607
2020-02-10,58.17660903930664,101.05191040039062,15.039999961853027,14.735999917984008,-0.25126128532212555
2020-02-11,58.264381408691406,104.61420440673828,15.180000305175781,14.878999948501587,-0.2961101819856005
2020-02-12,57.859764099121094,106.34165954589844,13.739999771118164,14.946499919891357,-0.3797694062267394
2020-02-13,58.975154876708984,106.40432739257812,14.149999618530273,15.032999897003174,-0.2263497974750511
2020-02-14,59.62812805175781,105.30341339111328,13.680000305175781,15.100999927520752,-0.11833184258899927
2020-02-18,60.38173294067383,106.1268539428711,14.829999923706055,15.237499904632568,-0.027173576703801067
2020-02-19,58.80387878417969,110.88854217529297,14.380000114440918,15.313999891281128,-0.32181491179370864
2020-02-20,59.30913543701172,111.47927856445312,15.5600004196167,15.446499919891357,-0.2613161544040527
2020-02-21,59.42902374267578,109.87712860107422,17.079999923706055,15.651499938964843,-0.2190817938536707
2020-02-24,58.64759063720703,105.0438461303711,25.030000686645508,16.174999952316284,-0.2499308131283737
2020-02-25,57.87472915649414,102.627197265625,27.850000381469727,16.655999994277956,-0.3182619707865485
2020-02-26,57.69062423706055,102.78829193115234,27.559999465942383,17.219999933242796,-0.3463284167383056
2020-02-27,55.060791015625,96.93885803222656,39.15999984741211,18.35849995613098,-0.6168230864989331
2020-02-28,54.395790100097656,98.13573455810547,40.11000061035156,19.589499998092652,-0.7280417526508602
2020-03-02,57.750885009765625,100.1335220336914,33.41999816894531,20.318499898910524,-0.2955061999696203
2020-03-03,57.06222152709961,96.47087860107422,36.81999969482422,21.26099991798401,-0.33224309504765986
2020-03-04,60.73581314086914,101.2044448852539,31.989999771118164,22.05799994468689,0.10061179534462823
2020-03-05,59.431644439697266,97.9737548828125,39.619998931884766,23.281499910354615,-0.028251612435015748
2020-03-06,58.497642517089844,96.2909164428711,41.939998626708984,24.630499839782715,-0.1306339516036688
2020-03-09,56.22935485839844,87.75071716308594,54.459999084472656,26.57999978065491,-0.30801849952029964
2020-03-10,55.03495788574219,92.18730163574219,47.29999923706055,28.192999744415282,-0.5443693613483714
2020-03-11,51.92091369628906,84.96097564697266,53.900001525878906,30.12899980545044,-0.8598697047228213
2020-03-12,44.954654693603516,81.0013427734375,75.47000122070312,33.21549987792969,-1.7609679012765183
2020-03-13,47.681331634521484,89.80253601074219,57.83000183105469,35.39949998855591,-1.5242969874457681
2020-03-16,43.3362922668457,74.88191223144531,82.69000244140625,38.850000095367434,-1.8871073532865403
2020-03-17,47.72437286376953,85.88787078857422,75.91000366210938,41.9040002822876,-1.4556990218010672
2020-03-18,45.331268310546875,74.0,76.44999694824219,45.007500123977664,-1.5967975728125852
2020-03-19,44.56943893432617,81.28032684326172,72.0,47.829500102996825,-1.8187638769488008
2020-03-20,41.2660026550293,76.56476593017578,66.04000091552734,50.27750015258789,-2.2006600251324837
2020-03-23,39.09455490112305,76.63677215576172,61.59000015258789,52.10550012588501,-2.502442355856096
2020-03-24,44.44676208496094,84.34902954101562,61.66999816894531,53.796500015258786,-1.884850794220649
2020-03-25,45.25164031982422,84.91596984863281,63.95000076293945,55.61600008010864,-1.7824896018395147
2020-03-26,49.73440933227539,83.35012817382812,61.0,56.708000087738036,-1.1368090259928243
2020-03-27,49.917327880859375,79.79545593261719,65.54000091552734,57.97950010299682,-1.0546057751430489
2020-03-30,52.943145751953125,81.86528015136719,57.08000183105469,59.16250028610229,-0.6688102674517193
2020-03-31,51.78318786621094,80.67738342285156,53.540000915527344,59.99850034713745,-0.8103951265257767
2020-04-01,46.96468734741211,75.67386627197266,57.060001373291016,61.252000427246095,-1.3974395568711457
2020-04-02,48.73369598388672,78.92253875732422,50.90999984741211,61.81650047302246,-1.2045082537925251
2020-04-03,47.698543548583984,77.8966293334961,46.79999923706055,62.059500503540036,-1.331406167472824
2020-04-06,50.46826171875,86.21186828613281,45.2400016784668,61.598500633239745,-1.08100051549396
2020-04-07,49.1727180480957,86.6168212890625,46.70000076293945,61.568500709533694,-1.2668441878649064
2020-04-08,50.25089645385742,91.25137329101562,43.349998474121094,61.041000556945804,-1.191731799058228
2020-04-09,52.786048889160156,88.9026107788086,41.66999816894531,59.35100040435791,-0.8031650339540274
2020-04-13,50.83411407470703,89.69454956054688,41.16999816894531,58.51800022125244,-1.0860762145629597
2020-04-14,52.16194152832031,92.709228515625,37.7599983215332,56.27150001525879,-0.9504809070341961
2020-04-15,51.051475524902344,90.39644622802734,40.84000015258789,54.51799983978272,-1.0672143369232674
2020-04-16,51.10743713378906,91.63835144042969,40.11000061035156,52.70100002288818,-1.0793385059978964
