Date,KRE,MS,VIX,AvgVIX,zscore
2015-01-30,28.10173225402832,24.881681442260742,20.969999313354492,19.119499969482423,-2.4527411300585205
2015-02-02,28.902463912963867,25.330596923828125,19.43000030517578,19.201499938964844,-2.287342589740311
2015-02-03,29.520164489746094,25.786863327026367,17.329999923706055,19.071999931335448,-2.2079103865933956
2015-02-04,29.32950782775879,25.58817481994629,18.329999923706055,18.932499885559082,-2.207087595993248
2015-02-05,30.031099319458008,25.705923080444336,16.850000381469727,18.80949993133545,-1.9414722642002942
2015-02-06,30.5039119720459,26.338815689086914,17.290000915527344,18.823499965667725,-2.0048976165177512
2015-02-09,30.107364654541016,26.2210750579834,18.549999237060547,18.873499965667726,-2.132608167129035
2015-02-10,30.229389190673828,26.61111068725586,17.229999542236328,18.754999923706055,-2.2482609955337938
2015-02-11,30.06922721862793,26.765661239624023,16.959999084472656,18.57499990463257,-2.3883556239646335
2015-02-12,30.65643882751465,27.15570068359375,15.34000015258789,18.267999935150147,-2.2937026290558946
2015-02-13,30.763208389282227,27.0673770904541,14.6899995803833,17.88299994468689,-2.2067509176337254
2015-02-17,31.037729263305664,27.17041778564453,15.800000190734863,17.62549991607666,-2.1277696296723128
2015-02-18,30.442914962768555,26.765661239624023,15.449999809265137,17.403499937057497,-2.219414271962218
2015-02-19,30.389530181884766,26.736215591430664,15.289999961853027,17.22549991607666,-2.230653166387955
2015-02-20,30.648813247680664,27.03795051574707,14.300000190734863,17.12049994468689,-2.2455804797884604
2015-02-23,30.56492042541504,26.69207000732422,14.5600004196167,17.015499973297118,-2.132026680743903
2015-02-24,30.732702255249023,27.03795051574707,13.6899995803833,16.9239999294281,-2.207654905351087
2015-02-25,30.67168617248535,26.927555084228516,13.84000015258789,16.754999971389772,-2.1868912562027853
2015-02-26,30.824209213256836,26.537521362304688,13.90999984741211,16.428499937057495,-1.9471184174344327
2015-02-27,30.6640625,26.338815689086914,13.34000015258789,16.157499933242796,-1.9324947958721672
2015-03-02,30.885215759277344,26.66997528076172,13.039999961853027,15.760999965667725,-1.9775470664936035
2015-03-03,30.763208389282227,26.36089324951172,13.859999656677246,15.482499933242797,-1.8973407444853956
2015-03-04,30.55729103088379,25.823673248291016,14.229999542236328,15.327499914169312,-1.7551546579567405
2015-03-05,30.732702255249023,26.140121459960938,14.039999961853027,15.11299991607666,-1.8144435854179481
2015-03-06,30.969093322753906,26.147462844848633,15.199999809265137,15.03049988746643,-1.7107882212820285
2015-03-09,31.23602294921875,26.250499725341797,15.0600004196167,14.918999862670898,-1.635237207218006
2015-03-10,30.61069107055664,25.669116973876953,16.690000534057617,14.825999927520751,-1.6633237711474498
2015-03-11,30.900476455688477,25.72063636779785,16.8700008392334,14.807999992370606,-1.5548773547834995
2015-03-12,31.708829879760742,27.295516967773438,15.420000076293945,14.73100004196167,-1.8791583819555473
2015-03-13,31.533418655395508,26.750932693481445,16.0,14.764000034332275,-1.719955465600955
2015-03-16,31.472423553466797,27.030590057373047,15.609999656677246,14.810000038146972,-1.8700090309144861
2015-03-17,31.64781951904297,26.898117065429688,15.65999984741211,14.803000020980836,-1.7326962731058302
2015-03-18,31.342775344848633,27.030590057373047,13.970000267028809,14.729000043869018,-1.9286219878339441
2015-03-19,31.190265655517578,26.574316024780273,14.069999694824219,14.668000030517579,-1.7977416310417889
