Date,PEP,CVX,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,110.67057800292969,24.829999923706055,23.18100004196167,0.3661597759805342
2022-02-01,150.68084716796875,113.5863037109375,21.959999084472656,23.448999977111818,0.1299207775099141
2022-02-02,153.41751098632812,114.10877227783203,22.09000015258789,23.707999992370606,0.4721054702716421
2022-02-03,153.33004760742188,113.08909606933594,24.350000381469727,23.939000034332274,0.49572282349509716
2022-02-04,150.81201171875,114.50482940673828,23.219999313354492,24.119499969482423,0.11553985416495058
2022-02-07,150.21749877929688,116.75480651855469,22.860000610351562,24.324499988555907,-0.04022037026135037
2022-02-08,150.40106201171875,114.97673797607422,21.440000534057617,24.426500034332275,0.04519529056042259
2022-02-09,150.3311309814453,116.11434936523438,19.959999084472656,24.503999996185303,-0.0032004009320089587
2022-02-10,147.2097930908203,114.63966369628906,23.90999984741211,24.818499946594237,-0.36320896006803244
2022-02-11,147.3934326171875,116.97389221191406,27.360000610351562,25.171000003814697,-0.4194556955507567
2022-02-14,145.74966430664062,115.1705551147461,28.329999923706055,25.62799997329712,-0.5736725552776041
2022-02-15,145.10269165039062,114.32754516601562,25.700000762939453,25.773499965667725,-0.6297809656462865
2022-02-16,145.39996337890625,114.36160278320312,24.290000915527344,25.795499992370605,-0.5918290579823313
2022-02-17,145.79339599609375,113.77404022216797,28.110000610351562,25.92150001525879,-0.5198056076999764
2022-02-18,146.63275146484375,113.61223602294922,27.75,25.866499996185304,-0.40376008242828615
2022-02-22,147.1923065185547,112.74365234375,28.809999465942383,25.811999988555907,-0.30019109886022943
2022-02-23,145.74090576171875,115.42601776123047,31.020000457763672,25.805000019073486,-0.5836262299218745
2022-02-24,143.2053680419922,114.82994079589844,30.31999969482422,25.723000049591064,-0.8968039653671207
2022-02-25,147.2185516357422,119.5389404296875,27.59000015258789,25.57800006866455,-0.530840825389802
2022-02-28,143.1616668701172,122.62152862548828,30.149999618530273,25.70250005722046,-1.1709830747582957
2022-03-01,141.87643432617188,127.49231719970703,33.31999969482422,26.127000045776366,-1.5079412873074511
2022-03-02,143.8436737060547,131.25613403320312,30.739999771118164,26.566000080108644,-1.378691334831343
2022-03-03,143.6896514892578,133.0272979736328,30.479999542236328,26.985500049591064,-1.459981104278977
2022-03-04,145.8722381591797,135.09652709960938,31.979999542236328,27.367000007629393,-1.2440082450175047
2022-03-07,142.96795654296875,137.9832763671875,36.45000076293945,28.028500080108643,-1.725704552645127
2022-03-08,138.93722534179688,145.21282958984375,35.130001068115234,28.642000102996825,-2.5052713990119693
2022-03-09,138.5235595703125,141.5852813720703,32.45000076293945,29.192500114440918,-2.434743357194064
2022-03-10,135.98016357421875,145.45977783203125,30.229999542236328,29.706000137329102,-2.902970744493695
2022-03-11,135.2937469482422,145.52786254882812,30.75,30.048000144958497,-2.9956586011591297
2022-03-14,137.19467163085938,141.96847534179688,31.770000457763672,30.268500137329102,-2.6228454607450225
2022-03-15,139.93173217773438,134.78147888183594,29.829999923706055,30.3435001373291,-2.01501035109705
2022-03-16,140.54779052734375,134.29611206054688,26.670000076293945,30.392000102996825,-1.917206898447511
2022-03-17,141.63905334472656,136.62081909179688,25.670000076293945,30.461000061035158,-1.8536693642838475
2022-03-18,143.26719665527344,137.71926879882812,23.8700008392334,30.249000072479248,-1.6772249560727748
