Date,KO,ADI,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,100.57750701904297,15.489999771118164,13.696000051498412,1.8696641912075496
2020-01-31,48.25005340576172,98.23243713378906,18.84000015258789,14.014500045776368,1.885107549051335
2020-02-03,48.39876174926758,98.45622253417969,17.969999313354492,14.211999988555908,1.9122946042084916
2020-02-04,48.61357116699219,100.65805053710938,16.049999237060547,14.32199993133545,1.861593417110193
2020-02-05,48.62184524536133,104.43518829345703,15.149999618530273,14.389999914169312,1.682798776839686
2020-02-06,48.73751449584961,103.63858795166016,14.960000038146973,14.465499925613404,1.7504350505953994
2020-02-07,48.90275192260742,100.48799896240234,15.470000267028809,14.611999940872192,1.9434488640324772
2020-02-10,49.36542892456055,101.0518798828125,15.039999961853027,14.735999917984008,2.034376517751112
2020-02-11,49.23322296142578,104.61419677734375,15.180000305175781,14.878999948501587,1.830062830148622
2020-02-12,49.084510803222656,106.34165954589844,13.739999771118164,14.946499919891357,1.7094209832811633
2020-02-13,49.249752044677734,106.40428924560547,14.149999618530273,15.032999897003174,1.7485406553133052
2020-02-14,49.53066635131836,105.30339050292969,13.680000305175781,15.100999927520752,1.872871366972681
2020-02-18,49.183650970458984,106.12684631347656,14.829999923706055,15.237499904632568,1.7449797323973721
2020-02-19,49.3819465637207,110.88855743408203,14.380000114440918,15.313999891281128,1.5674652301051097
2020-02-20,49.340641021728516,111.47927856445312,15.5600004196167,15.446499919891357,1.5286444031790845
2020-02-21,49.67937469482422,109.87714385986328,17.079999923706055,15.651499938964843,1.6917194081058855
2020-02-24,48.45659255981445,105.0438461303711,25.030000686645508,16.174999952316284,1.6115252880491593
2020-02-25,47.77085876464844,102.62718963623047,27.850000381469727,16.655999994277956,1.5524789515047417
2020-02-26,47.58909225463867,102.78827667236328,27.559999465942383,17.219999933242796,1.498432285368015
2020-02-27,45.38313293457031,96.93885040283203,39.15999984741211,18.35849995613098,1.2162973697751058
