Date,PEP,ASML,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,648.6134643554688,24.829999923706055,23.18100004196167,-0.9984701340018378
2022-02-01,150.6808624267578,652.7127075195312,21.959999084472656,23.448999977111818,-1.156037543028885
2022-02-02,153.41748046875,657.7603149414062,22.09000015258789,23.707999992370606,-0.8309982901887449
2022-02-03,153.33004760742188,618.6634521484375,24.350000381469727,23.939000034332274,-0.6141776880239589
2022-02-04,150.81198120117188,625.2528686523438,23.219999313354492,24.119499969482423,-0.9788132141072018
2022-02-07,150.21746826171875,622.5903930664062,22.860000610351562,24.324499988555907,-1.0402881704689224
2022-02-08,150.40109252929688,625.8850708007812,21.440000534057617,24.426500034332275,-1.0357277888631318
2022-02-09,150.33111572265625,651.6495971679688,19.959999084472656,24.503999996185303,-1.1951390998139853
2022-02-10,147.2097930908203,629.151123046875,23.90999984741211,24.818499946594237,-1.4681789006186237
2022-02-11,147.39340209960938,601.7201538085938,27.360000610351562,25.171000003814697,-1.2843235942528552
2022-02-14,145.74969482421875,601.4039916992188,28.329999923706055,25.62799997329712,-1.4954000743752285
2022-02-15,145.10267639160156,628.7009887695312,25.700000762939453,25.773499965667725,-1.7385024072702258
2022-02-16,145.39990234375,635.8363647460938,24.290000915527344,25.795499992370605,-1.741638437294371
2022-02-17,145.79339599609375,622.973388671875,28.110000610351562,25.92150001525879,-1.6156055248852375
2022-02-18,146.6327667236328,620.4833374023438,27.75,25.866499996185304,-1.492345217047655
2022-02-22,147.19232177734375,613.2423095703125,28.809999465942383,25.811999988555907,-1.3776075586989802
2022-02-23,145.74090576171875,605.062744140625,31.020000457763672,25.805000019073486,-1.5178889247715015
2022-02-24,143.2053680419922,629.1128540039062,30.31999969482422,25.723000049591064,-1.9866780297914084
2022-02-25,147.2185516357422,638.9589233398438,27.59000015258789,25.57800006866455,-1.524276927261507
2022-02-28,143.1616973876953,638.3746948242188,30.149999618530273,25.70250005722046,-2.046381693716006
2022-03-01,141.87643432617188,607.438232421875,33.31999969482422,26.127000045776366,-2.032344115199928
2022-03-02,143.84365844726562,627.7049560546875,30.739999771118164,26.566000080108644,-1.8957799395147625
2022-03-03,143.68960571289062,604.1624755859375,30.479999542236328,26.985500049591064,-1.7783553724183814
2022-03-04,145.87220764160156,569.2320556640625,31.979999542236328,27.367000007629393,-1.2917934954559178
2022-03-07,142.96800231933594,550.095458984375,36.45000076293945,28.028500080108643,-1.556326454303505
2022-03-08,138.937255859375,548.8501586914062,35.130001068115234,28.642000102996825,-2.0711916599773574
2022-03-09,138.52359008789062,595.1114501953125,32.45000076293945,29.192500114440918,-2.3947306453733197
2022-03-10,135.98019409179688,574.7391967773438,30.229999542236328,29.706000137329102,-2.6053147651762547
2022-03-11,135.29373168945312,561.1194458007812,30.75,30.048000144958497,-2.614760358310826
2022-03-14,137.19468688964844,553.1698608398438,31.770000457763672,30.268500137329102,-2.3221266097923894
2022-03-15,139.9317169189453,571.511474609375,29.829999923706055,30.3435001373291,-2.074610033325778
2022-03-16,140.54776000976562,623.1649169921875,26.670000076293945,30.392000102996825,-2.296228741785543
2022-03-17,141.6390838623047,626.4884033203125,25.670000076293945,30.461000061035158,-2.17425550866304
2022-03-18,143.26719665527344,651.1610107421875,23.8700008392334,30.249000072479248,-2.107329062242077
2022-03-21,143.06478881835938,654.082275390625,23.530000686645508,30.038000106811523,-2.1505952203158367
2022-03-22,144.6313018798828,659.6661987304688,22.940000534057617,29.744500160217285,-1.9802578438484029
2022-03-23,143.8744354248047,637.2733154296875,23.56999969482422,29.37200012207031,-1.9476285205227888
2022-03-24,144.74571228027344,661.3901977539062,21.670000076293945,28.9395001411438,-1.9754976782278253
2022-03-25,145.4233856201172,658.3444213867188,20.809999465942383,28.600500106811523,-1.8699403282919485
2022-03-28,145.85462951660156,665.4992065429688,19.6299991607666,28.07450008392334,-1.855829295067364
2022-03-29,148.01959228515625,679.2049560546875,18.899999618530273,27.353500080108642,-1.6553645802795844
2022-03-30,147.8171844482422,655.6627197265625,19.329999923706055,26.78300008773804,-1.5442052277044336
2022-03-31,147.3067626953125,639.734619140625,20.559999465942383,26.28700008392334,-1.517376810894849
2022-04-01,149.40133666992188,639.5430908203125,19.6299991607666,25.669500064849853,-1.2449336874870085
2022-04-04,149.01405334472656,652.090087890625,18.56999969482422,24.77550001144409,-1.3683182622090724
2022-04-05,149.17250061035156,619.1712036132812,21.030000686645508,24.070499992370607,-1.1556980785845992
2022-04-06,151.71591186523438,601.9786987304688,22.100000381469727,23.55299997329712,-0.7259060280006667
2022-04-07,151.8567352294922,598.904296875,21.549999237060547,23.11899995803833,-0.689723737635493
2022-04-08,152.36715698242188,585.140869140625,21.15999984741211,22.639499950408936,-0.5432897646021139
2022-04-11,151.90072631835938,572.5076293945312,24.3700008392334,22.26949996948242,-0.5299897409005703
2022-04-12,152.5167999267578,568.9254150390625,24.260000228881836,21.99099998474121,-0.4292815161259172
2022-04-13,152.2527618408203,586.8936767578125,21.81999969482422,21.748499965667726,-0.5683365632758617
2022-04-14,151.28468322753906,572.6322631835938,22.700000762939453,21.6,-0.6105175949965878
2022-04-18,149.98216247558594,580.0167846679688,22.170000076293945,21.51499996185303,-0.8223343755872233
2022-04-19,152.16473388671875,591.0983276367188,21.3700008392334,21.40699996948242,-0.6042753503910853
2022-04-20,154.42654418945312,607.1506958007812,20.31999969482422,21.27599992752075,-0.404958760334146
2022-04-21,153.87208557128906,593.8087768554688,22.68000030517578,21.23149995803833,-0.3989262036918316
2022-04-22,151.50466918945312,581.9609375,28.209999084472656,21.558499908447267,-0.6364578915428369
2022-04-25,152.90399169921875,574.4998168945312,27.020000457763672,21.86899995803833,-0.41165468407812894
2022-04-26,152.5167999267578,536.772705078125,33.52000045776367,22.563500022888185,-0.24165711001043164
