Date,KDP,XLU,VIX,AvgVIX,zscore
2022-01-31,33.8814697265625,30.442842483520508,24.829999923706055,23.18100004196167,1.3818915641853013
2022-02-01,34.05109786987305,30.038408279418945,21.959999084472656,23.448999977111818,1.6726352431733211
2022-02-02,34.613555908203125,30.48240852355957,22.09000015258789,23.707999992370606,1.777769802615046
2022-02-03,34.5956916809082,30.346128463745117,24.350000381469727,23.939000034332274,1.8332202296168683
2022-02-04,34.140384674072266,30.10434913635254,23.219999313354492,24.119499969482423,1.691509988374508
2022-02-07,34.43500518798828,30.060386657714844,22.860000610351562,24.324499988555907,1.8796427170797403
2022-02-08,34.684974670410156,30.082366943359375,21.440000534057617,24.426500034332275,2.010738769143027
2022-02-09,34.533203125,30.214248657226562,19.959999084472656,24.503999996185303,1.861262095917246
2022-02-10,34.17608642578125,29.449329376220703,23.90999984741211,24.818499946594237,2.0269262296631934
2022-02-11,33.952884674072266,29.466915130615234,27.360000610351562,25.171000003814697,1.8919626768205704
2022-02-14,34.015380859375,29.21633529663086,28.329999923706055,25.62799997329712,2.0479567934124048
2022-02-15,33.863616943359375,29.080060958862305,25.700000762939453,25.773499965667725,2.027515583166458
2022-02-16,33.85468292236328,29.145999908447266,24.290000915527344,25.795499992370605,1.9907236872965557
2022-02-17,33.85468292236328,29.163583755493164,28.110000610351562,25.92150001525879,1.9822627042323415
2022-02-18,34.35464859008789,29.11083221435547,27.75,25.866499996185304,2.291005808204506
2022-02-22,34.43500518798828,29.080060958862305,28.809999465942383,25.811999988555907,2.351355142338807
2022-02-23,33.979671478271484,28.587697982788086,31.020000457763672,25.805000019073486,2.3302054295382275
2022-02-24,32.72084426879883,28.816295623779297,30.31999969482422,25.723000049591064,1.5067570439064957
2022-02-25,34.19394302368164,29.70870590209961,27.59000015258789,25.57800006866455,1.9122400082988125
2022-02-28,34.52427291870117,29.86256217956543,30.149999618530273,25.70250005722046,2.02542506927645
2022-03-01,34.0689582824707,29.60318946838379,33.31999969482422,26.127000045776366,1.8921760759518857
2022-03-02,34.470706939697266,29.963668823242188,30.739999771118164,26.566000080108644,1.9464156333104825
2022-03-03,34.470706939697266,30.49119758605957,30.479999542236328,26.985500049591064,1.6925797169474128
2022-03-04,34.711753845214844,31.163795471191406,31.979999542236328,27.367000007629393,1.5055551006428065
2022-03-07,34.05109786987305,31.568235397338867,36.45000076293945,28.028500080108643,0.9365141143834075
2022-03-08,33.22079849243164,31.080278396606445,35.130001068115234,28.642000102996825,0.7007290859381026
2022-03-09,33.59577178955078,30.8604679107666,32.45000076293945,29.192500114440918,1.0190169153700182
2022-03-10,33.21187210083008,31.067087173461914,30.229999542236328,29.706000137329102,0.702017314551897
2022-03-11,32.86368942260742,30.961578369140625,30.75,30.048000144958497,0.5554502211114392
2022-03-14,33.06902313232422,30.92640495300293,31.770000457763672,30.268500137329102,0.688749714925072
2022-03-15,33.33686447143555,31.322065353393555,29.829999923706055,30.3435001373291,0.6501676737710756
2022-03-16,33.444000244140625,31.26490592956543,26.670000076293945,30.392000102996825,0.7383917924305934
2022-03-17,33.7475471496582,31.396787643432617,25.670000076293945,30.461000061035158,0.8469710519572217
2022-03-18,33.75647735595703,31.128629684448242,23.8700008392334,30.249000072479248,0.9810643854923765
2022-03-21,33.72968292236328,31.336626052856445,23.530000686645508,30.038000106811523,0.8657948478573363
2022-03-22,33.77433395385742,31.38088607788086,22.940000534057617,29.744500160217285,0.8698042244142232
2022-03-23,32.91725158691406,31.425140380859375,23.56999969482422,29.37200012207031,0.3627506315005962
2022-03-24,33.265438079833984,31.748188018798828,21.670000076293945,28.9395001411438,0.4046447051116025
2022-03-25,33.55112838745117,32.208438873291016,20.809999465942383,28.600500106811523,0.34509914258450924
2022-03-28,33.92610549926758,32.416439056396484,19.6299991607666,28.07450008392334,0.4575354994319921
2022-03-29,34.18501281738281,32.717369079589844,18.899999618530273,27.353500080108642,0.4594723152424791
2022-03-30,34.06003952026367,32.98733139038086,19.329999923706055,26.78300008773804,0.25874227266744687
2022-03-31,34.00439453125,32.95191955566406,20.559999465942383,26.28700008392334,0.24424440331432865
2022-04-01,34.309452056884766,33.41215896606445,19.6299991607666,25.669500064849853,0.1956808969372792
2022-04-04,34.4171257019043,33.15549087524414,18.56999969482422,24.77550001144409,0.38020929873409376
2022-04-05,33.15204620361328,33.36347961425781,21.030000686645508,24.070499992370607,-0.4368660524148624
2022-04-06,33.94159698486328,34.02729034423828,22.100000381469727,23.55299997329712,-0.3087928396559769
2022-04-07,33.74420928955078,33.94321823120117,21.549999237060547,23.11899995803833,-0.38021037724895734
2022-04-08,33.78009033203125,34.058284759521484,21.15999984741211,22.639499950408936,-0.41524209596879985
2022-04-11,33.72626495361328,33.5936164855957,24.3700008392334,22.26949996948242,-0.2221593749188781
2022-04-12,33.76215362548828,33.721946716308594,24.260000228881836,21.99099998474121,-0.26356898852953003
2022-04-13,33.789066314697266,33.65555953979492,21.81999969482422,21.748499965667726,-0.2163718390658856
2022-04-14,33.4122314453125,33.67326736450195,22.700000762939453,21.6,-0.4384671164502631
2022-04-18,32.999515533447266,33.491825103759766,22.170000076293945,21.51499996185303,-0.5850714086647675
2022-04-19,33.6993408203125,33.70867156982422,21.3700008392334,21.40699996948242,-0.2927809997824264
2022-04-20,34.103092193603516,33.98305892944336,20.31999969482422,21.27599992752075,-0.1959806993405054
2022-04-21,33.65447998046875,33.42101287841797,22.68000030517578,21.23149995803833,-0.17979088930404316
2022-04-22,33.196903228759766,32.858985900878906,28.209999084472656,21.558499908447267,-0.16869099197643672
2022-04-25,33.46607971191406,32.63328552246094,27.020000457763672,21.86899995803833,0.09246961141586486
2022-04-26,33.241764068603516,32.3057975769043,33.52000045776367,22.563500022888185,0.12291706870545063
2022-04-27,33.968509674072266,32.150909423828125,31.600000381469727,23.198500061035155,0.6093358172000629
2022-04-28,34.085140228271484,32.509368896484375,29.989999771118164,23.73150005340576,0.5029539847047486
2022-04-29,33.5557975769043,31.5357723236084,33.400001525878906,24.37350015640259,0.671418662607767
2022-05-02,32.77521514892578,31.212705612182617,32.34000015258789,25.00900020599365,0.38446938135898573
2022-05-03,33.36737823486328,31.332197189331055,29.25,25.54300022125244,0.6625864010699606
2022-05-04,33.394290924072266,32.03142166137695,25.420000076293945,25.762500190734862,0.3413870798796728
2022-05-05,33.2507438659668,31.703943252563477,31.200000762939453,26.21750020980835,0.4176062891078874
2022-05-06,33.161014556884766,31.956188201904297,30.190000534057617,26.6495002746582,0.24537632933849726
2022-05-09,33.322513580322266,31.717212677001953,34.75,27.3290002822876,0.45189746460325464
2022-05-10,33.196903228759766,31.332197189331055,32.9900016784668,27.76000032424927,0.5659681185879323
2022-05-11,33.573734283447266,31.557889938354492,32.560001373291016,28.175000381469726,0.6709419183277096
