Date,META,INTC,VIX,AvgVIX,zscore
2015-01-30,75.31893157958984,25.349252700805664,20.969999313354492,19.119499969482423,-1.8299162082761207
2015-02-02,74.4061050415039,25.817270278930664,19.43000030517578,19.201499938964844,-1.9698681128355249
2015-02-03,74.81291198730469,25.855634689331055,17.329999923706055,19.071999931335448,-1.9561065213759634
2015-02-04,75.04109954833984,25.96381378173828,18.329999923706055,18.932499885559082,-1.9654458557733507
2015-02-05,75.0212631225586,26.226533889770508,16.850000381469727,18.80949993133545,-2.0182003452778106
2015-02-06,73.8901596069336,25.73198890686035,17.290000915527344,18.823499965667725,-1.9801123088184813
2015-02-09,73.86038970947266,25.44607925415039,18.549999237060547,18.873499965667726,-1.9253920428364752
2015-02-10,74.60453033447266,26.041093826293945,17.229999542236328,18.754999923706055,-2.003530820672322
2015-02-11,75.91425323486328,25.925168991088867,16.959999084472656,18.57499990463257,-1.9120925083380411
2015-02-12,75.63644409179688,26.373367309570312,15.34000015258789,18.267999935150147,-2.0148732286476316
2015-02-13,75.15025329589844,26.55108070373535,14.6899995803833,17.88299994468689,-2.0753278023290647
2015-02-17,75.01136016845703,26.844728469848633,15.800000190734863,17.62549991607666,-2.1404078793497945
2015-02-18,76.11270141601562,26.481536865234375,15.449999809265137,17.403499937057497,-2.011213805075824
2015-02-19,78.80160522460938,26.43517303466797,15.289999961853027,17.22549991607666,-1.86121014970548
2015-02-20,79.27787780761719,26.5897216796875,14.300000190734863,17.12049994468689,-1.8666794324930691
2015-02-23,78.22611999511719,26.087448120117188,14.5600004196167,17.015499973297118,-1.8229129788635534
2015-02-24,77.83915710449219,26.5897216796875,13.6899995803833,16.9239999294281,-1.9420569436736543
2015-02-25,78.94050598144531,26.234272003173828,13.84000015258789,16.754999971389772,-1.8143864318464566
2015-02-26,79.78389739990234,26.00244903564453,13.90999984741211,16.428499937057495,-1.724566173969924
2015-02-27,78.35509490966797,25.693355560302734,13.34000015258789,16.157499933242796,-1.738580451601951
2015-03-02,79.12903594970703,26.319271087646484,13.039999961853027,15.760999965667725,-1.8212406327547088
2015-03-03,78.98020935058594,26.350173950195312,13.859999656677246,15.482499933242797,-1.8351210450156183
2015-03-04,80.27008819580078,26.36563491821289,14.229999542236328,15.327499914169312,-1.770585081159936
2015-03-05,80.57766723632812,26.064266204833984,14.039999961853027,15.11299991607666,-1.6951473730154147
2015-03-06,79.38701629638672,25.646997451782227,15.199999809265137,15.03049988746643,-1.675390610249836
2015-03-09,78.82144927978516,25.283809661865234,15.0600004196167,14.918999862670898,-1.6335300096575371
2015-03-10,76.94615936279297,24.495616912841797,16.690000534057617,14.825999927520751,-1.5766282332862251
2015-03-11,76.96601104736328,24.982440948486328,16.8700008392334,14.807999992370606,-1.6714171868235472
2015-03-12,78.3154067993164,23.80016326904297,15.420000076293945,14.73100004196167,-1.3679937864405924
2015-03-13,77.44227600097656,23.900615692138672,16.0,14.764000034332275,-1.433512476722531
2015-03-16,77.46212005615234,23.82334327697754,15.609999656677246,14.810000038146972,-1.417262094398248
2015-03-17,78.7420654296875,23.637880325317383,15.65999984741211,14.803000020980836,-1.3136956359562906
2015-03-18,80.28002166748047,23.869699478149414,13.970000267028809,14.729000043869018,-1.2787514836614415
2015-03-19,82.10566711425781,23.75379180908203,14.069999694824219,14.668000030517579,-1.1602863162321713
2015-03-20,83.14749908447266,24.19425392150879,13.020000457763672,14.604000043869018,-1.1924055120672776
2015-03-23,83.77259826660156,24.1092529296875,13.40999984741211,14.54650001525879,-1.142923245531932
2015-03-24,84.64574432373047,23.79243278503418,13.619999885559082,14.543000030517579,-1.0348127865613588
2015-03-25,82.27435302734375,23.09697151184082,15.4399995803833,14.623000001907348,-1.022156528264921
2015-03-26,82.36366271972656,23.243793487548828,15.800000190734863,14.717500019073487,-1.046378627362245
2015-03-27,82.65140533447266,24.72743797302246,15.069999694824219,14.803999996185302,-1.3233516502040499
2015-03-30,82.55217742919922,24.310161590576172,14.510000228881836,14.877500009536742,-1.2464115074359878
2015-03-31,81.57979583740234,24.163341522216797,15.289999961853027,14.949000024795533,-1.2684557211804905
2015-04-01,81.03408813476562,23.807884216308594,15.109999656677246,14.993000030517578,-1.2270763600871546
2015-04-02,80.9249496459961,23.807884216308594,14.670000076293945,15.024500036239624,-1.2327943480465888
2015-04-06,81.798095703125,23.985610961914062,14.739999771118164,15.001500034332276,-1.2220331204856096
2015-04-07,81.67903137207031,24.155616760253906,14.779999732971191,14.9875,-1.2617359860857382
2015-04-08,81.63934326171875,24.19425392150879,13.979999542236328,14.851999950408935,-1.271420870743061
2015-04-09,81.53018188476562,24.140161514282227,13.09000015258789,14.66299991607666,-1.2664922216855574
2015-04-10,81.40120697021484,24.67334747314453,12.579999923706055,14.520999908447266,-1.3782046309324067
2015-04-13,82.36366271972656,24.518800735473633,13.9399995803833,14.417999887466431,-1.297357812697313
2015-04-14,82.86966705322266,24.333343505859375,13.670000076293945,14.320999908447266,-1.2343408297625154
2015-04-15,82.06598663330078,25.36880874633789,12.84000015258789,14.179999923706054,-1.4802737524695215
2015-04-16,81.66909790039062,25.399715423583984,12.600000381469727,14.111499929428101,-1.5071513966222432
2015-04-17,80.15101623535156,25.090620040893555,13.890000343322754,14.102499961853027,-1.5258428168094353
2015-04-20,82.44302368164062,25.291528701782227,13.300000190734863,14.116499948501588,-1.445307799108297
2015-04-21,82.96890258789062,25.059707641601562,13.25,14.10849995613098,-1.3721230446052304
2015-04-22,83.9710464477539,25.268352508544922,12.710000038146973,14.062999963760376,-1.3606894460303982
2015-04-23,81.768310546875,24.997888565063477,12.479999542236328,13.914999961853027,-1.422855714913899
2015-04-24,80.89517974853516,24.78925895690918,12.289999961853027,13.739499950408936,-1.4275330597594955
2015-04-27,81.272216796875,25.113801956176758,13.119999885559082,13.641999959945679,-1.4716640843580084
2015-04-28,80.05180358886719,25.515621185302734,12.40999984741211,13.536999940872192,-1.614700247796089
2015-04-29,79.84343719482422,25.41516876220703,13.390000343322754,13.44199995994568,-1.605843400590113
2015-04-30,78.15665435791016,25.152437210083008,14.550000190734863,13.413999986648559,-1.6424999213301728
2015-05-01,78.37495422363281,25.824718475341797,12.699999809265137,13.315499973297118,-1.7633981541849273
2015-05-04,78.19635009765625,25.832447052001953,12.850000381469727,13.221000003814698,-1.7742769225157038
2015-05-05,76.9560775756836,25.404367446899414,14.3100004196167,13.197500038146973,-1.7549918701862373
2015-05-06,77.49188995361328,25.077476501464844,15.149999618530273,13.25600004196167,-1.662572620680656
2015-05-07,77.8193130493164,25.09304428100586,15.130000114440918,13.358000040054321,-1.6484827013305183
2015-05-08,77.89869689941406,25.528898239135742,12.859999656677246,13.372000026702882,-1.7301194230861205
