Date,SHEL,AMAT,VIX,AvgVIX,zscore
2020-01-30,42.15346908569336,56.85921096801758,15.489999771118164,13.696000051498412,3.036551180811923
2020-01-31,40.8303108215332,54.72639083862305,18.84000015258789,14.014500045776368,2.818723816226559
2020-02-03,40.11782455444336,56.359031677246094,17.969999313354492,14.211999988555908,2.641405862836565
2020-02-04,40.43883514404297,59.46387481689453,16.049999237060547,14.32199993133545,2.638409954615728
2020-02-05,41.456661224365234,60.209407806396484,15.149999618530273,14.389999914169312,2.825290413701042
2020-02-06,40.822486877441406,59.63374328613281,14.960000038146973,14.465499925613404,2.7112501196332217
2020-02-07,40.54844665527344,58.23703384399414,15.470000267028809,14.611999940872192,2.686746696031337
2020-02-10,40.23527145385742,59.37894058227539,15.039999961853027,14.735999917984008,2.599649159975812
2020-02-11,40.705039978027344,60.822837829589844,15.180000305175781,14.878999948501587,2.6621655413733945
2020-02-12,41.221778869628906,61.69107437133789,13.739999771118164,14.946499919891357,2.7464728355229067
2020-02-13,40.6478157043457,63.57850646972656,14.149999618530273,15.032999897003174,2.591279571951606
2020-02-14,40.24922561645508,63.0877685546875,13.680000305175781,15.100999927520752,2.5223856572798833
2020-02-18,40.0260124206543,61.68665313720703,14.829999923706055,15.237499904632568,2.50811305847502
2020-02-19,40.03399658203125,63.81672668457031,14.380000114440918,15.313999891281128,2.4637326823271755
2020-02-20,39.555686950683594,62.860565185546875,15.5600004196167,15.446499919891357,2.38898645523257
2020-02-21,39.196956634521484,60.84409713745117,17.079999923706055,15.651499938964843,2.3609704635509585
2020-02-24,37.69029998779297,57.82414245605469,25.030000686645508,16.174999952316284,2.125697228501506
2020-02-25,36.5902099609375,55.722476959228516,27.850000381469727,16.655999994277956,1.9516808853765493
2020-02-26,36.47062301635742,56.62183380126953,27.559999465942383,17.219999933242796,1.9084228433411852
2020-02-27,35.027748107910156,53.96161651611328,39.15999984741211,18.35849995613098,1.6781046480064017
2020-02-28,35.0994873046875,55.02192306518555,40.11000061035156,19.589499998092652,1.6695264228353657
2020-03-02,35.73723220825195,56.95317840576172,33.41999816894531,20.318499898910524,1.755021555350904
2020-03-03,35.04368591308594,54.94618606567383,36.81999969482422,21.26099991798401,1.6600333236297933
2020-03-04,36.111900329589844,57.29398727416992,31.989999771118164,22.05799994468689,1.8223809025905522
2020-03-05,34.8603401184082,55.978084564208984,39.619998931884766,23.281499910354615,1.6012001392072426
2020-03-06,33.377593994140625,54.70951461791992,41.939998626708984,24.630499839782715,1.3328955954381045
2020-03-09,27.64592933654785,49.294403076171875,54.459999084472656,26.57999978065491,0.3067810638901404
2020-03-10,29.463485717773438,53.175872802734375,47.29999923706055,28.192999744415282,0.5854589984433395
2020-03-11,27.49447250366211,49.69203567504883,53.900001525878906,30.12899980545044,0.2679961687128088
2020-03-12,23.38105583190918,42.70541763305664,75.47000122070312,33.21549987792969,-0.40149628989639646
2020-03-13,23.978939056396484,48.17732238769531,57.83000183105469,35.39949998855591,-0.4003666783266263
2020-03-16,20.184398651123047,38.369544982910156,82.69000244140625,38.850000095367434,-0.9453820611950486
2020-03-17,20.45543670654297,42.46875,75.91000366210938,41.9040002822876,-0.9798042270649662
2020-03-18,17.23486328125,37.091514587402344,76.44999694824219,45.007500123977664,-1.5059839582428176
2020-03-19,19.164020538330078,38.04767990112305,72.0,47.829500102996825,-1.1419152962354073
2020-03-20,19.99308204650879,35.96494674682617,66.04000091552734,50.27750015258789,-0.931636184457295
2020-03-23,21.388132095336914,38.02873992919922,61.59000015258789,52.10550012588501,-0.6979826518169985
2020-03-24,25.597196578979492,42.733821868896484,61.66999816894531,53.796500015258786,0.03982503432489514
2020-03-25,27.374895095825195,42.34566116333008,63.95000076293945,55.61600008010864,0.402704434788716
2020-03-26,27.8452205657959,46.57740783691406,61.0,56.708000087738036,0.40516281249744884
2020-03-27,25.22252655029297,42.64860534667969,65.54000091552734,57.97950010299682,-0.033051043270866234
2020-03-30,26.657434463500977,44.7786750793457,57.08000183105469,59.16250028610229,0.20712037218408827
2020-03-31,27.813343048095703,43.377567291259766,53.540000915527344,59.99850034713745,0.46786683059324163
2020-04-01,28.14815330505371,40.99190139770508,57.060001373291016,61.252000427246095,0.586122316303882
2020-04-02,31.057836532592773,40.93509292602539,50.90999984741211,61.81650047302246,1.1675863577145094
2020-04-03,28.889522552490234,40.02627182006836,46.79999923706055,62.059500503540036,0.754804159716237
2020-04-06,29.758440017700195,43.689979553222656,45.2400016784668,61.598500633239745,0.8490080007041902
2020-04-07,29.702640533447266,45.024810791015625,46.70000076293945,61.568500709533694,0.80907153730745
2020-04-08,30.348344802856445,48.7169303894043,43.349998474121094,61.041000556945804,0.8581498492546816
2020-04-09,30.220802307128906,46.94661331176758,41.66999816894531,59.35100040435791,0.8709238732561234
2020-04-13,29.790325164794922,47.22114944458008,41.16999816894531,58.51800022125244,0.7791545518886621
2020-04-14,29.503341674804688,49.673091888427734,37.7599983215332,56.27150001525879,0.6690060772481286
2020-04-15,27.390836715698242,47.68503189086914,40.84000015258789,54.51799983978272,0.2906458944277564
2020-04-16,25.987815856933594,49.44588851928711,40.11000061035156,52.70100002288818,-0.027143073170443677
2020-04-17,28.283668518066406,50.36418533325195,38.150001525878906,51.00850009918213,0.4108678931699072
2020-04-20,26.6893253326416,47.931182861328125,43.83000183105469,49.898000144958495,0.14544058117386593
2020-04-21,26.250883102416992,45.75377655029297,45.40999984741211,49.089000129699706,0.10500221047234035
