Date,KDP,LOW,VIX,AvgVIX,zscore
2020-01-30,24.535131454467773,106.78424835205078,15.489999771118164,13.696000051498412,0.4864748365538809
2020-01-31,24.423839569091797,103.68024444580078,18.84000015258789,14.014500045776368,0.5785419644078934
2020-02-03,24.552257537841797,104.5186767578125,17.969999313354492,14.211999988555908,0.6206768263003878
2020-02-04,24.54369354248047,106.4542007446289,16.049999237060547,14.32199993133545,0.5101584649516148
2020-02-05,24.56081771850586,108.933837890625,15.149999618530273,14.389999914169312,0.3877108649213452
2020-02-06,24.44952392578125,108.38082122802734,14.960000038146973,14.465499925613404,0.3418045723222499
2020-02-07,24.458086013793945,108.35406494140625,15.470000267028809,14.611999940872192,0.34908445469989335
2020-02-10,24.577938079833984,108.11325073242188,15.039999961853027,14.735999917984008,0.4437558541084377
2020-02-11,24.54369354248047,109.73660278320312,15.180000305175781,14.878999948501587,0.3326272080912739
2020-02-12,24.51801109313965,111.52046203613281,13.739999771118164,14.946499919891357,0.21865015360419324
2020-02-13,24.466650009155273,111.28857421875,14.149999618530273,15.032999897003174,0.19620329454654847
2020-02-14,24.714908599853516,111.86834716796875,13.680000305175781,15.100999927520752,0.3339669287602747
2020-02-18,24.714908599853516,109.91498565673828,14.829999923706055,15.237499904632568,0.43961599920199046
2020-02-19,24.69779396057129,110.10230255126953,14.380000114440918,15.313999891281128,0.4178258207945376
2020-02-20,25.08302116394043,112.89408111572266,15.5600004196167,15.446499919891357,0.5292584926385429
2020-02-21,25.254230499267578,111.7702407836914,17.079999923706055,15.651499938964843,0.706675136519302
2020-02-24,24.946048736572266,109.62955474853516,25.030000686645508,16.174999952316284,0.6125132564932597
2020-02-25,24.757715225219727,105.71387481689453,27.850000381469727,16.655999994277956,0.6959974739909639
2020-02-26,24.595060348510742,101.05792999267578,27.559999465942383,17.219999933242796,0.8370125379255767
2020-02-27,24.17557716369629,95.99164581298828,39.15999984741211,18.35849995613098,0.8252620752230325
2020-02-28,23.86739158630371,95.05509948730469,40.11000061035156,19.589499998092652,0.6659707675784726
2020-03-02,24.192705154418945,99.0421142578125,33.41999816894531,20.318499898910524,0.6719432209048177
2020-03-03,23.58488655090332,96.830078125,36.81999969482422,21.26099991798401,0.3775188775390399
2020-03-04,23.773225784301758,101.04899597167969,31.989999771118164,22.05799994468689,0.2776377005403462
2020-03-05,23.114051818847656,95.90243530273438,39.619998931884766,23.281499910354615,0.10694459658566985
