Date,BAC,ADI,VIX,AvgVIX,zscore
2022-01-31,41.44382095336914,152.28564453125,24.829999923706055,23.18100004196167,2.6588787801955314
2022-02-01,42.16239547729492,153.58587646484375,21.959999084472656,23.448999977111818,2.8849286683255495
2022-02-02,42.11748504638672,156.8736572265625,22.09000015258789,23.707999992370606,2.964966441058521
2022-02-03,41.70430374145508,150.47462463378906,24.350000381469727,23.939000034332274,2.6770293016875906
2022-02-04,43.366004943847656,149.55514526367188,23.219999313354492,24.119499969482423,3.0900288047583055
2022-02-07,43.57259750366211,149.3601531982422,22.860000610351562,24.324499988555907,3.1391204121991327
2022-02-08,44.35404968261719,151.50552368164062,21.440000534057617,24.426500034332275,3.405392243934184
2022-02-09,44.264225006103516,156.22354125976562,19.959999084472656,24.503999996185303,3.513547905289861
2022-02-10,44.0576286315918,150.14955139160156,23.90999984741211,24.818499946594237,3.2892354781589477
2022-02-11,43.04264831542969,142.93324279785156,27.360000610351562,25.171000003814697,2.8195766497979884
2022-02-14,42.593536376953125,143.0075225830078,28.329999923706055,25.62799997329712,2.7030845110432926
2022-02-15,42.92588424682617,150.49319458007812,25.700000762939453,25.773499965667725,3.000053010299867
2022-02-16,42.82707595825195,156.34423828125,24.290000915527344,25.795499992370605,3.1375053431010085
2022-02-17,41.380950927734375,148.99789428710938,28.110000610351562,25.92150001525879,2.550387165244602
2022-02-18,41.28215026855469,148.93289184570312,27.75,25.866499996185304,2.522486354534734
2022-02-22,40.92285919189453,149.4158935546875,28.809999465942383,25.811999988555907,2.4411313618877113
2022-02-23,40.22224807739258,145.33868408203125,31.020000457763672,25.805000019073486,2.1422066177693697
2022-02-24,39.1623420715332,149.12779235839844,30.31999969482422,25.723000049591064,1.9682916389498533
2022-02-25,40.43781280517578,151.30230712890625,27.59000015258789,25.57800006866455,2.3658019608653045
2022-02-28,39.70126724243164,149.59437561035156,30.149999618530273,25.70250005722046,2.123612290979197
2022-03-01,38.14735412597656,146.47726440429688,33.31999969482422,26.127000045776366,1.6262456525849236
2022-03-02,38.76712417602539,149.15577697753906,30.739999771118164,26.566000080108644,1.8647338919517573
2022-03-03,38.3519287109375,148.65179443359375,30.479999542236328,26.985500049591064,1.7410333130427738
2022-03-04,36.9619026184082,146.38392639160156,31.979999542236328,27.367000007629393,1.310670430305509
2022-03-07,34.60609436035156,136.51925659179688,36.45000076293945,28.028500080108643,0.4130024385918373
2022-03-08,34.831748962402344,138.60977172851562,35.130001068115234,28.642000102996825,0.5310071116672024
2022-03-09,37.04314041137695,143.3694610595703,32.45000076293945,29.192500114440918,1.2478625451324903
2022-03-10,36.709171295166016,140.51364135742188,30.229999542236328,29.706000137329102,1.0798717040276145
2022-03-11,36.40229034423828,137.75115966796875,30.75,30.048000144958497,0.9216411268643252
2022-03-14,37.18755340576172,135.91262817382812,31.770000457763672,30.268500137329102,1.0775678712094106
2022-03-15,37.45834732055664,140.84962463378906,29.829999923706055,30.3435001373291,1.287049552579948
2022-03-16,38.63173294067383,147.98915100097656,26.670000076293945,30.392000102996825,1.7963822584679898
2022-03-17,38.83934020996094,149.30508422851562,25.670000076293945,30.461000061035158,1.8879725433177015
