Date,PEP,GILD,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,58.771060943603516,24.829999923706055,23.18100004196167,-0.12885919273833174
2022-02-01,150.6808624267578,58.59135055541992,21.959999084472656,23.448999977111818,-0.2727641562413121
2022-02-02,153.41748046875,56.32368850708008,22.09000015258789,23.707999992370606,0.3759155719664874
2022-02-03,153.33004760742188,55.95573043823242,24.350000381469727,23.939000034332274,0.39803466555851985
2022-02-04,150.81198120117188,54.680702209472656,23.219999313354492,24.119499969482423,0.12818300124898258
2022-02-07,150.21746826171875,54.56089782714844,22.860000610351562,24.324499988555907,0.046840970607243404
2022-02-08,150.40109252929688,54.50956344604492,21.440000534057617,24.426500034332275,0.08055838189907334
2022-02-09,150.33111572265625,54.2357292175293,19.959999084472656,24.503999996185303,0.09625146084897543
2022-02-10,147.2097930908203,52.87512969970703,23.90999984741211,24.818499946594237,-0.25964017943868356
2022-02-11,147.39340209960938,53.114715576171875,27.360000610351562,25.171000003814697,-0.2542265464647144
2022-02-14,145.74969482421875,52.29322814941406,28.329999923706055,25.62799997329712,-0.4314277964281164
2022-02-15,145.10267639160156,52.48149108886719,25.700000762939453,25.773499965667725,-0.5509525128851509
2022-02-16,145.39990234375,52.969261169433594,24.290000915527344,25.795499992370605,-0.5519102431989209
2022-02-17,145.79339599609375,52.447261810302734,28.110000610351562,25.92150001525879,-0.4395765753057431
2022-02-18,146.6327667236328,52.24188995361328,27.75,25.866499996185304,-0.288298694899284
2022-02-22,147.19232177734375,52.18199157714844,28.809999465942383,25.811999988555907,-0.19494306520017235
2022-02-23,145.74090576171875,52.49860763549805,31.020000457763672,25.805000019073486,-0.45278241689194193
2022-02-24,143.2053680419922,51.8653678894043,30.31999969482422,25.723000049591064,-0.7878016960007038
2022-02-25,147.2185516357422,52.30179214477539,27.59000015258789,25.57800006866455,-0.2024945258552964
2022-02-28,143.1616973876953,51.68567657470703,30.149999618530273,25.70250005722046,-0.7771521078539314
2022-03-01,141.87643432617188,51.56586837768555,33.31999969482422,26.127000045776366,-0.966544575785543
2022-03-02,143.84365844726562,52.404483795166016,30.739999771118164,26.566000080108644,-0.7404033502515803
2022-03-03,143.68960571289062,52.80666732788086,30.479999542236328,26.985500049591064,-0.8036264370610902
2022-03-04,145.87220764160156,52.93502426147461,31.979999542236328,27.367000007629393,-0.47469909106758634
2022-03-07,142.96800231933594,51.56586837768555,36.45000076293945,28.028500080108643,-0.7957957039313711
2022-03-08,138.937255859375,50.94975662231445,35.130001068115234,28.642000102996825,-1.3663697379453046
2022-03-09,138.52359008789062,50.4876594543457,32.45000076293945,29.192500114440918,-1.3861236635062004
2022-03-10,135.98019409179688,49.563472747802734,30.229999542236328,29.706000137329102,-1.694068186830198
2022-03-11,135.29373168945312,49.63194274902344,30.75,30.048000144958497,-1.8081092064207447
2022-03-14,137.19468688964844,50.39457321166992,31.770000457763672,30.268500137329102,-1.584942126907998
2022-03-15,139.9317169189453,50.54190444946289,29.829999923706055,30.3435001373291,-1.1711340521914408
2022-03-16,140.54776000976562,50.238582611083984,26.670000076293945,30.392000102996825,-1.0452614692669888
2022-03-17,141.6390838623047,51.304534912109375,25.670000076293945,30.461000061035158,-0.9782490775644718
2022-03-18,143.26719665527344,51.49519348144531,23.8700008392334,30.249000072479248,-0.7421187180217248
2022-03-21,143.06478881835938,51.703189849853516,23.530000686645508,30.038000106811523,-0.7940147934217157
2022-03-22,144.6313018798828,51.980506896972656,22.940000534057617,29.744500160217285,-0.5759505274774359
