Date,BP,AMD,VIX,AvgVIX,zscore
2020-01-30,26.357297897338867,48.779998779296875,15.489999771118164,13.696000051498412,1.208527654906334
2020-01-31,25.716697692871094,47.0,18.84000015258789,14.014500045776368,1.1150523351655337
2020-02-03,25.076093673706055,48.02000045776367,17.969999313354492,14.211999988555908,0.9674126893967636
2020-02-04,25.980052947998047,49.45000076293945,16.049999237060547,14.32199993133545,1.1202430094728422
2020-02-05,26.81283950805664,49.84000015258789,15.149999618530273,14.389999914169312,1.278980279513438
2020-02-06,26.250530242919922,49.31999969482422,14.960000038146973,14.465499925613404,1.1767636374742292
2020-02-07,25.88752555847168,49.72999954223633,15.470000267028809,14.611999940872192,1.0963518447928733
2020-02-10,25.7593994140625,52.2599983215332,15.039999961853027,14.735999917984008,1.0218284157448125
2020-02-11,26.015634536743164,53.79999923706055,15.180000305175781,14.878999948501587,1.0432005821985912
2020-02-12,26.45694351196289,53.88999938964844,13.739999771118164,14.946499919891357,1.1295752288801924
2020-02-13,26.1962890625,54.529998779296875,14.149999618530273,15.032999897003174,1.065150439800161
2020-02-14,26.06595802307129,55.310001373291016,13.680000305175781,15.100999927520752,1.0240389252198543
2020-02-18,26.13112449645996,56.88999938964844,14.829999923706055,15.237499904632568,1.006486939480271
2020-02-19,26.246976852416992,58.900001525878906,14.380000114440918,15.313999891281128,0.9907372838312268
2020-02-20,26.051475524902344,57.27000045776367,15.5600004196167,15.446499919891357,0.9832327349059388
2020-02-21,25.602563858032227,53.279998779296875,17.079999923706055,15.651499938964843,0.9707822256706733
2020-02-24,24.661293029785156,49.119998931884766,25.030000686645508,16.174999952316284,0.8633114341564563
2020-02-25,23.843114852905273,47.56999969482422,27.850000381469727,16.655999994277956,0.729930196176411
2020-02-26,23.66209602355957,47.4900016784668,27.559999465942383,17.219999933242796,0.6953338809994773
2020-02-27,22.82943344116211,44.0099983215332,39.15999984741211,18.35849995613098,0.5963948205455855
2020-02-28,22.65566635131836,45.47999954223633,40.11000061035156,19.589499998092652,0.5332630561944763
2020-03-02,23.33626937866211,47.459999084472656,33.41999816894531,20.318499898910524,0.6308568486779481
2020-03-03,23.111814498901367,46.75,36.81999969482422,21.26099991798401,0.5997745365503495
2020-03-04,23.995161056518555,50.11000061035156,31.989999771118164,22.05799994468689,0.7111549535505796
2020-03-05,23.604171752929688,48.11000061035156,39.619998931884766,23.281499910354615,0.671774869642504
2020-03-06,22.626697540283203,48.59000015258789,41.939998626708984,24.630499839782715,0.46731861633506533
2020-03-09,18.30409812927246,43.27000045776367,54.459999084472656,26.57999978065491,-0.29285871200940194
2020-03-10,19.397415161132812,45.380001068115234,47.29999923706055,28.192999744415282,-0.11537357869898991
2020-03-11,17.855180740356445,45.70000076293945,53.900001525878906,30.12899980545044,-0.42949975137650914
2020-03-12,15.617856979370117,39.0099983215332,75.47000122070312,33.21549987792969,-0.7468111296366899
2020-03-13,16.05228614807129,43.900001525878906,57.83000183105469,35.39949998855591,-0.7546620744218484
2020-03-16,13.641183853149414,38.709999084472656,82.69000244140625,38.850000095367434,-1.135687802509362
2020-03-17,13.641183853149414,41.880001068115234,75.91000366210938,41.9040002822876,-1.1970087500884008
2020-03-18,11.66451644897461,39.119998931884766,76.44999694824219,45.007500123977664,-1.5382976512896407
2020-03-19,12.308924674987793,39.81999969482422,72.0,47.829500102996825,-1.4231703607009212
2020-03-20,12.59130859375,39.61000061035156,66.04000091552734,50.27750015258789,-1.362724859260871
2020-03-23,13.170550346374512,41.63999938964844,61.59000015258789,52.10550012588501,-1.2863369401929425
2020-03-24,16.016082763671875,46.220001220703125,61.66999816894531,53.796500015258786,-0.806769147998344
2020-03-25,17.587282180786133,44.630001068115234,63.95000076293945,55.61600008010864,-0.4622925092187434
2020-03-26,17.68140983581543,47.5,61.0,56.708000087738036,-0.4990158037125657
2020-03-27,16.182619094848633,46.58000183105469,65.54000091552734,57.97950010299682,-0.7804809435577147
2020-03-30,17.319377899169922,47.86000061035156,57.08000183105469,59.16250028610229,-0.5782661770217946
