Date,KO,AMD,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,48.779998779296875,15.489999771118164,13.696000051498412,0.6514961385499796
2020-01-31,48.25005340576172,47.0,18.84000015258789,14.014500045776368,0.6201784298097689
2020-02-03,48.39876174926758,48.02000045776367,17.969999313354492,14.211999988555908,0.625885703812168
2020-02-04,48.61357116699219,49.45000076293945,16.049999237060547,14.32199993133545,0.6350080213082862
2020-02-05,48.62184524536133,49.84000015258789,15.149999618530273,14.389999914169312,0.628581412812043
2020-02-06,48.73751449584961,49.31999969482422,14.960000038146973,14.465499925613404,0.6596005732177642
2020-02-07,48.90275192260742,49.72999954223633,15.470000267028809,14.611999940872192,0.6805816732857818
2020-02-10,49.36542892456055,52.2599983215332,15.039999961853027,14.735999917984008,0.7113623992351162
2020-02-11,49.23322296142578,53.79999923706055,15.180000305175781,14.878999948501587,0.6567705975368359
2020-02-12,49.084510803222656,53.88999938964844,13.739999771118164,14.946499919891357,0.6285987626526126
2020-02-13,49.249752044677734,54.529998779296875,14.149999618530273,15.032999897003174,0.6449258716097113
2020-02-14,49.53066635131836,55.310001373291016,13.680000305175781,15.100999927520752,0.6789158455675826
2020-02-18,49.183650970458984,56.88999938964844,14.829999923706055,15.237499904632568,0.5854523259667909
2020-02-19,49.3819465637207,58.900001525878906,14.380000114440918,15.313999891281128,0.579910628103049
2020-02-20,49.340641021728516,57.27000045776367,15.5600004196167,15.446499919891357,0.6055791733828637
2020-02-21,49.67937469482422,53.279998779296875,17.079999923706055,15.651499938964843,0.74634823667342
2020-02-24,48.45659255981445,49.119998931884766,25.030000686645508,16.174999952316284,0.6138713309677944
2020-02-25,47.77085876464844,47.56999969482422,27.850000381469727,16.655999994277956,0.5237340183884335
2020-02-26,47.58909225463867,47.4900016784668,27.559999465942383,17.219999933242796,0.49314563000824857
2020-02-27,45.38313293457031,44.0099983215332,39.15999984741211,18.35849995613098,0.1726971226685295
2020-02-28,44.19340515136719,45.47999954223633,40.11000061035156,19.589499998092652,-0.06786125613888887
2020-03-02,46.20106887817383,47.459999084472656,33.41999816894531,20.318499898910524,0.24780774427067764
2020-03-03,46.31674575805664,46.75,36.81999969482422,21.26099991798401,0.28267339612518355
2020-03-04,48.6796760559082,50.11000061035156,31.989999771118164,22.05799994468689,0.6333643099657297
2020-03-05,46.878562927246094,48.11000061035156,39.619998931884766,23.281499910354615,0.3546989535059284
2020-03-06,45.655784606933594,48.59000015258789,41.939998626708984,24.630499839782715,0.1283197010686366
2020-03-09,42.846702575683594,43.27000045776367,54.459999084472656,26.57999978065491,-0.26175930797581304
2020-03-10,44.3338623046875,45.380001068115234,47.29999923706055,28.192999744415282,-0.04094978949102562
2020-03-11,43.13587951660156,45.70000076293945,53.900001525878906,30.12899980545044,-0.2596974673940755
2020-03-12,38.963565826416016,39.0099983215332,75.47000122070312,33.21549987792969,-0.8636029441807264
2020-03-13,40.3970947265625,43.900001525878906,57.83000183105469,35.39949998855591,-0.7085572415427067
2020-03-16,37.721736907958984,38.709999084472656,82.69000244140625,38.850000095367434,-1.0775723893959146
2020-03-17,39.32194519042969,41.880001068115234,75.91000366210938,41.9040002822876,-0.8581837135874157
2020-03-18,37.38002395629883,39.119998931884766,76.44999694824219,45.007500123977664,-1.1464182680251684
2020-03-19,34.863014221191406,39.81999969482422,72.0,47.829500102996825,-1.6065758348610857
2020-03-20,31.920957565307617,39.61000061035156,66.04000091552734,50.27750015258789,-2.123631510563332
2020-03-23,31.304208755493164,41.63999938964844,61.59000015258789,52.10550012588501,-2.273996321979803
2020-03-24,32.87941360473633,46.220001220703125,61.66999816894531,53.796500015258786,-2.087573212693843
2020-03-25,34.67966842651367,44.630001068115234,63.95000076293945,55.61600008010864,-1.7364065114928717
2020-03-26,36.91328811645508,47.5,61.0,56.708000087738036,-1.398711738523973
