Date,KO,CL,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,74.4527816772461,24.829999923706055,23.18100004196167,-2.5245956868484782
2022-02-01,53.37824249267578,73.97419738769531,21.959999084472656,23.448999977111818,-2.599052424692616
2022-02-02,53.92470932006836,74.76883697509766,22.09000015258789,23.707999992370606,-2.550201088502547
2022-02-03,54.3037223815918,74.70563507080078,24.350000381469727,23.939000034332274,-2.2722927819352376
2022-02-04,53.73080062866211,73.25179290771484,23.219999313354492,24.119499969482423,-2.0769430769291857
2022-02-07,54.29491424560547,73.25179290771484,22.860000610351562,24.324499988555907,-1.7006767469481274
2022-02-08,54.64748001098633,73.0711898803711,21.440000534057617,24.426500034332275,-1.3937751619202672
2022-02-09,53.80132293701172,73.02605438232422,19.959999084472656,24.503999996185303,-1.9402371556322306
2022-02-10,54.10100173950195,71.98758697509766,23.90999984741211,24.818499946594237,-1.3278529336883953
2022-02-11,53.14026641845703,71.8160171508789,27.360000610351562,25.171000003814697,-1.9005172476199852
2022-02-14,53.4840087890625,71.57221221923828,28.329999923706055,25.62799997329712,-1.5743960238062058
2022-02-15,53.68674087524414,70.95816040039062,25.700000762939453,25.773499965667725,-1.1952608676502994
2022-02-16,53.67793273925781,70.74143981933594,24.290000915527344,25.795499992370605,-1.115050793499355
2022-02-17,54.75324249267578,71.4728775024414,28.110000610351562,25.92150001525879,-0.6883539545027085
2022-02-18,55.12343978881836,71.8340835571289,27.75,25.866499996185304,-0.5849079409374299
2022-02-22,54.89427947998047,71.20198059082031,28.809999465942383,25.811999988555907,-0.48667673653700944
2022-02-23,54.28609085083008,71.01234436035156,31.020000457763672,25.805000019073486,-0.8170145277517725
2022-02-24,53.334171295166016,68.2491455078125,30.31999969482422,25.723000049591064,-0.35435908132328603
2022-02-25,55.39667510986328,70.56083679199219,27.59000015258789,25.57800006866455,0.10309675672820375
2022-02-28,54.8590202331543,69.48625183105469,30.149999618530273,25.70250005722046,0.17132214659511108
2022-03-01,54.62103271484375,68.6645278930664,33.31999969482422,26.127000045776366,0.3389862723078087
2022-03-02,55.02648162841797,69.260498046875,30.739999771118164,26.566000080108644,0.37269293768416356
2022-03-03,55.06174087524414,69.89261627197266,30.479999542236328,26.985500049591064,0.1451227882310706
2022-03-04,55.149871826171875,69.85649108886719,31.979999542236328,27.367000007629393,0.21825607427982682
2022-03-07,53.836570739746094,69.24244689941406,36.45000076293945,28.028500080108643,-0.4138127724720198
2022-03-08,51.70356369018555,67.60801696777344,35.130001068115234,28.642000102996825,-1.1873144391913337
2022-03-09,51.967994689941406,68.21302032470703,32.45000076293945,29.192500114440918,-1.2512555027334564
2022-03-10,51.01607131958008,66.67791748046875,30.229999542236328,29.706000137329102,-1.2764234485090582
2022-03-11,51.05131149291992,66.61468505859375,30.75,30.048000144958497,-1.2278010886969901
2022-03-14,51.992767333984375,66.78627014160156,31.770000457763672,30.268500137329102,-0.6680023360298883
2022-03-15,52.95197296142578,68.16787719726562,29.829999923706055,30.3435001373291,-0.5770059257921432
2022-03-16,52.80986785888672,67.8608627319336,26.670000076293945,30.392000102996825,-0.5498392471303115
2022-03-17,53.369407653808594,67.84278869628906,25.670000076293945,30.461000061035158,-0.16944435940772754
2022-03-18,53.37828826904297,65.19699096679688,23.8700008392334,30.249000072479248,0.8874353954651178
2022-03-21,53.80460739135742,66.95787048339844,23.530000686645508,30.038000106811523,0.4723405584284827
2022-03-22,54.000003814697266,67.2739028930664,22.940000534057617,29.744500160217285,0.4771373488732577
2022-03-23,53.644737243652344,66.48827362060547,23.56999969482422,29.37200012207031,0.5522383951089868
2022-03-24,54.15985870361328,66.50634002685547,21.670000076293945,28.9395001411438,0.8886504479810642
2022-03-25,54.64835739135742,67.5267333984375,20.809999465942383,28.600500106811523,0.809163489037871
2022-03-28,54.9947395324707,68.07756805419922,19.6299991607666,28.07450008392334,0.8214009462317946
2022-03-29,55.20790481567383,68.80899810791016,18.899999618530273,27.353500080108642,0.6730465607648897
2022-03-30,55.25230407714844,68.95347595214844,19.329999923706055,26.78300008773804,0.645271985092925
