Date,MS,KDP,VIX,AvgVIX,zscore
2020-01-30,44.35104751586914,24.535131454467773,15.489999771118164,13.696000051498412,0.2090543119159045
2020-01-31,43.06549835205078,24.423839569091797,18.84000015258789,14.014500045776368,0.10962493444144968
2020-02-03,43.3456916809082,24.552257537841797,17.969999313354492,14.211999988555908,0.04702316880542315
2020-02-04,44.5158576965332,24.54369354248047,16.049999237060547,14.32199993133545,0.2264177032051073
2020-02-05,45.31520462036133,24.56081771850586,15.149999618530273,14.389999914169312,0.33037545744392477
2020-02-06,45.331668853759766,24.44952392578125,14.960000038146973,14.465499925613404,0.42284576090363346
2020-02-07,45.348167419433594,24.458086013793945,15.470000267028809,14.611999940872192,0.4183501430713352
2020-02-10,45.611854553222656,24.577938079833984,15.039999961853027,14.735999917984008,0.3602459571352049
2020-02-11,45.96620559692383,24.54369354248047,15.180000305175781,14.878999948501587,0.44017822348584246
2020-02-12,46.29583740234375,24.51801109313965,13.739999771118164,14.946499919891357,0.5095399576916311
2020-02-13,46.08982467651367,24.466650009155273,14.149999618530273,15.032999897003174,0.5207309932867402
2020-02-14,46.01565170288086,24.714908599853516,13.680000305175781,15.100999927520752,0.30894207099900706
2020-02-18,45.751956939697266,24.714908599853516,14.829999923706055,15.237499904632568,0.2700772374247669
2020-02-19,46.40296936035156,24.69779396057129,14.380000114440918,15.313999891281128,0.3798739743341448
2020-02-20,44.293365478515625,25.08302116394043,15.5600004196167,15.446499919891357,-0.24272459161487916
2020-02-21,43.197357177734375,25.254230499267578,17.079999923706055,15.651499938964843,-0.5427796981578069
2020-02-24,40.93943405151367,24.946048736572266,25.030000686645508,16.174999952316284,-0.6262267266590019
2020-02-25,39.57971954345703,24.757715225219727,27.850000381469727,16.655999994277956,-0.6742554704900251
2020-02-26,38.92871856689453,24.595060348510742,27.559999465942383,17.219999933242796,-0.6386056223789203
2020-02-27,37.42067337036133,24.17557716369629,39.15999984741211,18.35849995613098,-0.5214814939870158
2020-02-28,37.1075439453125,23.86739158630371,40.11000061035156,19.589499998092652,-0.3182906823237064
2020-03-02,38.30242156982422,24.192705154418945,33.41999816894531,20.318499898910524,-0.40538205754019085
2020-03-03,36.58838653564453,23.58488655090332,36.81999969482422,21.26099991798401,-0.16624262777600193
2020-03-04,37.28059768676758,23.773225784301758,31.989999771118164,22.05799994468689,-0.2165989536304505
