Date,XLU,TXN,VIX,AvgVIX,zscore
2020-01-30,28.520551681518555,104.39791870117188,15.489999771118164,13.696000051498412,3.003152494017197
2020-01-31,28.392955780029297,101.23458862304688,18.84000015258789,14.014500045776368,3.0601235756609886
2020-02-03,28.483510971069336,103.54208374023438,17.969999313354492,14.211999988555908,3.0165425886554185
2020-02-04,28.199491500854492,106.11801147460938,16.049999237060547,14.32199993133545,2.658655374305997
2020-02-05,28.314748764038086,111.1273193359375,15.149999618530273,14.389999914169312,2.4987411917676243
2020-02-06,28.322973251342773,111.19446563720703,14.960000038146973,14.465499925613404,2.5019612202766695
2020-02-07,28.232425689697266,107.98918151855469,15.470000267028809,14.611999940872192,2.5907959703695056
2020-02-10,28.33944320678711,108.78629302978516,15.039999961853027,14.735999917984008,2.6365557406722497
2020-02-11,28.44234275817871,109.66731262207031,15.180000305175781,14.878999948501587,2.674779969479646
2020-02-12,28.462928771972656,111.11052703857422,13.739999771118164,14.946499919891357,2.6185736980381757
2020-02-13,28.77985954284668,111.43775939941406,14.149999618530273,15.032999897003174,2.8565718987354147
2020-02-14,28.973323822021484,110.93431091308594,13.680000305175781,15.100999927520752,3.037293923685265
2020-02-18,29.216175079345703,110.12042999267578,14.829999923706055,15.237499904632568,3.2733183808505695
2020-02-19,28.899232864379883,111.70626831054688,14.380000114440918,15.313999891281128,2.9388942078208116
2020-02-20,29.002138137817383,110.31340026855469,15.5600004196167,15.446499919891357,3.0917246155014255
2020-02-21,28.948627471923828,107.83812713623047,17.079999923706055,15.651499938964843,3.1735076059552485
2020-02-24,28.61111068725586,101.89747619628906,25.030000686645508,16.174999952316284,3.2018896519238713
2020-02-25,28.010149002075195,99.32988739013672,27.850000381469727,16.655999994277956,2.8487307870926966
2020-02-26,27.726139068603516,99.67394256591797,27.559999465942383,17.219999933242796,2.6033352984129055
2020-02-27,26.47895622253418,94.92473602294922,39.15999984741211,18.35849995613098,1.8412223863482515
2020-02-28,25.593997955322266,95.772216796875,40.11000061035156,19.589499998092652,1.087902805183672
2020-03-02,27.10049057006836,99.82494354248047,33.41999816894531,20.318499898910524,2.0933392023751116
2020-03-03,26.7670841217041,95.49532318115234,36.81999969482422,21.26099991798401,2.0438275087241893
2020-03-04,28.28592872619629,99.89207458496094,31.989999771118164,22.05799994468689,3.041843870574972
2020-03-05,27.84962272644043,96.25886535644531,39.619998931884766,23.281499910354615,2.8746070716108028
2020-03-06,27.62323570251465,94.94992065429688,41.939998626708984,24.630499839782715,2.7587913473173127
2020-03-09,26.120859146118164,88.1366195678711,54.459999084472656,26.57999978065491,1.8957901702142324
2020-03-10,26.36370849609375,94.0772705078125,47.29999923706055,28.192999744415282,1.7913916784110433
2020-03-11,25.038320541381836,89.36166381835938,53.900001525878906,30.12899980545044,0.9647879088966236
2020-03-12,22.511024475097656,81.83514404296875,75.47000122070312,33.21549987792969,-0.685261865116724
2020-03-13,23.737621307373047,88.9756851196289,57.83000183105469,35.39949998855591,-0.06019998140501905
2020-03-16,21.041568756103516,78.45365905761719,82.69000244140625,38.850000095367434,-1.6947881137567693
2020-03-17,23.733505249023438,89.0679931640625,75.91000366210938,41.9040002822876,-0.06815734079325848
2020-03-18,22.700366973876953,83.90764617919922,76.44999694824219,45.007500123977664,-0.6376748105818986
2020-03-19,21.37909507751465,85.22502899169922,72.0,47.829500102996825,-1.7650298796995838
2020-03-20,19.683252334594727,81.89388275146484,66.04000091552734,50.27750015258789,-2.958878332035453
2020-03-23,18.678842544555664,82.59870910644531,61.59000015258789,52.10550012588501,-3.800925952876746
2020-03-24,20.686830520629883,88.40512084960938,61.66999816894531,53.796500015258786,-2.4811806585589324
2020-03-25,21.214805603027344,83.20284271240234,63.95000076293945,55.61600008010864,-1.7950356209410827
2020-03-26,23.023242950439453,90.41890716552734,61.0,56.708000087738036,-0.7065713487974474
2020-03-27,23.14797019958496,84.32720947265625,65.54000091552734,57.97950010299682,-0.2994020884567487
2020-03-30,24.00437355041504,85.60259246826172,57.08000183105469,59.16250028610229,0.32399821094796694
2020-03-31,23.03571891784668,83.84891510009766,53.540000915527344,59.99850034713745,-0.3654325425449352
2020-04-01,21.651334762573242,81.29814147949219,57.060001373291016,61.252000427246095,-1.348514670580381
2020-04-02,22.32897186279297,85.60259246826172,50.90999984741211,61.81650047302246,-1.0213227228251651
