Date,INTC,XOM,VIX,AvgVIX,zscore
2020-01-30,58.63264083862305,48.384185791015625,15.489999771118164,13.696000051498412,1.6591507064635171
2020-01-31,56.39213180541992,46.390262603759766,18.84000015258789,14.014500045776368,1.2488321868339067
2020-02-03,56.82435989379883,45.352237701416016,17.969999313354492,14.211999988555908,1.26543236893951
2020-02-04,57.74173355102539,44.784671783447266,16.049999237060547,14.32199993133545,1.372582313058412
2020-02-05,59.40006637573242,46.84579849243164,15.149999618530273,14.389999914169312,1.7020196250178201
2020-02-06,59.470977783203125,46.21103286743164,14.960000038146973,14.465499925613404,1.6843200750974074
2020-02-07,58.522491455078125,45.90485382080078,15.470000267028809,14.611999940872192,1.5342705119385458
2020-02-10,58.85047149658203,45.42005157470703,15.039999961853027,14.735999917984008,1.560184098594465
2020-02-11,59.754642486572266,45.85183334350586,15.180000305175781,14.878999948501587,1.709374887122393
2020-02-12,59.79896545410156,46.41238784790039,13.739999771118164,14.946499919891357,1.7404056256296128
2020-02-13,59.78123474121094,46.15483093261719,14.149999618530273,15.032999897003174,1.7265273397074614
2020-02-14,59.630531311035156,45.942726135253906,13.680000305175781,15.100999927520752,1.6954989022027303
2020-02-18,58.628868103027344,45.35944747924805,14.829999923706055,15.237499904632568,1.5256073256874119
2020-02-19,59.48871612548828,45.70790481567383,14.380000114440918,15.313999891281128,1.6647515519552514
2020-02-20,58.01722717285156,45.344303131103516,15.5600004196167,15.446499919891357,1.4368621554588032
2020-02-21,57.03327178955078,44.791316986083984,17.079999923706055,15.651499938964843,1.2708525768088041
2020-02-24,54.746273040771484,42.69301986694336,25.030000686645508,16.174999952316284,0.8492499098752491
2020-02-25,52.94681930541992,41.056819915771484,27.850000381469727,16.655999994277956,0.5181748610661097
2020-02-26,52.87590026855469,40.1553840637207,27.559999465942383,17.219999933242796,0.46832534240569235
2020-02-27,49.48971939086914,37.73894119262695,39.15999984741211,18.35849995613098,-0.12555399945428647
2020-02-28,49.21491622924805,38.966094970703125,40.11000061035156,19.589499998092652,-0.11116808502260903
2020-03-02,51.57283020019531,40.81440734863281,33.41999816894531,20.318499898910524,0.3096546950932656
2020-03-03,49.61381530761719,38.860050201416016,36.81999969482422,21.26099991798401,-0.058387553080634695
2020-03-04,52.01605987548828,39.70844650268555,31.989999771118164,22.05799994468689,0.3248519629832163
2020-03-05,50.491390228271484,37.9586181640625,39.619998931884766,23.281499910354615,0.02835082777220806
2020-03-06,49.4365234375,36.12544631958008,41.939998626708984,24.630499839782715,-0.20416109529104517
2020-03-09,45.075260162353516,31.70918083190918,54.459999084472656,26.57999978065491,-1.0263907841280044
2020-03-10,47.84981155395508,32.88332748413086,47.29999923706055,28.192999744415282,-0.5752137836171486
2020-03-11,45.793270111083984,31.800090789794922,53.900001525878906,30.12899980545044,-0.9189964865483452
2020-03-12,40.368289947509766,28.164072036743164,75.47000122070312,33.21549987792969,-1.8600985144317046
2020-03-13,48.24869918823242,28.87611961364746,57.83000183105469,35.39949998855591,-0.6939720656794096
2020-03-16,39.54389572143555,26.12637710571289,82.69000244140625,38.850000095367434,-2.0684143086489857
2020-03-17,44.39270782470703,27.883790969848633,75.91000366210938,41.9040002822876,-1.2928869902812288
2020-03-18,42.203208923339844,25.08859634399414,76.44999694824219,45.007500123977664,-1.731092329789767
2020-03-19,40.72286605834961,26.08092498779297,72.0,47.829500102996825,-1.9006354248771176
2020-03-20,40.62535858154297,24.800739288330078,66.04000091552734,50.27750015258789,-1.9709677323133403
2020-03-23,43.94947814941406,23.823558807373047,61.59000015258789,52.10550012588501,-1.5352457699263518
2020-03-24,46.449241638183594,26.845998764038086,61.66999816894531,53.796500015258786,-1.0423686711213176
2020-03-25,45.438697814941406,28.247390747070312,63.95000076293945,55.61600008010864,-1.1262715926707139
2020-03-26,49.23265075683594,29.406373977661133,61.0,56.708000087738036,-0.5289625703983353
2020-03-27,46.42264175415039,27.989837646484375,65.54000091552734,57.97950010299682,-0.9959037010384122
2020-03-30,49.188323974609375,28.406465530395508,57.08000183105469,59.16250028610229,-0.579312591724772
2020-03-31,47.97390365600586,28.76250457763672,53.540000915527344,59.99850034713745,-0.738539696786048
2020-04-01,45.9882926940918,28.42919921875,57.060001373291016,61.252000427246095,-1.039133004103384
2020-04-02,48.177791595458984,30.603240966796875,50.90999984741211,61.81650047302246,-0.628240238190878
2020-04-03,47.98277282714844,29.701799392700195,46.79999923706055,62.059500503540036,-0.6959609718882821
2020-04-06,51.79445266723633,30.656253814697266,45.2400016784668,61.598500633239745,-0.10509248054697769
2020-04-07,51.767852783203125,31.23953628540039,46.70000076293945,61.568500709533694,-0.08327561046885833
2020-04-08,52.28199005126953,33.21663284301758,43.349998474121094,61.041000556945804,0.07769711903427319
2020-04-09,50.65093994140625,32.67122268676758,41.66999816894531,59.35100040435791,-0.18116411771004226
2020-04-13,52.033782958984375,32.39094543457031,41.16999816894531,58.51800022125244,0.005647978019097645
2020-04-14,53.77119827270508,32.14097595214844,37.7599983215332,56.27150001525879,0.2448528608373582
2020-04-15,52.18447494506836,30.663843154907227,40.84000015258789,54.51799983978272,-0.04859367105946501
2020-04-16,53.886444091796875,29.656352996826172,40.11000061035156,52.70100002288818,0.1521980203455865
2020-04-17,53.505271911621094,32.73939895629883,38.150001525878906,51.00850009918213,0.23287129805153362
2020-04-20,52.45927810668945,31.194091796875,43.83000183105469,49.898000144958495,0.014294761372884806
