Date,PEP,KBE,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,48.793296813964844,24.829999923706055,23.18100004196167,0.34361819708044933
2022-02-01,150.68084716796875,49.5380973815918,21.959999084472656,23.448999977111818,0.2892509368540634
2022-02-02,153.41751098632812,49.413963317871094,22.09000015258789,23.707999992370606,0.6754475390413414
2022-02-03,153.33004760742188,49.1036376953125,24.350000381469727,23.939000034332274,0.6220266179325037
2022-02-04,150.81201171875,49.9814338684082,23.219999313354492,24.119499969482423,0.36648256812108954
2022-02-07,150.21749877929688,50.27403259277344,22.860000610351562,24.324499988555907,0.31730332676556033
2022-02-08,150.40106201171875,51.5597038269043,21.440000534057617,24.426500034332275,0.5123333590925262
2022-02-09,150.3311309814453,51.213897705078125,19.959999084472656,24.503999996185303,0.4568532281439292
2022-02-10,147.2097930908203,51.11636734008789,23.90999984741211,24.818499946594237,-0.014880501880961643
2022-02-11,147.3934326171875,50.79716491699219,27.360000610351562,25.171000003814697,-0.029596481953625086
2022-02-14,145.74966430664062,50.35383605957031,28.329999923706055,25.62799997329712,-0.3292524748553204
2022-02-15,145.10269165039062,51.604034423828125,25.700000762939453,25.773499965667725,-0.2609873939987676
2022-02-16,145.39996337890625,51.73703384399414,24.290000915527344,25.795499992370605,-0.19989113618251356
2022-02-17,145.79339599609375,50.11442947387695,28.110000610351562,25.92150001525879,-0.354112294541266
2022-02-18,146.63275146484375,50.11442947387695,27.75,25.866499996185304,-0.23068675094453786
2022-02-22,147.1923065185547,49.73316192626953,28.809999465942383,25.811999988555907,-0.19823702549151295
2022-02-23,145.74090576171875,48.91742706298828,31.020000457763672,25.805000019073486,-0.5182792758596418
2022-02-24,143.2053680419922,48.110565185546875,30.31999969482422,25.723000049591064,-0.9965819985582339
2022-02-25,147.2185516357422,50.16763687133789,27.59000015258789,25.57800006866455,-0.1375917920293327
2022-02-28,143.1616668701172,50.20309829711914,30.149999618530273,25.70250005722046,-0.7295137723331122
2022-03-01,141.87643432617188,47.684967041015625,33.31999969482422,26.127000045776366,-1.2476247868654964
2022-03-02,143.8436737060547,49.679969787597656,30.739999771118164,26.566000080108644,-0.6975990064299514
2022-03-03,143.6896514892578,49.34303283691406,30.479999542236328,26.985500049591064,-0.7642853762190835
2022-03-04,145.8722381591797,47.534236907958984,31.979999542236328,27.367000007629393,-0.6797502731724464
2022-03-07,142.96795654296875,45.530364990234375,36.45000076293945,28.028500080108643,-1.3687254430949154
2022-03-08,138.93722534179688,45.77863311767578,35.130001068115234,28.642000102996825,-1.9289877257358754
2022-03-09,138.5235595703125,47.3746337890625,32.45000076293945,29.192500114440918,-1.7812189197386374
2022-03-10,135.98016357421875,47.2061653137207,30.229999542236328,29.706000137329102,-2.1772390714442875
2022-03-11,135.2937469482422,47.15297317504883,30.75,30.048000144958497,-2.2851274845950496
2022-03-14,137.19467163085938,47.3746337890625,31.770000457763672,30.268500137329102,-1.9766292344535707
2022-03-15,139.93173217773438,47.516502380371094,29.829999923706055,30.3435001373291,-1.555607706631556
2022-03-16,140.54779052734375,48.9795036315918,26.670000076293945,30.392000102996825,-1.2738030717643978
2022-03-17,141.63905334472656,48.46523666381836,25.670000076293945,30.461000061035158,-1.1805498271402202
2022-03-18,143.26719665527344,48.40316390991211,23.8700008392334,30.249000072479248,-0.9492475267762256
2022-03-21,143.0647430419922,48.13101577758789,23.530000686645508,30.038000106811523,-1.0145877281709728
2022-03-22,144.63131713867188,48.960845947265625,22.940000534057617,29.744500160217285,-0.6757672097479102
2022-03-23,143.87442016601562,47.45286178588867,23.56999969482422,29.37200012207031,-0.984161155766354
2022-03-24,144.7457275390625,47.87224197387695,21.670000076293945,28.9395001411438,-0.8012240941202008
2022-03-25,145.4233856201172,48.630706787109375,20.809999465942383,28.600500106811523,-0.6024443615774974
2022-03-28,145.8546142578125,48.24700927734375,19.6299991607666,28.07450008392334,-0.5891823754666784
2022-03-29,148.01962280273438,49.0322380065918,18.899999618530273,27.353500080108642,-0.1681926829035602
2022-03-30,147.81716918945312,47.68486404418945,19.329999923706055,26.78300008773804,-0.37406506394590927
2022-03-31,147.30674743652344,46.712242126464844,20.559999465942383,26.28700008392334,-0.5762433949386074
2022-04-01,149.40133666992188,46.29286193847656,19.6299991607666,25.669500064849853,-0.32305129018119977
2022-04-04,149.0140838623047,46.06086349487305,18.56999969482422,24.77550001144409,-0.41031827321608244
2022-04-05,149.1724853515625,45.480865478515625,21.030000686645508,24.070499992370607,-0.4628314799225878
2022-04-06,151.7158966064453,44.704559326171875,22.100000381469727,23.55299997329712,-0.19029127208187152
2022-04-07,151.85670471191406,44.15132522583008,21.549999237060547,23.11899995803833,-0.24189350280406777
2022-04-08,152.36717224121094,44.18701171875,21.15999984741211,22.639499950408936,-0.16216604311775837
2022-04-11,151.90072631835938,44.311927795410156,24.3700008392334,22.26949996948242,-0.21442943329768954
2022-04-12,152.5167694091797,43.85685729980469,24.260000228881836,21.99099998474121,-0.18331931145817687
2022-04-13,152.25277709960938,44.47256088256836,21.81999969482422,21.748499965667726,-0.14166630081206677
2022-04-14,151.28466796875,44.05316925048828,22.700000762939453,21.6,-0.3388393631579904
2022-04-18,149.98216247558594,44.22270584106445,22.170000076293945,21.51499996185303,-0.5082117336983907
2022-04-19,152.1647491455078,45.57008743286133,21.3700008392334,21.40699996948242,-0.01116374829865364
2022-04-20,154.4265594482422,45.92701721191406,20.31999969482422,21.27599992752075,0.36808171123927796
2022-04-21,153.8720703125,45.12393569946289,22.68000030517578,21.23149995803833,0.18158231648019368
2022-04-22,151.5046844482422,43.990699768066406,28.209999084472656,21.558499908447267,-0.3146511505778169
2022-04-25,152.90402221679688,44.062095642089844,27.020000457763672,21.86899995803833,-0.0995498777386688
2022-04-26,152.5167694091797,42.75040054321289,33.52000045776367,22.563500022888185,-0.32793337795466465
2022-04-27,153.8809051513672,42.741477966308594,31.600000381469727,23.198500061035155,-0.12850612647634144
2022-04-28,156.2130889892578,43.35716247558594,29.989999771118164,23.73150005340576,0.2949069033364131
2022-04-29,151.11746215820312,41.991947174072266,33.400001525878906,24.37350015640259,-0.6328286824314117
2022-05-02,147.64117431640625,42.58086395263672,32.34000015258789,25.00900020599365,-1.0670383469974536
2022-05-03,147.8436279296875,43.2768669128418,29.25,25.54300022125244,-0.9463002550852028
2022-05-04,153.00961303710938,44.44578170776367,25.420000076293945,25.762500190734862,-0.033875131531262544
2022-05-05,149.95578002929688,43.09839630126953,31.200000762939453,26.21750020980835,-0.6590386476584894
2022-05-06,149.97337341308594,42.625484466552734,30.190000534057617,26.6495002746582,-0.7182612245236686
2022-05-09,151.10867309570312,41.902713775634766,34.75,27.3290002822876,-0.645783915258176
2022-05-10,150.92384338378906,41.3494873046875,32.9900016784668,27.76000032424927,-0.7452695388314889
2022-05-11,150.19337463378906,40.59993362426758,32.560001373291016,28.175000381469726,-0.9506502882458463
2022-05-12,149.96453857421875,40.59993362426758,31.770000457763672,28.6725004196167,-0.9843001733047493
2022-05-13,152.88641357421875,41.11748123168945,28.8700008392334,28.981000423431396,-0.48700074505453717
2022-05-16,154.4265594482422,40.72486877441406,27.469999313354492,29.246000385284425,-0.3118398813429235
2022-05-17,153.5376739501953,42.30425262451172,26.100000381469727,29.48250036239624,-0.23612300712445772
2022-05-18,144.02407836914062,41.295936584472656,30.959999084472656,30.01450033187866,-1.766865277150538
2022-05-19,141.86788940429688,40.97471618652344,29.350000381469727,30.34800033569336,-2.125912108569874
2022-05-20,142.7567901611328,40.97471618652344,29.43000030517578,30.409000396728516,-1.9952010294136169
2022-05-23,145.740234375,42.00978469848633,28.479999542236328,30.48200035095215,-1.421207910363025
2022-05-24,147.6939697265625,41.69747543334961,29.450000762939453,30.278500366210938,-1.1747339014136216
2022-05-25,148.70606994628906,42.30425262451172,28.3700008392334,30.117000389099122,-0.9466007163057112
2022-05-26,149.70932006835938,43.30363082885742,27.5,29.992500400543214,-0.6684559081850496
2022-05-27,151.1702880859375,43.96393585205078,25.719999313354492,29.608500289916993,-0.36732151500906685
2022-05-31,147.6324005126953,43.90147399902344,26.190000534057617,29.301000308990478,-0.895724583223891
2022-06-01,146.5234832763672,43.32147216796875,25.690000534057617,29.12300033569336,-1.134594973420035
2022-06-02,147.71096801757812,44.15132522583008,24.719999313354492,29.088000297546387,-0.8515157953344826
2022-06-03,146.08926391601562,43.55348205566406,24.790000915527344,28.76750030517578,-1.1681223346106855
2022-06-06,146.70069885253906,43.74086380004883,25.06999969482422,28.51150026321411,-1.0537212270955152
2022-06-07,147.60462951660156,44.142391204833984,24.020000457763672,27.975000286102294,-0.8683203372096513
2022-06-08,146.8690643310547,43.41071319580078,23.959999084472656,27.523500156402587,-1.0721141543110837
2022-06-09,144.25482177734375,42.107948303222656,26.09000015258789,27.200000095367432,-1.626804865054341
2022-06-10,144.02439880371094,40.65348434448242,27.75,26.999000072479248,-1.850786763439751
2022-06-13,141.56077575683594,39.31501770019531,34.02000045776367,27.256500053405762,-2.3879954012115103
2022-06-14,138.35275268554688,39.48455810546875,32.689998626708984,27.517500019073488,-2.8375698234241695
2022-06-15,139.8326873779297,39.73440170288086,29.6200008392334,27.69350004196167,-2.5872937894618353
2022-06-16,139.15919494628906,38.20856475830078,32.95000076293945,27.79300012588501,-2.8857566259525673
