Date,BAC,LOW,VIX,AvgVIX,zscore
2022-01-31,41.44382095336914,218.27606201171875,24.829999923706055,23.18100004196167,0.6529491141880972
2022-02-01,42.162391662597656,219.19569396972656,21.959999084472656,23.448999977111818,0.7438530861987479
2022-02-02,42.11748123168945,219.8946075439453,22.09000015258789,23.707999992370606,0.7052610579679814
2022-02-03,41.704307556152344,215.2964324951172,24.350000381469727,23.939000034332274,0.8300512105376568
2022-02-04,43.366004943847656,210.66146850585938,23.219999313354492,24.119499969482423,1.3344650762025754
2022-02-07,43.57260513305664,208.7761993408203,22.860000610351562,24.324499988555907,1.4541339006809648
2022-02-08,44.35404968261719,213.13526916503906,21.440000534057617,24.426500034332275,1.4068428954366223
2022-02-09,44.26422882080078,214.88258361816406,19.959999084472656,24.503999996185303,1.314452637269957
2022-02-10,44.05763626098633,209.12564086914062,23.90999984741211,24.818499946594237,1.5272980416919772
2022-02-11,43.04263687133789,207.7554168701172,27.360000610351562,25.171000003814697,1.4019926760228145
2022-02-14,42.59354019165039,207.7921600341797,28.329999923706055,25.62799997329712,1.3185725653903768
2022-02-15,42.92588424682617,209.76939392089844,25.700000762939453,25.773499965667725,1.293093194043009
2022-02-16,42.82707977294922,208.76698303222656,24.290000915527344,25.795499992370605,1.3187068228300833
2022-02-17,41.38093185424805,205.8057403564453,28.110000610351562,25.92150001525879,1.1840752996733097
2022-02-18,41.282127380371094,204.79415893554688,27.75,25.866499996185304,1.2100879385557732
2022-02-22,40.9228515625,197.34506225585938,28.809999465942383,25.811999988555907,1.4687414748983245
2022-02-23,40.22224044799805,197.80491638183594,31.020000457763672,25.805000019073486,1.3210881057204527
2022-02-24,39.16234588623047,196.25985717773438,30.31999969482422,25.723000049591064,1.1952103239194165
2022-02-25,40.43781661987305,201.56622314453125,27.59000015258789,25.57800006866455,1.1967096089955094
2022-02-28,39.70127868652344,203.29513549804688,30.149999618530273,25.70250005722046,0.9872939370048888
2022-03-01,38.147361755371094,203.6997833251953,33.31999969482422,26.127000045776366,0.6865778765423209
2022-03-02,38.76712417602539,210.2843780517578,30.739999771118164,26.566000080108644,0.5129971813205397
2022-03-03,38.351924896240234,208.09564208984375,30.479999542236328,26.985500049591064,0.5325835295812406
2022-03-04,36.96189498901367,206.06326293945312,31.979999542236328,27.367000007629393,0.36776133211373563
2022-03-07,34.60609436035156,204.39869689941406,36.45000076293945,28.028500080108643,0.010980754034409814
2022-03-08,34.831748962402344,205.318359375,35.130001068115234,28.642000102996825,0.012078474257453854
2022-03-09,37.04314041137695,207.72781372070312,32.45000076293945,29.192500114440918,0.31013887662643685
2022-03-10,36.709171295166016,206.15521240234375,30.229999542236328,29.706000137329102,0.31771660276886193
2022-03-11,36.40228271484375,204.3527374267578,30.75,30.048000144958497,0.3402299701213123
2022-03-14,37.18754959106445,208.3071746826172,31.770000457763672,30.268500137329102,0.31124093230614847
2022-03-15,37.458335876464844,212.5007781982422,29.829999923706055,30.3435001373291,0.17811198351987828
2022-03-16,38.631736755371094,212.73980712890625,26.670000076293945,30.392000102996825,0.3814950163429201
2022-03-17,38.83933639526367,215.5447540283203,25.670000076293945,30.461000061035158,0.29727450903701524
2022-03-18,38.72199249267578,216.7310333251953,23.8700008392334,30.249000072479248,0.2242804522311659
2022-03-21,38.6678352355957,209.30958557128906,23.530000686645508,30.038000106811523,0.537320866958874
2022-03-22,39.87733459472656,210.10968017578125,22.940000534057617,29.744500160217285,0.7228687392811926
2022-03-23,38.893489837646484,203.16639709472656,23.56999969482422,29.37200012207031,0.8457234155724149
2022-03-24,38.87544631958008,201.55702209472656,21.670000076293945,28.9395001411438,0.9124599953620484
2022-03-25,39.471160888671875,195.8092803955078,20.809999465942383,28.600500106811523,1.2710782740240614
2022-03-28,39.308692932128906,196.60015869140625,19.6299991607666,28.07450008392334,1.2070669243635381
2022-03-29,39.20941162109375,201.92486572265625,18.899999618530273,27.353500080108642,0.9573006126207845
2022-03-30,38.812255859375,192.65493774414062,19.329999923706055,26.78300008773804,1.2882771777277755
2022-03-31,37.20560836791992,185.94158935546875,20.559999465942383,26.28700008392334,1.2876582791326405
2022-04-01,36.91677474975586,186.13470458984375,19.6299991607666,25.669500064849853,1.226632917889431
2022-04-04,36.85359573364258,187.71649169921875,18.56999969482422,24.77550001144409,1.1462986657179113
2022-04-05,36.230796813964844,188.4061737060547,21.030000686645508,24.070499992370607,1.0028221682412999
2022-04-06,35.83364486694336,184.52532958984375,22.100000381469727,23.55299997329712,1.0993202495180328
2022-04-07,35.5538330078125,186.35543823242188,21.549999237060547,23.11899995803833,0.968712946694359
2022-04-08,35.806556701660156,190.05238342285156,21.15999984741211,22.639499950408936,0.8539027712540633
2022-04-11,35.73435592651367,188.14871215820312,24.3700008392334,22.26949996948242,0.9235772193410272
2022-04-12,35.35525131225586,187.73489379882812,24.260000228881836,21.99099998474121,0.872512983148272
2022-04-13,35.039344787597656,188.99476623535156,21.81999969482422,21.748499965667726,0.7601405459245711
2022-04-14,33.91107940673828,185.104736328125,22.700000762939453,21.6,0.723835946118648
2022-04-18,35.06642150878906,182.56651306152344,22.170000076293945,21.51499996185303,1.044767145905335
2022-04-19,35.716312408447266,187.478759765625,21.3700008392334,21.40699996948242,0.9494394970795709
2022-04-20,35.79753875732422,192.74195861816406,20.31999969482422,21.27599992752075,0.7352362955137633
2022-04-21,35.12057876586914,189.3162841796875,22.68000030517578,21.23149995803833,0.7609513990460413
2022-04-22,33.90205764770508,181.9570770263672,28.209999084472656,21.558499908447267,0.8591469999682865
2022-04-25,33.65835189819336,185.0226287841797,27.020000457763672,21.86899995803833,0.6813637466585973
2022-04-26,32.90016174316406,184.29318237304688,33.52000045776367,22.563500022888185,0.5749664864574101
2022-04-27,32.71963119506836,184.27471923828125,31.600000381469727,23.198500061035155,0.5428787601839711
2022-04-28,33.225093841552734,189.41781616210938,29.989999771118164,23.73150005340576,0.411193271100199
2022-04-29,32.20514678955078,182.5757293701172,33.400001525878906,24.37350015640259,0.5230673776801913
2022-05-02,32.62034606933594,187.57110595703125,32.34000015258789,25.00900020599365,0.3813640229212775
2022-05-03,33.5139274597168,186.1768341064453,29.25,25.54300022125244,0.6048313969081777
2022-05-04,34.858821868896484,191.2830352783203,25.420000076293945,25.762500190734862,0.6276882326866426
2022-05-05,33.884002685546875,180.90444946289062,31.200000762939453,26.21750020980835,0.9016573993212932
2022-05-06,33.802772521972656,177.5526580810547,30.190000534057617,26.6495002746582,1.0326945171827935
2022-05-09,32.827945709228516,181.04298400878906,34.75,27.3290002822876,0.7032255836099199
2022-05-10,32.27735137939453,177.40493774414062,32.9900016784668,27.76000032424927,0.7612036887323297
2022-05-11,32.10585403442383,173.37908935546875,32.560001373291016,28.175000381469726,0.9051231680950927
2022-05-12,31.65455436706543,177.0078887939453,31.770000457763672,28.6725004196167,0.665011230926681
2022-05-13,31.744815826416016,179.13162231445312,28.8700008392334,28.981000423431396,0.5890523641533943
2022-05-16,31.419870376586914,179.80564880371094,27.469999313354492,29.246000385284425,0.5005232876630978
2022-05-17,32.48495864868164,179.15931701660156,26.100000381469727,29.48250036239624,0.7226947961721107
2022-05-18,31.48305320739746,169.7318115234375,30.959999084472656,30.01450033187866,0.9503475583612437
