Date,LRCX,NEE,VIX,AvgVIX,zscore
2020-01-30,28.93083381652832,57.78909683227539,15.489999771118164,13.696000051498412,-0.6248392934251218
2020-01-31,27.745500564575195,57.41872787475586,18.84000015258789,14.014500045776368,-0.8549489621104539
2020-02-03,28.69729995727539,57.12114334106445,17.969999313354492,14.211999988555908,-0.517283420442782
2020-02-04,30.275266647338867,56.635162353515625,16.049999237060547,14.32199993133545,0.04062881427332154
2020-02-05,30.295732498168945,57.0997428894043,15.149999618530273,14.389999914169312,-0.07313740969685552
2020-02-06,30.100351333618164,57.44655990600586,14.960000038146973,14.465499925613404,-0.21587552968705664
2020-02-07,29.344858169555664,57.70561981201172,15.470000267028809,14.611999940872192,-0.4897705001043647
2020-02-10,29.757028579711914,58.17660140991211,15.039999961853027,14.735999917984008,-0.4976888258152846
2020-02-11,30.300392150878906,58.26436996459961,15.180000305175781,14.878999948501587,-0.37113107133963485
2020-02-12,31.13309669494629,57.85974884033203,13.739999771118164,14.946499919891357,-0.03864288064121113
2020-02-13,31.780651092529297,58.97515106201172,14.149999618530273,15.032999897003174,-0.14756215774396378
2020-02-14,31.56852149963379,59.628135681152344,13.680000305175781,15.100999927520752,-0.37357183758981916
2020-02-18,30.26968765258789,60.3817253112793,14.829999923706055,15.237499904632568,-0.9236505493404512
2020-02-19,31.06144905090332,58.80388259887695,14.380000114440918,15.313999891281128,-0.3009172062748374
2020-02-20,30.562753677368164,59.309139251708984,15.5600004196167,15.446499919891357,-0.5676057264837636
2020-02-21,29.475120544433594,59.42902755737305,17.079999923706055,15.651499938964843,-0.896884861899533
2020-02-24,27.954843521118164,58.64759826660156,25.030000686645508,16.174999952316284,-1.1132813059281366
2020-02-25,27.188190460205078,57.87474060058594,27.850000381469727,16.655999994277956,-1.1250685828515954
2020-02-26,27.5957088470459,57.690616607666016,27.559999465942383,17.219999933242796,-0.96592208335927
2020-02-27,26.581567764282227,55.060794830322266,39.15999984741211,18.35849995613098,-0.5684446526466121
2020-02-28,27.300765991210938,54.39579391479492,40.11000061035156,19.589499998092652,-0.2001958311344974
2020-03-02,27.942750930786133,57.75088119506836,33.41999816894531,20.318499898910524,-0.8861718238607369
2020-03-03,27.117481231689453,57.062217712402344,36.81999969482422,21.26099991798401,-0.9356801049450768
2020-03-04,28.49261474609375,60.735809326171875,31.989999771118164,22.05799994468689,-1.5023087674144864
2020-03-05,27.83110237121582,59.431636810302734,39.619998931884766,23.281499910354615,-1.348711877348791
2020-03-06,27.391952514648438,58.497657775878906,41.939998626708984,24.630499839782715,-1.2292216151265423
2020-03-09,24.897546768188477,56.22936248779297,54.459999084472656,26.57999978065491,-1.3308638531521175
2020-03-10,26.75555419921875,55.03495788574219,47.29999923706055,28.192999744415282,-0.5140594816460661
2020-03-11,25.737695693969727,51.92091369628906,53.900001525878906,30.12899980545044,0.006827670090321576
2020-03-12,22.12959861755371,44.954647064208984,75.47000122070312,33.21549987792969,0.8067931017114854
2020-03-13,24.356048583984375,47.68132781982422,57.83000183105469,35.39949998855591,0.7171115023060312
2020-03-16,19.8677921295166,43.3362922668457,82.69000244140625,38.850000095367434,0.601967286922451
2020-03-17,21.3341064453125,47.724369049072266,75.91000366210938,41.9040002822876,-0.12323938369838176
2020-03-18,18.06281280517578,45.33126449584961,76.44999694824219,45.007500123977664,-0.4060055457098844
2020-03-19,18.143753051757812,44.56943130493164,72.0,47.829500102996825,-0.18802660411431885
2020-03-20,17.481311798095703,41.26599884033203,66.04000091552734,50.27750015258789,0.47906204772866084
2020-03-23,17.942790985107422,39.09455490112305,61.59000015258789,52.10550012588501,1.1636950998497098
2020-03-24,21.587505340576172,44.4467658996582,61.66999816894531,53.796500015258786,0.7885396182939802
2020-03-25,21.85987663269043,45.25163269042969,63.95000076293945,55.61600008010864,0.6564592389173
2020-03-26,24.367380142211914,49.734405517578125,61.0,56.708000087738036,0.1926450139301096
2020-03-27,22.577777862548828,49.917335510253906,65.54000091552734,57.97950010299682,-0.3454703747978188
2020-03-30,23.89564323425293,52.94314193725586,57.08000183105469,59.16250028610229,-0.7613544019103969
2020-03-31,22.463586807250977,51.78317642211914,53.540000915527344,59.99850034713745,-0.8562692237730382
2020-04-01,20.903305053710938,46.964683532714844,57.060001373291016,61.252000427246095,-0.04624603978493721
2020-04-02,20.644968032836914,48.733699798583984,50.90999984741211,61.81650047302246,-0.5717209914839132
2020-04-03,20.418466567993164,47.69853973388672,46.79999923706055,62.059500503540036,-0.3678747746980029
2020-04-06,23.469772338867188,50.4682502746582,45.2400016784668,61.598500633239745,-0.24225420496875538
2020-04-07,23.98175811767578,49.17272186279297,46.70000076293945,61.568500709533694,0.23115639334556162
2020-04-08,24.96734046936035,50.25090026855469,43.349998474121094,61.041000556945804,0.22456513142220047
2020-04-09,24.174562454223633,52.786048889160156,41.66999816894531,59.35100040435791,-0.6444445801764087
2020-04-13,24.22136688232422,50.834110260009766,41.16999816894531,58.51800022125244,-0.13001378228155455
2020-04-14,25.506467819213867,52.16194152832031,37.7599983215332,56.27150001525879,-0.11856313481420698
2020-04-15,24.598567962646484,51.051475524902344,40.84000015258789,54.51799983978272,-0.08235711091740334
2020-04-16,25.337993621826172,51.107425689697266,40.11000061035156,52.70100002288818,0.10618092566702386
2020-04-17,26.115798950195312,52.996944427490234,38.150001525878906,51.00850009918213,-0.16591798771061678
2020-04-20,24.965469360351562,51.135406494140625,43.83000183105469,49.898000144958495,-0.0032385101608275947
2020-04-21,22.803346633911133,50.66410446166992,45.40999984741211,49.089000129699706,-0.475465135855292
2020-04-22,25.438148498535156,53.19279098510742,41.97999954223633,48.104500198364256,-0.4022072875725859
2020-04-23,24.706205368041992,51.895084381103516,41.380001068115234,46.976000213623045,-0.2695997570733071
2020-04-24,24.959857940673828,51.58518600463867,35.93000030517578,45.722500228881835,-0.1203575427607016
2020-04-27,24.748321533203125,52.424503326416016,33.290000915527344,44.11000022888184,-0.394086058783408
2020-04-28,24.50871467590332,51.49910354614258,33.56999969482422,42.93450012207031,-0.2220411907954916
2020-04-29,26.206586837768555,50.6016845703125,31.229999542236328,41.81900005340576,0.4745024412441034
2020-04-30,23.89377212524414,49.73870086669922,34.150001525878906,40.673500061035156,0.061572277246949275
2020-05-01,21.99747085571289,48.86281967163086,37.189998626708984,39.9875,-0.23374273961987477
2020-05-04,21.950668334960938,49.51704406738281,35.970001220703125,39.44600009918213,-0.4147014396441685
2020-05-05,22.726598739624023,49.51919937133789,33.61000061035156,38.86450004577637,-0.20232207828690968
2020-05-06,22.890396118164062,47.918052673339844,34.119998931884766,38.235499954223634,0.25407183680320244
2020-05-07,23.17774772644043,48.30973434448242,31.440000534057617,37.64000005722046,0.23227792864011193
2020-05-08,24.840986251831055,49.43956756591797,27.979999542236328,36.95550012588501,0.39837750032534885
2020-05-11,24.544281005859375,48.933841705322266,27.56999969482422,36.275500202178954,0.44691030950743704
2020-05-12,23.959291458129883,49.05219650268555,33.040000915527344,36.03950033187866,0.25596223478072394
2020-05-13,23.23015785217285,49.523502349853516,35.279998779296875,35.76150026321411,-0.0652395685582165
2020-05-14,25.177942276000977,49.97758865356445,32.61000061035156,35.38650026321411,0.35259157997786966
2020-05-15,23.571792602539062,49.034976959228516,31.889999389648438,35.07350015640259,0.15404848673589167
2020-05-18,24.098752975463867,50.67055130004883,29.299999237060547,34.34700002670288,-0.1216323801445018
2020-05-19,24.490934371948242,49.605281829833984,30.530000686645508,33.60300006866455,0.2597318552414462
2020-05-20,25.381053924560547,50.09809875488281,27.989999771118164,32.90350008010864,0.3773628126523518
2020-05-21,24.401073455810547,49.26094055175781,29.530000686645508,32.31100006103516,0.3235567801669546
2020-05-22,24.442258834838867,50.326229095458984,28.15999984741211,31.92250003814697,0.061113485950966454
2020-05-26,24.930835723876953,50.42522430419922,28.010000228881836,31.658500003814698,0.16975161519545254
2020-05-27,25.843425750732422,51.8929328918457,27.6200008392334,31.361000061035156,0.04303262029093386
2020-05-28,24.97389030456543,54.094505310058594,28.59000015258789,31.229000091552734,-0.7613225522018396
2020-05-29,25.61504364013672,54.99837112426758,27.510000228881836,30.89700002670288,-0.8176402522947851
