Date,PEP,KRE,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,63.50883102416992,24.829999923706055,23.18100004196167,0.3692385665092775
2022-02-01,150.68084716796875,64.46678924560547,21.959999084472656,23.448999977111818,0.29074729997260446
2022-02-02,153.41751098632812,64.29824829101562,22.09000015258789,23.707999992370606,0.6888928665222835
2022-02-03,153.33004760742188,63.92571258544922,24.350000381469727,23.939000034332274,0.6459106383488681
2022-02-04,150.81201171875,65.1497802734375,23.219999313354492,24.119499969482423,0.36515886158184774
2022-02-07,150.21749877929688,65.46019744873047,22.860000610351562,24.324499988555907,0.300587195874973
2022-02-08,150.40106201171875,67.08341979980469,21.440000534057617,24.426500034332275,0.45815803683730666
2022-02-09,150.3311309814453,66.51573181152344,19.959999084472656,24.503999996185303,0.402188504645698
2022-02-10,147.2097930908203,66.35608673095703,23.90999984741211,24.818499946594237,-0.08009392448027285
2022-02-11,147.3934326171875,65.80614471435547,27.360000610351562,25.171000003814697,-0.09650146216535337
2022-02-14,145.74966430664062,65.29170227050781,28.329999923706055,25.62799997329712,-0.3849391264656042
2022-02-15,145.10269165039062,67.0390853881836,25.700000762939453,25.773499965667725,-0.342353930972428
2022-02-16,145.39996337890625,67.16326904296875,24.290000915527344,25.795499992370605,-0.2876968480988669
2022-02-17,145.79339599609375,65.11430358886719,28.110000610351562,25.92150001525879,-0.3925642119440557
2022-02-18,146.63275146484375,65.2296142578125,27.75,25.866499996185304,-0.2570791769040852
2022-02-22,147.1923065185547,64.90142059326172,28.809999465942383,25.811999988555907,-0.19918899206985669
2022-02-23,145.74090576171875,63.75718688964844,31.020000457763672,25.805000019073486,-0.5091143170151924
2022-02-24,143.2053680419922,62.61296463012695,30.31999969482422,25.723000049591064,-0.9821108337609052
2022-02-25,147.2185516357422,65.4957046508789,27.59000015258789,25.57800006866455,-0.1476611842532584
2022-02-28,143.1616668701172,65.88599395751953,30.149999618530273,25.70250005722046,-0.7266359724969754
2022-03-01,141.87643432617188,62.284786224365234,33.31999969482422,26.127000045776366,-1.2082793340955906
2022-03-02,143.8436737060547,65.06107330322266,30.739999771118164,26.566000080108644,-0.6900964231317179
2022-03-03,143.6896514892578,64.65303802490234,30.479999542236328,26.985500049591064,-0.7459323989643544
2022-03-04,145.8722381591797,62.116249084472656,31.979999542236328,27.367000007629393,-0.6207380042275253
2022-03-07,142.96795654296875,59.437522888183594,36.45000076293945,28.028500080108643,-1.2720565387387692
2022-03-08,138.93722534179688,59.91648864746094,35.130001068115234,28.642000102996825,-1.8399977043658233
2022-03-09,138.5235595703125,62.0452995300293,32.45000076293945,29.192500114440918,-1.7317810841230128
2022-03-10,135.98016357421875,62.08964538574219,30.229999542236328,29.706000137329102,-2.110799398146555
2022-03-11,135.2937469482422,62.10737991333008,30.75,30.048000144958497,-2.2126279197754943
2022-03-14,137.19467163085938,62.435550689697266,31.770000457763672,30.268500137329102,-1.9004231401629024
2022-03-15,139.93173217773438,62.621849060058594,29.829999923706055,30.3435001373291,-1.473808431568126
2022-03-16,140.54779052734375,64.59095764160156,26.670000076293945,30.392000102996825,-1.223490523845021
2022-03-17,141.63905334472656,63.89024353027344,25.670000076293945,30.461000061035158,-1.115447777606272
2022-03-18,143.26719665527344,63.76606750488281,23.8700008392334,30.249000072479248,-0.8804900218948954
2022-03-21,143.0647430419922,63.422035217285156,23.530000686645508,30.038000106811523,-0.9384866143650071
2022-03-22,144.63131713867188,64.48263549804688,22.940000534057617,29.744500160217285,-0.6179332514351163
2022-03-23,143.87442016601562,62.19209671020508,23.56999969482422,29.37200012207031,-0.9151702509700427
2022-03-24,144.7457275390625,62.79815673828125,21.670000076293945,28.9395001411438,-0.7355883018958168
2022-03-25,145.4233856201172,63.983524322509766,20.809999465942383,28.600500106811523,-0.5387533588045191
2022-03-28,145.8546142578125,63.35072326660156,19.6299991607666,28.07450008392334,-0.5245533397043051
2022-03-29,148.01962280273438,64.54502868652344,18.899999618530273,27.353500080108642,-0.10328072824663069
2022-03-30,147.81716918945312,62.55752182006836,19.329999923706055,26.78300008773804,-0.29285867145633465
2022-03-31,147.30674743652344,61.40778350830078,20.559999465942383,26.28700008392334,-0.4616859251329888
2022-04-01,149.40133666992188,60.81954574584961,19.6299991607666,25.669500064849853,-0.1937211286551604
2022-04-04,149.0140838623047,60.49869918823242,18.56999969482422,24.77550001144409,-0.277658255725999
2022-04-05,149.1724853515625,59.65201187133789,21.030000686645508,24.070499992370607,-0.32162030218553106
2022-04-06,151.7158966064453,58.7607421875,22.100000381469727,23.55299997329712,-0.010406875838251109
2022-04-07,151.85670471191406,58.012081146240234,21.549999237060547,23.11899995803833,-0.049166989351464505
2022-04-08,152.36717224121094,57.92295837402344,21.15999984741211,22.639499950408936,0.02048033131846996
2022-04-11,151.90072631835938,58.12794494628906,24.3700008392334,22.26949996948242,-0.03326902001691149
2022-04-12,152.5167694091797,57.59319305419922,24.260000228881836,21.99099998474121,0.01658024676551173
2022-04-13,152.25277709960938,58.404239654541016,21.81999969482422,21.748499965667726,0.04180619025861726
2022-04-14,151.28466796875,57.65557861328125,22.700000762939453,21.6,-0.16375339377188486
