Date,XOM,CVX,VIX,AvgVIX,zscore
2022-01-31,65.46409606933594,110.67057800292969,24.829999923706055,23.18100004196167,-0.6177651406533363
2022-02-01,69.66114807128906,113.5863037109375,21.959999084472656,23.448999977111818,-0.3805694092360504
2022-02-02,69.48017883300781,114.10877227783203,22.09000015258789,23.707999992370606,-0.44331333429440445
2022-02-03,68.6700668334961,113.08909606933594,24.350000381469727,23.939000034332274,-0.4520797472891734
2022-02-04,70.16102600097656,114.50482940673828,23.219999313354492,24.119499969482423,-0.3986022426365898
2022-02-07,71.00560760498047,116.75480651855469,22.860000610351562,24.324499988555907,-0.48562696213652146
2022-02-08,69.169921875,114.97673797607422,21.440000534057617,24.426500034332275,-0.548633221125574
2022-02-09,68.83879852294922,116.11434936523438,19.959999084472656,24.503999996185303,-0.678153610063856
2022-02-10,68.17655181884766,114.63966369628906,23.90999984741211,24.818499946594237,-0.6333757869891375
2022-02-11,69.89315795898438,116.97389221191406,27.360000610351562,25.171000003814697,-0.6288619705771257
2022-02-14,68.82138061523438,115.1705551147461,28.329999923706055,25.62799997329712,-0.603651888316139
2022-02-15,67.95869445800781,114.32754516601562,25.700000762939453,25.773499965667725,-0.6326622291145495
2022-02-16,68.27239227294922,114.36160278320312,24.290000915527344,25.795499992370605,-0.600036386699411
2022-02-17,68.16783905029297,113.77404022216797,28.110000610351562,25.92150001525879,-0.5642255406838296
2022-02-18,67.40973663330078,113.61223602294922,27.75,25.866499996185304,-0.6366302816724424
2022-02-22,66.6255111694336,112.74365234375,28.809999465942383,25.811999988555907,-0.6547182440897472
2022-02-23,66.89562225341797,115.42601776123047,31.020000457763672,25.805000019073486,-0.8415756142311418
2022-02-24,66.05038452148438,114.82994079589844,30.31999969482422,25.723000049591064,-0.888624345244301
2022-02-25,67.8279800415039,119.5389404296875,27.59000015258789,25.57800006866455,-1.069635511037222
2022-02-28,68.33340454101562,122.62152862548828,30.149999618530273,25.70250005722046,-1.2623756213907487
2022-03-01,68.98693084716797,127.49231719970703,33.31999969482422,26.127000045776366,-1.5832902875908201
2022-03-02,70.17200469970703,131.25613403320312,30.739999771118164,26.566000080108644,-1.7545590932420478
2022-03-03,70.61639404296875,133.0272979736328,30.479999542236328,26.985500049591064,-1.8479320366282606
2022-03-04,73.27410888671875,135.09652709960938,31.979999542236328,27.367000007629393,-1.7157905770606319
2022-03-07,75.91437530517578,137.9832763671875,36.45000076293945,28.028500080108643,-1.6518530085935614
2022-03-08,76.489501953125,145.21282958984375,35.130001068115234,28.642000102996825,-2.172718930309768
2022-03-09,72.14131927490234,141.5852813720703,32.45000076293945,29.192500114440918,-2.3692901904927925
2022-03-10,74.38076782226562,145.45977783203125,30.229999542236328,29.706000137329102,-2.4305925339529146
2022-03-11,73.99734497070312,145.52786254882812,30.75,30.048000144958497,-2.479358979320746
2022-03-14,71.34835815429688,141.96847534179688,31.770000457763672,30.268500137329102,-2.4897829025180305
2022-03-15,67.28775024414062,134.78147888183594,29.829999923706055,30.3435001373291,-2.365528186360604
2022-03-16,67.03504943847656,134.29611206054688,26.670000076293945,30.392000102996825,-2.3547083550501933
2022-03-17,68.82138061523438,136.62081909179688,25.670000076293945,30.461000061035158,-2.341558102078608
2022-03-18,68.5512466430664,137.71926879882812,23.8700008392334,30.249000072479248,-2.461025982067283
2022-03-21,71.627197265625,140.197265625,23.530000686645508,30.038000106811523,-2.3148258817107257
2022-03-22,71.31351470947266,139.72891235351562,22.940000534057617,29.744500160217285,-2.312263251055315
2022-03-23,72.43757629394531,141.2361297607422,23.56999969482422,29.37200012207031,-2.307583958870221
2022-03-24,72.65542602539062,141.61083984375,21.670000076293945,28.9395001411438,-2.313369561946329
2022-03-25,74.2413330078125,144.17391967773438,20.809999465942383,28.600500106811523,-2.342140242448675
2022-03-28,72.15872955322266,141.65341186523438,19.6299991607666,28.07450008392334,-2.3728462573712514
2022-03-29,71.77533721923828,139.92477416992188,18.899999618530273,27.353500080108642,-2.2760383224912646
