Date,BP,GILD,VIX,AvgVIX,zscore
2020-01-30,26.357297897338867,50.496456146240234,15.489999771118164,13.696000051498412,2.0836461592028144
2020-01-31,25.716693878173828,49.841880798339844,18.84000015258789,14.014500045776368,2.0104114180762758
2020-02-03,25.076087951660156,52.333984375,17.969999313354492,14.211999988555908,1.4975393858243402
2020-02-04,25.980052947998047,53.1541633605957,16.049999237060547,14.32199993133545,1.615342534088472
2020-02-05,26.812835693359375,51.947547912597656,15.149999618530273,14.389999914169312,1.9980185855988977
2020-02-06,26.250532150268555,53.792945861816406,14.960000038146973,14.465499925613404,1.595630948644466
2020-02-07,25.88751792907715,54.313446044921875,15.470000267028809,14.611999940872192,1.429584701351591
2020-02-10,25.759401321411133,54.40808868408203,15.039999961853027,14.735999917984008,1.3834251402043194
2020-02-11,26.01564598083496,53.43806838989258,15.180000305175781,14.878999948501587,1.5848272387570188
2020-02-12,26.456945419311523,52.79927062988281,13.739999771118164,14.946499919891357,1.7875271801240789
2020-02-13,26.196290969848633,52.68098068237305,14.149999618530273,15.032999897003174,1.7370441648910369
2020-02-14,26.065956115722656,53.280338287353516,13.680000305175781,15.100999927520752,1.6197983105271592
2020-02-18,26.13112449645996,52.846580505371094,14.829999923706055,15.237499904632568,1.6971542659242664
2020-02-19,26.246971130371094,53.11473083496094,14.380000114440918,15.313999891281128,1.6894719717824738
2020-02-20,26.051483154296875,52.83869934082031,15.5600004196167,15.446499919891357,1.6777809400426096
2020-02-21,25.602561950683594,54.968013763427734,17.079999923706055,15.651499938964843,1.2648747210767635
2020-02-24,24.661293029785156,57.49165344238281,25.030000686645508,16.174999952316284,0.6703012770899386
2020-02-25,23.84311294555664,55.28348159790039,27.850000381469727,16.655999994277956,0.7684747605138702
2020-02-26,23.66209602355957,58.911190032958984,27.559999465942383,17.219999933242796,0.2150947601479763
2020-02-27,22.829431533813477,57.30240249633789,39.15999984741211,18.35849995613098,0.2258018451254896
2020-02-28,22.655664443969727,54.69988250732422,40.11000061035156,19.589499998092652,0.5447391566525551
2020-03-02,23.336275100708008,59.463253021240234,33.41999816894531,20.318499898910524,0.05420049661086952
2020-03-03,23.111818313598633,58.524776458740234,36.81999969482422,21.26099991798401,0.12761528305519595
2020-03-04,23.99517059326172,59.9443244934082,31.989999771118164,22.05799994468689,0.15637867982258744
2020-03-05,23.604169845581055,60.03895950317383,39.619998931884766,23.281499910354615,0.04263712804189608
2020-03-06,22.62670135498047,63.26449966430664,41.939998626708984,24.630499839782715,-0.6593083152483499
2020-03-09,18.304094314575195,57.98060607910156,54.459999084472656,26.57999978065491,-1.0323405525826854
2020-03-10,19.397417068481445,57.05002212524414,47.29999923706055,28.192999744415282,-0.6212496944014835
2020-03-11,17.855178833007812,58.122554779052734,53.900001525878906,30.12899980545044,-1.1675814112985963
2020-03-12,15.617851257324219,54.588417053222656,75.47000122070312,33.21549987792969,-1.2489899795574848
2020-03-13,16.052284240722656,56.315696716308594,57.83000183105469,35.39949998855591,-1.3786307079120816
2020-03-16,13.641183853149414,54.84313201904297,82.69000244140625,38.850000095367434,-1.7927450495706587
2020-03-17,13.641183853149414,59.3165397644043,75.91000366210938,41.9040002822876,-2.4177451582241307
2020-03-18,11.664515495300293,63.216854095458984,76.44999694824219,45.007500123977664,-3.4708437144201216
2020-03-19,12.308923721313477,62.52435302734375,72.0,47.829500102996825,-3.208424813397836
2020-03-20,12.591304779052734,58.3136100769043,66.04000091552734,50.27750015258789,-2.5475274122841314
2020-03-23,13.170547485351562,57.79621124267578,61.59000015258789,52.10550012588501,-2.3263257900282786
2020-03-24,16.016082763671875,58.87080001831055,61.66999816894531,53.796500015258786,-1.7449225784188798
2020-03-25,17.587284088134766,55.44806671142578,63.95000076293945,55.61600008010864,-0.8627877373861271
2020-03-26,17.681407928466797,58.79119873046875,61.0,56.708000087738036,-1.305674248064197
2020-03-27,16.1826171875,57.987247467041016,65.54000091552734,57.97950010299682,-1.5786642618597926
2020-03-30,17.31938362121582,60.438880920410156,57.08000183105469,59.16250028610229,-1.6289497216691053
2020-03-31,17.659685134887695,59.50759506225586,53.540000915527344,59.99850034713745,-1.4113497945751827
2020-04-01,17.645204544067383,57.71662902832031,57.060001373291016,61.252000427246095,-1.1648485121330772
2020-04-02,18.847135543823242,61.274662017822266,50.90999984741211,61.81650047302246,-1.352961369595939
2020-04-03,17.898624420166016,62.25370407104492,46.79999923706055,62.059500503540036,-1.7335939132622455
2020-04-06,18.137561798095703,61.87165069580078,45.2400016784668,61.598500633239745,-1.618788751473658
2020-04-07,17.956552505493164,59.435943603515625,46.70000076293945,61.568500709533694,-1.3250194747768957
2020-04-08,18.383739471435547,59.690670013427734,43.349998474121094,61.041000556945804,-1.2507859299293835
2020-04-09,18.028949737548828,58.512611389160156,41.66999816894531,59.35100040435791,-1.1774044372597443
2020-04-13,18.03619956970215,59.92149353027344,41.16999816894531,58.51800022125244,-1.3723819495883598
2020-04-14,17.695884704589844,61.88755798339844,37.7599983215332,56.27150001525879,-1.7345589252677205
2020-04-15,16.537403106689453,59.404109954833984,40.84000015258789,54.51799983978272,-1.6854111073410962
2020-04-16,15.82059097290039,60.9244270324707,40.11000061035156,52.70100002288818,-2.0821017594041322
2020-04-17,16.96459197998047,66.8544921875,38.150001525878906,51.00850009918213,-2.6165148206935616
2020-04-20,16.1826171875,64.68146514892578,43.83000183105469,49.898000144958495,-2.5139438108493573
2020-04-21,15.668536186218262,62.5084228515625,45.40999984741211,49.089000129699706,-2.3424997161527066
2020-04-22,16.89218521118164,64.72126007080078,41.97999954223633,48.104500198364256,-2.3370858282123317
2020-04-23,16.928394317626953,61.91143798828125,41.380001068115234,46.976000213623045,-1.9352040788814966
2020-04-24,16.935632705688477,63.391990661621094,35.93000030517578,45.722500228881835,-2.1401979487862453
2020-04-27,17.601764678955078,63.598915100097656,33.290000915527344,44.11000022888184,-1.9978570621345235
2020-04-28,17.493154525756836,62.619873046875,33.56999969482422,42.93450012207031,-1.8889924807800957
2020-04-29,18.412700653076172,66.17791748046875,31.229999542236328,41.81900005340576,-2.1497033014924005
2020-04-30,17.232498168945312,66.86245727539062,34.150001525878906,40.673500061035156,-2.5487535190568273
2020-05-01,16.530162811279297,63.63872528076172,37.189998626708984,39.9875,-2.278909800011517
2020-05-04,16.83426856994629,63.87751007080078,35.970001220703125,39.44600009918213,-2.2340910712566546
2020-05-05,17.283178329467773,62.99401092529297,33.61000061035156,38.86450004577637,-1.9952463036506476
2020-05-06,17.073204040527344,61.66468811035156,34.119998931884766,38.235499954223634,-1.8635014077452037
2020-05-07,17.420747756958008,61.77614212036133,31.440000534057617,37.64000005722046,-1.7897255548599706
2020-05-08,17.866863250732422,61.680606842041016,27.979999542236328,36.95550012588501,-1.6616891554334603
2020-05-11,17.47279167175293,64.31531524658203,27.56999969482422,36.275500202178954,-2.1311053536696956
2020-05-12,17.145648956298828,62.046756744384766,33.040000915527344,36.03950033187866,-1.898257591557705
2020-05-13,16.528520584106445,61.33835220336914,35.279998779296875,35.76150026321411,-1.9579364207603962
2020-05-14,16.46160316467285,61.47365951538086,32.61000061035156,35.38650026321411,-1.9940441540170781
2020-05-15,16.223674774169922,60.701568603515625,31.889999389648438,35.07350015640259,-1.947339183227545
2020-05-18,17.48023223876953,59.50759506225586,29.299999237060547,34.34700002670288,-1.4574840924809722
2020-05-19,17.034116744995117,57.581302642822266,30.530000686645508,33.60300006866455,-1.3030417636750486
2020-05-20,17.5620174407959,58.81508255004883,27.989999771118164,32.90350008010864,-1.3397044356860708
2020-05-21,17.38357162475586,58.50464630126953,29.530000686645508,32.31100006103516,-1.3422073724485584
2020-05-22,17.08616065979004,58.37728500366211,28.15999984741211,31.92250003814697,-1.4008724652900204
2020-05-26,17.294353485107422,58.249942779541016,28.010000228881836,31.658500003814698,-1.3295580583634765
2020-05-27,17.792512893676758,59.6190299987793,27.6200008392334,31.361000061035156,-1.3927711101690798
2020-05-28,17.294353485107422,59.95332336425781,28.59000015258789,31.229000091552734,-1.567545094450263
2020-05-29,17.20512580871582,61.95125198364258,27.510000228881836,30.89700002670288,-1.8696236971356686
2020-06-01,17.7255916595459,59.825965881347656,28.229999542236328,30.449000072479247,-1.4388873769584347
2020-06-02,18.550905227661133,58.3136100769043,26.84000015258789,29.992500019073486,-1.0154151508328835
2020-06-03,19.257251739501953,59.22102737426758,25.65999984741211,29.594999980926513,-0.9606048260070322
2020-06-04,19.101116180419922,61.72040557861328,25.809999465942383,29.179500007629393,-1.349944109722044
2020-06-05,20.603025436401367,61.09158706665039,24.520000457763672,28.8335000038147,-0.8759736074298472
2020-06-08,21.101186752319336,61.26668930053711,25.809999465942383,28.725,-0.7723691050182551
2020-06-09,20.327924728393555,61.76021194458008,27.56999969482422,28.725,-1.0401139543060207
2020-06-10,19.6141414642334,61.34629440307617,27.56999969482422,28.451499938964844,-1.1657852338435104
2020-06-11,17.8966064453125,58.49541091918945,40.790000915527344,28.727000045776368,-1.2090244987423495
2020-06-12,18.40220069885254,58.784507751464844,36.09000015258789,28.901000022888184,-1.1194358170146312
2020-06-15,18.112228393554688,59.40288543701172,34.400001525878906,29.026500129699706,-1.2803791360769747
2020-06-16,18.25349235534668,59.92488479614258,33.66999816894531,29.245000076293945,-1.3169934666163594
2020-06-17,17.62150001525879,59.23423767089844,33.470001220703125,29.392000102996825,-1.3829745392131891
2020-06-18,17.61406707763672,59.4590950012207,32.939998626708984,29.639500045776366,-1.4163012601255718
2020-06-19,17.59919548034668,62.21360778808594,35.119998931884766,29.91899995803833,-1.80496998467797
2020-06-22,17.74789810180664,60.768089294433594,31.770000457763672,30.09949998855591,-1.5647811087152423
2020-06-23,17.970956802368164,60.270198822021484,31.3700008392334,30.267500019073488,-1.437873958907365
2020-06-24,17.20512580871582,60.97688293457031,33.84000015258789,30.57849998474121,-1.7334901729403347
2020-06-25,17.47279167175293,60.623538970947266,32.220001220703125,30.760000038146973,-1.6153105268313328
2020-06-26,16.922590255737305,59.884727478027344,34.72999954223633,31.121000003814697,-1.6535352766774265
2020-06-29,17.457927703857422,59.876686096191406,31.780000686645508,31.298500061035156,-1.5147855946449105
2020-06-30,17.33896255493164,61.78799057006836,30.43000030517578,31.47800006866455,-1.8124065447694
2020-07-01,17.257169723510742,61.0812873840332,28.6200008392334,31.626000118255615,-1.7346973842863613
2020-07-02,17.405879974365234,61.31416702270508,27.68000030517578,31.719500160217287,-1.7290031711599947
2020-07-06,17.576887130737305,61.643428802490234,27.940000534057617,31.890500164031984,-1.7310427881330697
2020-07-07,17.115901947021484,61.370399475097656,29.43000030517578,32.07150020599365,-1.811408098188096
2020-07-08,17.21999740600586,60.71990203857422,28.079999923706055,32.097000217437746,-1.693762969486107
2020-07-09,16.394685745239258,59.99715042114258,29.260000228881836,32.18150024414062,-1.8049576983290336
2020-07-10,16.69953155517578,61.29008483886719,27.290000915527344,31.506500244140625,-1.9072287460321604
2020-07-13,16.69953155517578,61.57917404174805,32.189998626708984,31.31150016784668,-1.9476187112434549
2020-07-14,17.309219360351562,61.988746643066406,29.520000457763672,31.067500114440918,-1.8481015584937177
2020-07-15,17.703290939331055,61.555091857910156,27.760000228881836,30.772000217437743,-1.6862045558179766
2020-07-16,17.636371612548828,61.547080993652344,28.0,30.49850015640259,-1.7022891462455105
2020-07-17,17.286911010742188,62.24573516845703,25.68000030517578,30.13550024032593,-1.889741690855321
2020-07-20,17.05642318725586,62.7035026550293,24.459999084472656,29.602500247955323,-2.0129529777057638
2020-07-21,17.911474227905273,61.65950393676758,24.84000015258789,29.256000232696532,-1.6472720466299349
2020-07-22,17.43562126159668,61.233863830566406,24.31999969482422,28.903500175476076,-1.7101376667118857
2020-07-23,17.264606475830078,60.67976760864258,26.079999923706055,28.515500164031984,-1.6766873703025218
2020-07-24,17.048986434936523,59.13786697387695,25.84000015258789,28.19650011062622,-1.516693689063291
2020-07-27,17.20512580871582,59.86063003540039,24.739999771118164,27.697000122070314,-1.5775334117912114
2020-07-28,16.967201232910156,59.210140228271484,25.440000534057617,27.380000114440918,-1.5478169028085014
2020-07-29,17.264606475830078,58.631927490234375,24.100000381469727,27.063500118255615,-1.3905743286650247
2020-07-30,16.68465805053711,58.08584213256836,24.760000228881836,26.870500087738037,-1.4633731738654119
2020-07-31,16.387250900268555,55.83726501464844,24.459999084472656,26.70950002670288,-1.2256725918828664
2020-08-03,16.42443084716797,57.604000091552734,24.280000686645508,26.526500034332276,-1.4629528375928758
2020-08-04,17.651243209838867,56.9213981628418,23.760000228881836,26.243000030517578,-1.052190758370418
2020-08-05,17.80738067626953,55.411624908447266,22.989999771118164,25.988500022888182,-0.8011131853976831
2020-08-06,17.294353485107422,55.259033203125,22.649999618530273,25.657999992370605,-0.9116845005213372
2020-08-07,17.08616065979004,55.692710876464844,22.209999084472656,25.403999900817873,-1.0257984240456388
2020-08-10,17.47279167175293,55.01814270019531,22.1299991607666,24.90099992752075,-0.8321551612381689
2020-08-11,17.703290939331055,54.688865661621094,24.030000686645508,24.626499938964844,-0.7268929162362924
2020-08-12,18.037874221801758,55.283138275146484,22.280000686645508,24.352499961853027,-0.7239057506931398
2020-08-13,17.664987564086914,54.753116607666016,22.1299991607666,24.058999919891356,-0.7457168561962845
2020-08-14,17.31846809387207,55.01011276245117,22.049999237060547,23.877499866485596,-0.8707072382973992
2020-08-17,17.137676239013672,55.53208923339844,21.350000381469727,23.72199993133545,-0.990113462711951
2020-08-18,16.843887329101562,55.45981216430664,21.510000228881836,23.555499935150145,-1.0555434542808002
2020-08-19,16.75348663330078,52.76152038574219,22.540000915527344,23.466499996185302,-0.701793344294658
