Date,FDX,LOW,VIX,AvgVIX,zscore
2020-01-30,132.14718627929688,106.78423309326172,15.489999771118164,13.696000051498412,-0.49869221593908
2020-01-31,128.920654296875,103.68023681640625,18.84000015258789,14.014500045776368,-0.5140981105370833
2020-02-03,128.2075958251953,104.51868438720703,17.969999313354492,14.211999988555908,-0.551263750646987
2020-02-04,131.4787139892578,106.4542007446289,16.049999237060547,14.32199993133545,-0.5088170892982422
2020-02-05,133.65357971191406,108.93385314941406,15.149999618530273,14.389999914169312,-0.5070118800959413
2020-02-06,132.4770050048828,108.38082122802734,14.960000038146973,14.465499925613404,-0.5254495441645493
2020-02-07,138.74301147460938,108.35406494140625,15.470000267028809,14.611999940872192,-0.36143733210260764
2020-02-10,139.74127197265625,108.11321258544922,15.039999961853027,14.735999917984008,-0.3300682691986205
2020-02-11,140.8286590576172,109.73657989501953,15.180000305175781,14.878999948501587,-0.33766101820402267
2020-02-12,141.28326416015625,111.5205078125,13.739999771118164,14.946499919891357,-0.36531282692906875
2020-02-13,143.9215545654297,111.28856658935547,14.149999618530273,15.032999897003174,-0.2913685600267226
2020-02-14,141.38131713867188,111.86836242675781,13.680000305175781,15.100999927520752,-0.3704593934431847
2020-02-18,141.3367462158203,109.91499328613281,14.829999923706055,15.237499904632568,-0.3283611898338053
2020-02-19,143.62747192382812,110.102294921875,14.380000114440918,15.313999891281128,-0.2727663670863823
2020-02-20,146.98773193359375,112.89408111572266,15.5600004196167,15.446499919891357,-0.2469583837433945
2020-02-21,145.50808715820312,111.77023315429688,17.079999923706055,15.651499938964843,-0.26065854506215796
2020-02-24,138.02102661132812,109.62954711914062,25.030000686645508,16.174999952316284,-0.40851463846618874
2020-02-25,129.77630615234375,105.71387481689453,27.850000381469727,16.655999994277956,-0.5368207268230928
2020-02-26,128.82260131835938,101.05791473388672,27.559999465942383,17.219999933242796,-0.45857965521181715
2020-02-27,123.67967224121094,95.99165344238281,39.15999984741211,18.35849995613098,-0.48050821611767214
2020-02-28,125.82772827148438,95.05509948730469,40.11000061035156,19.589499998092652,-0.40374460563901604
2020-03-02,124.56208038330078,99.04209899902344,33.41999816894531,20.318499898910524,-0.5250519241915392
2020-03-03,118.62590026855469,96.83007049560547,36.81999969482422,21.26099991798401,-0.6308805129020174
2020-03-04,121.58507537841797,101.04898834228516,31.989999771118164,22.05799994468689,-0.6471391836180499
2020-03-05,115.80931091308594,95.9024429321289,39.619998931884766,23.281499910354615,-0.6837942875182886
2020-03-06,114.37603759765625,93.93123626708984,41.939998626708984,24.630499839782715,-0.6775188881786399
2020-03-09,103.64430236816406,84.03950500488281,54.459999084472656,26.57999978065491,-0.7383373675070277
2020-03-10,108.09644317626953,92.78062438964844,47.29999923706055,28.192999744415282,-0.8158106902633537
2020-03-11,99.44300079345703,88.43682098388672,53.900001525878906,30.12899980545044,-0.9452947100932901
2020-03-12,86.8927993774414,80.2041244506836,75.47000122070312,33.21549987792969,-1.0902815269642816
2020-03-13,95.51939392089844,86.06422424316406,57.83000183105469,35.39949998855591,-0.9950786294895427
2020-03-16,81.06111907958984,64.74663543701172,82.69000244140625,38.850000095367434,-0.9000418321131022
2020-03-17,85.06537628173828,65.8169937133789,75.91000366210938,41.9040002822876,-0.8193142734760379
2020-03-18,89.29354858398438,57.994571685791016,76.44999694824219,45.007500123977664,-0.535801426907691
2020-03-19,100.04319763183594,62.320533752441406,72.0,47.829500102996825,-0.3512524747634005
2020-03-20,99.48779296875,59.18979263305664,66.04000091552734,50.27750015258789,-0.2964021214896082
2020-03-23,100.11485290527344,60.47420120239258,61.59000015258789,52.10550012588501,-0.30849355557999053
2020-03-24,107.5321044921875,68.94771575927734,61.66999816894531,53.796500015258786,-0.3027091910985916
2020-03-25,105.98236846923828,74.6740493774414,63.95000076293945,55.61600008010864,-0.46994609284851707
2020-03-26,112.51273345947266,78.58969116210938,61.0,56.708000087738036,-0.38635032132483865
2020-03-27,108.01583099365234,77.58180236816406,65.54000091552734,57.97950010299682,-0.48130973269448446
2020-03-30,111.35716247558594,79.12486267089844,57.08000183105469,59.16250028610229,-0.42834028718100087
2020-03-31,108.62498474121094,76.7522964477539,53.540000915527344,59.99850034713745,-0.4470519920937025
2020-04-01,101.6556167602539,71.7306137084961,57.060001373291016,61.252000427246095,-0.5176019876946054
2020-04-02,104.48637390136719,73.90697479248047,50.90999984741211,61.81650047302246,-0.49197400604273445
2020-04-03,97.83950805664062,73.31829071044922,46.79999923706055,62.059500503540036,-0.652289207347239
2020-04-06,106.61837768554688,79.17835998535156,45.2400016784668,61.598500633239745,-0.5531142463030694
2020-04-07,103.8682632446289,81.13175201416016,46.70000076293945,61.568500709533694,-0.6680993325729594
2020-04-08,112.4590072631836,84.15547180175781,43.349998474121094,61.041000556945804,-0.5110150469828003
2020-04-09,109.54764556884766,85.01174926757812,41.66999816894531,59.35100040435791,-0.6059080800368294
2020-04-13,110.65841674804688,84.91361236572266,41.16999816894531,58.51800022125244,-0.5747653716461474
2020-04-14,112.04695129394531,88.36546325683594,37.7599983215332,56.27150001525879,-0.614998918315447
