Date,KLAC,XOM,VIX,AvgVIX,zscore
2020-01-30,160.73170471191406,48.71258544921875,15.489999771118164,13.696000051498412,-3.1471708653377184
2020-01-31,154.05775451660156,46.70513916015625,18.84000015258789,14.014500045776368,-2.9871948994222763
2020-02-03,157.95245361328125,45.66006088256836,17.969999313354492,14.211999988555908,-2.742983642221475
2020-02-04,166.197265625,45.08864974975586,16.049999237060547,14.32199993133545,-2.475911264027248
2020-02-05,159.20729064941406,47.16375732421875,15.149999618530273,14.389999914169312,-2.9445841255168532
2020-02-06,159.63487243652344,46.52469253540039,14.960000038146973,14.465499925613404,-2.8379210230162957
2020-02-07,153.46286010742188,46.216434478759766,15.470000267028809,14.611999940872192,-2.925759516460401
2020-02-10,157.0135955810547,45.72834014892578,15.039999961853027,14.735999917984008,-2.7738849100465512
2020-02-11,160.84320068359375,46.16304397583008,15.180000305175781,14.878999948501587,-2.7564567572184284
2020-02-12,163.5666961669922,46.72740936279297,13.739999771118164,14.946499919891357,-2.7829304491790046
2020-02-13,166.1228790283203,46.468109130859375,14.149999618530273,15.032999897003174,-2.6876187751294833
2020-02-14,163.85482788085938,46.25456237792969,13.680000305175781,15.100999927520752,-2.704626588996688
2020-02-18,157.30174255371094,45.667327880859375,14.829999923706055,15.237499904632568,-2.758300574845991
2020-02-19,160.7874298095703,46.01814270019531,14.380000114440918,15.313999891281128,-2.735607120029798
2020-02-20,156.27574157714844,45.652076721191406,15.5600004196167,15.446499919891357,-2.778383705622184
2020-02-21,150.5029296875,45.09534454345703,17.079999923706055,15.651499938964843,-2.819663409881996
2020-02-24,143.59994506835938,42.982810974121094,25.030000686645508,16.174999952316284,-2.648684955571043
2020-02-25,137.6963653564453,41.335487365722656,27.850000381469727,16.655999994277956,-2.526730093310855
2020-02-26,137.56561279296875,40.42793655395508,27.559999465942383,17.219999933242796,-2.391371137957929
2020-02-27,138.23817443847656,37.99509811401367,39.15999984741211,18.35849995613098,-2.0061776336856716
2020-02-28,143.58119201660156,39.2305793762207,40.11000061035156,19.589499998092652,-2.0776530196509597
2020-03-02,148.27978515625,41.0914421081543,33.41999816894531,20.318499898910524,-2.258443029135505
2020-03-03,143.6746063232422,39.12379837036133,36.81999969482422,21.26099991798401,-2.0593509589762746
2020-03-04,150.11996459960938,39.977970123291016,31.989999771118164,22.05799994468689,-2.048682392965998
2020-03-05,146.36488342285156,38.21625900268555,39.619998931884766,23.281499910354615,-1.8623881613993032
2020-03-06,145.42144775390625,36.37065124511719,41.939998626708984,24.630499839782715,-1.601916341292098
2020-03-09,135.37042236328125,31.924427032470703,54.459999084472656,26.57999978065491,-1.1442782069997914
2020-03-10,144.38458251953125,33.10652160644531,47.29999923706055,28.192999744415282,-1.1274528007554128
2020-03-11,135.37042236328125,32.01593780517578,53.900001525878906,30.12899980545044,-1.1582147268073912
2020-03-12,117.09937286376953,28.355222702026367,75.47000122070312,33.21549987792969,-0.9997134392535044
2020-03-13,135.790771484375,29.072114944458008,57.83000183105469,35.39949998855591,-0.7007092946276207
2020-03-16,120.96654510498047,26.303712844848633,82.69000244140625,38.850000095367434,-0.6028300618218029
2020-03-17,139.7700653076172,28.073049545288086,75.91000366210938,41.9040002822876,-0.46165813394725014
2020-03-18,123.32051086425781,25.258882522583008,76.44999694824219,45.007500123977664,-0.39230306814296684
2020-03-19,118.9675521850586,26.257953643798828,72.0,47.829500102996825,-0.6395151853401977
2020-03-20,106.50662994384766,24.96907615661621,66.04000091552734,50.27750015258789,-0.7153485363052632
2020-03-23,108.69241333007812,23.985261917114258,61.59000015258789,52.10550012588501,-0.517786674436361
2020-03-24,127.37450408935547,27.028226852416992,61.66999816894531,53.796500015258786,-0.5732321549760702
2020-03-25,128.4113311767578,28.439119338989258,63.95000076293945,55.61600008010864,-0.7654600714256241
2020-03-26,139.89149475097656,29.605972290039062,61.0,56.708000087738036,-0.6924609315068577
2020-03-27,132.86703491210938,28.179819107055664,65.54000091552734,57.97950010299682,-0.6286667013974936
2020-03-30,139.66734313964844,28.599275588989258,57.08000183105469,59.16250028610229,-0.5440423221195865
2020-03-31,134.26821899414062,28.957721710205078,53.540000915527344,59.99850034713745,-0.7165373871987981
2020-04-01,122.9375228881836,28.622148513793945,57.060001373291016,61.252000427246095,-0.912871180586558
2020-04-02,123.71281433105469,30.810956954956055,50.90999984741211,61.81650047302246,-1.2292822537936516
2020-04-03,119.50936126708984,29.90340805053711,46.79999923706055,62.059500503540036,-1.1828631348232692
2020-04-06,138.71453857421875,30.864334106445312,45.2400016784668,61.598500633239745,-0.9098039297214633
2020-04-07,137.56561279296875,31.451574325561523,46.70000076293945,61.568500709533694,-1.02432716817999
2020-04-08,142.32955932617188,33.44208908081055,43.349998474121094,61.041000556945804,-1.2234351859996078
2020-04-09,140.22775268554688,32.89297866821289,41.66999816894531,59.35100040435791,-1.1857083038963174
2020-04-13,142.06796264648438,32.61079788208008,41.16999816894531,58.51800022125244,-1.102547464973475
2020-04-14,151.0727996826172,32.3591194152832,37.7599983215332,56.27150001525879,-0.8675709670809366
2020-04-15,143.12353515625,30.871959686279297,40.84000015258789,54.51799983978272,-0.8146816854606641
2020-04-16,146.32748413085938,29.857648849487305,40.11000061035156,52.70100002288818,-0.590240703859535
2020-04-17,150.58700561523438,32.96162796020508,38.150001525878906,51.00850009918213,-0.969938020210537
