Date,JPM,LOW,VIX,AvgVIX,zscore
2015-01-30,40.26880645751953,55.22126388549805,20.969999313354492,19.119499969482423,-0.7951268330445327
2015-02-02,41.07594299316406,55.75095748901367,19.43000030517578,19.201499938964844,-0.7881110067778231
2015-02-03,42.001583099365234,56.745208740234375,17.329999923706055,19.071999931335448,-0.838456347593963
2015-02-04,41.74981689453125,57.59275817871094,18.329999923706055,18.932499885559082,-0.9935375696263341
2015-02-05,42.03860855102539,58.244712829589844,16.850000381469727,18.80949993133545,-1.0608379912792294
2015-02-06,42.86797332763672,58.595130920410156,17.290000915527344,18.823499965667725,-1.0243625364217104
2015-02-09,42.81614685058594,57.8209342956543,18.549999237060547,18.873499965667726,-0.9130714946364652
2015-02-10,43.29005813598633,58.48104476928711,17.229999542236328,18.754999923706055,-0.9616538268303609
2015-02-11,43.22343063354492,58.21210861206055,16.959999084472656,18.57499990463257,-0.9282341330743025
2015-02-12,44.11202621459961,58.831478118896484,15.34000015258789,18.267999935150147,-0.9259777771179675
2015-02-13,44.186092376708984,58.7173957824707,14.6899995803833,17.88299994468689,-0.9007737058892666
2015-02-17,44.504493713378906,59.05967330932617,15.800000190734863,17.62549991607666,-0.9181330460240256
2015-02-18,43.96393585205078,59.100399017333984,15.449999809265137,17.403499937057497,-0.9825341350685007
2015-02-19,43.860260009765625,58.91298294067383,15.289999961853027,17.22549991607666,-0.9654135645962585
2015-02-20,44.2823486328125,59.94796371459961,14.300000190734863,17.12049994468689,-1.0761725957470056
2015-02-23,43.94911193847656,60.08652114868164,14.5600004196167,17.015499973297118,-1.13300092249583
2015-02-24,45.03767013549805,60.836265563964844,13.6899995803833,16.9239999294281,-1.1288776556334326
2015-02-25,45.274635314941406,60.65697479248047,13.84000015258789,16.754999971389772,-1.0762747003364217
2015-02-26,45.60044860839844,60.388038635253906,13.90999984741211,16.428499937057495,-1.0005638124509242
2015-02-27,45.37830352783203,60.3798942565918,13.34000015258789,16.157499933242796,-1.0232736595982084
2015-03-02,45.74113845825195,61.194854736328125,13.039999961853027,15.760999965667725,-1.1072029138253716
2015-03-03,45.889259338378906,61.129661560058594,13.859999656677246,15.482499933242797,-1.081398892157914
2015-03-04,46.00773239135742,60.32284164428711,14.229999542236328,15.327499914169312,-0.9468306489881112
2015-03-05,45.911460876464844,60.76292419433594,14.039999961853027,15.11299991607666,-1.0236420827040082
2015-03-06,45.08950424194336,59.907203674316406,15.199999809265137,15.03049988746643,-0.9830365453385291
2015-03-09,45.54121398925781,60.518436431884766,15.0600004196167,14.918999862670898,-1.026632622558045
2015-03-10,44.40083312988281,59.54050064086914,16.690000534057617,14.825999927520751,-1.0018917689960778
2015-03-11,44.60817337036133,59.54865264892578,16.8700008392334,14.807999992370606,-0.980778510106139
2015-03-12,45.444942474365234,61.072601318359375,15.420000076293945,14.73100004196167,-1.120666423069955
2015-03-13,45.170963287353516,60.436946868896484,16.0,14.764000034332275,-1.0542304922072752
2015-03-16,45.800384521484375,61.480079650878906,15.609999656677246,14.810000038146972,-1.1438770866461259
2015-03-17,45.622676849365234,60.77106857299805,15.65999984741211,14.803000020980836,-1.0559922657689667
2015-03-18,45.72633361816406,60.730316162109375,13.970000267028809,14.729000043869018,-1.0386695822109624
2015-03-19,45.319061279296875,60.76292419433594,14.069999694824219,14.668000030517579,-1.0874817411387947
2015-03-20,45.72633361816406,61.308937072753906,13.020000457763672,14.604000043869018,-1.1260207171120744
2015-03-23,45.274635314941406,61.42303466796875,13.40999984741211,14.54650001525879,-1.1919224384238103
2015-03-24,44.771080017089844,61.61861038208008,13.619999885559082,14.543000030517579,-1.275712795882472
2015-03-25,44.14165115356445,60.518436431884766,15.4399995803833,14.623000001907348,-1.177455840223657
2015-03-26,44.089820861816406,59.37751388549805,15.800000190734863,14.717500019073487,-1.0108026658260152
2015-03-27,44.097225189208984,60.037635803222656,15.069999694824219,14.803999996185302,-1.1096596242320205
2015-03-30,45.14133071899414,60.95848846435547,14.510000228881836,14.877500009536742,-1.1361580243926137
2015-03-31,44.859947204589844,60.6243782043457,15.289999961853027,14.949000024795533,-1.1160424426020452
2015-04-01,44.68849182128906,60.6243782043457,15.109999656677246,14.993000030517578,-1.1345192497421146
2015-04-02,45.11338806152344,60.991111755371094,14.670000076293945,15.024500036239624,-1.144094205689664
2015-04-06,45.07612228393555,61.170387268066406,14.739999771118164,15.001500034332276,-1.1751743472014469
2015-04-07,45.35938262939453,60.39619827270508,14.779999732971191,14.9875,-1.0277739864848905
2015-04-08,45.508460998535156,60.96665573120117,13.979999542236328,14.851999950408935,-1.0978273721222835
2015-04-09,45.82155227661133,60.510292053222656,13.09000015258789,14.66299991607666,-0.9951925905856908
2015-04-10,45.99299621582031,61.03998947143555,12.579999923706055,14.520999908447266,-1.05668244793698
2015-04-13,46.268802642822266,60.15168762207031,13.9399995803833,14.417999887466431,-0.892858381304919
2015-04-14,46.991878509521484,60.290245056152344,13.670000076293945,14.320999908447266,-0.8358536915911448
2015-04-15,47.86400604248047,59.82572555541992,12.84000015258789,14.179999923706054,-0.6717433976433929
2015-04-16,47.56586837768555,60.371742248535156,12.600000381469727,14.111499929428101,-0.7863011201833617
2015-04-17,46.84278106689453,59.12487030029297,13.890000343322754,14.102499961853027,-0.6759910529221219
2015-04-20,47.14096450805664,59.378292083740234,13.300000190734863,14.116499948501588,-0.6821151145180244
2015-04-21,46.44770431518555,59.87699890136719,13.25,14.10849995613098,-0.8321109217400008
2015-04-22,46.917327880859375,59.738037109375,12.710000038146973,14.062999963760376,-0.7605238855888818
2015-04-23,46.81297302246094,59.98328399658203,12.479999542236328,13.914999961853027,-0.8087931759818358
2015-04-24,46.663883209228516,59.81159210205078,12.289999961853027,13.739499950408936,-0.798940411381661
2015-04-27,46.470069885253906,58.73242950439453,13.119999885559082,13.641999959945679,-0.6569115214217435
2015-04-28,46.78316116333008,58.650699615478516,12.40999984741211,13.536999940872192,-0.610833089724739
2015-04-29,47.4093017578125,57.587852478027344,13.390000343322754,13.44199995994568,-0.382905312038679
2015-04-30,47.15586853027344,56.29615783691406,14.550000190734863,13.413999986648559,-0.21521656867332836
2015-05-01,47.4167594909668,57.800437927246094,12.699999809265137,13.315499973297118,-0.4141944590845234
2015-05-04,48.24419403076172,58.250091552734375,12.850000381469727,13.221000003814698,-0.3929080441565428
2015-05-05,48.00565719604492,57.57971954345703,14.3100004196167,13.197500038146973,-0.31741157103456447
2015-05-06,47.64784622192383,57.857666015625,15.149999618530273,13.25600004196167,-0.39793091004847464
2015-05-07,48.080196380615234,59.100345611572266,15.130000114440918,13.358000040054321,-0.5389392312719052
2015-05-08,48.81816864013672,59.89335632324219,12.859999656677246,13.372000026702882,-0.5791283585019408
2015-05-11,48.788360595703125,59.86066818237305,13.850000381469727,13.367500066757202,-0.5774058638779833
2015-05-12,48.72126388549805,60.22857666015625,13.859999656677246,13.377000045776366,-0.6401775762021947
2015-05-13,48.84052658081055,59.770729064941406,13.760000228881836,13.423000049591064,-0.558206620299676
2015-05-14,49.235633850097656,59.0758056640625,12.739999771118164,13.430000019073486,-0.410719409150722
2015-05-15,49.10887908935547,59.75434875488281,12.380000114440918,13.354500007629394,-0.5268148979271107
2015-05-18,49.511417388916016,59.729862213134766,12.729999542236328,13.325999975204468,-0.47973895607891753
2015-05-19,49.95124053955078,58.724273681640625,12.850000381469727,13.305999994277954,-0.2805335971066154
2015-05-20,49.556156158447266,56.00184631347656,12.880000114440918,13.314499998092652,0.08787982673323146
2015-05-21,49.6828727722168,56.18170928955078,12.109999656677246,13.296000003814697,0.07438248293682698
2015-05-22,49.548702239990234,56.85209655761719,12.130000114440918,13.288000011444092,-0.04128092434201521
2015-05-26,48.997074127197266,56.884769439697266,14.0600004196167,13.335000038146973,-0.10565930402095433
2015-05-27,49.548702239990234,57.81679153442383,13.270000457763672,13.378000068664551,-0.18691548318226686
2015-05-28,49.3474235534668,57.59606170654297,13.3100004196167,13.374000072479248,-0.17528384730241917
2015-05-29,49.03435134887695,57.21180725097656,13.84000015258789,13.3385000705719,-0.15101319566804905
2015-06-01,49.25798034667969,57.34260559082031,13.970000267028809,13.402000093460083,-0.14665981152476587
2015-06-02,49.21324920654297,57.35078430175781,14.239999771118164,13.471500062942505,-0.1527149352400196
2015-06-03,49.72015380859375,57.759578704833984,13.65999984741211,13.439000034332276,-0.15980198898346976
2015-06-04,49.4443359375,57.34260559082031,14.710000038146973,13.41700005531311,-0.12657729066847911
2015-06-05,50.25686264038086,57.05647277832031,14.210000038146973,13.371000051498413,0.004180116364583975
2015-06-08,49.861778259277344,56.14900588989258,15.289999961853027,13.492500066757202,0.09859919470275084
2015-06-09,50.07794952392578,56.0263786315918,14.470000267028809,13.523500061035156,0.14040713279745304
2015-06-10,50.88300704956055,56.54958724975586,13.220000267028809,13.491500091552734,0.1481779172046568
2015-06-11,51.07681655883789,56.44332504272461,12.850000381469727,13.446000099182129,0.1851055119824496
2015-06-12,50.875553131103516,56.435150146484375,13.779999732971191,13.49800009727478,0.1646505732030076
2015-06-15,50.681739807128906,56.50054931640625,15.390000343322754,13.648500108718872,0.13389142954173402
2015-06-16,50.96500778198242,56.73762893676758,14.8100004196167,13.75250015258789,0.1286270940490828
2015-06-17,50.793556213378906,56.95836639404297,14.5,13.835000133514404,0.07682720924490065
2015-06-18,51.2706413269043,57.35078430175781,13.1899995803833,13.850500106811523,0.06899893974941167
2015-06-19,50.74882888793945,57.21998596191406,13.960000038146973,13.94300012588501,0.032511960097789706
2015-06-22,51.40480041503906,57.46525192260742,12.739999771118164,13.973500108718872,0.06617599851858272
2015-06-23,51.99370193481445,57.71869659423828,12.109999656677246,13.8760000705719,0.09137757591686045
2015-06-24,51.44952392578125,57.293556213378906,13.260000228881836,13.875500059127807,0.09691553889452369
2015-06-25,51.173728942871094,56.950191497802734,14.010000228881836,13.910500049591064,0.11903045905375186
2015-06-26,51.397361755371094,56.09178924560547,14.020000457763672,13.919500064849853,0.2727182876229836
2015-06-29,50.092857360839844,55.20881271362305,18.850000381469727,14.1635000705719,0.26543698346872063
2015-06-30,50.510311126708984,54.750999450683594,18.229999542236328,14.363000059127808,0.37953717410767174
2015-07-01,51.07302474975586,54.97173309326172,16.09000015258789,14.484500074386597,0.4068548249108495
2015-07-02,50.66036605834961,54.530269622802734,16.790000915527344,14.588500118255615,0.4290301088261342
2015-07-06,50.517822265625,54.16237258911133,17.010000228881836,14.728500127792358,0.4692082852595943
2015-07-07,50.1201286315918,55.07802200317383,16.09000015258789,14.768500137329102,0.2881205946512179
2015-07-08,49.09223937988281,54.39128875732422,19.65999984741211,15.028000116348267,0.2810228467738417
2015-07-09,49.60243225097656,54.7918701171875,19.969999313354492,15.36550006866455,0.2755300285709157
2015-07-10,50.30771255493164,55.47043991088867,16.829999923706055,15.564500045776366,0.24909436825929773
2015-07-13,51.08803176879883,55.838340759277344,13.899999618530273,15.570500040054322,0.27764517828267515
2015-07-14,51.80082321166992,55.91191101074219,13.369999885559082,15.469500017166137,0.34335232036515556
2015-07-15,51.91337203979492,55.81381607055664,13.229999542236328,15.39049997329712,0.370289930612112
2015-07-16,52.190975189208984,55.781105041503906,12.109999656677246,15.270999956130982,0.4051439003862929
2015-07-17,51.928375244140625,55.20881271362305,11.949999809265137,15.208999967575073,0.46324068772687776
2015-07-20,51.96588897705078,54.75731658935547,12.25,15.123499965667724,0.5354431601678168
2015-07-21,51.84584045410156,54.5027961730957,12.220000267028809,15.097499990463257,0.5609297001780025
2015-07-22,52.58114242553711,55.36481475830078,12.119999885559082,15.098000001907348,0.5100350812364604
2015-07-23,52.250999450683594,55.578243255615234,12.640000343322754,15.067000007629394,0.44223728561237274
2015-07-24,51.70328903198242,55.1513557434082,13.739999771118164,15.053499984741212,0.44765833472059713
2015-07-27,51.02799606323242,55.036415100097656,15.600000381469727,15.132499980926514,0.3922376524031432
2015-07-28,51.05802917480469,55.660343170166016,13.4399995803833,14.861999940872192,0.301283255082526
