Date,SHEL,XLU,VIX,AvgVIX,zscore
2022-01-31,43.93992614746094,30.442838668823242,24.829999923706055,23.18100004196167,-1.4328464541357073
2022-02-01,45.034149169921875,30.038408279418945,21.959999084472656,23.448999977111818,-1.1757783991981166
2022-02-02,45.52142333984375,30.48240852355957,22.09000015258789,23.707999992370606,-1.2072912132750653
2022-02-03,46.08562469482422,30.346126556396484,24.350000381469727,23.939000034332274,-1.0916428693829376
2022-02-04,47.10291290283203,30.104352951049805,23.219999313354492,24.119499969482423,-0.8840462755988742
2022-02-07,47.62437057495117,30.06038475036621,22.860000610351562,24.324499988555907,-0.7963382744525238
2022-02-08,46.718231201171875,30.08236312866211,21.440000534057617,24.426500034332275,-0.9360177009698794
2022-02-09,46.812255859375,30.214248657226562,19.959999084472656,24.503999996185303,-0.952908100165322
2022-02-10,46.607093811035156,29.44932746887207,23.90999984741211,24.818499946594237,-0.804439193397194
2022-02-11,47.19695281982422,29.466909408569336,27.360000610351562,25.171000003814697,-0.720973156256575
2022-02-14,46.4874153137207,29.216337203979492,28.329999923706055,25.62799997329712,-0.7677073322956097
2022-02-15,45.70948791503906,29.080059051513672,25.700000762939453,25.773499965667725,-0.8513312722210388
2022-02-16,46.196754455566406,29.145999908447266,24.290000915527344,25.795499992370605,-0.7944096671129858
2022-02-17,45.84626388549805,29.1635799407959,28.110000610351562,25.92150001525879,-0.8505607641233875
2022-02-18,45.51287078857422,29.110837936401367,27.75,25.866499996185304,-0.8877236165275576
2022-02-22,45.02559280395508,29.080059051513672,28.809999465942383,25.811999988555907,-0.9528719999964882
2022-02-23,44.99140167236328,28.58770179748535,31.020000457763672,25.805000019073486,-0.842776419564499
2022-02-24,44.10234451293945,28.816295623779297,30.31999969482422,25.723000049591064,-1.0282510102604596
2022-02-25,46.34208297729492,29.70869255065918,27.59000015258789,25.57800006866455,-0.9044570562779222
2022-02-28,44.78623580932617,29.862558364868164,30.149999618530273,25.70250005722046,-1.1714523527877592
2022-03-01,44.256221771240234,29.603191375732422,33.31999969482422,26.127000045776366,-1.1894746654330397
2022-03-02,46.69257354736328,29.96367645263672,30.739999771118164,26.566000080108644,-0.9120640427596444
