Date,SHEL,INTC,VIX,AvgVIX,zscore
2022-01-31,43.939918518066406,45.27891540527344,24.829999923706055,23.18100004196167,-1.7756978736277804
2022-02-01,45.034141540527344,45.39947509765625,21.959999084472656,23.448999977111818,-1.595352362541124
2022-02-02,45.52141571044922,45.918861389160156,22.09000015258789,23.707999992370606,-1.5300912613321427
2022-02-03,46.08562088012695,44.778076171875,24.350000381469727,23.939000034332274,-1.398226808042636
2022-02-04,47.10291290283203,44.86685562133789,23.219999313354492,24.119499969482423,-1.229807666194869
2022-02-07,47.6243782043457,45.025726318359375,22.860000610351562,24.324499988555907,-1.1471391855934538
2022-02-08,46.718223571777344,45.614479064941406,21.440000534057617,24.426500034332275,-1.318740474359924
2022-02-09,46.812252044677734,46.64247131347656,19.959999084472656,24.503999996185303,-1.3361288020510704
2022-02-10,46.60708999633789,45.66121292114258,23.90999984741211,24.818499946594237,-1.3389630112457962
2022-02-11,47.19694900512695,44.5117301940918,27.360000610351562,25.171000003814697,-1.2024979847078863
2022-02-14,46.48741149902344,44.465003967285156,28.329999923706055,25.62799997329712,-1.3204574683122623
2022-02-15,45.7094841003418,45.26870346069336,25.700000762939453,25.773499965667725,-1.4774144990452043
2022-02-16,46.196754455566406,45.072444915771484,24.290000915527344,25.795499992370605,-1.3890273165798614
2022-02-17,45.84626388549805,44.45566177368164,28.110000610351562,25.92150001525879,-1.4281097965827805
2022-02-18,45.51287078857422,42.09130096435547,27.75,25.866499996185304,-1.4078388772109618
2022-02-22,45.025596618652344,41.76421356201172,28.809999465942383,25.811999988555907,-1.4793142945506814
2022-02-23,44.99140167236328,41.726829528808594,31.020000457763672,25.805000019073486,-1.4838638224449339
2022-02-24,44.10234832763672,43.661312103271484,30.31999969482422,25.723000049591064,-1.6960741569321005
2022-02-25,46.34208297729492,44.58649444580078,27.59000015258789,25.57800006866455,-1.348853461902055
2022-02-28,44.786231994628906,44.5771484375,30.149999618530273,25.70250005722046,-1.6105202739897406
2022-03-01,44.2562255859375,43.75476837158203,33.31999969482422,26.127000045776366,-1.6731849590417942
2022-03-02,46.69257736206055,45.670555114746094,30.739999771118164,26.566000080108644,-1.324870844257657
2022-03-03,43.89717483520508,44.79209518432617,30.479999542236328,26.985500049591064,-1.7671628630620542
2022-03-04,42.221649169921875,44.92293167114258,31.979999542236328,27.367000007629393,-2.053510213321295
2022-03-07,44.07670211791992,44.5584602355957,36.45000076293945,28.028500080108643,-1.7293845476419218
2022-03-08,45.256404876708984,44.39025115966797,35.130001068115234,28.642000102996825,-1.5253144232323943
2022-03-09,44.20492935180664,44.5117301940918,32.45000076293945,29.192500114440918,-1.7062839626173156
2022-03-10,44.18782424926758,43.60523986816406,30.229999542236328,29.706000137329102,-1.6798699892073348
2022-03-11,43.53813552856445,42.8295783996582,30.75,30.048000144958497,-1.7641961249033078
2022-03-14,42.708919525146484,41.493202209472656,31.770000457763672,30.268500137329102,-1.8606304330880872
2022-03-15,43.042320251464844,41.87635803222656,29.829999923706055,30.3435001373291,-1.8168755996880905
2022-03-16,42.939735412597656,43.577205657958984,26.670000076293945,30.392000102996825,-1.8891129432301503
2022-03-17,44.341705322265625,44.05381774902344,25.670000076293945,30.461000061035158,-1.6684562317640295
2022-03-18,43.7347526550293,44.3435173034668,23.8700008392334,30.249000072479248,-1.780014742754054
2022-03-21,45.683837890625,44.287445068359375,23.530000686645508,30.038000106811523,-1.4500224487932105
2022-03-22,45.3675422668457,45.22197723388672,22.940000534057617,29.744500160217285,-1.5334794876738218
2022-03-23,46.795166015625,45.10983657836914,23.56999969482422,29.37200012207031,-1.2894771824830467
2022-03-24,47.03451919555664,48.24051284790039,21.670000076293945,28.9395001411438,-1.3503464111671593
2022-03-25,47.52178955078125,48.436767578125,20.809999465942383,28.600500106811523,-1.2746436575507014
2022-03-28,46.14546585083008,48.13771438598633,19.6299991607666,28.07450008392334,-1.4967201281756897
2022-03-29,45.69239807128906,48.82926940917969,18.899999618530273,27.353500080108642,-1.5953543615360397
2022-03-30,47.53889083862305,48.06295394897461,19.329999923706055,26.78300008773804,-1.2596840690000135
2022-03-31,46.957584381103516,46.31538391113281,20.559999465942383,26.28700008392334,-1.3010881117580886
2022-04-01,47.63291931152344,44.96031188964844,19.6299991607666,25.669500064849853,-1.1435871356913212
2022-04-04,47.71841812133789,45.97895431518555,18.56999969482422,24.77550001144409,-1.1621095105525445
2022-04-05,46.94047927856445,44.97900390625,21.030000686645508,24.070499992370607,-1.260781856504799
2022-04-06,47.27388381958008,44.42762756347656,22.100000381469727,23.55299997329712,-1.1868261111237264
2022-04-07,47.37646484375,44.446327209472656,21.549999237060547,23.11899995803833,-1.1701581674341188
2022-04-08,47.949222564697266,43.94166946411133,21.15999984741211,22.639499950408936,-1.0574107114979212
2022-04-11,47.29098129272461,43.52113723754883,24.3700008392334,22.26949996948242,-1.154653225662932
2022-04-12,47.86373519897461,43.455711364746094,24.260000228881836,21.99099998474121,-1.0561005954865232
2022-04-13,48.761348724365234,43.93232345581055,21.81999969482422,21.748499965667726,-0.9203656772265583
2022-04-14,48.82118606567383,42.6800537109375,22.700000762939453,21.6,-0.8698222186301314
2022-04-18,49.00926208496094,43.586544036865234,22.170000076293945,21.51499996185303,-0.8674486971476886
2022-04-19,49.65895080566406,44.79209518432617,21.3700008392334,21.40699996948242,-0.7970148432950265
2022-04-20,49.47087860107422,44.96031188964844,20.31999969482422,21.27599992752075,-0.8341178723405522
2022-04-21,48.47924041748047,44.39025115966797,22.68000030517578,21.23149995803833,-0.9826644601056285
2022-04-22,47.43630599975586,43.493099212646484,28.209999084472656,21.558499908447267,-1.129277876691198
2022-04-25,45.97449493408203,43.979061126708984,27.020000457763672,21.86899995803833,-1.3911169037865783
2022-04-26,45.350440979003906,42.539878845214844,33.52000045776367,22.563500022888185,-1.4496844581952149
2022-04-27,45.9915885925293,42.259517669677734,31.600000381469727,23.198500061035155,-1.3326700981009953
2022-04-28,46.991783142089844,43.773460388183594,29.989999771118164,23.73150005340576,-1.2131852367020814
2022-04-29,45.67529296875,40.736228942871094,33.400001525878906,24.37350015640259,-1.3367003858214621
2022-05-02,45.93174362182617,42.016536712646484,32.34000015258789,25.00900020599365,-1.3348944344829727
2022-05-03,47.564537048339844,42.1099853515625,29.25,25.54300022125244,-1.0629901725012216
2022-05-04,48.70149612426758,43.493099212646484,25.420000076293945,25.762500190734862,-0.9162495152594244
