Date,CL,MNST,VIX,AvgVIX,zscore
2015-01-30,51.853389739990234,19.491666793823242,20.969999313354492,19.119499969482423,-0.01959267933033473
2015-02-02,52.98234558105469,19.59166717529297,19.43000030517578,19.201499938964844,0.33837513679008546
2015-02-03,53.13593673706055,19.44499969482422,17.329999923706055,19.071999931335448,0.4195335978896289
2015-02-04,53.143592834472656,19.788333892822266,18.329999923706055,18.932499885559082,0.352567236126251
2015-02-05,53.596702575683594,19.72833251953125,16.850000381469727,18.80949993133545,0.5165181585226503
2015-02-06,53.22039031982422,19.524999618530273,17.290000915527344,18.823499965667725,0.4316255958088107
2015-02-09,53.043766021728516,19.323333740234375,18.549999237060547,18.873499965667726,0.41329434039873014
2015-02-10,53.327919006347656,19.748332977294922,17.229999542236328,18.754999923706055,0.4224205794511202
2015-02-11,53.350955963134766,19.831666946411133,16.959999084472656,18.57499990463257,0.41326174511876196
2015-02-12,53.64277648925781,19.918333053588867,15.34000015258789,18.267999935150147,0.4934752238853442
2015-02-13,53.81942367553711,19.623332977294922,14.6899995803833,17.88299994468689,0.612397843642794
2015-02-17,53.903900146484375,19.78499984741211,15.800000190734863,17.62549991607666,0.6079584991860065
2015-02-18,54.17268753051758,20.046667098999023,15.449999809265137,17.403499937057497,0.6450146314449624
2015-02-19,53.91925811767578,20.18833351135254,15.289999961853027,17.22549991607666,0.5314214381041401
2015-02-20,53.942283630371094,20.209999084472656,14.300000190734863,17.12049994468689,0.5347477176844941
2015-02-23,54.280189514160156,20.35333251953125,14.5600004196167,17.015499973297118,0.6189244433510356
2015-02-24,54.53361892700195,20.801666259765625,13.6899995803833,16.9239999294281,0.6130321038462015
2015-02-25,54.53361892700195,20.63166618347168,13.84000015258789,16.754999971389772,0.6474601452809174
2015-02-26,54.61042404174805,20.790000915527344,13.90999984741211,16.428499937057495,0.641125581488584
2015-02-27,54.3877067565918,23.520000457763672,13.34000015258789,16.157499933242796,0.013637949607427046
2015-03-02,54.53361892700195,23.538333892822266,13.039999961853027,15.760999965667725,0.05880819572861308
2015-03-03,54.280189514160156,23.448333740234375,13.859999656677246,15.482499933242797,-0.007868394568749031
2015-03-04,54.280189514160156,23.25666618347168,14.229999542236328,15.327499914169312,0.030947697339981036
2015-03-05,54.879215240478516,23.338333129882812,14.039999961853027,15.11299991607666,0.2150926343573856
2015-03-06,53.18199157714844,22.770000457763672,15.199999809265137,15.03049988746643,-0.2384090757489963
2015-03-09,53.44309616088867,22.86833381652832,15.0600004196167,14.918999862670898,-0.17084879343859866
2015-03-10,52.52920150756836,22.65333366394043,16.690000534057617,14.825999927520751,-0.4334779027238433
2015-03-11,52.13754653930664,22.65999984741211,16.8700008392334,14.807999992370606,-0.5660390912166188
2015-03-12,52.62905502319336,22.975000381469727,15.420000076293945,14.73100004196167,-0.4651684891499149
2015-03-13,52.575294494628906,22.579999923706055,16.0,14.764000034332275,-0.4031845695451765
2015-03-16,53.00537109375,23.00666618347168,15.609999656677246,14.810000038146972,-0.3455090052413748
2015-03-17,52.53689193725586,22.71500015258789,15.65999984741211,14.803000020980836,-0.4433900377810382
2015-03-18,52.475467681884766,22.78499984741211,13.970000267028809,14.729000043869018,-0.4781444066598671
2015-03-19,52.444740295410156,23.046667098999023,14.069999694824219,14.668000030517579,-0.5414308870603612
2015-03-20,53.42008590698242,22.920000076293945,13.020000457763672,14.604000043869018,-0.18902096252052286
2015-03-23,53.8885498046875,22.989999771118164,13.40999984741211,14.54650001525879,-0.046253663246539234
2015-03-24,53.22807693481445,23.116666793823242,13.619999885559082,14.543000030517579,-0.2931757899599918
2015-03-25,52.90552520751953,22.671667098999023,15.4399995803833,14.623000001907348,-0.31111582121568826
2015-03-26,52.79033279418945,22.761667251586914,15.800000190734863,14.717500019073487,-0.3679338988396158
2015-03-27,52.79802703857422,22.998332977294922,15.069999694824219,14.803999996185302,-0.4132852163819886
2015-03-30,53.21270751953125,23.406667709350586,14.510000228881836,14.877500009536742,-0.3570551564780132
2015-03-31,53.25111770629883,23.066667556762695,15.289999961853027,14.949000024795533,-0.2753309987338042
2015-04-01,53.05913543701172,22.774999618530273,15.109999656677246,14.993000030517578,-0.2805804201455649
2015-04-02,53.243438720703125,22.610000610351562,14.670000076293945,15.024500036239624,-0.18542040604079707
2015-04-06,53.71958923339844,22.953332901000977,14.739999771118164,15.001500034332276,-0.09543267415343902
2015-04-07,53.53527069091797,22.920000076293945,14.779999732971191,14.9875,-0.15043207376852205
2015-04-08,53.681182861328125,22.96500015258789,13.979999542236328,14.851999950408935,-0.1106622971611754
2015-04-09,53.72725296020508,22.933332443237305,13.09000015258789,14.66299991607666,-0.08881474482402782
2015-04-10,53.45847702026367,23.05666732788086,12.579999923706055,14.520999908447266,-0.20383682870298253
2015-04-13,53.22807693481445,22.963333129882812,13.9399995803833,14.417999887466431,-0.26212299368741643
2015-04-14,53.47381591796875,22.633333206176758,13.670000076293945,14.320999908447266,-0.11296533853066325
2015-04-15,53.66579818725586,22.948333740234375,12.84000015258789,14.179999923706054,-0.11244118309149208
2015-04-16,53.81942367553711,23.0,12.600000381469727,14.111499929428101,-0.07143733280687728
2015-04-17,53.20503234863281,22.81833267211914,13.890000343322754,14.102499961853027,-0.2404781537250357
2015-04-20,52.575294494628906,23.26333236694336,13.300000190734863,14.116499948501588,-0.541571552553237
2015-04-21,53.29350280761719,23.308332443237305,13.25,14.10849995613098,-0.31007270006808807
2015-04-22,53.50201416015625,23.31833267211914,12.710000038146973,14.062999963760376,-0.24224302595366878
2015-04-23,53.4556770324707,23.393333435058594,12.479999542236328,13.914999961853027,-0.27295575222205604
2015-04-24,53.41703796386719,23.6299991607666,12.289999961853027,13.739499950408936,-0.3338295285417695
2015-04-27,53.27033996582031,23.906667709350586,13.119999885559082,13.641999959945679,-0.4390061931661749
2015-04-28,53.108150482177734,23.456666946411133,12.40999984741211,13.536999940872192,-0.4022093023570077
2015-04-29,52.907379150390625,23.19333267211914,13.390000343322754,13.44199995994568,-0.41614128254071175
2015-04-30,51.957489013671875,22.851667404174805,14.550000190734863,13.413999986648559,-0.665177558948604
2015-05-01,52.26639175415039,23.52166748046875,12.699999809265137,13.315499973297118,-0.6973767558591769
2015-05-04,52.40541076660156,23.641666412353516,12.850000381469727,13.221000003814698,-0.6751049092565916
2015-05-05,52.03472137451172,23.43833351135254,14.3100004196167,13.197500038146973,-0.7581137156524828
2015-05-06,52.35133743286133,23.413333892822266,15.149999618530273,13.25600004196167,-0.6469790089449604
2015-05-07,52.420841217041016,23.915000915527344,15.130000114440918,13.358000040054321,-0.7252905445126636
2015-05-08,52.667972564697266,21.411666870117188,12.859999656677246,13.372000026702882,-0.13552757845341748
2015-05-11,52.382232666015625,22.334999084472656,13.850000381469727,13.367500066757202,-0.41824658016329347
2015-05-12,52.420841217041016,21.98666763305664,13.859999656677246,13.377000045776366,-0.33476873066329627
2015-05-13,52.20462417602539,21.656667709350586,13.760000228881836,13.423000049591064,-0.34037430912066946
2015-05-14,53.00003433227539,22.106666564941406,12.739999771118164,13.430000019073486,-0.16503096969725273
2015-05-15,53.00003433227539,22.053333282470703,12.380000114440918,13.354500007629394,-0.15423003066958113
2015-05-18,52.9846076965332,21.876667022705078,12.729999542236328,13.325999975204468,-0.12362015739984802
2015-05-19,53.39389419555664,21.71666717529297,12.850000381469727,13.305999994277954,0.04590069419152527
2015-05-20,53.20082473754883,21.540000915527344,12.880000114440918,13.314499998092652,0.01699715890344504
2015-05-21,53.14677047729492,21.70166778564453,12.109999656677246,13.296000003814697,-0.03385236919397776
2015-05-22,52.899654388427734,21.56833267211914,12.130000114440918,13.288000011444092,-0.08963778615104265
