Date,CL,LOW,VIX,AvgVIX,zscore
2020-01-30,59.94426727294922,106.78424835205078,15.489999771118164,13.696000051498412,-1.283258361634658
2020-01-31,63.66328048706055,103.68024444580078,18.84000015258789,14.014500045776368,-0.11386982519186477
2020-02-03,64.65559387207031,104.5186767578125,17.969999313354492,14.211999988555908,0.15673049168720105
2020-02-04,65.06114196777344,106.4542007446289,16.049999237060547,14.32199993133545,0.22773767069977896
2020-02-05,65.34587860107422,108.933837890625,15.149999618530273,14.389999914169312,0.2497415114496022
2020-02-06,65.84638214111328,108.38082122802734,14.960000038146973,14.465499925613404,0.4104792931397426
2020-02-07,65.60476684570312,108.35406494140625,15.470000267028809,14.611999940872192,0.3401833171156116
2020-02-10,66.74378204345703,108.11325073242188,15.039999961853027,14.735999917984008,0.6806894179722192
2020-02-11,65.67379760742188,109.73660278320312,15.180000305175781,14.878999948501587,0.32609973747343773
2020-02-12,65.5357437133789,111.52046203613281,13.739999771118164,14.946499919891357,0.24122344487522276
2020-02-13,65.89812469482422,111.28857421875,14.149999618530273,15.032999897003174,0.3534151165067323
2020-02-14,66.17427062988281,111.86834716796875,13.680000305175781,15.100999927520752,0.42010949434921746
2020-02-18,65.63926696777344,109.91498565673828,14.829999923706055,15.237499904632568,0.311525308019088
2020-02-19,65.1819839477539,110.10230255126953,14.380000114440918,15.313999891281128,0.17256913585159625
2020-02-20,64.85403442382812,112.89408111572266,15.5600004196167,15.446499919891357,0.006873860254787236
2020-02-21,65.81185913085938,111.7702407836914,17.079999923706055,15.651499938964843,0.3161095538164328
2020-02-24,64.21552276611328,109.62955474853516,25.030000686645508,16.174999952316284,-0.09952618563212427
2020-02-25,63.68054962158203,105.71387481689453,27.850000381469727,16.655999994277956,-0.15933578641632834
2020-02-26,62.92119216918945,101.05792999267578,27.559999465942383,17.219999933242796,-0.266649310537116
2020-02-27,60.531028747558594,95.99164581298828,39.15999984741211,18.35849995613098,-0.8427229681575162
2020-02-28,58.3048095703125,95.05509948730469,40.11000061035156,19.589499998092652,-1.4732754449646515
2020-03-02,62.50703811645508,99.0421142578125,33.41999816894531,20.318499898910524,-0.3381886729831994
2020-03-03,61.93752670288086,96.830078125,36.81999969482422,21.26099991798401,-0.4504792402256749
2020-03-04,65.03526306152344,101.04899597167969,31.989999771118164,22.05799994468689,0.3544620733035152
2020-03-05,62.42074966430664,95.90243530273438,39.619998931884766,23.281499910354615,-0.28550681231957964
2020-03-06,62.567420959472656,93.93123626708984,41.939998626708984,24.630499839782715,-0.1934440575589124
2020-03-09,60.392974853515625,84.0395278930664,54.459999084472656,26.57999978065491,-0.5862461584264188
2020-03-10,61.96342086791992,92.7806167602539,47.29999923706055,28.192999744415282,-0.3422410236046463
2020-03-11,59.45243453979492,88.43683624267578,53.900001525878906,30.12899980545044,-0.9717545672666862
2020-03-12,55.12940216064453,80.20413970947266,75.47000122070312,33.21549987792969,-2.0368111268719105
2020-03-13,59.6250114440918,86.06422424316406,57.83000183105469,35.39949998855591,-0.8621079742376798
2020-03-16,53.79193878173828,64.74665832519531,82.69000244140625,38.850000095367434,-2.0454814890600694
2020-03-17,60.57417297363281,65.81697082519531,75.91000366210938,41.9040002822876,-0.08018019852979372
2020-03-18,58.408348083496094,57.994571685791016,76.44999694824219,45.007500123977664,-0.5218747564193646
2020-03-19,57.510948181152344,62.320526123046875,72.0,47.829500102996825,-0.8929398791520936
2020-03-20,53.56759262084961,59.18978500366211,66.04000091552734,50.27750015258789,-1.9732765558206746
2020-03-23,52.1783561706543,60.47419357299805,61.59000015258789,52.10550012588501,-2.413205458239296
2020-03-24,52.7910041809082,68.94771575927734,61.66999816894531,53.796500015258786,-2.4438502850387374
2020-03-25,51.677879333496094,74.67401885986328,63.95000076293945,55.61600008010864,-2.913072570023581
2020-03-26,55.06899642944336,78.58969116210938,61.0,56.708000087738036,-2.014431211275675
2020-03-27,56.31155014038086,77.58182525634766,65.54000091552734,57.97950010299682,-1.6244544780151429
2020-03-30,57.450557708740234,79.12487030029297,57.08000183105469,59.16250028610229,-1.3282813474831532
2020-03-31,57.260711669921875,76.75228118896484,53.540000915527344,59.99850034713745,-1.3250766689781306
2020-04-01,56.56179428100586,71.73060607910156,57.060001373291016,61.252000427246095,-1.405550553249321
2020-04-02,58.82252883911133,73.90696716308594,50.90999984741211,61.81650047302246,-0.7956717921911356
2020-04-03,58.34794998168945,73.31826782226562,46.79999923706055,62.059500503540036,-0.9204228450339282
2020-04-06,60.833038330078125,79.17839813232422,45.2400016784668,61.598500633239745,-0.33619822114132514
2020-04-07,59.573238372802734,81.13175964355469,46.70000076293945,61.568500709533694,-0.7547366030592223
