Date,XOM,BP,VIX,AvgVIX,zscore
2020-01-30,48.712589263916016,26.357297897338867,15.489999771118164,13.696000051498412,-3.028090737216253
2020-01-31,46.70513153076172,25.716697692871094,18.84000015258789,14.014500045776368,-2.9472920838919223
2020-02-03,45.660057067871094,25.076093673706055,17.969999313354492,14.211999988555908,-2.774448996776948
2020-02-04,45.088645935058594,25.980052947998047,16.049999237060547,14.32199993133545,-3.2140406428776833
2020-02-05,47.16376876831055,26.81283950805664,15.149999618530273,14.389999914169312,-3.370208322589885
2020-02-06,46.52470016479492,26.250530242919922,14.960000038146973,14.465499925613404,-3.1918756376577178
2020-02-07,46.21642303466797,25.88752555847168,15.470000267028809,14.611999940872192,-3.066777665069067
2020-02-10,45.72833251953125,25.7593994140625,15.039999961853027,14.735999917984008,-3.0588977032297913
2020-02-11,46.16304016113281,26.015634536743164,15.180000305175781,14.878999948501587,-3.126437098118707
2020-02-12,46.72740173339844,26.45694351196289,13.739999771118164,14.946499919891357,-3.260388092099815
2020-02-13,46.468101501464844,26.1962890625,14.149999618530273,15.032999897003174,-3.174190722173973
2020-02-14,46.25456237792969,26.06595802307129,13.680000305175781,15.100999927520752,-3.139113598708978
2020-02-18,45.66731643676758,26.13112449645996,14.829999923706055,15.237499904632568,-3.2230285506238006
2020-02-19,46.01814651489258,26.246976852416992,14.380000114440918,15.313999891281128,-3.2388095037081746
2020-02-20,45.65208053588867,26.051475524902344,15.5600004196167,15.446499919891357,-3.190568038026022
2020-02-21,45.09535217285156,25.602563858032227,17.079999923706055,15.651499938964843,-3.0526494734213965
2020-02-24,42.98281478881836,24.661293029785156,25.030000686645508,16.174999952316284,-2.853863248556411
2020-02-25,41.33549118041992,23.843114852905273,27.850000381469727,16.655999994277956,-2.66300146777228
2020-02-26,40.42793273925781,23.66209602355957,27.559999465942383,17.219999933242796,-2.672715827920737
2020-02-27,37.995094299316406,22.82943344116211,39.15999984741211,18.35849995613098,-2.550813039374769
2020-02-28,39.23057556152344,22.65566635131836,40.11000061035156,19.589499998092652,-2.3586541056179864
2020-03-02,41.09143829345703,23.33626937866211,33.41999816894531,20.318499898910524,-2.470507960779672
2020-03-03,39.123817443847656,23.111814498901367,36.81999969482422,21.26099991798401,-2.563110423231404
2020-03-04,39.97797393798828,23.995161056518555,31.989999771118164,22.05799994468689,-2.8575823704374788
2020-03-05,38.21625900268555,23.604171752929688,39.619998931884766,23.281499910354615,-2.8595749470205916
2020-03-06,36.37064743041992,22.626697540283203,41.939998626708984,24.630499839782715,-2.619842973554338
2020-03-09,31.92442512512207,18.30409812927246,54.459999084472656,26.57999978065491,-1.2043481038782142
2020-03-10,33.10651397705078,19.397415161132812,47.29999923706055,28.192999744415282,-1.5568701698876612
2020-03-11,32.015933990478516,17.855180740356445,53.900001525878906,30.12899980545044,-1.0044293752239808
2020-03-12,28.355226516723633,15.617856979370117,75.47000122070312,33.21549987792969,-0.40180031060993443
2020-03-13,29.07211685180664,16.05228614807129,57.83000183105469,35.39949998855591,-0.5182336850257864
2020-03-16,26.3037109375,13.641183853149414,82.69000244140625,38.850000095367434,0.24373731111799313
2020-03-17,28.073055267333984,13.641183853149414,75.91000366210938,41.9040002822876,0.41295827312215544
2020-03-18,25.25888442993164,11.66451644897461,76.44999694824219,45.007500123977664,0.9855527341522852
2020-03-19,26.25794792175293,12.308924674987793,72.0,47.829500102996825,0.8066891534266682
2020-03-20,24.969072341918945,12.59130859375,66.04000091552734,50.27750015258789,0.5631702200751151
2020-03-23,23.985261917114258,13.170550346374512,61.59000015258789,52.10550012588501,0.2224140638839888
2020-03-24,27.028223037719727,16.016082763671875,61.66999816894531,53.796500015258786,-0.6982958620790383
2020-03-25,28.439115524291992,17.587282180786133,63.95000076293945,55.61600008010864,-1.2324362524933357
2020-03-26,29.605972290039062,17.68140983581543,61.0,56.708000087738036,-1.160920775073377
