Date,GOOGL,XLF,VIX,AvgVIX,zscore
2023-01-31,98.02977752685547,34.66024398803711,19.399999618530273,20.202999973297118,-1.892987834979214
2023-02-01,99.60675811767578,34.66024398803711,17.8700008392334,19.951500034332277,-1.7820236036126549
2023-02-02,106.85681915283203,34.755043029785156,18.729999542236328,19.7875,-1.2873581770181977
2023-02-03,103.92108917236328,34.688682556152344,18.329999923706055,19.58100004196167,-1.483091058183626
2023-02-06,102.05650329589844,34.67919921875,19.43000030517578,19.49600009918213,-1.6127435650477846
2023-02-07,106.75765228271484,35.07737350463867,18.65999984741211,19.33050012588501,-1.3469875746600266
2023-02-08,98.5554428100586,34.86881637573242,19.6299991607666,19.28300008773804,-1.8900689477551977
2023-02-09,94.23118591308594,34.48011779785156,20.709999084472656,19.264000034332277,-2.1308527508814366
2023-02-10,93.79478454589844,34.59387969970703,20.530000686645508,19.34900007247925,-2.180142727542832
2023-02-13,93.83447265625,34.992061614990234,20.34000015258789,19.448500061035155,-2.242391654590441
2023-02-14,93.90388488769531,34.80244827270508,18.90999984741211,19.426000022888182,-2.2065348072152844
2023-02-15,96.1453628540039,34.840362548828125,18.229999542236328,19.320499992370607,-2.0550063817080795
2023-02-16,94.72708129882812,34.489601135253906,20.170000076293945,19.30299997329712,-2.0975081435347707
2023-02-17,93.57659149169922,34.49907684326172,20.020000457763672,19.311499977111815,-2.1800101757958936
2023-02-21,91.03758239746094,33.788047790527344,22.8700008392334,19.46450004577637,-2.242523504910205
2023-02-22,90.89872741699219,33.7501220703125,22.290000915527344,19.619000053405763,-2.246099005209567
2023-02-23,90.14493560791016,33.778568267822266,21.139999389648438,19.72200002670288,-2.3037861459137186
2023-02-24,88.39938354492188,33.8070068359375,21.670000076293945,19.869000053405763,-2.431257245677494
2023-02-27,89.13331604003906,33.79752731323242,20.950000762939453,19.99100008010864,-2.3780656434705305
2023-02-28,89.3217544555664,33.8638916015625,20.700000762939453,20.029000091552735,-2.3756465426151507
2023-03-01,89.61930847167969,33.7501220703125,20.579999923706055,20.088000106811524,-2.3361253128818547
2023-03-02,91.24585723876953,33.58896255493164,19.59000015258789,20.17400007247925,-2.195348391054572
2023-03-03,92.88233184814453,34.1198616027832,18.489999771118164,20.16200008392334,-2.166918309369916
2023-03-06,94.3501968383789,34.14830780029297,18.610000610351562,20.176000118255615,-2.0682785805288955
2023-03-07,93.09061431884766,33.26662063598633,19.59000015258789,20.184000110626222,-2.0128886776895643
2023-03-08,93.47740936279297,33.14337921142578,19.110000610351562,20.206500148773195,-1.9655408038466335
2023-03-09,91.56322479248047,31.797168731689453,22.610000610351562,20.35550022125244,-1.880333761688901
2023-03-10,89.88706970214844,31.2188663482666,24.799999237060547,20.560000228881837,-1.9038127962027722
2023-03-13,90.36315155029297,29.98641586303711,26.520000457763672,20.859500217437745,-1.668996954583104
2023-03-14,93.19969177246094,30.59316062927246,23.729999542236328,21.029000186920165,-1.5685133868057568
2023-03-15,95.3221664428711,29.777847290039062,26.139999389648438,21.390500164031984,-1.2859869718538786
2023-03-16,99.49765014648438,30.346670150756836,22.989999771118164,21.628500175476074,-1.0850942461296025
2023-03-17,100.7869873046875,29.370193481445312,25.510000228881836,21.89550018310547,-0.8348660989439798
2023-03-20,100.39026641845703,29.696979522705078,24.149999618530273,22.102000141143797,-0.9161606841514724
2023-03-21,104.0599365234375,30.449647903442383,21.3799991607666,22.027500057220458,-0.7808900328378214
2023-03-22,102.52266693115234,29.744619369506836,22.260000228881836,22.026000022888184,-0.7738961300383325
2023-03-23,104.734375,29.544544219970703,22.610000610351562,22.09950008392334,-0.5855877482972119
2023-03-24,104.57569122314453,29.52549171447754,21.739999771118164,22.10300006866455,-0.5936413733568215
2023-03-27,101.62010955810547,29.935165405273438,20.600000381469727,22.085500049591065,-0.8685295832437193
2023-03-28,100.20182800292969,29.925640106201172,19.969999313354492,22.048999977111816,-0.9667710344904675
2023-03-29,100.55889129638672,30.36390495300293,19.1200008392334,21.976000022888183,-1.0132352607666653
2023-03-30,100.06297302246094,30.297212600708008,19.020000457763672,21.947500038146973,-1.0372365922503908
2023-03-31,102.87969970703125,30.63067626953125,18.700000762939453,21.958000087738036,-0.8935077216447332
2023-04-03,103.50452423095703,30.687833786010742,18.549999237060547,21.955000019073488,-0.8588784214610785
2023-04-04,103.86157989501953,30.40201187133789,19.0,21.925500011444093,-0.7870662218475565
2023-04-05,103.61363983154297,30.36390495300293,19.079999923706055,21.923999977111816,-0.7982878954059972
2023-04-06,107.53125,30.478233337402344,18.399999618530273,21.71349992752075,-0.5413004050733209
2023-04-10,105.56748962402344,30.544925689697266,18.969999313354492,21.42199993133545,-0.690374349457876
2023-04-11,104.48641204833984,30.811691284179688,19.100000381469727,21.050999927520753,-0.8100195660323033
2023-04-12,103.78223419189453,30.744998931884766,19.09000015258789,20.81899995803833,-0.848675081995863
2023-04-13,106.54936981201172,31.02129554748535,17.799999237060547,20.401999950408936,-0.6990976542894938
2023-04-14,107.97756958007812,31.326175689697266,17.06999969482422,20.10599994659424,-0.6484034571508123
2023-04-17,105.1013412475586,31.68821907043457,16.950000762939453,19.67799997329712,-0.9099277307140086
2023-04-18,103.64337921142578,31.783491134643555,16.829999923706055,19.311999988555907,-1.0280795703854917
2023-04-19,103.32601928710938,31.859710693359375,16.459999084472656,19.06599998474121,-1.0628607900744225
2023-04-20,104.42691802978516,31.764436721801758,17.170000076293945,18.811499977111815,-0.9698333956983085
