Date,BP,CL,VIX,AvgVIX,zscore
2022-01-31,24.96515655517578,74.4527816772461,24.829999923706055,23.18100004196167,-1.022296783219259
2022-02-01,25.643383026123047,73.97419738769531,21.959999084472656,23.448999977111818,-0.8428048641659698
2022-02-02,25.804861068725586,74.76883697509766,22.09000015258789,23.707999992370606,-0.7805038202648669
2022-02-03,25.95827293395996,74.70563507080078,24.350000381469727,23.939000034332274,-0.7389333586260318
2022-02-04,26.547685623168945,73.25179290771484,23.219999313354492,24.119499969482423,-0.605297327196119
2022-02-07,26.919090270996094,73.25179290771484,22.860000610351562,24.324499988555907,-0.5013617186597278
2022-02-08,26.491165161132812,73.0711898803711,21.440000534057617,24.426500034332275,-0.6250034975806426
2022-02-09,26.636499404907227,73.02605438232422,19.959999084472656,24.503999996185303,-0.5853044616878307
2022-02-10,26.693016052246094,71.98758697509766,23.90999984741211,24.818499946594237,-0.5918515987472118
2022-02-11,26.83027458190918,71.8160171508789,27.360000610351562,25.171000003814697,-0.5571352257333322
2022-02-14,26.20049476623535,71.57221221923828,28.329999923706055,25.62799997329712,-0.7386259968919723
2022-02-15,25.966346740722656,70.95816040039062,25.700000762939453,25.773499965667725,-0.8173744555397937
2022-02-16,26.224712371826172,70.74143981933594,24.290000915527344,25.795499992370605,-0.749739211709362
2022-02-17,26.3372745513916,71.4728775024414,28.110000610351562,25.92150001525879,-0.7024880411186766
2022-02-18,25.91313934326172,71.8340835571289,27.75,25.866499996185304,-0.8134015740786996
2022-02-22,25.334028244018555,71.20198059082031,28.809999465942383,25.811999988555907,-0.9890748327860147
2022-02-23,25.391122817993164,71.01234436035156,31.020000457763672,25.805000019073486,-0.9771809684525945
2022-02-24,23.79245376586914,68.2491455078125,30.31999969482422,25.723000049591064,-1.4840644564040621
2022-02-25,25.06486701965332,70.56083679199219,27.59000015258789,25.57800006866455,-1.0782049642385803
2022-02-28,23.82508087158203,69.48625183105469,30.149999618530273,25.70250005722046,-1.4482932987525052
2022-03-01,23.23781394958496,68.6645278930664,33.31999969482422,26.127000045776366,-1.630332339822036
2022-03-02,24.559165954589844,69.260498046875,30.739999771118164,26.566000080108644,-1.2477250319397295
2022-03-03,23.441728591918945,69.89261627197266,30.479999542236328,26.985500049591064,-1.5468214773579338
2022-03-04,22.846302032470703,69.85649108886719,31.979999542236328,27.367000007629393,-1.7142263649973388
2022-03-07,23.2459659576416,69.24244689941406,36.45000076293945,28.028500080108643,-1.6156057675557383
2022-03-08,24.265527725219727,67.60801696777344,35.130001068115234,28.642000102996825,-1.3654837043533445
2022-03-09,23.678264617919922,68.21302032470703,32.45000076293945,29.192500114440918,-1.5167976227625128
2022-03-10,23.678264617919922,66.67791748046875,30.229999542236328,29.706000137329102,-1.5498555060708887
2022-03-11,23.05837059020996,66.61468505859375,30.75,30.048000144958497,-1.724691228683442
2022-03-14,22.723957061767578,66.78627014160156,31.770000457763672,30.268500137329102,-1.8145800473121538
2022-03-15,22.878925323486328,68.16787719726562,29.829999923706055,30.3435001373291,-1.7414605991834486
2022-03-16,23.335695266723633,67.8608627319336,26.670000076293945,30.392000102996825,-1.620247413539219
2022-03-17,23.686420440673828,67.84278869628906,25.670000076293945,30.461000061035158,-1.5224880632086815
2022-03-18,23.441728591918945,65.19699096679688,23.8700008392334,30.249000072479248,-1.6479400662400878
2022-03-21,24.306310653686523,66.95787048339844,23.530000686645508,30.038000106811523,-1.3680714883539367
2022-03-22,24.200279235839844,67.2739028930664,22.940000534057617,29.744500160217285,-1.3909381713696698
2022-03-23,25.089332580566406,66.48827362060547,23.56999969482422,29.37200012207031,-1.1590595792657148
2022-03-24,25.07302474975586,66.50634002685547,21.670000076293945,28.9395001411438,-1.163234185174504
2022-03-25,25.325870513916016,67.5267333984375,20.809999465942383,28.600500106811523,-1.0705028461066632
2022-03-28,24.412343978881836,68.07756805419922,19.6299991607666,28.07450008392334,-1.3142863468692085
2022-03-29,24.15134048461914,68.80899810791016,18.899999618530273,27.353500080108642,-1.371575700704303
2022-03-30,24.526533126831055,68.95347595214844,19.329999923706055,26.78300008773804,-1.2634687641500597
2022-03-31,23.98004722595215,68.47488403320312,20.559999465942383,26.28700008392334,-1.4267062304528495
2022-04-01,24.338939666748047,69.0076675415039,19.6299991607666,25.669500064849853,-1.3147987965489576
2022-04-04,24.298158645629883,69.16117095947266,18.56999969482422,24.77550001144409,-1.3229055071994864
2022-04-05,24.22474479675293,69.9377670288086,21.030000686645508,24.070499992370607,-1.326726266150129
2022-04-06,24.135026931762695,71.16584014892578,22.100000381469727,23.55299997329712,-1.325387222359097
2022-04-07,24.355249404907227,72.61969757080078,21.549999237060547,23.11899995803833,-1.2324508459724701
2022-04-08,24.852798461914062,72.46617889404297,21.15999984741211,22.639499950408936,-1.09652036680686
2022-04-11,24.44497299194336,72.63774871826172,24.3700008392334,22.26949996948242,-1.2069534540708784
2022-04-12,24.90989112854004,73.14344024658203,24.260000228881836,21.99099998474121,-1.06595871101673
2022-04-13,25.456375122070312,73.1343994140625,21.81999969482422,21.748499965667726,-0.9132227730215177
2022-04-14,25.521629333496094,73.08926391601562,22.700000762939453,21.6,-0.895933706800496
2022-04-18,25.48900032043457,72.24948120117188,22.170000076293945,21.51499996185303,-0.9231491783279274
2022-04-19,25.619504928588867,72.79126739501953,21.3700008392334,21.40699996948242,-0.8749609909305238
2022-04-20,25.611347198486328,74.05380249023438,20.31999969482422,21.27599992752075,-0.8500556525293442
2022-04-21,25.130115509033203,74.57154083251953,22.68000030517578,21.23149995803833,-0.9735764649943744
2022-04-22,24.371559143066406,73.66322326660156,28.209999084472656,21.558499908447267,-1.2054147051893538
2022-04-25,23.43356704711914,74.30810546875,27.020000457763672,21.86899995803833,-1.454019482781417
2022-04-26,23.123624801635742,73.13641357421875,33.52000045776367,22.563500022888185,-1.565987126277237
2022-04-27,23.32753562927246,73.29083251953125,31.600000381469727,23.198500061035155,-1.5055984134057976
2022-04-28,23.939271926879883,73.77223205566406,29.989999771118164,23.73150005340576,-1.3240405107964506
2022-04-29,23.425413131713867,69.98460388183594,33.400001525878906,24.37350015640259,-1.5494063519871248
2022-05-02,23.539602279663086,68.28608703613281,32.34000015258789,25.00900020599365,-1.5540280729480382
2022-05-03,25.431907653808594,67.65934753417969,29.25,25.54300022125244,-1.0379731210763936
2022-05-04,25.9783935546875,69.93919372558594,25.420000076293945,25.762500190734862,-0.8359462969327142
2022-05-05,25.46453285217285,69.11264038085938,31.200000762939453,26.21750020980835,-0.997546998766986
2022-05-06,25.986549377441406,69.79385375976562,30.190000534057617,26.6495002746582,-0.8367937769433101
2022-05-09,24.20843505859375,70.54774475097656,34.75,27.3290002822876,-1.3181548101872866
2022-05-10,24.379716873168945,69.63944244384766,32.9900016784668,27.76000032424927,-1.2897824694399427
2022-05-11,24.648883819580078,69.71212005615234,32.560001373291016,28.175000381469726,-1.2128924499731908
2022-05-12,24.416349411010742,70.43877410888672,31.770000457763672,28.6725004196167,-1.2623177315641498
2022-05-13,25.141998291015625,71.21083068847656,28.8700008392334,28.981000423431396,-1.0426228066397425
2022-05-16,25.57903289794922,71.51055908203125,27.469999313354492,29.246000385284425,-0.9138664619994561
2022-05-17,25.958345413208008,71.54690551757812,26.100000381469727,29.48250036239624,-0.8069351716513126
2022-05-18,25.65324592590332,68.76749420166016,30.959999084472656,30.01450033187866,-0.9521692500915427
2022-05-19,25.587276458740234,68.23159790039062,29.350000381469727,30.34800033569336,-0.9821707859999307
2022-05-20,25.793426513671875,68.24066925048828,29.43000030517578,30.409000396728516,-0.9242854450981155
2022-05-23,26.477842330932617,69.50320434570312,28.479999542236328,30.48200035095215,-0.7055670956790709
2022-05-24,26.453107833862305,70.95650482177734,29.450000762939453,30.278500366210938,-0.6811926137164993
2022-05-25,26.692237854003906,70.38426208496094,28.3700008392334,30.117000389099122,-0.6265963937098553
2022-05-26,26.939617156982422,70.99281311035156,27.5,29.992500400543214,-0.5442636902707084
2022-05-27,26.848915100097656,71.62864685058594,25.719999313354492,29.608500289916993,-0.5559537277003394
2022-05-31,26.692237854003906,71.58322143554688,26.190000534057617,29.301000308990478,-0.6007772386923791
2022-06-01,26.956106185913086,71.0291519165039,25.690000534057617,29.12300033569336,-0.5388667805066993
2022-06-02,27.063308715820312,72.00103759765625,24.719999313354492,29.088000297546387,-0.48793751878819636
2022-06-03,27.195249557495117,71.69220733642578,24.790000915527344,28.76750030517578,-0.4576651261347877
2022-06-06,27.2941951751709,71.55594635009766,25.06999969482422,28.51150026321411,-0.4329100540422234
2022-06-07,28.193008422851562,71.49240112304688,24.020000457763672,27.975000286102294,-0.18275038700669255
2022-06-08,28.135284423828125,70.72941589355469,23.959999084472656,27.523500156402587,-0.2153347504159729
2022-06-09,27.640525817871094,69.80297088623047,26.09000015258789,27.200000095367432,-0.3737409632204429
2022-06-10,26.766454696655273,69.6031265258789,27.75,26.999000072479248,-0.6226486775031711
2022-06-13,25.74394989013672,69.20348358154297,34.02000045776367,27.256500053405762,-0.9173973565220537
2022-06-14,25.44709587097168,67.45953369140625,32.689998626708984,27.517500019073488,-1.038025698237488
2022-06-15,25.57903289794922,67.35960388183594,29.6200008392334,27.69350004196167,-1.0032557776022428
2022-06-16,24.391611099243164,67.14163208007812,32.95000076293945,27.79300012588501,-1.3402433745320201
2022-06-17,22.890840530395508,67.2506332397461,31.1299991607666,27.882000064849855,-1.7578787082641165
2022-06-21,24.01229476928711,69.4487075805664,30.190000534057617,27.920000076293945,-1.3967109904511787
2022-06-22,23.162960052490234,70.76573944091797,28.950000762939453,27.943500137329103,-1.6060309743962415
2022-06-23,22.561002731323242,71.64678192138672,29.049999237060547,27.923500061035156,-1.7555125876672646
2022-06-24,23.27840232849121,73.00926208496094,27.229999542236328,27.866499996185304,-1.5254116226539318
2022-06-27,23.66596221923828,72.55510711669922,26.950000762939453,27.839000034332276,-1.4267351182256396
2022-06-28,23.971065521240234,71.64678192138672,28.360000610351562,27.971000099182127,-1.3609140413056395
2022-06-29,23.72368621826172,72.36436462402344,28.15999984741211,28.069500064849855,-1.414688935607129
2022-06-30,23.377351760864258,72.79125213623047,28.709999084472656,28.220499992370605,-1.5024159173117613
2022-07-01,23.31963539123535,74.45344543457031,26.700000762939453,28.319500064849855,-1.4827728051547338
2022-07-05,22.387836456298828,73.57240295410156,27.540000915527344,28.457000064849854,-1.7625046946151188
2022-07-06,22.033262252807617,73.590576171875,26.729999542236328,28.54000005722046,-1.8613390394695408
2022-07-07,22.90733528137207,72.17359924316406,26.079999923706055,28.643000030517577,-1.6472484518219355
2022-07-08,22.956809997558594,71.16539001464844,24.639999389648438,28.677000045776367,-1.6551146368214655
2022-07-11,22.643463134765625,71.4832992553711,26.170000076293945,28.68100004196167,-1.7359570238023845
2022-07-12,22.165197372436523,71.12905883789062,27.290000915527344,28.65800008773804,-1.8774255839083858
2022-07-13,22.272390365600586,71.23807525634766,26.81999969482422,28.298000049591064,-1.8450805677968545
2022-07-14,21.45604133605957,71.15631866455078,26.399999618530273,27.98350009918213,-2.075292085491243
2022-07-15,21.98378562927246,70.98374938964844,24.229999542236328,27.714000034332276,-1.9313218783486255
2022-07-18,22.53626823425293,70.04818725585938,25.299999237060547,27.33149995803833,-1.796859561331678
2022-07-19,23.138221740722656,70.42058563232422,24.5,27.0,-1.6203866210750464
