Date,KBE,XLF,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,27.21605682373047,15.489999771118164,13.696000051498412,0.8428039840723385
2020-01-31,37.1184196472168,26.64682960510254,18.84000015258789,14.014500045776368,1.051511636069933
2020-02-03,37.53000259399414,26.833606719970703,17.969999313354492,14.211999988555908,1.1315907752239158
2020-02-04,38.075992584228516,27.091535568237305,16.049999237060547,14.32199993133545,1.2214922924145277
2020-02-05,38.94956588745117,27.634077072143555,15.149999618530273,14.389999914169312,1.156581341237
2020-02-06,38.57156753540039,27.598499298095703,14.960000038146973,14.465499925613404,0.8644820292608286
2020-02-07,38.260772705078125,27.500667572021484,15.470000267028809,14.611999940872192,0.7345561226115834
2020-02-10,38.243980407714844,27.580713272094727,15.039999961853027,14.735999917984008,0.5903650306983772
2020-02-11,38.56317138671875,27.678552627563477,15.180000305175781,14.878999948501587,0.728037167346708
2020-02-12,38.56317138671875,27.696338653564453,13.739999771118164,14.946499919891357,0.699445988249446
2020-02-13,38.731178283691406,27.68744468688965,14.149999618530273,15.032999897003174,0.8689905467671784
2020-02-14,38.48757553100586,27.7230167388916,13.680000305175781,15.100999927520752,0.5867061039476459
2020-02-18,37.99198913574219,27.48287582397461,14.829999923706055,15.237499904632568,0.5147859823550157
2020-02-19,38.218780517578125,27.68744468688965,14.380000114440918,15.313999891281128,0.3955073695956046
2020-02-20,38.621971130371094,27.634077072143555,15.5600004196167,15.446499919891357,0.8538661136051658
2020-02-21,38.10118865966797,27.36725425720215,17.079999923706055,15.651499938964843,0.8015548268680839
2020-02-24,36.91682815551758,26.47784423828125,25.030000686645508,16.174999952316284,1.1368755520593699
2020-02-25,35.42167663574219,25.57953453063965,27.850000381469727,16.655999994277956,1.1993149340229567
2020-02-26,34.86729049682617,25.392759323120117,27.559999465942383,17.219999933242796,0.9872748757405132
2020-02-27,33.48133850097656,24.30767250061035,39.15999984741211,18.35849995613098,1.4508662150753506
2020-02-28,32.5489616394043,23.649503707885742,40.11000061035156,19.589499998092652,1.64731129805656
2020-03-02,33.99372482299805,24.859111785888672,33.41999816894531,20.318499898910524,1.03789575430243
2020-03-03,32.67496109008789,23.925220489501953,36.81999969482422,21.26099991798401,1.3205246551490972
