Date,LOW,ADI,VIX,AvgVIX,zscore
2022-01-31,218.2760772705078,152.28567504882812,24.829999923706055,23.18100004196167,2.468812065091959
2022-02-01,219.1956787109375,153.58592224121094,21.959999084472656,23.448999977111818,2.469779985608447
2022-02-02,219.89462280273438,156.8736572265625,22.09000015258789,23.707999992370606,2.3402905502835867
2022-02-03,215.29640197753906,150.47462463378906,24.350000381469727,23.939000034332274,2.32964559533713
2022-02-04,210.66146850585938,149.55519104003906,23.219999313354492,24.119499969482423,2.005699440962663
2022-02-07,208.77618408203125,149.36013793945312,22.860000610351562,24.324499988555907,1.8637992579755334
2022-02-08,213.13528442382812,151.50555419921875,21.440000534057617,24.426500034332275,2.0959377004605826
2022-02-09,214.882568359375,156.2235107421875,19.959999084472656,24.503999996185303,1.9704995204523998
2022-02-10,209.12564086914062,150.14952087402344,23.90999984741211,24.818499946594237,1.847444811983428
2022-02-11,207.75540161132812,142.9332275390625,27.360000610351562,25.171000003814697,2.1449581067313273
2022-02-14,207.79220581054688,143.0075225830078,28.329999923706055,25.62799997329712,2.143736395731629
2022-02-15,209.76937866210938,150.49317932128906,25.700000762939453,25.773499965667725,1.8802067976013637
2022-02-16,208.76699829101562,156.34423828125,24.290000915527344,25.795499992370605,1.4675276969049844
2022-02-17,205.8057403564453,148.99790954589844,28.110000610351562,25.92150001525879,1.643331447556165
2022-02-18,204.79415893554688,148.9329071044922,27.75,25.866499996185304,1.5649466417413966
2022-02-22,197.34507751464844,149.4158477783203,28.809999465942383,25.811999988555907,0.933278724491918
2022-02-23,197.80490112304688,145.33868408203125,31.020000457763672,25.805000019073486,1.2014821569013123
2022-02-24,196.25990295410156,149.1277618408203,30.31999969482422,25.723000049591064,0.861557318908784
2022-02-25,201.5662078857422,151.30230712890625,27.59000015258789,25.57800006866455,1.1688894982797182
2022-02-28,203.2951202392578,149.59437561035156,30.149999618530273,25.70250005722046,1.4058743463816445
2022-03-01,203.69976806640625,146.47727966308594,33.31999969482422,26.127000045776366,1.6152306224792332
2022-03-02,210.28440856933594,149.15576171875,30.739999771118164,26.566000080108644,1.997730532111008
2022-03-03,208.0956573486328,148.6518096923828,30.479999542236328,26.985500049591064,1.8487048399864434
2022-03-04,206.06324768066406,146.3839569091797,31.979999542236328,27.367000007629393,1.8122565189221282
2022-03-07,204.39869689941406,136.519287109375,36.45000076293945,28.028500080108643,2.2358772627881
2022-03-08,205.318359375,138.6098175048828,35.130001068115234,28.642000102996825,2.192094501996357
2022-03-09,207.72776794433594,143.3694610595703,32.45000076293945,29.192500114440918,2.118011333979044
2022-03-10,206.15518188476562,140.51364135742188,30.229999542236328,29.706000137329102,2.1521648647993508
2022-03-11,204.3527374267578,137.7511749267578,30.75,30.048000144958497,2.1623839709522725
2022-03-14,208.30715942382812,135.91259765625,31.770000457763672,30.268500137329102,2.5873153869387253
2022-03-15,212.50074768066406,140.8496551513672,29.829999923706055,30.3435001373291,2.647929077473916
2022-03-16,212.73983764648438,147.98916625976562,26.670000076293945,30.392000102996825,2.2629979727032477
2022-03-17,215.5447540283203,149.30508422851562,25.670000076293945,30.461000061035158,2.416027403166577
2022-03-18,216.7310333251953,152.5435333251953,23.8700008392334,30.249000072479248,2.3288649405063895
2022-03-21,209.30958557128906,153.26217651367188,23.530000686645508,30.038000106811523,1.6860904470491782
