Date,KBE,NEE,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,57.78909683227539,15.489999771118164,13.696000051498412,2.4958473892721535
2020-01-31,37.1184196472168,57.41872787475586,18.84000015258789,14.014500045776368,2.3351257211338408
2020-02-03,37.53000259399414,57.12114334106445,17.969999313354492,14.211999988555908,2.479529692093092
2020-02-04,38.075992584228516,56.635162353515625,16.049999237060547,14.32199993133545,2.6817100654940456
2020-02-05,38.94956588745117,57.0997428894043,15.149999618530273,14.389999914169312,2.860582084692562
2020-02-06,38.57156753540039,57.44655990600586,14.960000038146973,14.465499925613404,2.7194025094561236
2020-02-07,38.260772705078125,57.70561981201172,15.470000267028809,14.611999940872192,2.6063612471256103
2020-02-10,38.243980407714844,58.17660140991211,15.039999961853027,14.735999917984008,2.547050506120237
2020-02-11,38.56317138671875,58.26436996459961,15.180000305175781,14.878999948501587,2.6219523056067
2020-02-12,38.56317138671875,57.85974884033203,13.739999771118164,14.946499919891357,2.6690591481746084
2020-02-13,38.731178283691406,58.97515106201172,14.149999618530273,15.032999897003174,2.584004779842355
2020-02-14,38.48757553100586,59.628135681152344,13.680000305175781,15.100999927520752,2.4430203672466724
2020-02-18,37.99198913574219,60.3817253112793,14.829999923706055,15.237499904632568,2.223125771070335
2020-02-19,38.218780517578125,58.80388259887695,14.380000114440918,15.313999891281128,2.467300949800247
2020-02-20,38.621971130371094,59.309139251708984,15.5600004196167,15.446499919891357,2.515998441770793
2020-02-21,38.10118865966797,59.42902755737305,17.079999923706055,15.651499938964843,2.363161543744858
2020-02-24,36.91682815551758,58.64759826660156,25.030000686645508,16.174999952316284,2.1382987947309804
2020-02-25,35.42167663574219,57.87474060058594,27.850000381469727,16.655999994277956,1.8295581733722985
2020-02-26,34.86729049682617,57.690616607666016,27.559999465942383,17.219999933242796,1.7031537953877514
2020-02-27,33.48133850097656,55.060794830322266,39.15999984741211,18.35849995613098,1.6397255385168226
2020-02-28,32.5489616394043,54.39579391479492,40.11000061035156,19.589499998092652,1.4685054896430252
2020-03-02,33.99372482299805,57.75088119506836,33.41999816894531,20.318499898910524,1.4631802372789453
2020-03-03,32.67496109008789,57.062217712402344,36.81999969482422,21.26099991798401,1.1916756240800648
2020-03-04,33.34694290161133,60.735809326171875,31.989999771118164,22.05799994468689,0.9431885721978704
2020-03-05,31.742582321166992,59.431636810302734,39.619998931884766,23.281499910354615,0.6671815044988713
2020-03-06,30.47422218322754,58.497657775878906,41.939998626708984,24.630499839782715,0.4376783823682452
2020-03-09,25.988771438598633,56.22936248779297,54.459999084472656,26.57999978065491,-0.4943959011991699
2020-03-10,27.685516357421875,55.03495788574219,47.29999923706055,28.192999744415282,0.09713729093221259
2020-03-11,25.795578002929688,51.92091369628906,53.900001525878906,30.12899980545044,-0.044316933452518796
2020-03-12,23.510854721069336,44.954647064208984,75.47000122070312,33.21549987792969,0.15743372855150511
2020-03-13,26.23236656188965,47.68132781982422,57.83000183105469,35.39949998855591,0.5657448138808848
2020-03-16,22.847274780273438,43.3362922668457,82.69000244140625,38.850000095367434,0.16888634842643915
2020-03-17,24.132434844970703,47.724369049072266,75.91000366210938,41.9040002822876,0.0007362507404934334
2020-03-18,21.45291519165039,45.33126449584961,76.44999694824219,45.007500123977664,-0.43521224483292753
2020-03-19,22.83887481689453,44.56943130493164,72.0,47.829500102996825,0.023081653694302217
2020-03-20,21.32692527770996,41.26599884033203,66.04000091552734,50.27750015258789,0.004476276048780961
2020-03-23,19.553340911865234,39.09455490112305,61.59000015258789,52.10550012588501,-0.2156888456511516
2020-03-24,21.852739334106445,44.4467658996582,61.66999816894531,53.796500015258786,-0.22561427365801515
2020-03-25,22.275421142578125,45.25163269042969,63.95000076293945,55.61600008010864,-0.20660022526153715
2020-03-26,24.23667335510254,49.734405517578125,61.0,56.708000087738036,-0.20547870243167887
2020-03-27,23.340585708618164,49.917335510253906,65.54000091552734,57.97950010299682,-0.46573925415976564
2020-03-30,23.40821647644043,52.94314193725586,57.08000183105469,59.16250028610229,-0.7999746234034878
2020-03-31,22.791091918945312,51.78317642211914,53.540000915527344,59.99850034713745,-0.8295001959466843
2020-04-01,21.269432067871094,46.964683532714844,57.060001373291016,61.252000427246095,-0.6743085410714388
2020-04-02,21.624488830566406,48.733699798583984,50.90999984741211,61.81650047302246,-0.7855766580830478
2020-04-03,20.66922950744629,47.69853973388672,46.79999923706055,62.059500503540036,-0.9198041621834512
2020-04-06,22.283876419067383,50.4682502746582,45.2400016784668,61.598500633239745,-0.8116750155354933
2020-04-07,23.112335205078125,49.17272186279297,46.70000076293945,61.568500709533694,-0.439918287382799
2020-04-08,24.219768524169922,50.25090026855469,43.349998474121094,61.041000556945804,-0.2701181902727948
2020-04-09,26.028852462768555,52.786048889160156,41.66999816894531,59.35100040435791,-0.08282951257926513
2020-04-13,24.710079193115234,50.834110260009766,41.16999816894531,58.51800022125244,-0.20726351862854586
2020-04-14,24.355024337768555,52.16194152832031,37.7599983215332,56.27150001525879,-0.4565363983499265
2020-04-15,22.78264617919922,51.051475524902344,40.84000015258789,54.51799983978272,-0.7465662989685676
2020-04-16,21.99644660949707,51.107425689697266,40.11000061035156,52.70100002288818,-0.9627392769116585
2020-04-17,23.8055362701416,52.996944427490234,38.150001525878906,51.00850009918213,-0.7002834840010929
2020-04-20,23.644914627075195,51.135406494140625,43.83000183105469,49.898000144958495,-0.5263929696401245
2020-04-21,22.84181785583496,50.66410446166992,45.40999984741211,49.089000129699706,-0.6856881852124841
2020-04-22,22.89253807067871,53.19279098510742,41.97999954223633,48.104500198364256,-0.9665574175980792
2020-04-23,23.18842124938965,51.895084381103516,41.380001068115234,46.976000213623045,-0.7365712742606517
2020-04-24,23.780176162719727,51.58518600463867,35.93000030517578,45.722500228881835,-0.5426864846030781
2020-04-27,25.242664337158203,52.424503326416016,33.290000915527344,44.11000022888184,-0.25039370771072245
2020-04-28,25.91895294189453,51.49910354614258,33.56999969482422,42.93450012207031,0.037692004938901805
2020-04-29,27.449068069458008,50.6016845703125,31.229999542236328,41.81900005340576,0.5502136391987611
2020-04-30,26.46844482421875,49.73870086669922,34.150001525878906,40.673500061035156,0.38917709723554117
2020-05-01,25.23421287536621,48.86281967163086,37.189998626708984,39.9875,0.16201120997026996
2020-05-04,24.96368980407715,49.51704406738281,35.970001220703125,39.44600009918213,0.013703505519992838
2020-05-05,24.57482147216797,49.51919937133789,33.61000061035156,38.86450004577637,-0.09024857119099385
2020-05-06,23.949251174926758,47.918052673339844,34.119998931884766,38.235499954223634,-0.0706631631245387
2020-05-07,24.346572875976562,48.30973434448242,31.440000534057617,37.64000005722046,-0.010308120185387588
2020-05-08,25.386371612548828,49.43956756591797,27.979999542236328,36.95550012588501,0.13544181635695343
2020-05-11,24.481830596923828,48.933841705322266,27.56999969482422,36.275500202178954,-0.046898267534106995
2020-05-12,23.256053924560547,49.05219650268555,33.040000915527344,36.03950033187866,-0.3875603967055224
2020-05-13,22.030261993408203,49.523502349853516,35.279998779296875,35.76150026321411,-0.7693178987928048
2020-05-14,22.81646156311035,49.97758865356445,32.61000061035156,35.38650026321411,-0.6125244395767415
2020-05-15,22.537487030029297,49.034976959228516,31.889999389648438,35.07350015640259,-0.5771789136625852
2020-05-18,24.62554359436035,50.67055130004883,29.299999237060547,34.34700002670288,-0.21076510364940687
2020-05-19,23.695640563964844,49.605281829833984,30.530000686645508,33.60300006866455,-0.3347253383107931
