Date,CVX,LRCX,VIX,AvgVIX,zscore
2020-01-30,84.41715240478516,28.930837631225586,15.489999771118164,13.696000051498412,2.522831200542466
2020-01-31,81.18899536132812,27.745498657226562,18.84000015258789,14.014500045776368,2.1914383383574103
2020-02-03,80.53730010986328,28.69729995727539,17.969999313354492,14.211999988555908,2.014036023868007
2020-02-04,80.96923065185547,30.275264739990234,16.049999237060547,14.32199993133545,1.9266982587651695
2020-02-05,83.56842803955078,30.295724868774414,15.149999618530273,14.389999914169312,2.2801675466940594
2020-02-06,82.96977996826172,30.100351333618164,14.960000038146973,14.465499925613404,2.2164445374488984
2020-02-07,82.55301666259766,29.34486198425293,15.470000267028809,14.611999940872192,2.2295526714189866
2020-02-10,83.19711303710938,29.75703239440918,15.039999961853027,14.735999917984008,2.279376615929988
2020-02-11,84.27317810058594,30.30038833618164,15.180000305175781,14.878999948501587,2.3760897323998718
2020-02-12,84.90213012695312,31.13309669494629,13.739999771118164,14.946499919891357,2.384828640339785
2020-02-13,84.61418151855469,31.780654907226562,14.149999618530273,15.032999897003174,2.2853839641631417
2020-02-14,84.39186096191406,31.568517684936523,13.680000305175781,15.100999927520752,2.2746684141114986
2020-02-18,84.5145034790039,30.269676208496094,14.829999923706055,15.237499904632568,2.411933466807443
2020-02-19,84.8978271484375,31.06144905090332,14.380000114440918,15.313999891281128,2.3908872791101343
2020-02-20,84.18485260009766,30.56275177001953,15.5600004196167,15.446499919891357,2.339673511475926
2020-02-21,83.5715560913086,29.475116729736328,17.079999923706055,15.651499938964843,2.3567253118926725
2020-02-24,80.27498626708984,27.954835891723633,25.030000686645508,16.174999952316284,2.047052403571476
2020-02-25,77.20842742919922,27.188188552856445,27.850000381469727,16.655999994277956,1.6989103855203738
2020-02-26,75.1614990234375,27.5957088470459,27.559999465942383,17.219999933242796,1.3812434798377806
2020-02-27,72.16390991210938,26.581567764282227,39.15999984741211,18.35849995613098,1.065491820490504
2020-02-28,71.55827331542969,27.300765991210938,40.11000061035156,19.589499998092652,0.9159659686488492
2020-03-02,74.04985046386719,27.9427490234375,33.41999816894531,20.318499898910524,1.1970608010662755
2020-03-03,72.3632583618164,27.117481231689453,36.81999969482422,21.26099991798401,1.0430289586896448
2020-03-04,75.5371322631836,28.492612838745117,31.989999771118164,22.05799994468689,1.3493925331760024
2020-03-05,74.50984191894531,27.831098556518555,39.619998931884766,23.281499910354615,1.2703098699969217
2020-03-06,73.07621765136719,27.391952514648438,41.939998626708984,24.630499839782715,1.115042707483825
2020-03-09,61.84494400024414,24.897546768188477,54.459999084472656,26.57999978065491,-0.18910640430559836
2020-03-10,65.1491470336914,26.755552291870117,47.29999923706055,28.192999744415282,0.09027847629932949
2020-03-11,63.65420150756836,25.737693786621094,53.900001525878906,30.12899980545044,-0.01968389111905697
2020-03-12,58.46405029296875,22.129594802856445,75.47000122070312,33.21549987792969,-0.3945583324784331
2020-03-13,63.953208923339844,24.35604476928711,57.83000183105469,35.39949998855591,0.14937640602439756
2020-03-16,53.43488693237305,19.867795944213867,82.69000244140625,38.850000095367434,-0.8723221890877554
2020-03-17,54.1938591003418,21.334104537963867,75.91000366210938,41.9040002822876,-0.9045875191821964
2020-03-18,42.203590393066406,18.062814712524414,76.44999694824219,45.007500123977664,-2.2404342534843074
2020-03-19,43.99753189086914,18.143754959106445,72.0,47.829500102996825,-2.0026720588367524
2020-03-20,45.53082275390625,17.481319427490234,66.04000091552734,50.27750015258789,-1.7315815052730879
2020-03-23,41.56727600097656,17.942790985107422,61.59000015258789,52.10550012588501,-2.3162974874730335
2020-03-24,51.019962310791016,21.587507247924805,61.66999816894531,53.796500015258786,-1.3620378658004442
2020-03-25,53.10521697998047,21.859882354736328,63.95000076293945,55.61600008010864,-1.1022066982279788
2020-03-26,58.55604553222656,24.36737823486328,61.0,56.708000087738036,-0.5895859326188414
2020-03-27,52.72957992553711,22.57777976989746,65.54000091552734,57.97950010299682,-1.2201658757909368
2020-03-30,55.159812927246094,23.895647048950195,57.08000183105469,59.16250028610229,-1.010161792088455
2020-03-31,55.550819396972656,22.463594436645508,53.540000915527344,59.99850034713745,-0.8238471202875629
2020-04-01,52.560909271240234,20.903308868408203,57.060001373291016,61.252000427246095,-1.087881555662514
2020-04-02,58.35671615600586,20.644973754882812,50.90999984741211,61.81650047302246,-0.2715008590059778
2020-04-03,57.5824089050293,20.418468475341797,46.79999923706055,62.059500503540036,-0.35635216206581066
2020-04-06,61.63028335571289,23.469772338867188,45.2400016784668,61.598500633239745,-0.08599664256706444
2020-04-07,62.036598205566406,23.98175048828125,46.70000076293945,61.568500709533694,-0.07794210115236788
