Date,KO,MNST,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,33.505001068115234,15.489999771118164,13.696000051498412,1.4980250960967483
2020-01-31,48.25005340576172,33.29999923706055,18.84000015258789,14.014500045776368,1.4412861218915825
2020-02-03,48.39876174926758,33.709999084472656,17.969999313354492,14.211999988555908,1.4161983629606207
2020-02-04,48.61357116699219,34.439998626708984,16.049999237060547,14.32199993133545,1.3602059520541046
2020-02-05,48.62184524536133,34.474998474121094,15.149999618530273,14.389999914169312,1.357062450166732
2020-02-06,48.73751449584961,34.724998474121094,14.960000038146973,14.465499925613404,1.3474296109476966
2020-02-07,48.90275192260742,34.45500183105469,15.470000267028809,14.611999940872192,1.423595399658187
2020-02-10,49.36542892456055,34.584999084472656,15.039999961853027,14.735999917984008,1.5098171253262713
2020-02-11,49.23322296142578,34.57500076293945,15.180000305175781,14.878999948501587,1.481287257654434
2020-02-12,49.084510803222656,34.625,13.739999771118164,14.946499919891357,1.4404130915646765
2020-02-13,49.249752044677734,34.845001220703125,14.149999618530273,15.032999897003174,1.4463170425934933
2020-02-14,49.53066635131836,34.93000030517578,13.680000305175781,15.100999927520752,1.4977959748980256
2020-02-18,49.183650970458984,34.79999923706055,14.829999923706055,15.237499904632568,1.4377887016304651
2020-02-19,49.3819465637207,35.040000915527344,14.380000114440918,15.313999891281128,1.448316249033761
2020-02-20,49.340641021728516,35.20000076293945,15.5600004196167,15.446499919891357,1.4160116326771448
2020-02-21,49.67937469482422,34.869998931884766,17.079999923706055,15.651499938964843,1.5401035216860621
2020-02-24,48.45659255981445,34.095001220703125,25.030000686645508,16.174999952316284,1.3740983597386984
2020-02-25,47.77085876464844,33.310001373291016,27.850000381469727,16.655999994277956,1.3312457299146638
2020-02-26,47.58909225463867,32.939998626708984,27.559999465942383,17.219999933242796,1.343105744275655
2020-02-27,45.38313293457031,31.8700008392334,39.15999984741211,18.35849995613098,0.9965714923967774
2020-02-28,44.19340515136719,31.204999923706055,40.11000061035156,19.589499998092652,0.8222850013927302
2020-03-02,46.20106887817383,32.3849983215332,33.41999816894531,20.318499898910524,1.1081035143951627
2020-03-03,46.31674575805664,31.889999389648438,36.81999969482422,21.26099991798401,1.2053007029831413
2020-03-04,48.6796760559082,34.025001525878906,31.989999771118164,22.05799994468689,1.434696218037852
2020-03-05,46.878562927246094,33.564998626708984,39.619998931884766,23.281499910354615,1.0924480086434007
2020-03-06,45.655784606933594,33.095001220703125,41.939998626708984,24.630499839782715,0.8827085295174845
2020-03-09,42.846702575683594,30.93000030517578,54.459999084472656,26.57999978065491,0.5564974557612582
2020-03-10,44.3338623046875,33.064998626708984,47.29999923706055,28.192999744415282,0.5874061836166247
2020-03-11,43.13587951660156,30.905000686645508,53.900001525878906,30.12899980545044,0.6256221993761574
2020-03-12,38.963565826416016,28.69499969482422,75.47000122070312,33.21549987792969,-0.0031031524799853575
2020-03-13,40.3970947265625,31.19499969482422,57.83000183105469,35.39949998855591,-0.03668849293850139
2020-03-16,37.721736907958984,28.719999313354492,82.69000244140625,38.850000095367434,-0.2881398691295154
2020-03-17,39.32194519042969,29.8700008392334,75.91000366210938,41.9040002822876,-0.09036694240926635
2020-03-18,37.38002395629883,27.94499969482422,76.44999694824219,45.007500123977664,-0.2544565290902353
2020-03-19,34.863014221191406,27.15999984741211,72.0,47.829500102996825,-0.7123551680402891
2020-03-20,31.920957565307617,26.049999237060547,66.04000091552734,50.27750015258789,-1.2199846225897173
2020-03-23,31.304208755493164,25.485000610351562,61.59000015258789,52.10550012588501,-1.2787491151996764
2020-03-24,32.87941360473633,26.864999771118164,61.66999816894531,53.796500015258786,-1.1196233001778364
2020-03-25,34.67966842651367,26.829999923706055,63.95000076293945,55.61600008010864,-0.7065892481973509
2020-03-26,36.91328811645508,28.920000076293945,61.0,56.708000087738036,-0.5000480771536702
2020-03-27,35.67979431152344,28.19499969482422,65.54000091552734,57.97950010299682,-0.6756502767541495
2020-03-30,37.50503921508789,29.0,57.08000183105469,59.16250028610229,-0.3774032895371524
2020-03-31,36.879947662353516,28.1299991607666,53.540000915527344,59.99850034713745,-0.3943231517960965
2020-04-01,35.104713439941406,26.549999237060547,57.060001373291016,61.252000427246095,-0.5701053505131437
2020-04-02,36.62993240356445,27.530000686645508,50.90999984741211,61.81650047302246,-0.36495126046455145
2020-04-03,36.5299072265625,27.110000610351562,46.79999923706055,62.059500503540036,-0.3273958272341615
2020-04-06,38.89689254760742,29.03499984741211,45.2400016784668,61.598500633239745,-0.06696813557048324
2020-04-07,38.76354217529297,29.204999923706055,46.70000076293945,61.568500709533694,-0.12156804702596416
2020-04-08,39.8553581237793,30.1299991607666,43.349998474121094,61.041000556945804,-0.006754767296892666
2020-04-09,40.83882522583008,30.2549991607666,41.66999816894531,59.35100040435791,0.19821700341313278
2020-04-13,39.11359405517578,29.764999389648438,41.16999816894531,58.51800022125244,-0.122531717417748
2020-04-14,40.77214050292969,32.20500183105469,37.7599983215332,56.27150001525879,-0.09651510546897447
2020-04-15,39.680335998535156,31.145000457763672,40.84000015258789,54.51799983978272,-0.19196730931855527
2020-04-16,39.255271911621094,30.934999465942383,40.11000061035156,52.70100002288818,-0.25819228061565336
2020-04-17,40.05537796020508,31.094999313354492,38.150001525878906,51.00850009918213,-0.09979678723774878
2020-04-20,38.78022384643555,30.690000534057617,43.83000183105469,49.898000144958495,-0.33072728347483504
2020-04-21,37.82175064086914,29.520000457763672,45.40999984741211,49.089000129699706,-0.38018772936759127
2020-04-22,38.0717887878418,30.059999465942383,41.97999954223633,48.104500198364256,-0.4009508761279144
2020-04-23,37.56336975097656,29.815000534057617,41.380001068115234,46.976000213623045,-0.481049178604714
