Date,CVX,QCOM,VIX,AvgVIX,zscore
2020-01-30,84.41715240478516,76.35943603515625,15.489999771118164,13.696000051498412,1.697757690895155
2020-01-31,81.18899536132812,74.21076965332031,18.84000015258789,14.014500045776368,1.4234076864472465
2020-02-03,80.53730010986328,75.22856903076172,17.969999313354492,14.211999988555908,1.3305729341554864
2020-02-04,80.96923065185547,77.35980987548828,16.049999237060547,14.32199993133545,1.319713909194018
2020-02-05,83.56842803955078,79.08219146728516,15.149999618530273,14.389999914169312,1.5408081073448148
2020-02-06,82.96977996826172,78.82124328613281,14.960000038146973,14.465499925613404,1.4863833273072529
2020-02-07,82.55301666259766,76.04627990722656,15.470000267028809,14.611999940872192,1.5153993838279665
2020-02-10,83.19711303710938,77.07275390625,15.039999961853027,14.735999917984008,1.554717096075609
2020-02-11,84.27317810058594,78.29060363769531,15.180000305175781,14.878999948501587,1.633226773372403
2020-02-12,84.90213012695312,79.78681945800781,13.739999771118164,14.946499919891357,1.6588783667013187
2020-02-13,84.61418151855469,78.3166732788086,14.149999618530273,15.032999897003174,1.667390628897111
2020-02-14,84.39186096191406,77.94261932373047,13.680000305175781,15.100999927520752,1.654328988116643
2020-02-18,84.5145034790039,76.5769271850586,14.829999923706055,15.237499904632568,1.7020918290359395
2020-02-19,84.8978271484375,78.77774047851562,14.380000114440918,15.313999891281128,1.6844722758351203
2020-02-20,84.18485260009766,77.82955932617188,15.5600004196167,15.446499919891357,1.6360981676596005
2020-02-21,83.5715560913086,75.70701599121094,17.079999923706055,15.651499938964843,1.628204709312261
2020-02-24,80.27498626708984,72.47970581054688,25.030000686645508,16.174999952316284,1.3746939672756384
2020-02-25,77.20842742919922,69.78301239013672,27.850000381469727,16.655999994277956,1.1309913043705158
2020-02-26,75.1614990234375,69.2958755493164,27.559999465942383,17.219999933242796,0.9344477284134869
2020-02-27,72.16390991210938,66.05985260009766,39.15999984741211,18.35849995613098,0.7117052216047737
2020-02-28,71.55827331542969,68.1128158569336,40.11000061035156,19.589499998092652,0.5968692905399645
2020-03-02,74.04985046386719,70.07879638671875,33.41999816894531,20.318499898910524,0.8006844818884629
2020-03-03,72.3632583618164,68.33898162841797,36.81999969482422,21.26099991798401,0.6732705284610849
2020-03-04,75.5371322631836,71.7235107421875,31.989999771118164,22.05799994468689,0.9101906934937986
2020-03-05,74.50984191894531,69.41747283935547,39.619998931884766,23.281499910354615,0.8647382277887682
2020-03-06,73.07621765136719,67.9268798828125,41.939998626708984,24.630499839782715,0.7567373759885797
2020-03-09,61.84494400024414,63.69186782836914,54.459999084472656,26.57999978065491,-0.2813736639017701
2020-03-10,65.1491470336914,69.17198181152344,47.29999923706055,28.192999744415282,-0.08520380485155911
2020-03-11,63.65420150756836,65.427978515625,53.900001525878906,30.12899980545044,-0.1413328216221713
2020-03-12,58.46405029296875,58.76416015625,75.47000122070312,33.21549987792969,-0.49962981160388503
2020-03-13,63.953208923339844,66.47136688232422,57.83000183105469,35.39949998855591,-0.13770529384896918
2020-03-16,53.43488693237305,56.53705978393555,82.69000244140625,38.850000095367434,-0.9559445676829441
2020-03-17,54.1938591003418,60.37751388549805,75.91000366210938,41.9040002822876,-0.9774899214937683
2020-03-18,42.203590393066406,53.6523323059082,76.44999694824219,45.007500123977664,-2.0288942946257573
2020-03-19,43.99753189086914,56.99299621582031,72.0,47.829500102996825,-1.9318144073608323
2020-03-20,45.53082275390625,53.406822204589844,66.04000091552734,50.27750015258789,-1.6826549019234711
2020-03-23,41.56727600097656,54.8272590637207,61.59000015258789,52.10550012588501,-2.1242115306313214
2020-03-24,51.019962310791016,57.39634323120117,61.66999816894531,53.796500015258786,-1.224818776302856
2020-03-25,53.10521697998047,55.30952453613281,63.95000076293945,55.61600008010864,-0.9579536833104896
2020-03-26,58.55604553222656,60.48273468017578,61.0,56.708000087738036,-0.534569664966276
2020-03-27,52.72957992553711,58.38713455200195,65.54000091552734,57.97950010299682,-1.0757283149255645
2020-03-30,55.159812927246094,60.52656173706055,57.08000183105469,59.16250028610229,-0.8826547520834155
2020-03-31,55.550819396972656,59.316566467285156,53.540000915527344,59.99850034713745,-0.8114930891278793
2020-04-01,52.560909271240234,57.78213119506836,57.060001373291016,61.252000427246095,-1.077350831899865
2020-04-02,58.35671615600586,59.640987396240234,50.90999984741211,61.81650047302246,-0.5332164149959908
2020-04-03,57.5824089050293,57.19467544555664,46.79999923706055,62.059500503540036,-0.549205513843147
2020-04-06,61.63028335571289,62.21004867553711,45.2400016784668,61.598500633239745,-0.265073251504704
2020-04-07,62.036598205566406,63.770774841308594,46.70000076293945,61.568500709533694,-0.2638302807546429
2020-04-08,65.91580963134766,64.29686737060547,43.349998474121094,61.041000556945804,0.11889174228515179
2020-04-09,64.63550567626953,62.76246643066406,41.66999816894531,59.35100040435791,0.027684093299756414
2020-04-13,65.09550476074219,64.27056884765625,41.16999816894531,58.51800022125244,0.03576902451693982
2020-04-14,64.86551666259766,67.99703979492188,37.7599983215332,56.27150001525879,-0.08386644780999625
2020-04-15,63.24021911621094,66.62918853759766,40.84000015258789,54.51799983978272,-0.21461501972272554
2020-04-16,61.32362365722656,67.38326263427734,40.11000061035156,52.70100002288818,-0.42986629297688633
2020-04-17,66.8281021118164,66.78702545166016,38.150001525878906,51.00850009918213,0.14784602161850344
2020-04-20,64.06818389892578,65.15614318847656,43.83000183105469,49.898000144958495,-0.09202780701752847
2020-04-21,62.58858871459961,62.990421295166016,45.40999984741211,49.089000129699706,-0.18730715353413077
