Date,KDP,MS,VIX,AvgVIX,zscore
2022-01-31,33.8814697265625,89.15283966064453,24.829999923706055,23.18100004196167,1.0738555145776687
2022-02-01,34.05109786987305,90.37875366210938,21.959999084472656,23.448999977111818,1.152362524977978
2022-02-02,34.613555908203125,90.35267639160156,22.09000015258789,23.707999992370606,1.40072669786621
2022-02-03,34.5956916809082,88.93547821044922,24.350000381469727,23.939000034332274,1.388695692069097
2022-02-04,34.140384674072266,90.51786804199219,23.219999313354492,24.119499969482423,1.1922073432384044
2022-02-07,34.43500518798828,91.44818878173828,22.860000610351562,24.324499988555907,1.325060505749595
2022-02-08,34.684974670410156,92.46540832519531,21.440000534057617,24.426500034332275,1.438444969661232
2022-02-09,34.533203125,94.53470611572266,19.959999084472656,24.503999996185303,1.3774521432780502
2022-02-10,34.17608642578125,93.52615356445312,23.90999984741211,24.818499946594237,1.2167655708739107
2022-02-11,33.952884674072266,90.91781616210938,27.360000610351562,25.171000003814697,1.1105561466116916
2022-02-14,34.015380859375,89.17892456054688,28.329999923706055,25.62799997329712,1.1330808968336308
2022-02-15,33.863616943359375,89.9266357421875,25.700000762939453,25.773499965667725,1.0682304733901151
2022-02-16,33.85468292236328,87.94432067871094,24.290000915527344,25.795499992370605,1.0584930133212938
2022-02-17,33.85468292236328,83.59708404541016,28.110000610351562,25.92150001525879,1.0457927203035828
2022-02-18,34.35464859008789,82.9623794555664,27.75,25.866499996185304,1.2647756371680754
2022-02-22,34.43500518798828,82.37986755371094,28.809999465942383,25.811999988555907,1.2985677365517005
2022-02-23,33.979671478271484,81.3365249633789,31.020000457763672,25.805000019073486,1.0943966115818011
2022-02-24,32.72084426879883,79.82368469238281,30.31999969482422,25.723000049591064,0.5339470144582056
2022-02-25,34.19394302368164,82.20598602294922,27.59000015258789,25.57800006866455,1.1915814580745003
2022-02-28,34.52427291870117,78.89339447021484,30.149999618530273,25.70250005722046,1.3278121086337056
2022-03-01,34.0689582824707,76.1894302368164,33.31999969482422,26.127000045776366,1.1187979630453062
2022-03-02,34.470706939697266,76.84151458740234,30.739999771118164,26.566000080108644,1.2981572720547554
2022-03-03,34.470706939697266,76.3198471069336,30.479999542236328,26.985500049591064,1.2966332395673106
2022-03-04,34.711753845214844,75.08523559570312,31.979999542236328,27.367000007629393,1.399497917196425
2022-03-07,34.05109786987305,72.55516052246094,36.45000076293945,28.028500080108643,1.10029154872424
2022-03-08,33.22079849243164,72.43343353271484,35.130001068115234,28.642000102996825,0.7331887938929763
2022-03-09,33.59577178955078,75.98944091796875,32.45000076293945,29.192500114440918,0.9092050056773088
2022-03-10,33.21187210083008,74.65052032470703,30.229999542236328,29.706000137329102,0.7357231028782855
2022-03-11,32.86368942260742,74.05927276611328,30.75,30.048000144958497,0.5802018707916385
2022-03-14,33.06902313232422,73.65934753417969,31.770000457763672,30.268500137329102,0.6697303676095333
2022-03-15,33.33686447143555,75.05912780761719,29.829999923706055,30.3435001373291,0.792126551739841
2022-03-16,33.444000244140625,79.78022766113281,26.670000076293945,30.392000102996825,0.853241446382501
2022-03-17,33.7475471496582,81.6060562133789,25.670000076293945,30.461000061035158,0.9926536313409485
2022-03-18,33.75647735595703,82.44073486328125,23.8700008392334,30.249000072479248,0.9990366285814889
2022-03-21,33.72968292236328,80.5192642211914,23.530000686645508,30.038000106811523,0.9815878951550132
