Date,MNST,CVX,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,63.32252883911133,20.969999313354492,19.119499969482423,-1.782669841216358
2015-02-02,19.59166717529297,65.50265502929688,19.43000030517578,19.201499938964844,-1.9391816606422825
2015-02-03,19.44499969482422,67.64572143554688,17.329999923706055,19.071999931335448,-2.1987399062450477
2015-02-04,19.788333892822266,66.91690826416016,18.329999923706055,18.932499885559082,-1.9838394280073957
2015-02-05,19.72833251953125,67.50984191894531,16.850000381469727,18.80949993133545,-2.064033691992301
2015-02-06,19.524999618530273,67.69509887695312,17.290000915527344,18.823499965667725,-2.1687410205445765
2015-02-09,19.323333740234375,68.2015609741211,18.549999237060547,18.873499965667726,-2.302146058517532
2015-02-10,19.748332977294922,68.04717254638672,17.229999542236328,18.754999923706055,-2.1046137811566457
2015-02-11,19.831666946411133,67.92363739013672,16.959999084472656,18.57499990463257,-2.0573402902116364
2015-02-12,19.918333053588867,69.1397933959961,15.34000015258789,18.267999935150147,-2.131322380713422
2015-02-13,19.623332977294922,70.33722686767578,14.6899995803833,17.88299994468689,-2.368283868666473
2015-02-17,19.78499984741211,70.1002197265625,15.800000190734863,17.62549991607666,-2.2768165338956425
2015-02-18,20.046667098999023,68.87783813476562,15.449999809265137,17.403499937057497,-2.0519537731364337
2015-02-19,20.18833351135254,67.57435607910156,15.289999961853027,17.22549991607666,-1.8714455273261839
2015-02-20,20.209999084472656,67.73028564453125,14.300000190734863,17.12049994468689,-1.8763770988377417
2015-02-23,20.35333251953125,67.26878356933594,14.5600004196167,17.015499973297118,-1.7722608821951402
2015-02-24,20.801666259765625,67.33113098144531,13.6899995803833,16.9239999294281,-1.5845088547579278
2015-02-25,20.63166618347168,67.71782684326172,13.84000015258789,16.754999971389772,-1.6932810784768788
2015-02-26,20.790000915527344,66.76984405517578,13.90999984741211,16.428499937057495,-1.5381380536638793
2015-02-27,23.520000457763672,66.53285217285156,13.34000015258789,16.157499933242796,-0.33840216677900925
2015-03-02,23.538333892822266,66.04638671875,13.039999961853027,15.760999965667725,-0.285938893854186
2015-03-03,23.448333740234375,65.58485412597656,13.859999656677246,15.482499933242797,-0.2825064507661367
2015-03-04,23.25666618347168,65.58485412597656,14.229999542236328,15.327499914169312,-0.3652135688013823
2015-03-05,23.338333129882812,65.31668853759766,14.039999961853027,15.11299991607666,-0.3054136767792628
2015-03-06,22.770000457763672,64.58078002929688,15.199999809265137,15.03049988746643,-0.48325984939323297
2015-03-09,22.86833381652832,64.83021545410156,15.0600004196167,14.918999862670898,-0.4636718270446368
2015-03-10,22.65333366394043,64.1816177368164,16.690000534057617,14.825999927520751,-0.4970465020445748
2015-03-11,22.65999984741211,64.57451629638672,16.8700008392334,14.807999992370606,-0.5301529323376635
2015-03-12,22.975000381469727,63.87601852416992,15.420000076293945,14.73100004196167,-0.3302551963021972
2015-03-13,22.579999923706055,63.37711715698242,16.0,14.764000034332275,-0.45501211158996885
2015-03-16,23.00666618347168,64.31884765625,15.609999656677246,14.810000038146972,-0.35714676689563113
2015-03-17,22.71500015258789,64.34378051757812,15.65999984741211,14.803000020980836,-0.4852880016367215
2015-03-18,22.78499984741211,66.54531860351562,13.970000267028809,14.729000043869018,-0.6567064929616651
2015-03-19,23.046667098999023,65.32917785644531,14.069999694824219,14.668000030517579,-0.43241528985130867
2015-03-20,22.920000076293945,66.75113677978516,13.020000457763672,14.604000043869018,-0.6173016100125305
2015-03-23,22.989999771118164,66.05885314941406,13.40999984741211,14.54650001525879,-0.5236941298801534
2015-03-24,23.116666793823242,64.98616027832031,13.619999885559082,14.543000030517579,-0.37079477500843894
2015-03-25,22.671667098999023,65.90293884277344,15.4399995803833,14.623000001907348,-0.6467797827472269
2015-03-26,22.761667251586914,65.64102935791016,15.800000190734863,14.717500019073487,-0.583956955740977
2015-03-27,22.998332977294922,65.03604888916016,15.069999694824219,14.803999996185302,-0.42642636942552387
2015-03-30,23.406667709350586,66.67005157470703,14.510000228881836,14.877500009536742,-0.39987195059561426
2015-03-31,23.066667556762695,65.47261810302734,15.289999961853027,14.949000024795533,-0.4369215669191324
2015-04-01,22.774999618530273,65.35411071777344,15.109999656677246,14.993000030517578,-0.5519268822176162
2015-04-02,22.610000610351562,65.65969848632812,14.670000076293945,15.024500036239624,-0.6511129248001236
2015-04-06,22.953332901000977,66.68253326416016,14.739999771118164,15.001500034332276,-0.5966351078917579
2015-04-07,22.920000076293945,67.69287109375,14.779999732971191,14.9875,-0.7035488207534871
2015-04-08,22.96500015258789,66.52037811279297,13.979999542236328,14.851999950408935,-0.5767498158450247
2015-04-09,22.933332443237305,66.70124053955078,13.09000015258789,14.66299991607666,-0.6069788488081168
2015-04-10,23.05666732788086,66.67628479003906,12.579999923706055,14.520999908447266,-0.5514726622049553
2015-04-13,22.963333129882812,66.42058563232422,13.9399995803833,14.417999887466431,-0.5683298258954279
2015-04-14,22.633333206176758,67.87996673583984,13.670000076293945,14.320999908447266,-0.8443842660981496
2015-04-15,22.948333740234375,68.85911560058594,12.84000015258789,14.179999923706054,-0.7981310781070465
2015-04-16,23.0,68.70320892333984,12.600000381469727,14.111499929428101,-0.7615579346388489
2015-04-17,22.81833267211914,68.04834747314453,13.890000343322754,14.102499961853027,-0.7799753954749505
2015-04-20,23.26333236694336,68.78427124023438,13.300000190734863,14.116499948501588,-0.6553504519994459
2015-04-21,23.308332443237305,68.43504333496094,13.25,14.10849995613098,-0.6039488446639923
2015-04-22,23.31833267211914,68.29158782958984,12.710000038146973,14.062999963760376,-0.586495472012806
2015-04-23,23.393333435058594,68.584716796875,12.479999542236328,13.914999961853027,-0.580977379559064
2015-04-24,23.6299991607666,68.52234649658203,12.289999961853027,13.739499950408936,-0.47314086603583044
2015-04-27,23.906667709350586,68.41632843017578,13.119999885559082,13.641999959945679,-0.34404518871027523
2015-04-28,23.456666946411133,69.30191040039062,12.40999984741211,13.536999940872192,-0.6193311348090919
2015-04-29,23.19333267211914,69.68236541748047,13.390000343322754,13.44199995994568,-0.7678067574807754
2015-04-30,22.851667404174805,69.2645034790039,14.550000190734863,13.413999986648559,-0.8769706886893067
2015-05-01,23.52166748046875,68.00469970703125,12.699999809265137,13.315499973297118,-0.4724795949368308
2015-05-04,23.641666412353516,67.55565643310547,12.850000381469727,13.221000003814698,-0.3795735480883768
2015-05-05,23.43833351135254,67.35610961914062,14.3100004196167,13.197500038146973,-0.4490392468910538
2015-05-06,23.413333892822266,67.32489776611328,15.149999618530273,13.25600004196167,-0.4569684301744
2015-05-07,23.915000915527344,67.08790588378906,15.130000114440918,13.358000040054321,-0.2187878728794459
2015-05-08,21.411666870117188,67.7614974975586,12.859999656677246,13.372000026702882,-1.3606998405563602
2015-05-11,22.334999084472656,66.95694732666016,13.850000381469727,13.367500066757202,-0.8885861991313705
2015-05-12,21.98666763305664,67.0816650390625,13.859999656677246,13.377000045776366,-1.050317955687454
2015-05-13,21.656667709350586,67.16899108886719,13.760000228881836,13.423000049591064,-1.2007149576819505
2015-05-14,22.106666564941406,67.63673400878906,12.739999771118164,13.430000019073486,-1.0493719011655531
2015-05-15,22.053333282470703,68.0461654663086,12.380000114440918,13.354500007629394,-1.1098830433374025
2015-05-18,21.876667022705078,67.17694091796875,12.729999542236328,13.325999975204468,-1.1065103794003162
2015-05-19,21.71666717529297,66.15021514892578,12.850000381469727,13.305999994277954,-1.0815214412809986
2015-05-20,21.540000915527344,66.29511260986328,12.880000114440918,13.314499998092652,-1.1710254978309722
2015-05-21,21.70166778564453,66.44625854492188,12.109999656677246,13.296000003814697,-1.1151065334061292
2015-05-22,21.56833267211914,66.06835174560547,12.130000114440918,13.288000011444092,-1.1380324391624606
2015-05-26,21.27666664123535,65.06053161621094,14.0600004196167,13.335000038146973,-1.1715906651787185
2015-05-27,21.67333221435547,64.94715881347656,13.270000457763672,13.378000068664551,-0.9900410928592797
2015-05-28,21.53333282470703,65.02903747558594,13.3100004196167,13.374000072479248,-1.0579514292720014
2015-05-29,21.213333129882812,64.87784576416016,13.84000015258789,13.3385000705719,-1.1821889359934274
2015-06-01,21.19499969482422,64.64480590820312,13.970000267028809,13.402000093460083,-1.1687574813017123
2015-06-02,21.020000457763672,64.61329650878906,14.239999771118164,13.471500062942505,-1.2413862588480347
2015-06-03,20.9950008392334,64.35504150390625,13.65999984741211,13.439000034332276,-1.2285220630700115
2015-06-04,21.196666717529297,63.8637580871582,14.710000038146973,13.41700005531311,-1.0965071399410555
2015-06-05,20.924999237060547,63.98971176147461,14.210000038146973,13.371000051498413,-1.2252705597260127
2015-06-08,20.915000915527344,63.25276565551758,15.289999961853027,13.492500066757202,-1.1620929547500582
2015-06-09,20.81333351135254,63.25276565551758,14.470000267028809,13.523500061035156,-1.2059638014360905
2015-06-10,21.171667098999023,64.1408920288086,13.220000267028809,13.491500091552734,-1.1326756730498255
2015-06-11,21.19499969482422,63.69366455078125,12.850000381469727,13.446000099182129,-1.0816487417330838
2015-06-12,21.398332595825195,62.906333923339844,13.779999732971191,13.49800009727478,-0.9218014720326523
2015-06-15,21.15166664123535,62.540992736816406,15.390000343322754,13.648500108718872,-0.9947819549996267
2015-06-16,22.030000686645508,63.01341247558594,14.8100004196167,13.75250015258789,-0.6590348456119046
2015-06-17,22.041667938232422,62.8370475769043,14.5,13.835000133514404,-0.6378481768891471
2015-06-18,22.309999465942383,63.145694732666016,13.1899995803833,13.850500106811523,-0.5503264780060176
2015-06-19,22.286666870117188,62.654380798339844,13.960000038146973,13.94300012588501,-0.515398615300683
2015-06-22,22.25,63.170867919921875,12.739999771118164,13.973500108718872,-0.5785224967763745
2015-06-23,22.233333587646484,63.04490280151367,12.109999656677246,13.8760000705719,-0.5741779657455389
2015-06-24,22.15999984741211,62.528404235839844,13.260000228881836,13.875500059127807,-0.5585197729517292
2015-06-25,22.795000076293945,61.942604064941406,14.010000228881836,13.910500049591064,-0.23085910951356015
2015-06-26,23.235000610351562,62.10636901855469,14.020000457763672,13.919500064849853,-0.05599113331751208
2015-06-29,22.398332595825195,60.90328598022461,18.850000381469727,14.1635000705719,-0.30684217828327437
2015-06-30,22.336666107177734,60.764713287353516,18.229999542236328,14.363000059127808,-0.3207611386547612
2015-07-01,22.416667938232422,60.52535629272461,16.09000015258789,14.484500074386597,-0.2643181545767298
2015-07-02,22.266666412353516,60.38681411743164,16.790000915527344,14.588500118255615,-0.3163576616206552
2015-07-06,22.469999313354492,59.69392776489258,17.010000228881836,14.728500127792358,-0.16515991775780908
2015-07-07,22.72333335876465,60.00886535644531,16.09000015258789,14.768500137329102,-0.08468593273701529
2015-07-08,22.299999237060547,58.93179702758789,19.65999984741211,15.028000116348267,-0.16871871946385789
2015-07-09,22.239999771118164,59.07034683227539,19.969999313354492,15.36550006866455,-0.20729815197599025
2015-07-10,22.684999465942383,59.467166900634766,16.829999923706055,15.564500045776366,-0.05161694588612675
2015-07-13,23.231666564941406,59.58683395385742,13.899999618530273,15.570500040054322,0.17331771655952874
2015-07-14,23.479999542236328,60.18524932861328,13.369999885559082,15.469500017166137,0.22567182040009975
2015-07-15,23.35333251953125,59.36009979248047,13.229999542236328,15.39049997329712,0.24658328628956366
2015-07-16,23.280000686645508,59.511268615722656,12.109999656677246,15.270999956130982,0.2010950665000267
2015-07-17,23.343332290649414,58.673519134521484,11.949999809265137,15.208999967575073,0.30514743029862007
2015-07-20,23.791667938232422,58.54124450683594,12.25,15.123499965667724,0.5107244248451539
2015-07-21,24.008333206176758,59.14595031738281,12.220000267028809,15.097499990463257,0.5488373885615293
2015-07-22,24.641666412353516,58.90029525756836,12.119999885559082,15.098000001907348,0.8446270706967235
2015-07-23,24.7549991607666,58.54124450683594,12.640000343322754,15.067000007629394,0.9264147507140079
2015-07-24,24.815000534057617,57.06733703613281,13.739999771118164,15.053499984741212,1.0872915737094788
2015-07-27,24.793333053588867,56.14768981933594,15.600000381469727,15.132499980926514,1.1621661654085733
2015-07-28,24.998332977294922,58.20110321044922,13.4399995803833,14.861999940872192,1.0625678411960446
2015-07-29,25.219999313354492,58.73651123046875,12.5,14.575499963760375,1.1091853586155827
2015-07-30,25.363332748413086,58.59791564941406,12.130000114440918,14.377499961853028,1.1837287073730594
2015-07-31,25.59166717529297,55.73196792602539,12.119999885559082,14.143999910354614,1.5447312479935813
2015-08-03,25.968332290649414,53.91790008544922,12.5600004196167,13.921499919891357,1.8734057533727722
2015-08-04,25.286666870117188,53.6722526550293,13.0,13.766999912261962,1.6017552156009736
2015-08-05,25.666667938232422,52.92900085449219,12.510000228881836,13.40949993133545,1.8338002778767724
2015-08-06,24.145000457763672,53.65964889526367,13.770000457763672,13.099499988555909,1.1102651615228138
2015-08-07,24.86166763305664,52.75263595581055,13.390000343322754,12.927500009536743,1.5025839569983488
2015-08-10,24.121667861938477,54.10057830810547,12.229999542236328,12.844000005722046,1.0598150282979153
2015-08-11,23.799999237060547,54.031288146972656,13.710000038146973,12.86100001335144,0.9273565351697975
2015-08-12,23.691667556762695,54.66747283935547,13.609999656677246,12.880000019073487,0.8223460201756412
2015-08-13,24.843332290649414,54.07537841796875,13.489999771118164,12.949000024795533,1.3735307867179471
2015-08-14,25.066667556762695,54.1635627746582,12.829999923706055,12.993000030517578,1.4618267241368748
2015-08-17,25.11833381652832,53.08564376831055,13.020000457763672,13.031500053405761,1.5828408723285678
2015-08-18,25.086666107177734,53.21959686279297,13.789999961853027,13.110000038146973,1.5569079545292521
2015-08-19,24.541667938232422,51.605918884277344,15.25,13.26650004386902,1.4695200267920057
2015-08-20,24.100000381469727,50.540733337402344,19.139999389648438,13.591499996185302,1.3764878519423474
2015-08-21,23.15166664123535,48.32115173339844,28.030000686645508,14.30600004196167,1.1705459241790102
2015-08-24,22.57666778564453,45.99949264526367,40.7400016784668,15.563000106811524,1.1350516007080764
2015-08-25,22.393333435058594,44.660072326660156,36.02000045776367,16.692000150680542,1.1786090116464727
2015-08-26,23.09833335876465,46.61815643310547,30.31999969482422,17.583000135421752,1.3034979627092003
2015-08-27,23.334999084472656,49.520240783691406,26.100000381469727,18.281500148773194,1.1398397019473914
2015-08-28,23.405000686645508,51.29977035522461,26.049999237060547,18.978000116348266,1.007070999451083
2015-08-31,23.07666778564453,51.65693664550781,28.43000030517578,19.77150011062622,0.8326804590272247
2015-09-01,22.5049991607666,49.87105178833008,31.399999618530273,20.691500091552733,0.7495551601794328
