Date,BAC,GOOGL,VIX,AvgVIX,zscore
2020-01-30,28.7337646484375,72.11646270751953,15.489999771118164,13.696000051498412,2.7728574549889173
2020-01-31,28.175912857055664,71.05176544189453,18.84000015258789,14.014500045776368,2.6235318739484597
2020-02-03,28.296070098876953,73.5223388671875,17.969999313354492,14.211999988555908,2.483503209269919
2020-02-04,28.853923797607422,71.67808532714844,16.049999237060547,14.32199993133545,2.8563209431269234
2020-02-05,29.78940200805664,71.7098159790039,15.149999618530273,14.389999914169312,3.2414635697606395
2020-02-06,29.75507164001465,73.19355010986328,14.960000038146973,14.465499925613404,3.1132464681128593
2020-02-07,29.70357322692871,73.34927368164062,15.470000267028809,14.611999940872192,3.079945960247539
2020-02-10,29.772232055664062,74.81465911865234,15.039999961853027,14.735999917984008,2.9958082947875124
2020-02-11,29.840890884399414,74.88409423828125,15.180000305175781,14.878999948501587,3.018919895253689
2020-02-12,29.969621658325195,75.30906677246094,13.739999771118164,14.946499919891357,3.0396045296903336
2020-02-13,29.961044311523438,75.04920196533203,14.149999618530273,15.032999897003174,3.0560159422556117
2020-02-14,29.909549713134766,75.31402587890625,13.680000305175781,15.100999927520752,3.014334960417471
2020-02-18,29.411771774291992,75.3492431640625,14.829999923706055,15.237499904632568,2.805393559772287
2020-02-19,29.79798126220703,75.61851501464844,14.380000114440918,15.313999891281128,2.9447171879004066
2020-02-20,29.909549713134766,75.22773742675781,15.5600004196167,15.446499919891357,3.0209644034825924
2020-02-21,29.489015579223633,73.56497955322266,17.079999923706055,15.651499938964843,2.974479577318183
2020-02-24,28.090085983276367,70.41106414794922,25.030000686645508,16.174999952316284,2.6371970618939815
2020-02-25,26.67399787902832,68.74779510498047,27.850000381469727,16.655999994277956,2.1782809047010865
2020-02-26,26.287792205810547,68.95358276367188,27.559999465942383,17.219999933242796,2.0024605784175904
2020-02-27,25.000436782836914,65.20854949951172,39.15999984741211,18.35849995613098,1.7568195631242023
2020-02-28,24.459745407104492,66.41358947753906,40.11000061035156,19.589499998092652,1.440222443500443
2020-03-02,25.2064151763916,68.74779510498047,33.41999816894531,20.318499898910524,1.570242826191036
2020-03-03,23.816070556640625,66.33772277832031,36.81999969482422,21.26099991798401,1.1793685622261514
2020-03-04,24.365339279174805,68.51372528076172,31.989999771118164,22.05799994468689,1.2397577592494131
2020-03-05,23.13023567199707,65.19912719726562,39.619998931884766,23.281499910354615,0.9826954897063932
2020-03-06,22.2060604095459,64.25592803955078,41.939998626708984,24.630499839782715,0.6722629000006668
2020-03-09,18.941226959228516,60.29119110107422,54.459999084472656,26.57999978065491,-0.3757926950071883
2020-03-10,20.39226531982422,63.23585510253906,47.29999923706055,28.192999744415282,-0.0008443132449631953
2020-03-11,19.580371856689453,60.04869842529297,53.900001525878906,30.12899980545044,-0.09235644398542385
2020-03-12,17.714752197265625,55.121917724609375,75.47000122070312,33.21549987792969,-0.48678734380146843
2020-03-13,20.867300033569336,60.21581268310547,57.83000183105469,35.39949998855591,0.4279949819877114
2020-03-16,17.654293060302734,53.21022415161133,82.69000244140625,38.850000095367434,-0.36496309880049366
2020-03-17,18.984413146972656,55.44475173950195,75.91000366210938,41.9040002822876,0.014446280730819314
2020-03-18,17.956594467163086,54.112266540527344,76.44999694824219,45.007500123977664,-0.30901868665847937
