Date,V,CVX,VIX,AvgVIX,zscore
2020-01-30,199.15611267089844,84.41716003417969,15.489999771118164,13.696000051498412,-0.12797457572947488
2020-01-31,190.31788635253906,81.18895721435547,18.84000015258789,14.014500045776368,-0.5659553706834191
2020-02-03,192.07789611816406,80.53730773925781,17.969999313354492,14.211999988555908,-0.3968966041348686
2020-02-04,194.70834350585938,80.96925354003906,16.049999237060547,14.32199993133545,-0.2331098822255222
2020-02-05,193.9909210205078,83.56845092773438,15.149999618530273,14.389999914169312,-0.44955530273504196
2020-02-06,194.21092224121094,82.96977996826172,14.960000038146973,14.465499925613404,-0.39572359008212477
2020-02-07,193.9239501953125,82.5530014038086,15.470000267028809,14.611999940872192,-0.3902217823528953
2020-02-10,197.0326385498047,83.1971206665039,15.039999961853027,14.735999917984008,-0.2051061254385404
2020-02-11,195.0718231201172,84.27317810058594,15.180000305175781,14.878999948501587,-0.4155848367672027
2020-02-12,198.41958618164062,84.90216827392578,13.739999771118164,14.946499919891357,-0.2121445279364478
2020-02-13,198.66864013671875,84.61418914794922,14.149999618530273,15.032999897003174,-0.17584477684274374
2020-02-14,201.43699645996094,84.39183807373047,13.680000305175781,15.100999927520752,0.039326648325084174
2020-02-18,202.30868530273438,84.51451110839844,14.829999923706055,15.237499904632568,0.09489695418539304
2020-02-19,204.32980346679688,84.89784240722656,14.380000114440918,15.313999891281128,0.21749098858484991
2020-02-20,202.548095703125,84.18484497070312,15.5600004196167,15.446499919891357,0.1331316633386608
2020-02-21,200.019287109375,83.57154083251953,17.079999923706055,15.651499938964843,-0.01180542077709523
2020-02-24,190.42112731933594,80.27499389648438,25.030000686645508,16.174999952316284,-0.5006725668045665
2020-02-25,180.46856689453125,77.20843505859375,27.850000381469727,16.655999994277956,-1.02982631784783
2020-02-26,179.3286590576172,75.16149139404297,27.559999465942383,17.219999933242796,-0.9832257500767992
2020-02-27,172.43174743652344,72.1639175415039,39.15999984741211,18.35849995613098,-1.2947558754195037
2020-02-28,174.10806274414062,71.55827331542969,40.11000061035156,19.589499998092652,-1.1346858402863127
2020-03-02,184.2331085205078,74.04985046386719,33.41999816894531,20.318499898910524,-0.556649965489463
2020-03-03,177.91094970703125,72.3632583618164,36.81999969482422,21.26099991798401,-0.9093087078218604
2020-03-04,186.11056518554688,75.53714752197266,31.989999771118164,22.05799994468689,-0.5142875218878334
2020-03-05,179.08917236328125,74.50984191894531,39.619998931884766,23.281499910354615,-0.9594252389393786
2020-03-06,176.5985870361328,73.07621765136719,41.939998626708984,24.630499839782715,-1.0497231994846052
2020-03-09,163.9255828857422,61.844940185546875,54.459999084472656,26.57999978065491,-1.2603200961960555
2020-03-10,174.91275024414062,65.149169921875,47.29999923706055,28.192999744415282,-0.6710308587528986
2020-03-11,165.66896057128906,63.65421676635742,53.900001525878906,30.12899980545044,-1.248054342583833
2020-03-12,153.34075927734375,58.46406173706055,75.47000122070312,33.21549987792969,-1.8155342119911524
2020-03-13,168.42776489257812,63.95321273803711,57.83000183105469,35.39949998855591,-1.0665374630701674
2020-03-16,145.61050415039062,53.43488693237305,82.69000244140625,38.850000095367434,-2.059162659804009
2020-03-17,151.24295043945312,54.1938591003418,75.91000366210938,41.9040002822876,-1.6979637384719444
2020-03-18,142.2291259765625,42.203590393066406,76.44999694824219,45.007500123977664,-1.5947457130619274
2020-03-19,145.84042358398438,43.997535705566406,72.0,47.829500102996825,-1.44581112594958
2020-03-20,140.64852905273438,45.53081130981445,66.04000091552734,50.27750015258789,-1.9199256516535128
2020-03-23,130.0254669189453,41.56727600097656,61.59000015258789,52.10550012588501,-2.4410809494305883
2020-03-24,148.0244140625,51.019962310791016,61.66999816894531,53.796500015258786,-1.731121905743439
2020-03-25,154.96920776367188,53.105224609375,63.95000076293945,55.61600008010864,-1.35843508457756
2020-03-26,161.7703094482422,58.556053161621094,61.0,56.708000087738036,-1.2089650403221823
2020-03-27,154.7584686279297,52.72957229614258,65.54000091552734,57.97950010299682,-1.3499952377412512
2020-03-30,158.5996856689453,55.15981674194336,57.08000183105469,59.16250028610229,-1.2245857188237885
2020-03-31,154.3369903564453,55.550819396972656,53.540000915527344,59.99850034713745,-1.5589795083109577
2020-04-01,146.6641845703125,52.560909271240234,57.060001373291016,61.252000427246095,-1.9273608578478325
2020-04-02,150.76397705078125,58.35673141479492,50.90999984741211,61.81650047302246,-1.9959451472724432
2020-04-03,145.45724487304688,57.5823974609375,46.79999923706055,62.059500503540036,-2.3325105761094416
2020-04-06,162.30670166015625,61.630271911621094,45.2400016784668,61.598500633239745,-1.3643558739630341
2020-04-07,161.4925537109375,62.0366096496582,46.70000076293945,61.568500709533694,-1.4491911161912356
2020-04-08,167.5751495361328,65.91580200195312,43.349998474121094,61.041000556945804,-1.2525566401846038
2020-04-09,166.3778076171875,64.63550567626953,41.66999816894531,59.35100040435791,-1.2585975094764286
2020-04-13,161.8756866455078,65.09549713134766,41.16999816894531,58.51800022125244,-1.6147465667685366
2020-04-14,167.26864624023438,64.86550903320312,37.7599983215332,56.27150001525879,-1.2084216621278787
2020-04-15,158.97325134277344,63.24020767211914,40.84000015258789,54.51799983978272,-1.7083058362799326
2020-04-16,155.58226013183594,61.32362365722656,40.11000061035156,52.70100002288818,-1.8334822650472653
2020-04-17,162.4025115966797,66.82809448242188,38.150001525878906,51.00850009918213,-1.6860124119629114
2020-04-20,157.3064727783203,64.06819152832031,43.83000183105469,49.898000144958495,-1.8817398138981423
2020-04-21,153.7718505859375,62.58858108520508,45.40999984741211,49.089000129699706,-2.0449770178900417
2020-04-22,159.57672119140625,64.73517608642578,41.97999954223633,48.104500198364256,-1.75898024433831
2020-04-23,159.37551879882812,66.54444885253906,41.380001068115234,46.976000213623045,-1.8879829716099399
2020-04-24,160.27597045898438,66.70545196533203,35.93000030517578,45.722500228881835,-1.832746426588867
2020-04-27,164.52902221679688,68.77536010742188,33.290000915527344,44.11000022888184,-1.654636987020154
2020-04-28,164.04051208496094,68.92869567871094,33.56999969482422,42.93450012207031,-1.6998201725714626
2020-04-29,174.1367950439453,72.53958892822266,31.229999542236328,41.81900005340576,-1.1946392757369013
2020-04-30,171.19601440429688,70.53097534179688,34.150001525878906,40.673500061035156,-1.2812907727572294
2020-05-01,168.17868041992188,68.56837463378906,37.189998626708984,39.9875,-1.3764127000961295
2020-05-04,168.73426818847656,70.10167694091797,35.970001220703125,39.44600009918213,-1.4329891640813512
2020-05-05,170.92787170410156,71.21329498291016,33.61000061035156,38.86450004577637,-1.3439082788683272
2020-05-06,171.2535400390625,69.0360336303711,34.119998931884766,38.235499954223634,-1.1825984376331025
2020-05-07,175.0276336669922,71.02161407470703,31.440000534057617,37.64000005722046,-1.0339527015583136
2020-05-08,177.2978973388672,73.19123840332031,27.979999542236328,36.95550012588501,-1.0061919566724398
2020-05-11,175.83226013183594,71.5812759399414,27.56999969482422,36.275500202178954,-1.0108816242575909
2020-05-12,171.9145050048828,69.84099578857422,33.040000915527344,36.03950033187866,-1.1854723792391124
2020-05-13,169.918701171875,68.00104522705078,35.279998779296875,35.76150026321411,-1.2141369694791553
2020-05-14,173.5743865966797,69.0360336303711,32.61000061035156,35.38650026321411,-1.0139949273058149
2020-05-15,176.05958557128906,68.3537368774414,31.889999389648438,35.07350015640259,-0.7903154540083063
2020-05-18,183.6300506591797,71.99427032470703,29.299999237060547,34.34700002670288,-0.4705026176226575
2020-05-19,181.6918487548828,69.71502685546875,30.530000686645508,33.60300006866455,-0.4672095880840837
2020-05-20,186.0095977783203,72.34432983398438,27.989999771118164,32.90350008010864,-0.31976613504706863
2020-05-21,182.9008026123047,71.59754943847656,29.530000686645508,32.31100006103516,-0.4983991065610315
2020-05-22,183.13108825683594,70.22843933105469,28.15999984741211,31.92250003814697,-0.3951115319214549
2020-05-26,185.39553833007812,72.57769012451172,28.010000228881836,31.658500003814698,-0.3791294793013799
2020-05-27,185.0117645263672,73.04444885253906,27.6200008392334,31.361000061035156,-0.43651908852350285
2020-05-28,186.39341735839844,70.6874008178711,28.59000015258789,31.229000091552734,-0.1871282213757666
2020-05-29,187.33372497558594,71.33307647705078,27.510000228881836,30.89700002670288,-0.15963822512890063
2020-06-01,186.47979736328125,72.18096923828125,28.229999542236328,30.449000072479247,-0.2752793610799549
2020-06-02,188.40838623046875,73.65896606445312,26.84000015258789,29.992500019073486,-0.22861431548717887
2020-06-03,188.89768981933594,75.5959243774414,25.65999984741211,29.594999980926513,-0.3155261051721277
2020-06-04,185.79852294921875,74.8958511352539,25.809999465942383,29.179500007629393,-0.4964125267886467
2020-06-05,191.5267791748047,78.419677734375,24.520000457763672,28.8335000038147,-0.3030529643522793
2020-06-08,191.5171661376953,80.30998229980469,25.809999465942383,28.725,-0.4232602142650709
2020-06-09,191.0182342529297,78.97976684570312,27.56999969482422,28.725,-0.3754074092461528
2020-06-10,192.36154174804688,75.90708923339844,27.56999969482422,28.451499938964844,-0.08355867884701579
2020-06-11,181.23126220703125,69.52057647705078,40.790000915527344,28.727000045776368,-0.48837646440944044
2020-06-12,184.4744110107422,71.86981201171875,36.09000015258789,28.901000022888184,-0.4012935111850389
2020-06-15,183.99462890625,70.96744537353516,34.400001525878906,29.026500129699706,-0.37909899376009865
2020-06-16,185.0692901611328,73.14557647705078,33.66999816894531,29.245000076293945,-0.43873349315802457
2020-06-17,185.72177124023438,71.20860290527344,33.470001220703125,29.392000102996825,-0.2688730305732166
2020-06-18,186.0575714111328,71.51976013183594,32.939998626708984,29.639500045776366,-0.26415000593898574
2020-06-19,184.41680908203125,70.50070190429688,35.119998931884766,29.91899995803833,-0.31892022545824233
2020-06-22,187.0650634765625,71.24748229980469,31.770000457763672,30.09949998855591,-0.17374435194425544
2020-06-23,189.95315551757812,71.13081359863281,31.3700008392334,30.267500019073488,0.04344411006427775
2020-06-24,183.65882873535156,68.1748046875,33.84000015258789,30.57849998474121,-0.22693760239662517
2020-06-25,186.124755859375,69.39610290527344,32.220001220703125,30.760000038146973,-0.12500731324361375
2020-06-26,181.60548400878906,67.25688934326172,34.72999954223633,31.121000003814697,-0.31807532603362704
2020-06-29,183.6300506591797,68.19815063476562,31.780000686645508,31.298500061035156,-0.23050423345433915
2020-06-30,185.3475341796875,69.4116439819336,30.43000030517578,31.47800006866455,-0.1824529999801435
2020-07-01,185.93287658691406,68.15926361083984,28.6200008392334,31.626000118255615,-0.06075135885784427
2020-07-02,187.74630737304688,68.69599151611328,27.68000030517578,31.719500160217287,0.03705667925231056
2020-07-06,189.75164794921875,68.89825439453125,27.940000534057617,31.890500164031984,0.16995202531664924
2020-07-07,186.3358154296875,67.14019775390625,29.43000030517578,32.07150020599365,0.03294851757032943
2020-07-08,187.1706085205078,67.17130279541016,28.079999923706055,32.097000217437746,0.09162755651036358
2020-07-09,184.42640686035156,64.36311340332031,29.260000228881836,32.18150024414062,0.06980781854158051
2020-07-10,184.75265502929688,66.30005645751953,27.290000915527344,31.506500244140625,-0.028948561724055803
2020-07-13,181.36558532714844,66.43231964111328,32.189998626708984,31.31150016784668,-0.2833723773266937
2020-07-14,185.50103759765625,68.72710418701172,29.520000457763672,31.067500114440918,-0.12802337911551007
2020-07-15,188.59063720703125,69.14717102050781,27.760000228881836,30.772000217437743,0.06987057863421361
2020-07-16,185.66419982910156,68.73489379882812,28.0,30.49850015640259,-0.11666253931581591
2020-07-17,187.1898193359375,67.82476043701172,25.68000030517578,30.13550024032593,0.05171025553745658
2020-07-20,190.43289184570312,66.3311996459961,24.459999084472656,29.602500247955323,0.38173704192960034
2020-07-21,188.5235137939453,71.0919189453125,24.84000015258789,29.256000232696532,-0.05795667118414192
2020-07-22,190.80711364746094,70.81964111328125,24.31999969482422,28.903500175476076,0.12515491889288594
2020-07-23,189.43502807617188,70.79632568359375,26.079999923706055,28.515500164031984,0.02695049340277393
2020-07-24,187.24737548828125,70.11177825927734,25.84000015258789,28.19650011062622,-0.08869834269288232
2020-07-27,188.9360809326172,70.81964111328125,24.739999771118164,27.697000122070314,-0.010770777109927982
2020-07-28,188.7729949951172,69.31831359863281,25.440000534057617,27.380000114440918,0.07229842030384569
2020-07-29,190.53846740722656,70.06509399414062,24.100000381469727,27.063500118255615,0.15334246200779508
2020-07-30,186.20152282714844,67.10909271240234,24.760000228881836,26.870500087738037,0.025159030514956698
2020-07-31,182.68971252441406,65.29659271240234,24.459999084472656,26.70950002670288,-0.1153749958064115
2020-08-03,182.96798706054688,65.97335052490234,24.280000686645508,26.526500034332276,-0.1379450703843864
2020-08-04,184.5032196044922,67.28022003173828,23.760000228881836,26.243000030517578,-0.10903732996482222
2020-08-05,188.1588897705078,67.83251953125,22.989999771118164,25.988500022888182,0.12162017494120256
2020-08-06,190.7208251953125,68.04255676269531,22.649999618530273,25.657999992370605,0.29445918935048887
2020-08-07,188.40838623046875,67.52136993408203,22.209999084472656,25.403999900817873,0.15941695704351377
2020-08-10,188.82093811035156,69.80062866210938,22.1299991607666,24.90099992752075,0.04528842754307899
2020-08-11,189.76129150390625,69.71502685546875,24.030000686645508,24.626499938964844,0.11901459352113558
2020-08-12,190.6920166015625,70.57072448730469,22.280000686645508,24.352499961853027,0.13253042949302604
2020-08-13,189.8655548095703,69.87062072753906,22.1299991607666,24.058999919891356,0.11675209339605792
2020-08-14,188.96226501464844,70.28289031982422,22.049999237060547,23.877499866485596,0.025065902375077574
2020-08-17,191.64332580566406,70.60961151123047,21.350000381469727,23.72199993133545,0.1991820705273274
2020-08-18,191.23973083496094,69.14977264404297,21.510000228881836,23.555499935150145,0.2621559112189798
2020-08-19,193.14244079589844,68.1712646484375,22.540000915527344,23.466499996185302,0.46224613696177874
2020-08-20,196.1790008544922,66.92445373535156,22.719999313354492,23.298499965667723,0.7616702993449498
