Date,JPM,AVGO,VIX,AvgVIX,zscore
2022-01-31,133.30429077148438,54.15768051147461,24.829999923706055,23.18100004196167,2.0238036932934844
2022-02-01,135.591796875,54.78996276855469,21.959999084472656,23.448999977111818,2.2592052745918343
2022-02-02,134.50636291503906,55.779972076416016,22.09000015258789,23.707999992370606,2.0112397558046373
2022-02-03,133.3939971923828,53.69271469116211,24.350000381469727,23.939000034332274,2.0847687436668703
2022-02-04,136.85670471191406,54.55331039428711,23.219999313354492,24.119499969482423,2.451302839902041
2022-02-07,137.31419372558594,54.31944274902344,22.860000610351562,24.324499988555907,2.536442651772375
2022-02-08,139.89773559570312,55.48324966430664,21.440000534057617,24.426500034332275,2.754806810107297
2022-02-09,140.4808349609375,56.51115417480469,19.959999084472656,24.503999996185303,2.7232590541156347
2022-02-10,139.89773559570312,54.664241790771484,23.90999984741211,24.818499946594237,2.8413187797191437
2022-02-11,138.07666015625,53.005897521972656,27.360000610351562,25.171000003814697,2.775917895264052
2022-02-14,136.79385375976562,53.482887268066406,28.329999923706055,25.62799997329712,2.556068965111553
2022-02-15,138.79437255859375,55.71896743774414,25.700000762939453,25.773499965667725,2.5841487502776586
2022-02-16,139.04551696777344,55.20500183105469,24.290000915527344,25.795499992370605,2.6716163312610446
2022-02-17,135.84298706054688,53.52170944213867,28.110000610351562,25.92150001525879,2.42635446933078
2022-02-18,136.47991943359375,53.613224029541016,27.75,25.866499996185304,2.500829351628345
2022-02-22,136.2377166748047,53.37935256958008,28.809999465942383,25.811999988555907,2.49353718494444
2022-02-23,133.38504028320312,52.24513244628906,31.020000457763672,25.805000019073486,2.236493905641338
2022-02-24,129.67117309570312,53.61414337158203,30.31999969482422,25.723000049591064,1.601266699766965
2022-02-25,132.73912048339844,54.354576110839844,27.59000015258789,25.57800006866455,1.928344073030294
2022-02-28,127.20423126220703,54.3018913269043,30.149999618530273,25.70250005722046,1.202725801968333
2022-03-01,122.4049072265625,52.70085525512695,33.31999969482422,26.127000045776366,0.7378316131408406
2022-03-02,124.94361877441406,54.14842987060547,30.739999771118164,26.566000080108644,0.9202990470321561
2022-03-03,124.05552673339844,53.48473358154297,30.479999542236328,26.985500049591064,0.8730845308834764
2022-03-04,120.56594848632812,55.092227935791016,31.979999542236328,27.367000007629393,0.2422958337316716
2022-03-07,115.91014862060547,52.75446319580078,36.45000076293945,28.028500080108643,-0.1258173764156002
2022-03-08,115.09382629394531,53.23977279663086,35.130001068115234,28.642000102996825,-0.28492052323174055
2022-03-09,119.70475769042969,55.18743896484375,32.45000076293945,29.192500114440918,0.11847155556671177
2022-03-10,118.28739166259766,54.32869338989258,30.229999542236328,29.706000137329102,0.021940698101949763
2022-03-11,115.62307739257812,53.415401458740234,30.75,30.048000144958497,-0.2335558010742281
2022-03-14,116.77132415771484,52.48639678955078,31.770000457763672,30.268500137329102,0.016263634931571076
2022-03-15,118.84354400634766,54.79365539550781,29.829999923706055,30.3435001373291,0.04629685346316363
2022-03-16,124.15420532226562,56.12107849121094,26.670000076293945,30.392000102996825,0.607642756071689
2022-03-17,125.72407531738281,55.709716796875,25.670000076293945,30.461000061035158,0.8584817542085372
2022-03-18,125.67919921875,56.425193786621094,23.8700008392334,30.249000072479248,0.7769774417306938
2022-03-21,125.27552032470703,55.9580078125,23.530000686645508,30.038000106811523,0.7729986225045667
2022-03-22,127.93985748291016,56.89329528808594,22.940000534057617,29.744500160217285,1.0261747514426363
2022-03-23,125.39215087890625,55.78025817871094,23.56999969482422,29.37200012207031,0.807181765438217
2022-03-24,126.20850372314453,58.2976188659668,21.670000076293945,28.9395001411438,0.6491162655600374
2022-03-25,127.3118896484375,58.52470016479492,20.809999465942383,28.600500106811523,0.7708917881238012
2022-03-28,126.36994934082031,58.89787673950195,19.6299991607666,28.07450008392334,0.6070385843057761
2022-03-29,126.64801788330078,59.69729995727539,18.899999618530273,27.353500080108642,0.5593294316962502
2022-03-30,126.07390594482422,58.731292724609375,19.329999923706055,26.78300008773804,0.5855262444116544
2022-03-31,122.28826904296875,58.60007858276367,20.559999465942383,26.28700008392334,0.09928702291163415
2022-04-01,121.38227844238281,58.34881591796875,19.6299991607666,25.669500064849853,0.006142579488464708
2022-04-04,121.92050170898438,59.081207275390625,18.56999969482422,24.77550001144409,-0.00011839290012770419
2022-04-05,120.50169372558594,57.15201950073242,21.030000686645508,24.070499992370607,0.016231289959318315
2022-04-06,118.82979583740234,56.02408981323242,22.100000381469727,23.55299997329712,-0.08549038036780093
2022-04-07,118.46830749511719,56.12179946899414,21.549999237060547,23.11899995803833,-0.14356568209084652
2022-04-08,120.63722229003906,54.62813186645508,21.15999984741211,22.639499950408936,0.3007339817776979
2022-04-11,120.19439697265625,54.033470153808594,24.3700008392334,22.26949996948242,0.30504903507927483
2022-04-12,118.87496185302734,54.44852066040039,24.260000228881836,21.99099998474121,0.08690394296957746
2022-04-13,115.04322052001953,55.143707275390625,21.81999969482422,21.748499965667726,-0.4927187594350258
2022-04-14,113.9768295288086,53.404354095458984,22.700000762939453,21.6,-0.4498654985074655
2022-04-18,116.091552734375,54.58159637451172,22.170000076293945,21.51499996185303,-0.2948535420017708
2022-04-19,118.49542999267578,55.61647033691406,21.3700008392334,21.40699996948242,-0.08660466022522932
2022-04-20,118.91111755371094,55.62577819824219,20.31999969482422,21.27599992752075,-0.03267368397474128
2022-04-21,117.98933410644531,55.16138458251953,22.68000030517578,21.23149995803833,-0.10539136633071398
2022-04-22,114.60038757324219,54.62348175048828,28.209999084472656,21.558499908447267,-0.4962674237841483
2022-04-25,114.56425476074219,54.71003723144531,27.020000457763672,21.86899995803833,-0.5101836015188348
2022-04-26,111.17530059814453,52.12194061279297,33.52000045776367,22.563500022888185,-0.6844982767941639
2022-04-27,109.72933959960938,52.07261657714844,31.600000381469727,23.198500061035155,-0.870306019674112
2022-04-28,111.4645004272461,53.8780517578125,29.989999771118164,23.73150005340576,-0.8317920790651413
2022-04-29,107.86770629882812,51.59334182739258,33.400001525878906,24.37350015640259,-1.0656101322623557
2022-05-02,108.85274505615234,53.63701248168945,32.34000015258789,25.00900020599365,-1.1513555007432967
