Date,BAC,PG,VIX,AvgVIX,zscore
2020-01-30,28.7337646484375,107.52606201171875,15.489999771118164,13.696000051498412,2.467195666818956
2020-01-31,28.175912857055664,106.39061737060547,18.84000015258789,14.014500045776368,2.30712040426778
2020-02-03,28.296070098876953,106.8089370727539,17.969999313354492,14.211999988555908,2.3346666013642907
2020-02-04,28.853923797607422,107.27848052978516,16.049999237060547,14.32199993133545,2.5213124323470257
2020-02-05,29.78940200805664,108.26024627685547,15.149999618530273,14.389999914169312,2.826547525221313
2020-02-06,29.75507164001465,108.54197692871094,14.960000038146973,14.465499925613404,2.802667139463165
2020-02-07,29.70357322692871,107.63703918457031,15.470000267028809,14.611999940872192,2.8198149183314993
2020-02-10,29.772232055664062,107.71388244628906,15.039999961853027,14.735999917984008,2.84202644222097
2020-02-11,29.840890884399414,105.99789428710938,15.180000305175781,14.878999948501587,2.935773040895727
2020-02-12,29.969621658325195,105.39175415039062,13.739999771118164,14.946499919891357,3.007352269159768
2020-02-13,29.961044311523438,106.68087005615234,14.149999618530273,15.032999897003174,2.952757893951972
2020-02-14,29.909549713134766,107.6882553100586,13.680000305175781,15.100999927520752,2.893604215148548
2020-02-18,29.411771774291992,106.60405731201172,14.829999923706055,15.237499904632568,2.753601129593273
2020-02-19,29.79798126220703,107.09065246582031,14.380000114440918,15.313999891281128,2.8763735976579734
2020-02-20,29.909549713134766,108.06389617919922,15.5600004196167,15.446499919891357,2.878615913764963
2020-02-21,29.489015579223633,108.16634368896484,17.079999923706055,15.651499938964843,2.7197032285784033
2020-02-24,28.090085983276367,105.26370239257812,25.030000686645508,16.174999952316284,2.3204867535925797
2020-02-25,26.67399787902832,103.667236328125,27.850000381469727,16.655999994277956,1.862835962538288
2020-02-26,26.287792205810547,102.58302307128906,27.559999465942383,17.219999933242796,1.7639102282486472
2020-02-27,25.000436782836914,96.89723205566406,39.15999984741211,18.35849995613098,1.5168205810142528
2020-02-28,24.459745407104492,96.66674041748047,40.11000061035156,19.589499998092652,1.3269549621810206
2020-03-02,25.2064151763916,102.07079315185547,33.41999816894531,20.318499898910524,1.3862258697580012
2020-03-03,23.816070556640625,100.88410949707031,36.81999969482422,21.26099991798401,0.9217022986922024
2020-03-04,24.365339279174805,106.28814697265625,31.989999771118164,22.05799994468689,0.9082981200506824
2020-03-05,23.13023567199707,103.8379898071289,39.619998931884766,23.281499910354615,0.5513418626400443
