Date,NEE,GILD,VIX,AvgVIX,zscore
2020-01-30,57.78910446166992,50.4964485168457,15.489999771118164,13.696000051498412,-0.7565983187596782
2020-01-31,57.41873550415039,49.84187698364258,18.84000015258789,14.014500045776368,-0.7855362690171133
2020-02-03,57.12112808227539,52.33396911621094,17.969999313354492,14.211999988555908,-0.8839237540554332
2020-02-04,56.63517379760742,53.15415573120117,16.049999237060547,14.32199993133545,-0.9636922291719894
2020-02-05,57.0997428894043,51.94754409790039,15.149999618530273,14.389999914169312,-0.8769155226140177
2020-02-06,57.44655227661133,53.7929573059082,14.960000038146973,14.465499925613404,-0.8805008374335858
2020-02-07,57.70559310913086,54.3134651184082,15.470000267028809,14.611999940872192,-0.8618219746761853
2020-02-10,58.17660903930664,54.40808868408203,15.039999961853027,14.735999917984008,-0.8066520648795285
2020-02-11,58.264381408691406,53.43805694580078,15.180000305175781,14.878999948501587,-0.771783485810308
2020-02-12,57.859764099121094,52.79927062988281,13.739999771118164,14.946499919891357,-0.8052971868227423
2020-02-13,58.975154876708984,52.68097686767578,14.149999618530273,15.032999897003174,-0.6661286945907929
2020-02-14,59.62812805175781,53.280338287353516,13.680000305175781,15.100999927520752,-0.6013016109834739
2020-02-18,60.38173294067383,52.84659194946289,14.829999923706055,15.237499904632568,-0.49846515331531044
2020-02-19,58.80387878417969,53.1147346496582,14.380000114440918,15.313999891281128,-0.6978451502956834
2020-02-20,59.30913543701172,52.838687896728516,15.5600004196167,15.446499919891357,-0.6292655830943192
2020-02-21,59.42902374267578,54.9680290222168,17.079999923706055,15.651499938964843,-0.667633317699346
2020-02-24,58.64759063720703,57.491668701171875,25.030000686645508,16.174999952316284,-0.8258961986121206
2020-02-25,57.87472915649414,55.28348159790039,27.850000381469727,16.655999994277956,-0.865313741165987
2020-02-26,57.69062423706055,58.911197662353516,27.559999465942383,17.219999933242796,-0.9781103478473329
2020-02-27,55.060791015625,57.30241012573242,39.15999984741211,18.35849995613098,-1.2592433589495662
2020-02-28,54.395790100097656,54.69989776611328,40.11000061035156,19.589499998092652,-1.2756711052591165
