Date,MS,INTC,VIX,AvgVIX,zscore
2020-01-30,44.35105514526367,58.632652282714844,15.489999771118164,13.696000051498412,0.9799344722512102
2020-01-31,43.06550598144531,56.39213562011719,18.84000015258789,14.014500045776368,0.69316492026726
2020-02-03,43.34568786621094,56.8243522644043,17.969999313354492,14.211999988555908,0.7529644176225708
2020-02-04,44.515869140625,57.741722106933594,16.049999237060547,14.32199993133545,0.9599700846496814
2020-02-05,45.31520462036133,59.400054931640625,15.149999618530273,14.389999914169312,1.1510492682113864
2020-02-06,45.33168411254883,59.47096633911133,14.960000038146973,14.465499925613404,1.156756851134247
2020-02-07,45.34816360473633,58.522499084472656,15.470000267028809,14.611999940872192,1.1133808798381994
2020-02-10,45.61186599731445,58.85047912597656,15.039999961853027,14.735999917984008,1.1658681706977037
2020-02-11,45.966209411621094,59.7546501159668,15.180000305175781,14.878999948501587,1.2587122652840732
2020-02-12,46.295833587646484,59.79895782470703,13.739999771118164,14.946499919891357,1.3067137962766764
2020-02-13,46.08982849121094,59.78123092651367,14.149999618530273,15.032999897003174,1.2771940723956623
2020-02-14,46.015647888183594,59.630550384521484,13.680000305175781,15.100999927520752,1.2596163033306602
2020-02-18,45.751949310302734,58.62886428833008,14.829999923706055,15.237499904632568,1.1746902850582024
2020-02-19,46.4029655456543,59.488712310791016,14.380000114440918,15.313999891281128,1.3066830325298882
2020-02-20,44.29336166381836,58.01723098754883,15.5600004196167,15.446499919891357,0.9422734483934325
2020-02-21,43.19736099243164,57.03327560424805,17.079999923706055,15.651499938964843,0.7423840880232387
2020-02-24,40.93943405151367,54.74627685546875,25.030000686645508,16.174999952316284,0.3180674082793529
2020-02-25,39.57973861694336,52.946815490722656,27.850000381469727,16.655999994277956,0.042217219127547174
2020-02-26,38.9287223815918,52.87590026855469,27.559999465942383,17.219999933242796,-0.051788048992624396
2020-02-27,37.42068862915039,49.48971939086914,39.15999984741211,18.35849995613098,-0.4246811943758912
2020-02-28,37.1075325012207,49.21492004394531,40.11000061035156,19.589499998092652,-0.4814894310210286
2020-03-02,38.30241775512695,51.57283401489258,33.41999816894531,20.318499898910524,-0.20168327224573485
2020-03-03,36.58837890625,49.61381530761719,36.81999969482422,21.26099991798401,-0.534524064346505
2020-03-04,37.280601501464844,52.01605224609375,31.989999771118164,22.05799994468689,-0.3225306006860772
2020-03-05,35.0968132019043,50.49139404296875,39.619998931884766,23.281499910354615,-0.699823638270143
2020-03-06,34.4787712097168,49.4365234375,41.939998626708984,24.630499839782715,-0.836618358354713
2020-03-09,30.902345657348633,45.07526779174805,54.459999084472656,26.57999978065491,-1.5442841100691338
2020-03-10,32.55046081542969,47.84980392456055,47.29999923706055,28.192999744415282,-1.1813492362271025
2020-03-11,30.38318634033203,45.79327392578125,53.900001525878906,30.12899980545044,-1.5819542035810679
2020-03-12,25.8013973236084,40.3682861328125,75.47000122070312,33.21549987792969,-2.4807381916145537
2020-03-13,30.902345657348633,48.24870300292969,57.83000183105469,35.39949998855591,-1.3914817363899405
2020-03-16,26.081581115722656,39.54390335083008,82.69000244140625,38.850000095367434,-2.481444272615245
2020-03-17,27.845069885253906,44.39270782470703,75.91000366210938,41.9040002822876,-2.002577868819099
2020-03-18,25.339927673339844,42.203216552734375,76.44999694824219,45.007500123977664,-2.456600191059265
2020-03-19,25.480016708374023,40.722862243652344,72.0,47.829500102996825,-2.5083861683942255
2020-03-20,24.449935913085938,40.625362396240234,66.04000091552734,50.27750015258789,-2.6564193557825875
2020-03-23,22.91718101501465,43.94948959350586,61.59000015258789,52.10550012588501,-2.709648076862113
2020-03-24,27.3753604888916,46.449241638183594,61.66999816894531,53.796500015258786,-1.9689161452565844
2020-03-25,28.0098876953125,45.438697814941406,63.95000076293945,55.61600008010864,-1.9292781234420997
2020-03-26,29.42727279663086,49.23264694213867,61.0,56.708000087738036,-1.549364752802211
2020-03-27,28.026369094848633,46.422645568847656,65.54000091552734,57.97950010299682,-1.8796071525889606
2020-03-30,28.71034812927246,49.188323974609375,57.08000183105469,59.16250028610229,-1.6512609278720538
2020-03-31,28.01813316345215,47.97390365600586,53.540000915527344,59.99850034713745,-1.8060594100648073
2020-04-01,26.05686378479004,45.98828887939453,57.060001373291016,61.252000427246095,-2.1745836111296115
2020-04-02,27.935720443725586,48.17778778076172,50.90999984741211,61.81650047302246,-1.8077102476499594
2020-04-03,27.894519805908203,47.98276901245117,46.79999923706055,62.059500503540036,-1.8228336715976174
2020-04-06,30.498558044433594,51.79444122314453,45.2400016784668,61.598500633239745,-1.2769409374262224
2020-04-07,30.440872192382812,51.76785659790039,46.70000076293945,61.568500709533694,-1.2862481415379474
2020-04-08,32.44333267211914,52.281982421875,43.349998474121094,61.041000556945804,-0.9828449613997431
2020-04-09,33.852500915527344,50.650943756103516,41.66999816894531,59.35100040435791,-0.8652906609529075
2020-04-13,32.61640548706055,52.03378677368164,41.16999816894531,58.51800022125244,-0.970712147073071
2020-04-14,32.84714889526367,53.771202087402344,37.7599983215332,56.27150001525879,-0.8549462274383643
2020-04-15,31.64400291442871,52.18447494506836,40.84000015258789,54.51799983978272,-1.0987688860711375
2020-04-16,31.611042022705078,53.88643264770508,40.11000061035156,52.70100002288818,-1.021405432341882
2020-04-17,32.21259689331055,53.505271911621094,38.150001525878906,51.00850009918213,-0.956050513260356
2020-04-20,31.611042022705078,52.459266662597656,43.83000183105469,49.898000144958495,-1.0901241348350759
2020-04-21,30.449111938476562,49.959529876708984,45.40999984741211,49.089000129699706,-1.3721733269039276
2020-04-22,31.15781021118164,53.2747917175293,41.97999954223633,48.104500198364256,-1.1139246567452799
2020-04-23,30.87763214111328,52.335174560546875,41.380001068115234,46.976000213623045,-1.1981551927216414
2020-04-24,31.289663314819336,52.53019332885742,35.93000030517578,45.722500228881835,-1.131429698195327
2020-04-27,32.393898010253906,52.71633529663086,33.290000915527344,44.11000022888184,-0.9688096362249414
2020-04-28,33.06963348388672,52.07811737060547,33.56999969482422,42.93450012207031,-0.9055097085199999
2020-04-29,33.90925598144531,54.78174591064453,31.229999542236328,41.81900005340576,-0.6584930053016524
2020-04-30,32.77867889404297,53.16841125488281,34.150001525878906,40.673500061035156,-0.8934986705070624
2020-05-01,31.922420501708984,50.94346618652344,37.189998626708984,39.9875,-1.119781472777318
2020-05-04,31.664718627929688,51.4044189453125,35.970001220703125,39.44600009918213,-1.1334462958887224
2020-05-05,31.57326316833496,52.07811737060547,33.61000061035156,38.86450004577637,-1.113733679207488
2020-05-06,31.00798988342285,52.75559997558594,34.119998931884766,38.235499954223634,-1.159771882566042
2020-05-07,32.26325988769531,52.74668884277344,31.440000534057617,37.64000005722046,-0.9855267465055534
2020-05-08,33.319034576416016,53.192413330078125,27.979999542236328,36.95550012588501,-0.8171510069292621
2020-05-11,33.1111946105957,53.60246276855469,27.56999969482422,36.275500202178954,-0.8263284293096873
2020-05-12,31.939048767089844,52.05136489868164,33.040000915527344,36.03950033187866,-1.064121769156726
2020-05-13,30.750268936157227,51.47193145751953,35.279998779296875,35.76150026321411,-1.257443681473236
2020-05-14,31.43195152282715,52.66646194458008,32.61000061035156,35.38650026321411,-1.1050685128755449
2020-05-15,30.999666213989258,51.95330810546875,31.889999389648438,35.07350015640259,-1.199560868392058
2020-05-18,33.485286712646484,53.4152717590332,29.299999237060547,34.34700002670288,-0.7832858367075624
2020-05-19,32.6955451965332,53.7451057434082,30.530000686645508,33.60300006866455,-0.87729884259335
2020-05-20,34.13370895385742,56.25006103515625,27.989999771118164,32.90350008010864,-0.5565597154116126
2020-05-21,33.501914978027344,55.25163650512695,29.530000686645508,32.31100006103516,-0.692550156511866
2020-05-22,33.3605842590332,55.50123977661133,28.15999984741211,31.92250003814697,-0.7001981947482045
2020-05-26,36.320064544677734,55.57256317138672,28.010000228881836,31.658500003814698,-0.284944265812955
2020-05-27,38.95532989501953,56.660125732421875,27.6200008392334,31.361000061035156,0.1341266653020877
2020-05-28,36.910301208496094,55.00204086303711,28.59000015258789,31.229000091552734,-0.2302821530901293
2020-05-29,36.74403381347656,56.09851837158203,27.510000228881836,30.89700002670288,-0.20062281080262354
2020-06-01,37.159690856933594,55.144676208496094,28.229999542236328,30.449000072479247,-0.18871095210095204
2020-06-02,37.8912467956543,55.376441955566406,26.84000015258789,29.992500019073486,-0.07575333954657008
2020-06-03,38.99688720703125,55.207069396972656,25.65999984741211,29.594999980926513,0.06994414266231462
2020-06-04,40.476627349853516,56.134178161621094,25.809999465942383,29.179500007629393,0.3204946958664738
2020-06-05,41.1749267578125,57.35544967651367,24.520000457763672,28.8335000038147,0.47646973288638067
2020-06-08,41.690345764160156,56.7581787109375,25.809999465942383,28.725,0.5194328062892284
2020-06-09,41.89817810058594,56.19657516479492,27.56999969482422,28.725,0.5213117666147841
2020-06-10,40.476627349853516,56.936466217041016,27.56999969482422,28.451499938964844,0.35912523693146037
2020-06-11,37.05162048339844,53.21915817260742,40.790000915527344,28.727000045776368,-0.29646382075831373
2020-06-12,38.47315979003906,52.889320373535156,36.09000015258789,28.901000022888184,-0.11453462969063988
2020-06-15,39.40422821044922,53.57572937011719,34.400001525878906,29.026500129699706,0.04807696633320239
2020-06-16,40.36855697631836,53.84315872192383,33.66999816894531,29.245000076293945,0.19514276550832702
2020-06-17,39.7035026550293,53.92339324951172,33.470001220703125,29.392000102996825,0.10646199020056056
2020-06-18,39.553871154785156,53.55790710449219,32.939998626708984,29.639500045776366,0.06804203584564796
2020-06-19,39.01352310180664,53.1478271484375,35.119998931884766,29.91899995803833,-0.026894394672246285
2020-06-22,39.38760757446289,53.566810607910156,31.770000457763672,30.09949998855591,0.04533471742127266
2020-06-23,39.811580657958984,53.4152717590332,31.3700008392334,30.267500019073488,0.0970350513364229
2020-06-24,39.0301513671875,52.675376892089844,33.84000015258789,30.57849998474121,-0.047329225069017475
2020-06-25,40.55976867675781,52.15833282470703,32.220001220703125,30.760000038146973,0.14062524356051395
