Date,PEP,AMAT,VIX,AvgVIX,zscore
2020-01-30,118.72425079345703,56.859195709228516,15.489999771118164,13.696000051498412,1.0532412511155034
2020-01-31,117.23017120361328,54.72639083862305,18.84000015258789,14.014500045776368,0.9067407518325236
2020-02-03,117.6346206665039,56.359039306640625,17.969999313354492,14.211999988555908,0.9009543139047083
2020-02-04,118.2207260131836,59.4638786315918,16.049999237060547,14.32199993133545,0.8607496931167546
2020-02-05,119.11221313476562,60.20941162109375,15.149999618530273,14.389999914169312,0.9708608157304998
2020-02-06,119.1369400024414,59.63373565673828,14.960000038146973,14.465499925613404,0.999595833292574
2020-02-07,119.99542999267578,58.237037658691406,15.470000267028809,14.611999940872192,1.196694235655601
2020-02-10,120.23482513427734,59.378936767578125,15.039999961853027,14.735999917984008,1.1857104159317253
2020-02-11,120.58149719238281,60.82283401489258,15.180000305175781,14.878999948501587,1.1788351530071597
2020-02-12,120.58149719238281,61.69105529785156,13.739999771118164,14.946499919891357,1.1414468123663466
2020-02-13,120.90342712402344,63.5785026550293,14.149999618530273,15.032999897003174,1.111523852773298
2020-02-14,121.3326644897461,63.087772369384766,13.680000305175781,15.100999927520752,1.2011311217103642
2020-02-18,120.18533325195312,61.6866569519043,14.829999923706055,15.237499904632568,1.0784374392916265
2020-02-19,120.12748718261719,63.816715240478516,14.380000114440918,15.313999891281128,0.9774824259491823
2020-02-20,119.82210540771484,62.86055374145508,15.5600004196167,15.446499919891357,0.9699411609114027
2020-02-21,120.3916244506836,60.84409713745117,17.079999923706055,15.651499938964843,1.1476296984366017
2020-02-24,117.74195098876953,57.82414245605469,25.030000686645508,16.174999952316284,0.8549844284199409
2020-02-25,116.47074890136719,55.72247314453125,27.850000381469727,16.655999994277956,0.7426980766155353
2020-02-26,117.19717407226562,56.62184524536133,27.559999465942383,17.219999933242796,0.8198525923532844
2020-02-27,112.56639099121094,53.961631774902344,39.15999984741211,18.35849995613098,0.1956755857258859
2020-02-28,108.98395538330078,55.02192306518555,40.11000061035156,19.589499998092652,-0.42147850919036595
2020-03-02,113.565185546875,56.95317840576172,33.41999816894531,20.318499898910524,0.22618470835311413
2020-03-03,111.9142837524414,54.946189880371094,36.81999969482422,21.26099991798401,0.04924881130586482
2020-03-04,117.53558349609375,57.29399490356445,31.989999771118164,22.05799994468689,0.8448930973225496
2020-03-05,114.76415252685547,55.97808837890625,39.619998931884766,23.281499910354615,0.45944256140292844
2020-03-06,114.06607818603516,54.70950698852539,41.939998626708984,24.630499839782715,0.40271007773574874
2020-03-09,108.16581726074219,49.294403076171875,54.459999084472656,26.57999978065491,-0.3053484601521207
2020-03-10,111.4732894897461,53.175872802734375,47.29999923706055,28.192999744415282,0.05513381653085694
2020-03-11,107.82508850097656,49.69202423095703,53.900001525878906,30.12899980545044,-0.37682665910159524
2020-03-12,95.85006713867188,42.70541000366211,75.47000122070312,33.21549987792969,-1.9862983254196953
2020-03-13,105.91374969482422,48.17731857299805,57.83000183105469,35.39949998855591,-0.6165084978650582
2020-03-16,93.98027801513672,38.36955261230469,82.69000244140625,38.850000095367434,-2.097864203312461
2020-03-17,106.13813018798828,42.46875,75.91000366210938,41.9040002822876,-0.33488486088985914
2020-03-18,100.48717498779297,37.09151077270508,76.44999694824219,45.007500123977664,-1.004803017915525
2020-03-19,97.51212310791016,38.04766845703125,72.0,47.829500102996825,-1.5205787880934731
2020-03-20,86.36811065673828,35.96495056152344,66.04000091552734,50.27750015258789,-3.2086594407472875
2020-03-23,87.4068832397461,38.028743743896484,61.59000015258789,52.10550012588501,-3.13182076690522
2020-03-24,94.60354614257812,42.733829498291016,61.66999816894531,53.796500015258786,-2.1863757079823305
