Date,KBE,LRCX,VIX,AvgVIX,zscore
2020-01-30,37.88279342651367,28.930835723876953,15.489999771118164,13.696000051498412,0.9579841576987782
2020-01-31,37.118412017822266,27.745498657226562,18.84000015258789,14.014500045776368,0.9038467098724247
2020-02-03,37.530006408691406,28.697298049926758,17.969999313354492,14.211999988555908,0.9148382081011558
2020-02-04,38.07599639892578,30.275264739990234,16.049999237060547,14.32199993133545,0.9111519478080035
2020-02-05,38.94955825805664,30.295738220214844,15.149999618530273,14.389999914169312,1.0502966776439566
2020-02-06,38.57157897949219,30.10034942626953,14.960000038146973,14.465499925613404,1.0008942333133881
2020-02-07,38.260780334472656,29.34486198425293,15.470000267028809,14.611999940872192,0.9947244507403382
2020-02-10,38.243988037109375,29.757030487060547,15.039999961853027,14.735999917984008,0.968154304546462
2020-02-11,38.563175201416016,30.30038833618164,15.180000305175781,14.878999948501587,0.987958077888151
2020-02-12,38.563175201416016,31.133092880249023,13.739999771118164,14.946499919891357,0.9397282312358415
2020-02-13,38.73116683959961,31.780656814575195,14.149999618530273,15.032999897003174,0.9292081177302316
2020-02-14,38.48757553100586,31.568531036376953,13.680000305175781,15.100999927520752,0.9023633960253149
2020-02-18,37.99199295043945,30.269678115844727,14.829999923706055,15.237499904632568,0.8979810577490788
2020-02-19,38.218772888183594,31.06145477294922,14.380000114440918,15.313999891281128,0.8885520705983013
2020-02-20,38.62196731567383,30.56275749206543,15.5600004196167,15.446499919891357,0.9822062532718739
2020-02-21,38.1011848449707,29.475116729736328,17.079999923706055,15.651499938964843,0.9615424528351729
2020-02-24,36.91682815551758,27.954843521118164,25.030000686645508,16.174999952316284,0.8593387628305124
2020-02-25,35.42167282104492,27.18819236755371,27.850000381469727,16.655999994277956,0.6635583940808079
2020-02-26,34.86729049682617,27.595705032348633,27.559999465942383,17.219999933242796,0.5508984855934212
2020-02-27,33.4813346862793,26.58156967163086,39.15999984741211,18.35849995613098,0.3869942904745145
2020-02-28,32.54895782470703,27.3007755279541,40.11000061035156,19.589499998092652,0.19555954177071214
2020-03-02,33.99372100830078,27.942752838134766,33.41999816894531,20.318499898910524,0.3904658740538976
2020-03-03,32.67496871948242,27.117483139038086,36.81999969482422,21.26099991798401,0.22641836493409054
2020-03-04,33.34694290161133,28.492612838745117,31.989999771118164,22.05799994468689,0.25471865211989814
2020-03-05,31.74259376525879,27.83110237121582,39.619998931884766,23.281499910354615,0.0353074972134727
2020-03-06,30.47422981262207,27.391948699951172,41.939998626708984,24.630499839782715,-0.14300919380629362
2020-03-09,25.988773345947266,24.89754867553711,54.459999084472656,26.57999978065491,-0.7190865166161177
2020-03-10,27.685516357421875,26.755558013916016,47.29999923706055,28.192999744415282,-0.5541336829532272
2020-03-11,25.795578002929688,25.73769760131836,53.900001525878906,30.12899980545044,-0.7987827847141585
2020-03-12,23.51085090637207,22.12959861755371,75.47000122070312,33.21549987792969,-0.956826086026152
2020-03-13,26.232364654541016,24.356050491333008,57.83000183105469,35.39949998855591,-0.6485922575102987
2020-03-16,22.847270965576172,19.8677921295166,82.69000244140625,38.850000095367434,-0.9324220141486776
2020-03-17,24.132434844970703,21.334104537963867,75.91000366210938,41.9040002822876,-0.8108990927433639
2020-03-18,21.452917098999023,18.062814712524414,76.44999694824219,45.007500123977664,-1.0518700965562586
2020-03-19,22.838871002197266,18.143760681152344,72.0,47.829500102996825,-0.8339163271218077
2020-03-20,21.326923370361328,17.481313705444336,66.04000091552734,50.27750015258789,-1.0384296964984545
2020-03-23,19.553335189819336,17.942787170410156,61.59000015258789,52.10550012588501,-1.350070404230759
2020-03-24,21.852741241455078,21.587512969970703,61.66999816894531,53.796500015258786,-1.1917904567983044
2020-03-25,22.27542495727539,21.85988426208496,63.95000076293945,55.61600008010864,-1.13966540074492
2020-03-26,24.236675262451172,24.367374420166016,61.0,56.708000087738036,-0.9698392576436666
2020-03-27,23.3405818939209,22.577775955200195,65.54000091552734,57.97950010299682,-1.0101366214168366
2020-03-30,23.408214569091797,23.89564323425293,57.08000183105469,59.16250028610229,-1.0756022260583844
2020-03-31,22.791091918945312,22.46358871459961,53.540000915527344,59.99850034713745,-1.0917940065692757
2020-04-01,21.269439697265625,20.903305053710938,57.060001373291016,61.252000427246095,-1.2458640697292764
2020-04-02,21.624492645263672,20.644975662231445,50.90999984741211,61.81650047302246,-1.1738654132076056
2020-04-03,20.669221878051758,20.418466567993164,46.79999923706055,62.059500503540036,-1.3142025249410647
2020-04-06,22.28387451171875,23.469772338867188,45.2400016784668,61.598500633239745,-1.2315519921964344
2020-04-07,23.112335205078125,23.981754302978516,46.70000076293945,61.568500709533694,-1.1281203294938902
2020-04-08,24.219762802124023,24.967342376708984,43.349998474121094,61.041000556945804,-1.0073059610583373
2020-04-09,26.028852462768555,24.17456817626953,41.66999816894531,59.35100040435791,-0.6707734526438739
2020-04-13,24.7100772857666,24.221364974975586,41.16999816894531,58.51800022125244,-0.8853343106416752
2020-04-14,24.35502815246582,25.506465911865234,37.7599983215332,56.27150001525879,-1.0168024683852486
2020-04-15,22.782642364501953,24.59856605529785,40.84000015258789,54.51799983978272,-1.2168082187766456
2020-04-16,21.99645233154297,25.337993621826172,40.11000061035156,52.70100002288818,-1.3859304848442553
2020-04-17,23.8055362701416,26.115798950195312,38.150001525878906,51.00850009918213,-1.1403661064720203
2020-04-20,23.644920349121094,24.965473175048828,43.83000183105469,49.898000144958495,-1.0995414205451555
2020-04-21,22.84181785583496,22.80335235595703,45.40999984741211,49.089000129699706,-1.1033242477573446
2020-04-22,22.892539978027344,25.438140869140625,41.97999954223633,48.104500198364256,-1.2477818383891106
2020-04-23,23.18842124938965,24.70620346069336,41.380001068115234,46.976000213623045,-1.1578574776066148
2020-04-24,23.780179977416992,24.95985984802246,35.93000030517578,45.722500228881835,-1.0774879500386076
2020-04-27,25.242664337158203,24.748319625854492,33.290000915527344,44.11000022888184,-0.8302995313102586
2020-04-28,25.918954849243164,24.508708953857422,33.56999969482422,42.93450012207031,-0.7077808755169233
