Date,KRE,HD,VIX,AvgVIX,zscore
2022-01-31,63.50883102416992,329.4833679199219,24.829999923706055,23.18100004196167,1.7865687147340892
2022-02-01,64.46678924560547,331.0276184082031,21.959999084472656,23.448999977111818,1.904564003766186
2022-02-02,64.29824829101562,335.5436706542969,22.09000015258789,23.707999992370606,1.8974904740205976
2022-02-03,63.92571258544922,327.5351257324219,24.350000381469727,23.939000034332274,1.830427259798631
2022-02-04,65.1497802734375,322.9203186035156,23.219999313354492,24.119499969482423,1.9623676366422802
2022-02-07,65.46019744873047,320.8373107910156,22.860000610351562,24.324499988555907,1.993217926856045
2022-02-08,67.08341979980469,324.5093994140625,21.440000534057617,24.426500034332275,2.1961733064942273
2022-02-09,66.51573181152344,327.1400451660156,19.959999084472656,24.503999996185303,2.1363850336080623
2022-02-10,66.35608673095703,318.8082275390625,23.90999984741211,24.818499946594237,2.093639211423655
2022-02-11,65.80614471435547,314.4986877441406,27.360000610351562,25.171000003814697,2.0161157229667785
2022-02-14,65.29170227050781,315.6389465332031,28.329999923706055,25.62799997329712,1.95838010576317
2022-02-15,67.0390853881836,317.16522216796875,25.700000762939453,25.773499965667725,2.1699226393970332
2022-02-16,67.16326904296875,314.3191833496094,24.290000915527344,25.795499992370605,2.1765108352548506
2022-02-17,65.11430358886719,312.38885498046875,28.110000610351562,25.92150001525879,1.9280559855143538
2022-02-18,65.2296142578125,311.4281005859375,27.75,25.866499996185304,1.938981441680573
2022-02-22,64.90142059326172,283.864990234375,28.809999465942383,25.811999988555907,1.821276810126317
2022-02-23,63.75718688964844,276.9337158203125,31.020000457763672,25.805000019073486,1.6657962635602797
2022-02-24,62.61296463012695,281.23431396484375,30.31999969482422,25.723000049591064,1.5424246063166784
2022-02-25,65.4957046508789,284.29583740234375,27.59000015258789,25.57800006866455,1.8929700729753878
2022-02-28,65.88599395751953,283.55963134765625,30.149999618530273,25.70250005722046,1.9371404291573446
2022-03-01,62.284786224365234,287.52801513671875,33.31999969482422,26.127000045776366,1.5215051714609122
2022-03-02,65.06107330322266,293.9206237792969,30.739999771118164,26.566000080108644,1.8689512526630563
2022-03-03,64.65303802490234,291.2180480957031,30.479999542236328,26.985500049591064,1.8128467023308932
2022-03-04,62.116249084472656,291.1282958984375,31.979999542236328,27.367000007629393,1.511814261362134
2022-03-07,59.437522888183594,289.79058837890625,36.45000076293945,28.028500080108643,1.1903855297043682
2022-03-08,59.91648864746094,284.3766784667969,35.130001068115234,28.642000102996825,1.2316981351714396
2022-03-09,62.0452995300293,286.50836181640625,32.45000076293945,29.192500114440918,1.490195500323266
2022-03-10,62.08964538574219,287.1767883300781,30.229999542236328,29.706000137329102,1.4973641628946421
2022-03-11,62.10737991333008,286.1380615234375,30.75,30.048000144958497,1.4964975537602645
2022-03-14,62.435550689697266,287.55615234375,31.770000457763672,30.268500137329102,1.5394610823460253
2022-03-15,62.621849060058594,296.7511291503906,29.829999923706055,30.3435001373291,1.587834502165079
2022-03-16,64.59095764160156,298.89178466796875,26.670000076293945,30.392000102996825,1.8274223178746007
2022-03-17,63.89024353027344,303.81451416015625,25.670000076293945,30.461000061035158,1.758413895679409
2022-03-18,63.76606750488281,307.7705993652344,23.8700008392334,30.249000072479248,1.7549997930426064
2022-03-21,63.422035217285156,297.5008239746094,23.530000686645508,30.038000106811523,1.6848521294940422
2022-03-22,64.48263549804688,297.82598876953125,22.940000534057617,29.744500160217285,1.811532345346389
2022-03-23,62.19209671020508,286.3728332519531,23.56999969482422,29.37200012207031,1.507213171253549
2022-03-24,62.79815673828125,285.2257995605469,21.670000076293945,28.9395001411438,1.5757921144837093
2022-03-25,63.983524322509766,280.61920166015625,20.809999465942383,28.600500106811523,1.7031674577111402
2022-03-28,63.35072326660156,283.87091064453125,19.6299991607666,28.07450008392334,1.6374343925909762
2022-03-29,64.54502868652344,286.9689636230469,18.899999618530273,27.353500080108642,1.7878940402331511
2022-03-30,62.55752182006836,278.6139831542969,19.329999923706055,26.78300008773804,1.5283604955479544
2022-03-31,61.40778350830078,270.3674011230469,20.559999465942383,26.28700008392334,1.3684673416280704
2022-04-01,60.81954574584961,272.6797180175781,19.6299991607666,25.669500064849853,1.3053325949166437
2022-04-04,60.49869918823242,276.0126647949219,18.56999969482422,24.77550001144409,1.2768188256722015
2022-04-05,59.65201187133789,275.3623352050781,21.030000686645508,24.070499992370607,1.1745718073220803
2022-04-06,58.7607421875,269.6537780761719,22.100000381469727,23.55299997329712,1.0525793594064943
2022-04-07,58.012081146240234,273.4565124511719,21.549999237060547,23.11899995803833,0.9746844530618783
2022-04-08,57.92295837402344,281.007568359375,21.15999984741211,22.639499950408936,0.9857030757841941
2022-04-11,58.12794494628906,277.0423583984375,24.3700008392334,22.26949996948242,0.9986724443874312
2022-04-12,57.59319305419922,276.6539306640625,24.260000228881836,21.99099998474121,0.9341589083763984
2022-04-13,58.404239654541016,280.3843994140625,21.81999969482422,21.748499965667726,1.040985077832931
2022-04-14,57.65557861328125,275.0552062988281,22.700000762939453,21.6,0.9369855610000513
2022-04-18,57.851654052734375,271.1622619628906,22.170000076293945,21.51499996185303,0.9491049550629984
2022-04-19,59.937198638916016,278.0178527832031,21.3700008392334,21.40699996948242,1.215976230912217
2022-04-20,60.31151580810547,284.647705078125,20.31999969482422,21.27599992752075,1.279309522209068
2022-04-21,59.072696685791016,280.3301696777344,22.68000030517578,21.23149995803833,1.120086057753641
2022-04-22,57.833831787109375,271.0718994140625,28.209999084472656,21.558499908447267,0.9467335364453399
2022-04-25,57.89622116088867,275.4345703125,27.020000457763672,21.86899995803833,0.9666019397604363
2022-04-26,56.11370086669922,270.9364318847656,33.52000045776367,22.563500022888185,0.7423979522529399
2022-04-27,56.07805252075195,272.41778564453125,31.600000381469727,23.198500061035155,0.7424058963750091
2022-04-28,56.90692138671875,281.5946960449219,29.989999771118164,23.73150005340576,0.8669144205949538
2022-04-29,55.11549377441406,271.3338928222656,33.400001525878906,24.37350015640259,0.6251811259851311
2022-05-02,55.890892028808594,277.2682189941406,32.34000015258789,25.00900020599365,0.7340805950646262
2022-05-03,56.66628646850586,275.4526062011719,29.25,25.54300022125244,0.820825566257711
2022-05-04,58.21707534790039,284.80120849609375,25.420000076293945,25.762500190734862,1.0314197619788863
2022-05-05,56.5326042175293,270.168701171875,31.200000762939453,26.21750020980835,0.7898708327608136
2022-05-06,55.81958770751953,265.8331604003906,30.190000534057617,26.6495002746582,0.6929379943388688
