Date,MNST,XLU,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,16.817550659179688,20.969999313354492,19.119499969482423,-1.7717217668000043
2015-02-02,19.59166717529297,16.890634536743164,19.43000030517578,19.201499938964844,-1.7616091046139826
2015-02-03,19.44499969482422,16.953289031982422,17.329999923706055,19.071999931335448,-1.8494826830719173
2015-02-04,19.788333892822266,16.747943878173828,18.329999923706055,18.932499885559082,-1.6185451251239242
2015-02-05,19.72833251953125,16.901079177856445,16.850000381469727,18.80949993133545,-1.709326956474215
2015-02-06,19.524999618530273,16.204992294311523,17.290000915527344,18.823499965667725,-1.4944435536399603
2015-02-09,19.323333740234375,16.062292098999023,18.549999237060547,18.873499965667726,-1.5168518302243592
2015-02-10,19.748332977294922,16.392934799194336,17.229999542236328,18.754999923706055,-1.4824905921874503
2015-02-11,19.831666946411133,16.037933349609375,16.959999084472656,18.57499990463257,-1.295203243457141
2015-02-12,19.918333053588867,15.964838981628418,15.34000015258789,18.267999935150147,-1.2277659186558594
2015-02-13,19.623332977294922,15.721208572387695,14.6899995803833,17.88299994468689,-1.2455422445585231
2015-02-17,19.78499984741211,15.707291603088379,15.800000190734863,17.62549991607666,-1.1723971761678142
2015-02-18,20.046667098999023,16.079696655273438,15.449999809265137,17.403499937057497,-1.2238476526082178
2015-02-19,20.18833351135254,15.898711204528809,15.289999961853027,17.22549991607666,-1.087163349283029
2015-02-20,20.209999084472656,15.902193069458008,14.300000190734863,17.12049994468689,-1.0796603584583073
2015-02-23,20.35333251953125,16.01008415222168,14.5600004196167,17.015499973297118,-1.0665150215689345
2015-02-24,20.801666259765625,16.128419876098633,13.6899995803833,16.9239999294281,-0.9311573916221667
2015-02-25,20.63166618347168,15.863914489746094,13.84000015258789,16.754999971389772,-0.8880286007259908
2015-02-26,20.790000915527344,15.759492874145508,13.90999984741211,16.428499937057495,-0.777346213224398
2015-02-27,23.520000457763672,15.742085456848145,13.34000015258789,16.157499933242796,0.36424332627890954
2015-03-02,23.538333892822266,15.439294815063477,13.039999961853027,15.760999965667725,0.5020747032419213
2015-03-03,23.448333740234375,15.533265113830566,13.859999656677246,15.482499933242797,0.4242746370921053
2015-03-04,23.25666618347168,15.446246147155762,14.229999542236328,15.327499914169312,0.3820741512673165
2015-03-05,23.338333129882812,15.568065643310547,14.039999961853027,15.11299991607666,0.3636119153778913
2015-03-06,22.770000457763672,15.101690292358398,15.199999809265137,15.03049988746643,0.32807861949725403
2015-03-09,22.86833381652832,15.129531860351562,15.0600004196167,14.918999862670898,0.35695523871606927
2015-03-10,22.65333366394043,15.101690292358398,16.690000534057617,14.825999927520751,0.27961259821624834
2015-03-11,22.65999984741211,15.00423526763916,16.8700008392334,14.807999992370606,0.3242924593384968
2015-03-12,22.975000381469727,15.289626121520996,15.420000076293945,14.73100004196167,0.3324183288297484
2015-03-13,22.579999923706055,15.13300895690918,16.0,14.764000034332275,0.23567950013996322
2015-03-16,23.00666618347168,15.394052505493164,15.609999656677246,14.810000038146972,0.30066440403496386
2015-03-17,22.71500015258789,15.369678497314453,15.65999984741211,14.803000020980836,0.18998180037224494
2015-03-18,22.78499984741211,15.783854484558105,13.970000267028809,14.729000043869018,0.04094468197914594
2015-03-19,23.046667098999023,15.637682914733887,14.069999694824219,14.668000030517579,0.21250831894605401
2015-03-20,22.920000076293945,15.778340339660645,13.020000457763672,14.604000043869018,0.09939818681111848
2015-03-23,22.989999771118164,15.788865089416504,13.40999984741211,14.54650001525879,0.12395146766377256
2015-03-24,23.116666793823242,15.61346435546875,13.619999885559082,14.543000030517579,0.25200297572910113
2015-03-25,22.671667098999023,15.431062698364258,15.4399995803833,14.623000001907348,0.145581967428847
2015-03-26,22.761667251586914,15.301277160644531,15.800000190734863,14.717500019073487,0.23878439346628408
2015-03-27,22.998332977294922,15.392478942871094,15.069999694824219,14.803999996185302,0.2978793132939822
2015-03-30,23.406667709350586,15.581904411315918,14.510000228881836,14.877500009536742,0.38604827463839536
2015-03-31,23.066667556762695,15.585406303405762,15.289999961853027,14.949000024795533,0.2432985414514008
2015-04-01,22.774999618530273,15.599443435668945,15.109999656677246,14.993000030517578,0.11609641692296185
2015-04-02,22.610000610351562,15.627506256103516,14.670000076293945,15.024500036239624,0.03548367337052109
2015-04-06,22.953332901000977,15.844992637634277,14.739999771118164,15.001500034332276,0.08458154385605823
2015-04-07,22.920000076293945,15.662578582763672,14.779999732971191,14.9875,0.1491815832951767
2015-04-08,22.96500015258789,15.616978645324707,13.979999542236328,14.851999950408935,0.18748590533994766
2015-04-09,22.933332443237305,15.550335884094238,13.09000015258789,14.66299991607666,0.20299017354290674
2015-04-10,23.05666732788086,15.666088104248047,12.579999923706055,14.520999908447266,0.2044469751580499
2015-04-13,22.963333129882812,15.511744499206543,13.9399995803833,14.417999887466431,0.23204937911061177
