Date,KO,GILD,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,58.771060943603516,24.829999923706055,23.18100004196167,-0.5546132913794993
2022-02-01,53.37824249267578,58.59135055541992,21.959999084472656,23.448999977111818,-0.7363676827630217
2022-02-02,53.92470932006836,56.32368850708008,22.09000015258789,23.707999992370606,-0.458303937602643
2022-02-03,54.3037223815918,55.95573043823242,24.350000381469727,23.939000034332274,-0.2786924848610635
2022-02-04,53.73080062866211,54.680702209472656,23.219999313354492,24.119499969482423,-0.5300640686414778
2022-02-07,54.29491424560547,54.56089782714844,22.860000610351562,24.324499988555907,-0.26743847956904804
2022-02-08,54.64748001098633,54.50956344604492,21.440000534057617,24.426500034332275,-0.10355874023601062
2022-02-09,53.80132293701172,54.2357292175293,19.959999084472656,24.503999996185303,-0.49250493359320574
2022-02-10,54.10100173950195,52.87512969970703,23.90999984741211,24.818499946594237,-0.3387300551520764
2022-02-11,53.14026641845703,53.114715576171875,27.360000610351562,25.171000003814697,-0.7863954346115657
2022-02-14,53.4840087890625,52.29322814941406,28.329999923706055,25.62799997329712,-0.6181361795644129
2022-02-15,53.68674087524414,52.48149108886719,25.700000762939453,25.773499965667725,-0.5262963619725232
2022-02-16,53.67793273925781,52.969261169433594,24.290000915527344,25.795499992370605,-0.5357387692744692
2022-02-17,54.75324249267578,52.447261810302734,28.110000610351562,25.92150001525879,-0.03189554450012892
2022-02-18,55.12343978881836,52.24188995361328,27.75,25.866499996185304,0.14184487914921826
2022-02-22,54.89427947998047,52.18199157714844,28.809999465942383,25.811999988555907,0.03635181204097787
2022-02-23,54.28609085083008,52.49860763549805,31.020000457763672,25.805000019073486,-0.24885384047965406
2022-02-24,53.334171295166016,51.8653678894043,30.31999969482422,25.723000049591064,-0.6828401663798643
2022-02-25,55.39667510986328,52.30179214477539,27.59000015258789,25.57800006866455,0.26775431652762366
2022-02-28,54.8590202331543,51.68567657470703,30.149999618530273,25.70250005722046,0.025475279910364527
2022-03-01,54.62103271484375,51.56586837768555,33.31999969482422,26.127000045776366,-0.08344810493049984
2022-03-02,55.02648162841797,52.404483795166016,30.739999771118164,26.566000080108644,0.09514447585455403
2022-03-03,55.06174087524414,52.80666732788086,30.479999542236328,26.985500049591064,0.1070558432927818
2022-03-04,55.149871826171875,52.93502426147461,31.979999542236328,27.367000007629393,0.14646873918658762
2022-03-07,53.836570739746094,51.56586837768555,36.45000076293945,28.028500080108643,-0.4468263149952218
2022-03-08,51.70356369018555,50.94975662231445,35.130001068115234,28.642000102996825,-1.4281038860148794
2022-03-09,51.967994689941406,50.4876594543457,32.45000076293945,29.192500114440918,-1.3005341778848247
2022-03-10,51.01607131958008,49.563472747802734,30.229999542236328,29.706000137329102,-1.7313237423421506
2022-03-11,51.05131149291992,49.63194274902344,30.75,30.048000144958497,-1.715752526881212
2022-03-14,51.992767333984375,50.39457321166992,31.770000457763672,30.268500137329102,-1.288035657519573
2022-03-15,52.95197296142578,50.54190444946289,29.829999923706055,30.3435001373291,-0.8453324395984985
2022-03-16,52.80986785888672,50.238582611083984,26.670000076293945,30.392000102996825,-0.9078237451665495
