Date,LRCX,HD,VIX,AvgVIX,zscore
2020-01-30,28.930837631225586,200.0087127685547,15.489999771118164,13.696000051498412,-0.2917551449087875
2020-01-31,27.745498657226562,195.97914123535156,18.84000015258789,14.014500045776368,-0.31692001902667266
2020-02-03,28.69729995727539,198.93467712402344,17.969999313354492,14.211999988555908,-0.2872423564005861
2020-02-04,30.275264739990234,201.907470703125,16.049999237060547,14.32199993133545,-0.17288584379954455
2020-02-05,30.295724868774414,204.5795135498047,15.149999618530273,14.389999914169312,-0.260440613392976
2020-02-06,30.100351333618164,205.20672607421875,14.960000038146973,14.465499925613404,-0.30824970866601953
2020-02-07,29.34486198425293,203.8835906982422,15.470000267028809,14.611999940872192,-0.366387149488141
2020-02-10,29.75703239440918,206.7274627685547,15.039999961853027,14.735999917984008,-0.4064136840644988
2020-02-11,30.30038833618164,207.61245727539062,15.180000305175781,14.878999948501587,-0.36234827585194995
2020-02-12,31.13309669494629,207.56947326660156,13.739999771118164,14.946499919891357,-0.2475082382423131
2020-02-13,31.780654907226562,208.23109436035156,14.149999618530273,15.032999897003174,-0.18170182904424173
2020-02-14,31.568517684936523,210.5250701904297,13.680000305175781,15.100999927520752,-0.2881462034646764
2020-02-18,30.269676208496094,209.5885772705078,14.829999923706055,15.237499904632568,-0.4333420932239126
2020-02-19,31.06144905090332,209.3307647705078,14.380000114440918,15.313999891281128,-0.3168128216247941
2020-02-20,30.56275177001953,212.23483276367188,15.5600004196167,15.446499919891357,-0.48290398430500897
2020-02-21,29.475116729736328,210.79141235351562,17.079999923706055,15.651499938964843,-0.5822016632993293
2020-02-24,27.954835891723633,205.94561767578125,25.030000686645508,16.174999952316284,-0.6253781181848549
2020-02-25,27.188188552856445,203.9523468017578,27.850000381469727,16.655999994277956,-0.6623778751561555
2020-02-26,27.5957088470459,202.14805603027344,27.559999465942383,17.219999933242796,-0.5458849876891303
2020-02-27,26.581567764282227,193.08367919921875,39.15999984741211,18.35849995613098,-0.37751364433263074
2020-02-28,27.300765991210938,187.16390991210938,40.11000061035156,19.589499998092652,-0.07943798807938285
2020-03-02,27.9427490234375,197.56004333496094,33.41999816894531,20.318499898910524,-0.34351087502808586
2020-03-03,27.117481231689453,195.84164428710938,36.81999969482422,21.26099991798401,-0.3977860700332543
2020-03-04,28.492612838745117,207.13128662109375,31.989999771118164,22.05799994468689,-0.5922380686565073
2020-03-05,27.831098556518555,201.74420166015625,39.619998931884766,23.281499910354615,-0.5001786944048584
2020-03-06,27.391952514648438,196.33140563964844,41.939998626708984,24.630499839782715,-0.3769709922741784
2020-03-09,24.897546768188477,180.8231658935547,54.459999084472656,26.57999978065491,-0.1922971749795534
2020-03-10,26.755552291870117,193.91708374023438,47.29999923706055,28.192999744415282,-0.38199991502266806
2020-03-11,25.737693786621094,184.134765625,53.900001525878906,30.12899980545044,-0.18986143841988398
2020-03-12,22.129594802856445,164.84681701660156,75.47000122070312,33.21549987792969,-0.029044526294622282
2020-03-13,24.35604476928711,177.8899688720703,57.83000183105469,35.39949998855591,-0.1668611938244411
2020-03-16,19.867795944213867,142.6787109375,82.69000244140625,38.850000095367434,0.4124700336177829
2020-03-17,21.334104537963867,150.18630981445312,75.91000366210938,41.9040002822876,0.3583027074369979
2020-03-18,18.062814712524414,134.60888671875,76.44999694824219,45.007500123977664,0.43953020485534167
2020-03-19,18.143754959106445,139.3660125732422,72.0,47.829500102996825,0.28971492505232904
2020-03-20,17.481319427490234,131.5989532470703,66.04000091552734,50.27750015258789,0.462114880766972
2020-03-23,17.942790985107422,140.45584106445312,61.59000015258789,52.10550012588501,0.22550373155888057
2020-03-24,21.587507247924805,159.76966857910156,61.66999816894531,53.796500015258786,0.06879790063456241
2020-03-25,21.859882354736328,157.20953369140625,63.95000076293945,55.61600008010864,0.192443377292849
2020-03-26,24.36737823486328,168.84280395507812,61.0,56.708000087738036,0.14056323285121283
2020-03-27,22.57777976989746,164.81222534179688,65.54000091552734,57.97950010299682,0.033152665977522165
2020-03-30,23.895647048950195,169.61257934570312,57.08000183105469,59.16250028610229,0.05030355982102059
2020-03-31,22.463594436645508,161.49090576171875,53.540000915527344,59.99850034713745,0.12989702549760335
2020-04-01,20.903308868408203,154.5022430419922,57.060001373291016,61.252000427246095,0.1537228272632416
2020-04-02,20.644973754882812,156.82029724121094,50.90999984741211,61.81650047302246,0.040173779316394445
2020-04-03,20.418468475341797,154.56283569335938,46.79999923706055,62.059500503540036,0.08565532043214813
2020-04-06,23.469772338867188,165.48690795898438,45.2400016784668,61.598500633239745,0.13180117687947746
2020-04-07,23.98175048828125,166.3171844482422,46.70000076293945,61.568500709533694,0.17344398442623407
2020-04-08,24.96734619140625,168.50550842285156,43.349998474121094,61.041000556945804,0.23366244565428787
2020-04-09,24.1745662689209,174.3091278076172,41.66999816894531,59.35100040435791,-0.0705055694313451
2020-04-13,24.221364974975586,171.9392547607422,41.16999816894531,58.51800022125244,0.015991337132302646
