Date,KLAC,KDP,VIX,AvgVIX,zscore
2020-01-30,160.73170471191406,24.535131454467773,15.489999771118164,13.696000051498412,-0.9062725994541124
2020-01-31,154.05775451660156,24.423839569091797,18.84000015258789,14.014500045776368,-1.0459380035016728
2020-02-03,157.95245361328125,24.552257537841797,17.969999313354492,14.211999988555908,-1.0069726903826468
2020-02-04,166.197265625,24.54369354248047,16.049999237060547,14.32199993133545,-0.7365503151700419
2020-02-05,159.20729064941406,24.56081771850586,15.149999618530273,14.389999914169312,-0.9724257750339266
2020-02-06,159.63487243652344,24.44952392578125,14.960000038146973,14.465499925613404,-0.8841097929008483
2020-02-07,153.46286010742188,24.458086013793945,15.470000267028809,14.611999940872192,-1.087987910569763
2020-02-10,157.0135955810547,24.577938079833984,15.039999961853027,14.735999917984008,-1.0543239565801397
2020-02-11,160.84320068359375,24.54369354248047,15.180000305175781,14.878999948501587,-0.9084315804960894
2020-02-12,163.5666961669922,24.51801109313965,13.739999771118164,14.946499919891357,-0.8037869137209797
2020-02-13,166.1228790283203,24.466650009155273,14.149999618530273,15.032999897003174,-0.6873035974160502
2020-02-14,163.85482788085938,24.714908599853516,13.680000305175781,15.100999927520752,-0.9264981817665995
2020-02-18,157.30174255371094,24.714908599853516,14.829999923706055,15.237499904632568,-1.1368715354980903
2020-02-19,160.7874298095703,24.69779396057129,14.380000114440918,15.313999891281128,-1.0135004316104048
2020-02-20,156.27574157714844,25.08302116394043,15.5600004196167,15.446499919891357,-1.4165190470637343
2020-02-21,150.5029296875,25.254230499267578,17.079999923706055,15.651499938964843,-1.716588199575079
2020-02-24,143.59994506835938,24.946048736572266,25.030000686645508,16.174999952316284,-1.7316502516190357
2020-02-25,137.6963653564453,24.757715225219727,27.850000381469727,16.655999994277956,-1.7949510240929165
2020-02-26,137.56561279296875,24.595060348510742,27.559999465942383,17.219999933242796,-1.6901369079644326
2020-02-27,138.23817443847656,24.17557716369629,39.15999984741211,18.35849995613098,-1.3874071368172514
2020-02-28,143.58119201660156,23.86739158630371,40.11000061035156,19.589499998092652,-1.00933386753271
2020-03-02,148.27978515625,24.192705154418945,33.41999816894531,20.318499898910524,-1.0765210532148857
2020-03-03,143.6746063232422,23.58488655090332,36.81999969482422,21.26099991798401,-0.816999492225772
2020-03-04,150.11996459960938,23.773225784301758,31.989999771118164,22.05799994468689,-0.7363098659088944
2020-03-05,146.36488342285156,23.114051818847656,39.619998931884766,23.281499910354615,-0.41507918718453823
2020-03-06,145.42144775390625,22.797292709350586,41.939998626708984,24.630499839782715,-0.23307359576818473
2020-03-09,135.37042236328125,20.931053161621094,54.459999084472656,26.57999978065491,0.6950167448591889
2020-03-10,144.38458251953125,21.61591339111328,47.29999923706055,28.192999744415282,0.5254030110425388
2020-03-11,135.37042236328125,20.982419967651367,53.900001525878906,30.12899980545044,0.6605905976332983
2020-03-12,117.09937286376953,19.68118667602539,75.47000122070312,33.21549987792969,0.9461254916121152
2020-03-13,135.790771484375,20.092098236083984,57.83000183105469,35.39949998855591,1.2707806407405173
2020-03-16,120.96654510498047,16.779088973999023,82.69000244140625,38.850000095367434,3.0152654294522736
2020-03-17,139.7700653076172,17.395462036132812,75.91000366210938,41.9040002822876,3.2058192578581552
2020-03-18,123.32051086425781,17.04446792602539,76.44999694824219,45.007500123977664,2.9129771067586203
2020-03-19,118.9675521850586,20.81976318359375,72.0,47.829500102996825,0.24302305578523048
2020-03-20,106.50662994384766,20.143465042114258,66.04000091552734,50.27750015258789,0.2962472372416228
2020-03-23,108.69241333007812,19.843839645385742,61.59000015258789,52.10550012588501,0.5672269312044788
2020-03-24,127.37450408935547,20.45165252685547,61.66999816894531,53.796500015258786,0.7596195686239747
2020-03-25,128.4113311767578,21.401899337768555,63.95000076293945,55.61600008010864,0.15604725576133902
2020-03-26,139.89149475097656,21.22212028503418,61.0,56.708000087738036,0.6450826629366883
2020-03-27,132.86703491210938,20.871126174926758,65.54000091552734,57.97950010299682,0.6548138284044207
2020-03-30,139.66734313964844,21.213560104370117,57.08000183105469,59.16250028610229,0.6436237875925825
2020-03-31,134.26821899414062,20.776960372924805,53.540000915527344,59.99850034713745,0.7629060964881367
2020-04-01,122.9375228881836,20.2547550201416,57.060001373291016,61.252000427246095,0.7491405397028296
2020-04-02,123.71281433105469,20.556289672851562,50.90999984741211,61.81650047302246,0.5719404877117326
2020-04-03,119.50936126708984,20.504602432250977,46.79999923706055,62.059500503540036,0.47163815817917754
2020-04-06,138.71453857421875,21.185216903686523,45.2400016784668,61.598500633239745,0.632031628626156
2020-04-07,137.56561279296875,22.322446823120117,46.70000076293945,61.568500709533694,-0.16702628733255204
2020-04-08,142.32955932617188,22.925519943237305,43.349998474121094,61.041000556945804,-0.41827050370023056
2020-04-09,140.22775268554688,23.140905380249023,41.66999816894531,59.35100040435791,-0.6300964889432954
2020-04-13,142.06796264648438,22.684284210205078,41.16999816894531,58.51800022125244,-0.2649918053191682
2020-04-14,151.0727996826172,23.683673858642578,37.7599983215332,56.27150001525879,-0.6457031523179282
2020-04-15,143.12353515625,23.123676300048828,40.84000015258789,54.51799983978272,-0.5255863688026458
2020-04-16,146.32748413085938,23.097824096679688,40.11000061035156,52.70100002288818,-0.405403959332908
2020-04-17,150.58700561523438,22.52921485900879,38.150001525878906,51.00850009918213,0.11242240601321356
2020-04-20,146.0005340576172,22.417211532592773,43.83000183105469,49.898000144958495,0.04024802828471998
2020-04-21,138.7986297607422,22.098445892333984,45.40999984741211,49.089000129699706,0.02268311173804479
2020-04-22,148.22372436523438,22.865217208862305,41.97999954223633,48.104500198364256,-0.18863540713091093
2020-04-23,148.94293212890625,22.546443939208984,41.380001068115234,46.976000213623045,0.04809583358983499
2020-04-24,154.0525360107422,22.649826049804688,35.93000030517578,45.722500228881835,0.14284225876588313
2020-04-27,155.1173858642578,22.279369354248047,33.290000915527344,44.11000022888184,0.42530797589129143
2020-04-28,155.3135528564453,23.356290817260742,33.56999969482422,42.93450012207031,-0.2901496363478801
2020-04-29,164.29966735839844,22.994447708129883,31.229999542236328,41.81900005340576,0.24083917861933418
2020-04-30,153.27723693847656,22.796289443969727,34.150001525878906,40.673500061035156,0.019792782090364586
2020-05-01,140.36795043945312,22.313825607299805,37.189998626708984,39.9875,-0.07128503125265251
2020-05-04,141.98388671875,22.417211532592773,35.970001220703125,39.44600009918213,-0.08869819006123521
2020-05-05,145.3747100830078,22.623981475830078,33.61000061035156,38.86450004577637,-0.11842044001166707
2020-05-06,153.01565551757812,23.02029037475586,34.119998931884766,38.235499954223634,-0.13873067269175657
2020-05-07,153.04371643066406,22.71013641357422,31.440000534057617,37.64000005722046,0.07003603738404822
2020-05-08,160.19894409179688,22.692901611328125,27.979999542236328,36.95550012588501,0.31129073746219926
2020-05-11,157.65817260742188,23.201210021972656,27.56999969482422,36.275500202178954,-0.11094493910205663
2020-05-12,154.65972900390625,22.908287048339844,33.040000915527344,36.03950033187866,-0.010886190442997315
2020-05-13,153.258544921875,22.761825561523438,35.279998779296875,35.76150026321411,0.04229048364861855
2020-05-14,165.10299682617188,22.71875762939453,32.61000061035156,35.38650026321411,0.4513965239623375
2020-05-15,157.1528778076172,22.65843963623047,31.889999389648438,35.07350015640259,0.2365995237621557
2020-05-18,161.73336791992188,23.227054595947266,29.299999237060547,34.34700002670288,0.0025597510161710973
2020-05-19,161.93045043945312,23.451059341430664,30.530000686645508,33.60300006866455,-0.1412417960189767
2020-05-20,166.99899291992188,23.85597801208496,27.989999771118164,32.90350008010864,-0.24990403358244642
2020-05-21,161.84596252441406,23.15813446044922,29.530000686645508,32.31100006103516,0.052364797216417465
2020-05-22,162.38099670410156,23.399362564086914,28.15999984741211,31.92250003814697,-0.0921306382408959
2020-05-26,165.79754638671875,23.201210021972656,28.010000228881836,31.658500003814698,0.15035294941024646
2020-05-27,165.88206481933594,23.924903869628906,27.6200008392334,31.361000061035156,-0.3319549801331821
2020-05-28,163.89218139648438,23.933517456054688,28.59000015258789,31.229000091552734,-0.40160894774914846
2020-05-29,165.15933227539062,24.05413055419922,27.510000228881836,30.89700002670288,-0.44176483534825606
2020-06-01,165.15933227539062,24.433216094970703,28.229999542236328,30.449000072479247,-0.6958288047940874
2020-06-02,166.40768432617188,24.17474937438965,26.84000015258789,29.992500019073486,-0.4825280556661605
2020-06-03,174.62998962402344,24.527982711791992,25.65999984741211,29.594999980926513,-0.45530558643537516
2020-06-04,174.8552703857422,24.484905242919922,25.809999465942383,29.179500007629393,-0.4192027948919588
2020-06-05,180.66529846191406,24.71752166748047,24.520000457763672,28.8335000038147,-0.3885838122209804
2020-06-08,180.0927734375,24.4935245513916,25.809999465942383,28.725,-0.2568401894184604
2020-06-09,179.30430603027344,24.407367706298828,27.56999969482422,28.725,-0.2244098086419857
2020-06-10,180.93753051757812,24.5538272857666,27.56999969482422,28.451499938964844,-0.2701360234932642
2020-06-11,169.4957275390625,24.415985107421875,40.790000915527344,28.727000045776368,-0.5450694895911488
2020-06-12,173.3534393310547,24.226442337036133,36.09000015258789,28.901000022888184,-0.29419358602762957
2020-06-15,176.22560119628906,24.62274932861328,34.400001525878906,29.026500129699706,-0.4675945486078562
2020-06-16,181.1439971923828,24.674440383911133,33.66999816894531,29.245000076293945,-0.3443430003315778
2020-06-17,181.98875427246094,24.76059341430664,33.470001220703125,29.392000102996825,-0.37496376008134713
2020-06-18,181.84796142578125,25.03628921508789,32.939998626708984,29.639500045776366,-0.5642555620378249
2020-06-19,181.24722290039062,24.73474884033203,35.119998931884766,29.91899995803833,-0.3814480119860677
2020-06-22,180.08335876464844,25.148286819458008,31.770000457763672,30.09949998855591,-0.6959655511207226
2020-06-23,181.3505096435547,25.01044464111328,31.3700008392334,30.267500019073488,-0.5629041397021827
2020-06-24,177.042236328125,24.467674255371094,33.84000015258789,30.57849998474121,-0.33744649618493827
2020-06-25,180.5432891845703,24.467674255371094,32.220001220703125,30.760000038146973,-0.22505238040098974
2020-06-26,177.9339599609375,24.312597274780273,34.72999954223633,31.121000003814697,-0.2048866032536392
2020-06-29,179.9613037109375,24.381513595581055,31.780000686645508,31.298500061035156,-0.18599076434750408
2020-06-30,182.54254150390625,24.467674255371094,30.43000030517578,31.47800006866455,-0.16087048830327444
2020-07-01,181.29415893554688,24.831443786621094,28.6200008392334,31.626000118255615,-0.44474639418766165
2020-07-02,184.4479217529297,24.71018409729004,27.68000030517578,31.719500160217287,-0.26223279977843206
2020-07-06,191.09335327148438,24.73616600036621,27.940000534057617,31.890500164031984,-0.0663079901345945
2020-07-07,190.2485809326172,25.221193313598633,29.43000030517578,32.07150020599365,-0.41849405222262576
2020-07-08,191.95689392089844,24.77947425842285,28.079999923706055,32.097000217437746,-0.06761108058368974
2020-07-09,191.09335327148438,25.117258071899414,29.260000228881836,32.18150024414062,-0.32171674094323044
2020-07-10,189.84498596191406,25.290477752685547,27.290000915527344,31.506500244140625,-0.47788522495263336
2020-07-13,187.3201141357422,25.047969818115234,32.189998626708984,31.31150016784668,-0.39641169731841724
2020-07-14,188.5966033935547,25.411733627319336,29.520000457763672,31.067500114440918,-0.5992279407835385
2020-07-15,184.00674438476562,25.48102569580078,27.760000228881836,30.772000217437743,-0.7930156410741068
2020-07-16,184.00674438476562,25.60228157043457,28.0,30.49850015640259,-0.8742815969462071
2020-07-17,185.0955810546875,25.792823791503906,25.68000030517578,30.13550024032593,-0.9670285493626352
2020-07-20,190.5489501953125,25.78415870666504,24.459999084472656,29.602500247955323,-0.7861519674898583
2020-07-21,191.0182342529297,25.879436492919922,24.84000015258789,29.256000232696532,-0.8349419495359649
2020-07-22,193.2991180419922,26.243200302124023,24.31999969482422,28.903500175476076,-1.0055141681700221
2020-07-23,191.403076171875,26.21721839904785,26.079999923706055,28.515500164031984,-1.0489695716274192
2020-07-24,176.65737915039062,26.27784538269043,25.84000015258789,28.19650011062622,-1.5629822466401582
2020-07-27,184.97357177734375,26.814834594726562,24.739999771118164,27.697000122070314,-1.65589931178601
2020-07-28,180.65586853027344,26.754209518432617,25.440000534057617,27.380000114440918,-1.7538792516529829
2020-07-29,183.1526336669922,27.07467269897461,24.100000381469727,27.063500118255615,-1.8885008654533184
2020-07-30,185.75257873535156,26.6502742767334,24.760000228881836,26.870500087738037,-1.5206022025986257
2020-07-31,187.56414794921875,26.494375228881836,24.459999084472656,26.70950002670288,-1.3579616040394766
2020-08-03,194.90411376953125,25.91408348083496,24.280000686645508,26.526500034332276,-0.7334142517885234
2020-08-04,192.3229217529297,25.9400634765625,23.760000228881836,26.243000030517578,-0.8336899740983207
2020-08-05,191.46881103515625,25.92274284362793,22.989999771118164,25.988500022888182,-0.8495011189926813
2020-08-06,191.09335327148438,25.83612823486328,22.649999618530273,25.657999992370605,-0.803505117115742
2020-08-07,190.3987579345703,25.662904739379883,22.209999084472656,25.403999900817873,-0.7097089041773454
2020-08-10,190.62405395507812,25.775501251220703,22.1299991607666,24.90099992752075,-0.7779386696156904
2020-08-11,188.23056030273438,25.610937118530273,24.030000686645508,24.626499938964844,-0.7444856241108525
2020-08-12,195.23268127441406,26.07863998413086,22.280000686645508,24.352499961853027,-0.8331523996054779
2020-08-13,197.07237243652344,26.121944427490234,22.1299991607666,24.058999919891356,-0.8031156248476923
2020-08-14,199.38186645507812,25.88809585571289,22.049999237060547,23.877499866485596,-0.572248228797404
2020-08-17,204.20831298828125,25.7668399810791,21.350000381469727,23.72199993133545,-0.3360391136184686
2020-08-18,199.61753845214844,25.20387077331543,21.510000228881836,23.555499935150145,-0.10611329665942
2020-08-19,198.46749877929688,25.411733627319336,22.540000915527344,23.466499996185302,-0.2823431051736079
2020-08-20,194.98907470703125,25.281814575195312,22.719999313354492,23.298499965667723,-0.3069387336658269
2020-08-21,192.2742156982422,25.056629180908203,22.540000915527344,23.133500003814696,-0.24317395944972403
2020-08-24,196.41246032714844,25.255836486816406,22.3700008392334,23.01500005722046,-0.24383328754042055
2020-08-25,198.22239685058594,25.377092361450195,22.030000686645508,22.844500064849854,-0.26699494635732746
2020-08-26,200.06056213378906,25.810144424438477,23.270000457763672,22.803000068664552,-0.49821687513216817
2020-08-27,192.7266845703125,25.92274284362793,24.469999313354492,22.788500022888183,-0.8091196710257804
2020-08-28,196.64817810058594,26.043996810913086,22.959999084472656,22.713500022888184,-0.7644928479572576
2020-08-31,193.37710571289062,25.83612823486328,26.40999984741211,22.819999980926514,-0.7301899325566886
2020-09-01,196.0259552001953,25.9400634765625,26.1200008392334,22.938000011444093,-0.71481168602632
2020-09-02,203.18072509765625,26.329814910888672,26.56999969482422,23.117000007629393,-0.7463347591083044
