Date,KRE,XOM,VIX,AvgVIX,zscore
2015-01-30,28.10173225402832,54.180458068847656,20.969999313354492,19.119499969482423,-1.735965669144546
2015-02-02,28.902463912963867,55.51915740966797,19.43000030517578,19.201499938964844,-1.748358819824454
2015-02-03,29.520164489746094,57.1739501953125,17.329999923706055,19.071999931335448,-1.8178950505650084
2015-02-04,29.32950782775879,56.68434143066406,18.329999923706055,18.932499885559082,-1.7984715816419632
2015-02-05,30.031099319458008,57.24213409423828,16.850000381469727,18.80949993133545,-1.750022856253197
2015-02-06,30.5039119720459,57.13597106933594,17.290000915527344,18.823499965667725,-1.670896494407148
2015-02-09,30.107364654541016,57.17345428466797,18.549999237060547,18.873499965667726,-1.7322891997951966
2015-02-10,30.229389190673828,56.83000564575195,17.229999542236328,18.754999923706055,-1.681397772342684
2015-02-11,30.06922721862793,56.57398223876953,16.959999084472656,18.57499990463257,-1.6800510034160414
2015-02-12,30.65643882751465,57.679237365722656,15.34000015258789,18.267999935150147,-1.7010487843413231
2015-02-13,30.763208389282227,58.303680419921875,14.6899995803833,17.88299994468689,-1.745694383471464
2015-02-17,31.037729263305664,58.1038703918457,15.800000190734863,17.62549991607666,-1.686431644594318
2015-02-18,30.442914962768555,56.83000564575195,15.449999809265137,17.403499937057497,-1.6502859851436709
2015-02-19,30.389530181884766,55.84963607788086,15.289999961853027,17.22549991607666,-1.5635471286671487
2015-02-20,30.648813247680664,56.14936828613281,14.300000190734863,17.12049994468689,-1.554665411132578
2015-02-23,30.56492042541504,55.58114242553711,14.5600004196167,17.015499973297118,-1.512106446694951
2015-02-24,30.732702255249023,55.83714294433594,13.6899995803833,16.9239999294281,-1.5123407570759229
2015-02-25,30.67168617248535,55.94955062866211,13.84000015258789,16.754999971389772,-1.5320683183258081
2015-02-26,30.824209213256836,55.35633850097656,13.90999984741211,16.428499937057495,-1.4526534419945283
2015-02-27,30.6640625,55.287628173828125,13.34000015258789,16.157499933242796,-1.4693632769827902
2015-03-02,30.885215759277344,54.975425720214844,13.039999961853027,15.760999965667725,-1.4070407324072842
2015-03-03,30.763208389282227,54.713157653808594,13.859999656677246,15.482499933242797,-1.3995325978636537
2015-03-04,30.55729103088379,54.43840026855469,14.229999542236328,15.327499914169312,-1.4030464804670435
