Date,SHEL,FDX,VIX,AvgVIX,zscore
2020-01-30,42.153472900390625,132.14723205566406,15.489999771118164,13.696000051498412,0.3510577213994492
2020-01-31,40.83030319213867,128.920654296875,18.84000015258789,14.014500045776368,0.24349553983270175
2020-02-03,40.117835998535156,128.20755004882812,17.969999313354492,14.211999988555908,0.1820908310948292
2020-02-04,40.438838958740234,131.47872924804688,16.049999237060547,14.32199993133545,0.19971324982605146
2020-02-05,41.4566535949707,133.653564453125,15.149999618530273,14.389999914169312,0.28349840530272824
2020-02-06,40.82247543334961,132.4770050048828,14.960000038146973,14.465499925613404,0.23068584218231017
2020-02-07,40.5484504699707,138.74298095703125,15.470000267028809,14.611999940872192,0.18480101483216574
2020-02-10,40.23527145385742,139.7412872314453,15.039999961853027,14.735999917984008,0.15334316932616607
2020-02-11,40.70502853393555,140.82867431640625,15.180000305175781,14.878999948501587,0.19172823314444723
2020-02-12,41.221771240234375,141.2832489013672,13.739999771118164,14.946499919891357,0.23647746634525174
2020-02-13,40.64780044555664,143.92156982421875,14.149999618530273,15.032999897003174,0.17607050850910408
2020-02-14,40.24923324584961,141.38125610351562,13.680000305175781,15.100999927520752,0.14901042387818741
2020-02-18,40.02602005004883,141.33677673339844,14.829999923706055,15.237499904632568,0.12916334967281765
2020-02-19,40.03398513793945,143.62742614746094,14.380000114440918,15.313999891281128,0.12207795164001957
2020-02-20,39.55568313598633,146.98770141601562,15.5600004196167,15.446499919891357,0.06778427004150554
2020-02-21,39.196956634521484,145.5081024169922,17.079999923706055,15.651499938964843,0.0406822273184114
2020-02-24,37.690303802490234,138.0210723876953,25.030000686645508,16.174999952316284,-0.0688132529486434
2020-02-25,36.5901985168457,129.77630615234375,27.850000381469727,16.655999994277956,-0.13930472190008805
2020-02-26,36.47063064575195,128.82260131835938,27.559999465942383,17.219999933242796,-0.14677016134113505
2020-02-27,35.027740478515625,123.6796646118164,39.15999984741211,18.35849995613098,-0.2585338853530393
2020-02-28,35.0994987487793,125.82778930664062,40.11000061035156,19.589499998092652,-0.25941855422931986
2020-03-02,35.73723602294922,124.56204986572266,33.41999816894531,20.318499898910524,-0.19797177236068605
2020-03-03,35.0436897277832,118.62590026855469,36.81999969482422,21.26099991798401,-0.23989827819417792
2020-03-04,36.111907958984375,121.58509826660156,31.989999771118164,22.05799994468689,-0.15426780996294498
2020-03-05,34.8603401184082,115.80931091308594,39.619998931884766,23.281499910354615,-0.24673556408975064
2020-03-06,33.37759780883789,114.37600708007812,41.939998626708984,24.630499839782715,-0.3747000542220427
2020-03-09,27.645931243896484,103.6443099975586,54.459999084472656,26.57999978065491,-0.8516833029670606
2020-03-10,29.463478088378906,108.09645080566406,47.29999923706055,28.192999744415282,-0.7040007041802575
2020-03-11,27.494474411010742,99.44300842285156,53.900001525878906,30.12899980545044,-0.8509486367682307
2020-03-12,23.381057739257812,86.89280700683594,75.47000122070312,33.21549987792969,-1.1767552617086152
2020-03-13,23.978939056396484,95.5193862915039,57.83000183105469,35.39949998855591,-1.1525599032410274
2020-03-16,20.18440055847168,81.0611343383789,82.69000244140625,38.850000095367434,-1.4433006489091609
2020-03-17,20.45543670654297,85.06537628173828,75.91000366210938,41.9040002822876,-1.4326508193089267
2020-03-18,17.234861373901367,89.29357147216797,76.44999694824219,45.007500123977664,-1.735590159617017
2020-03-19,19.164026260375977,100.04319763183594,72.0,47.829500102996825,-1.5993484541870189
2020-03-20,19.99308204650879,99.48778533935547,66.04000091552734,50.27750015258789,-1.523179188799684
2020-03-23,21.388134002685547,100.11485290527344,61.59000015258789,52.10550012588501,-1.4003262000032122
2020-03-24,25.597200393676758,107.53209686279297,61.66999816894531,53.796500015258786,-1.0484736711103133
2020-03-25,27.374893188476562,105.98234558105469,63.95000076293945,55.61600008010864,-0.883926983962836
2020-03-26,27.845226287841797,112.51276397705078,61.0,56.708000087738036,-0.8640223111382338
2020-03-27,25.22252655029297,108.01583862304688,65.54000091552734,57.97950010299682,-1.0836891224543723
2020-03-30,26.657445907592773,111.35717010498047,57.08000183105469,59.16250028610229,-0.9665055717075707
2020-03-31,27.81334114074707,108.6249771118164,53.540000915527344,59.99850034713745,-0.8536421954664222
2020-04-01,28.148147583007812,101.65563201904297,57.060001373291016,61.252000427246095,-0.7999169505212324
2020-04-02,31.057825088500977,104.48637390136719,50.90999984741211,61.81650047302246,-0.5488658275750089
2020-04-03,28.889522552490234,97.8395004272461,46.79999923706055,62.059500503540036,-0.7205015040380467
2020-04-06,29.758440017700195,106.61837768554688,45.2400016784668,61.598500633239745,-0.6725415244669338
2020-04-07,29.702632904052734,103.86827087402344,46.70000076293945,61.568500709533694,-0.66817815048768
2020-04-08,30.348339080810547,112.45901489257812,43.349998474121094,61.041000556945804,-0.6395759730013802
2020-04-09,30.220806121826172,109.54763793945312,41.66999816894531,59.35100040435791,-0.6410897089370028
2020-04-13,29.79032325744629,110.65846252441406,41.16999816894531,58.51800022125244,-0.6834403430149503
2020-04-14,29.503339767456055,112.04694366455078,37.7599983215332,56.27150001525879,-0.7138796685626199
2020-04-15,27.390838623046875,107.40669250488281,40.84000015258789,54.51799983978272,-0.8873478749674342
2020-04-16,25.987817764282227,106.67213439941406,40.11000061035156,52.70100002288818,-1.0105488526582889
2020-04-17,28.283672332763672,111.84089660644531,38.150001525878906,51.00850009918213,-0.822452752114149
2020-04-20,26.689327239990234,109.86119079589844,43.83000183105469,49.898000144958495,-0.9585558116224864
2020-04-21,26.250886917114258,107.92625427246094,45.40999984741211,49.089000129699706,-0.9912494200705568
2020-04-22,27.789424896240234,106.18839263916016,41.97999954223633,48.104500198364256,-0.8474890538102429
2020-04-23,28.028573989868164,108.2845687866211,41.380001068115234,46.976000213623045,-0.833199675770894
2020-04-24,27.924943923950195,110.23741912841797,35.93000030517578,45.722500228881835,-0.849133194162069
2020-04-27,28.554704666137695,114.02664947509766,33.290000915527344,44.11000022888184,-0.8056118177724643
2020-04-28,28.69819450378418,114.42977905273438,33.56999969482422,42.93450012207031,-0.7941285642111495
2020-04-29,30.30051040649414,115.98846435546875,31.229999542236328,41.81900005340576,-0.6558779126747013
2020-04-30,26.410320281982422,113.56082153320312,34.150001525878906,40.673500061035156,-0.9961493072713523
2020-05-01,24.943517684936523,105.88381958007812,37.189998626708984,39.9875,-1.1014276530923062
2020-05-04,26.10738754272461,103.7786636352539,35.970001220703125,39.44600009918213,-0.9899846857984981
2020-05-05,26.362483978271484,105.40904235839844,33.61000061035156,38.86450004577637,-0.9726806152045427
2020-05-06,25.557340621948242,103.12476348876953,34.119998931884766,38.235499954223634,-1.0370391217041612
2020-05-07,25.932010650634766,104.575927734375,31.440000534057617,37.64000005722046,-1.0084118257267891
2020-05-08,27.03211212158203,107.89041137695312,27.979999542236328,36.95550012588501,-0.9211344657359948
2020-05-11,26.115358352661133,105.3105239868164,27.56999969482422,36.275500202178954,-0.9944861067110631
2020-05-12,25.676916122436523,101.3510513305664,33.040000915527344,36.03950033187866,-1.0202869069470009
2020-05-13,24.74422836303711,97.94701385498047,35.279998779296875,35.76150026321411,-1.092260133907025
2020-05-14,24.30121421813965,97.7409896850586,32.61000061035156,35.38650026321411,-1.1312499912013494
2020-05-15,24.268993377685547,96.3166732788086,31.889999389648438,35.07350015640259,-1.1292873792389815
2020-05-18,26.43572235107422,106.77066802978516,29.299999237060547,34.34700002670288,-0.9707548669744855
2020-05-19,25.904109954833984,102.82913970947266,30.530000686645508,33.60300006866455,-1.0049642300346546
2020-05-20,26.943174362182617,104.81781005859375,27.989999771118164,32.90350008010864,-0.9186413879852933
2020-05-21,26.129642486572266,103.70703125,29.530000686645508,32.31100006103516,-0.987746893019515
2020-05-22,25.968549728393555,104.80885314941406,28.15999984741211,31.92250003814697,-1.005931197492442
2020-05-26,26.33101463317871,111.80508422851562,28.010000228881836,31.658500003814698,-0.997276805849102
2020-05-27,26.56459617614746,116.83946228027344,27.6200008392334,31.361000061035156,-0.9934900011413356
2020-05-28,26.26657485961914,117.48445129394531,28.59000015258789,31.229000091552734,-1.0223868646212664
2020-05-29,25.73495864868164,116.9559326171875,27.510000228881836,30.89700002670288,-1.0682169123842136
2020-06-01,26.725696563720703,116.19449615478516,28.229999542236328,30.449000072479247,-0.9768604792112342
2020-06-02,27.38619041442871,120.2166519165039,26.84000015258789,29.992500019073486,-0.9313786533194209
2020-06-03,28.71522331237793,123.69237518310547,25.65999984741211,29.594999980926513,-0.8241394371703952
2020-06-04,28.650781631469727,124.70463562011719,25.809999465942383,29.179500007629393,-0.8333594745427501
2020-06-05,30.422832489013672,127.39202117919922,24.520000457763672,28.8335000038147,-0.683744535340452
2020-06-08,31.64715576171875,133.8148956298828,25.809999465942383,28.725,-0.595920875561818
2020-06-09,30.012033462524414,129.61361694335938,27.56999969482422,28.725,-0.7281134850605131
2020-06-10,29.198503494262695,125.77061462402344,27.56999969482422,28.451499938964844,-0.7879163625874535
2020-06-11,26.733753204345703,115.3882827758789,40.790000915527344,28.727000045776368,-0.9733937233321419
2020-06-12,27.748653411865234,118.8908920288086,36.09000015258789,28.901000022888184,-0.8943903816835195
2020-06-15,27.805038452148438,119.75081634521484,34.400001525878906,29.026500129699706,-0.8922664344783642
